Date,'',PS4 player count,
2015-11-22,,0,
2015-11-23,,200,
2015-11-24,,400,
2015-11-25,,500,
2015-11-26,,800,
2015-11-27,,1900,
2015-11-28,,3200,
2015-11-29,,4100,
2015-11-30,,5400,
2015-12-01,,12300,
2015-12-02,,19500,
2015-12-03,,24700,
2015-12-04,,30600,
2015-12-05,,39900,
2015-12-06,,49100,
2015-12-07,,55300,
2015-12-08,,61900,
2015-12-09,,68300,
2015-12-10,,74600,
2015-12-11,,80300,
2015-12-12,,89300,
2015-12-13,,96400,
2015-12-14,,102200,
2015-12-15,,109200,
2015-12-16,,115200,
2015-12-17,,120300,
2015-12-18,,127400,
2015-12-19,,137300,
2015-12-20,,146300,
2015-12-21,,154300,
2015-12-22,,162700,
2015-12-23,,171300,
2015-12-24,,183100,
2015-12-25,,208500,
2015-12-26,,230600,
2015-12-27,,251100,
2015-12-28,,270800,
2015-12-29,,288400,
2015-12-30,,304800,
2015-12-31,,319100,
2016-01-01,,334600,
2016-01-02,,350500,
2016-01-03,,366700,
2016-01-04,,376100,
2016-01-05,,387400,
2016-01-06,,399200,
2016-01-07,,409500,
2016-01-08,,421200,
2016-01-09,,435800,
2016-01-10,,450600,
2016-01-11,,460400,
2016-01-12,,468500,
2016-01-13,,476300,
2016-01-14,,483800,
2016-01-15,,491900,
2016-01-16,,504800,
2016-01-17,,516100,
2016-01-18,,525000,
2016-01-19,,531800,
2016-01-20,,539800,
2016-01-21,,547300,
2016-01-22,,557400,
2016-01-23,,569600,
2016-01-24,,581400,
2016-01-25,,589000,
2016-01-26,,596800,
2016-01-27,,603900,
2016-01-28,,612200,
2016-01-29,,619200,
2016-01-30,,630900,
2016-01-31,,643300,
2016-02-01,,651700,
2016-02-02,,659700,
2016-02-03,,667800,
2016-02-04,,673900,
2016-02-05,,681900,
2016-02-06,,693000,
2016-02-07,,704200,
2016-02-08,,710300,
2016-02-09,,717500,
2016-02-10,,724100,
2016-02-11,,731200,
2016-02-12,,737700,
2016-02-13,,748700,
2016-02-14,,758900,
2016-02-15,,766400,
2016-02-16,,772800,
2016-02-17,,779200,
2016-02-18,,785000,
2016-02-19,,793000,
2016-02-20,,802900,
2016-02-21,,812100,
2016-02-22,,817900,
2016-02-23,,823400,
2016-02-24,,830500,
2016-02-25,,836400,
2016-02-26,,842500,
2016-02-27,,852100,
2016-02-28,,861600,
2016-02-29,,866600,
2016-03-01,,872100,
2016-03-02,,877700,
2016-03-03,,884100,
2016-03-04,,890900,
2016-03-05,,899500,
2016-03-06,,908300,
2016-03-07,,913400,
2016-03-08,,918700,
2016-03-09,,925100,
2016-03-10,,930100,
2016-03-11,,936300,
2016-03-12,,945400,
2016-03-13,,953300,
2016-03-14,,959000,
2016-03-15,,965000,
2016-03-16,,970700,
2016-03-17,,976200,
2016-03-18,,983000,
2016-03-19,,991200,
2016-03-20,,998100,
2016-03-21,,1004400,
2016-03-22,,1009600,
2016-03-23,,1014500,
2016-03-24,,1020600,
2016-03-25,,1026900,
2016-03-26,,1036200,
2016-03-27,,1044000,
2016-03-28,,1049800,
2016-03-29,,1055200,
2016-03-30,,1059800,
2016-03-31,,1065100,
2016-04-01,,1071800,
2016-04-02,,1078900,
2016-04-03,,1085500,
2016-04-04,,1090500,
2016-04-05,,1095000,
2016-04-06,,1100900,
2016-04-07,,1105800,
2016-04-08,,1111300,
2016-04-09,,1118300,
2016-04-10,,1124400,
2016-04-11,,1128300,
2016-04-12,,1133000,
2016-04-13,,1138300,
2016-04-14,,1142300,
2016-04-15,,1146700,
2016-04-16,,1153100,
2016-04-17,,1159400,
2016-04-18,,1164500,
2016-04-19,,1168700,
2016-04-20,,1172900,
2016-04-21,,1176300,
2016-04-22,,1181400,
2016-04-23,,1187200,
2016-04-24,,1193100,
2016-04-25,,1197000,
2016-04-26,,1201000,
2016-04-27,,1205500,
2016-04-28,,1209400,
2016-04-29,,1213800,
2016-04-30,,1220400,
2016-05-01,,1226700,
2016-05-02,,1231200,
2016-05-03,,1234700,
2016-05-04,,1238900,
2016-05-05,,1243200,
2016-05-06,,1247700,
2016-05-07,,1254200,
2016-05-08,,1259400,
2016-05-09,,1262700,
2016-05-10,,1266200,
2016-05-11,,1269800,
2016-05-12,,1273800,
2016-05-13,,1278600,
2016-05-14,,1284800,
2016-05-15,,1290400,
2016-05-16,,1294600,
2016-05-17,,1298500,
2016-05-18,,1302500,
2016-05-19,,1306200,
2016-05-20,,1310300,
2016-05-21,,1317000,
2016-05-22,,1323000,
2016-05-23,,1327500,
2016-05-24,,1331600,
2016-05-25,,1335900,
2016-05-26,,1340400,
2016-05-27,,1345500,
2016-05-28,,1351400,
2016-05-29,,1358100,
2016-05-30,,1362600,
2016-05-31,,1365500,
2016-06-01,,1369800,
2016-06-02,,1373300,
2016-06-03,,1378600,
2016-06-04,,1384100,
2016-06-05,,1391500,
2016-06-06,,1396500,
2016-06-07,,1401500,
2016-06-08,,1406700,
2016-06-09,,1411400,
2016-06-10,,1416600,
2016-06-11,,1422000,
2016-06-12,,1428300,
2016-06-13,,1434100,
2016-06-14,,1439100,
2016-06-15,,1444500,
2016-06-16,,1450700,
2016-06-17,,1456100,
2016-06-18,,1461300,
2016-06-19,,1466600,
2016-06-20,,1471900,
2016-06-21,,1477200,
2016-06-22,,1481500,
2016-06-23,,1485800,
2016-06-24,,1490700,
2016-06-25,,1496200,
2016-06-26,,1501400,
2016-06-27,,1506400,
2016-06-28,,1511700,
2016-06-29,,1517600,
2016-06-30,,1522400,
2016-07-01,,1527200,
2016-07-02,,1532700,
2016-07-03,,1537600,
2016-07-04,,1542300,
2016-07-05,,1547700,
2016-07-06,,1552200,
2016-07-07,,1556300,
2016-07-08,,1560900,
2016-07-09,,1566800,
2016-07-10,,1573500,
2016-07-11,,1578300,
2016-07-12,,1583600,
2016-07-13,,1588800,
2016-07-14,,1592800,
2016-07-15,,1597500,
2016-07-16,,1602500,
2016-07-17,,1608100,
2016-07-18,,1613000,
2016-07-19,,1617500,
2016-07-20,,1623000,
2016-07-21,,1626700,
2016-07-22,,1631100,
2016-07-23,,1636300,
2016-07-24,,1640800,
2016-07-25,,1645400,
2016-07-26,,1650000,
2016-07-27,,1654300,
2016-07-28,,1659400,
2016-07-29,,1663500,
2016-07-30,,1668500,
2016-07-31,,1674100,
2016-08-01,,1679500,
2016-08-02,,1683200,
2016-08-03,,1687200,
2016-08-04,,1691500,
2016-08-05,,1695900,
2016-08-06,,1700500,
2016-08-07,,1706200,
2016-08-08,,1711000,
2016-08-09,,1715300,
2016-08-10,,1719400,
2016-08-11,,1723400,
2016-08-12,,1727200,
2016-08-13,,1731600,
2016-08-14,,1736700,
2016-08-15,,1741400,
2016-08-16,,1746100,
2016-08-17,,1750000,
2016-08-18,,1754000,
2016-08-19,,1759000,
2016-08-20,,1764100,
2016-08-21,,1770800,
2016-08-22,,1775200,
2016-08-23,,1780800,
2016-08-24,,1784600,
2016-08-25,,1789900,
2016-08-26,,1793700,
2016-08-27,,1799500,
2016-08-28,,1804700,
2016-08-29,,1809300,
2016-08-30,,1813800,
2016-08-31,,1818900,
2016-09-01,,1822600,
2016-09-02,,1826800,
2016-09-03,,1832700,
2016-09-04,,1838000,
2016-09-05,,1842200,
2016-09-06,,1845300,
2016-09-07,,1849400,
2016-09-08,,1853100,
2016-09-09,,1856200,
2016-09-10,,1861300,
2016-09-11,,1866300,
2016-09-12,,1870400,
2016-09-13,,1875200,
2016-09-14,,1880100,
2016-09-15,,1884100,
2016-09-16,,1888700,
2016-09-17,,1893900,
2016-09-18,,1899800,
2016-09-19,,1903400,
2016-09-20,,1907600,
2016-09-21,,1911400,
2016-09-22,,1915000,
2016-09-23,,1920300,
2016-09-24,,1926600,
2016-09-25,,1932700,
2016-09-26,,1936400,
2016-09-27,,1940300,
2016-09-28,,1944500,
2016-09-29,,1948300,
2016-09-30,,1952000,
2016-10-01,,1958200,
2016-10-02,,1963400,
2016-10-03,,1967500,
2016-10-04,,1971600,
2016-10-05,,1976000,
2016-10-06,,1979500,
2016-10-07,,1983900,
2016-10-08,,1990300,
2016-10-09,,1996200,
2016-10-10,,2000100,
2016-10-11,,2003100,
2016-10-12,,2007000,
2016-10-13,,2009900,
2016-10-14,,2014200,
2016-10-15,,2019700,
2016-10-16,,2024500,
2016-10-17,,2028500,
2016-10-18,,2032600,
2016-10-19,,2036000,
2016-10-20,,2039000,
2016-10-21,,2042500,
2016-10-22,,2049100,
2016-10-23,,2053000,
2016-10-24,,2057000,
2016-10-25,,2060100,
2016-10-26,,2063400,
2016-10-27,,2067000,
2016-10-28,,2070700,
2016-10-29,,2075700,
2016-10-30,,2080900,
2016-10-31,,2084500,
2016-11-01,,2087100,
2016-11-02,,2090000,
2016-11-03,,2092000,
2016-11-04,,2095300,
2016-11-05,,2099800,
2016-11-06,,2104400,
2016-11-07,,2107000,
2016-11-08,,2109900,
2016-11-09,,2112900,
2016-11-10,,2115400,
2016-11-11,,2118700,
