Date,'',PS4 player count,
2016-11-12,,100,
2016-11-13,,200,
2016-11-14,,200,
2016-11-15,,300,
2016-11-16,,300,
2016-11-17,,1000,
2016-11-18,,10000,
2016-11-19,,16300,
2016-11-20,,20100,
2016-11-21,,21900,
2016-11-22,,24200,
2016-11-23,,26600,
2016-11-24,,29200,
2016-11-25,,32400,
2016-11-26,,35800,
2016-11-27,,38800,
2016-11-28,,40400,
2016-11-29,,42400,
2016-11-30,,44000,
2016-12-01,,45200,
2016-12-02,,46700,
2016-12-03,,48900,
2016-12-04,,50500,
2016-12-05,,51800,
2016-12-06,,53300,
2016-12-07,,54500,
2016-12-08,,55400,
2016-12-09,,56800,
2016-12-10,,58700,
2016-12-11,,60300,
2016-12-12,,61700,
2016-12-13,,63100,
2016-12-14,,64100,
2016-12-15,,65100,
2016-12-16,,66400,
2016-12-17,,67700,
2016-12-18,,69200,
2016-12-19,,70700,
2016-12-20,,72000,
2016-12-21,,73200,
2016-12-22,,74400,
2016-12-23,,75900,
2016-12-24,,77800,
2016-12-25,,82200,
2016-12-26,,86400,
2016-12-27,,89100,
2016-12-28,,92000,
2016-12-29,,94000,
2016-12-30,,95900,
2016-12-31,,97500,
2017-01-01,,99000,
2017-01-02,,100500,
2017-01-03,,101700,
2017-01-04,,103000,
2017-01-05,,104300,
2017-01-06,,105800,
2017-01-07,,107400,
2017-01-08,,109000,
2017-01-09,,109900,
2017-01-10,,111300,
2017-01-11,,112200,
2017-01-12,,113300,
2017-01-13,,114000,
2017-01-14,,115400,
2017-01-15,,116900,
2017-01-16,,117900,
2017-01-17,,118800,
2017-01-18,,119700,
2017-01-19,,120500,
2017-01-20,,121600,
2017-01-21,,123100,
2017-01-22,,125000,
2017-01-23,,126300,
2017-01-24,,127200,
2017-01-25,,128400,
2017-01-26,,129000,
2017-01-27,,129900,
2017-01-28,,131600,
2017-01-29,,132500,
2017-01-30,,133000,
2017-01-31,,134000,
2017-02-01,,134800,
2017-02-02,,135400,
2017-02-03,,136200,
2017-02-04,,137200,
2017-02-05,,138200,
2017-02-06,,139300,
2017-02-07,,140100,
2017-02-08,,141300,
2017-02-09,,142200,
2017-02-10,,143300,
2017-02-11,,144300,
2017-02-12,,146000,
2017-02-13,,147200,
2017-02-14,,148500,
2017-02-15,,149700,
2017-02-16,,150200,
2017-02-17,,151300,
2017-02-18,,152600,
2017-02-19,,153600,
2017-02-20,,154500,
2017-02-21,,155200,
2017-02-22,,156400,
2017-02-23,,157500,
2017-02-24,,158600,
2017-02-25,,159600,
2017-02-26,,160300,
2017-02-27,,161100,
2017-02-28,,161400,
2017-03-01,,162100,
2017-03-02,,162800,
2017-03-03,,163400,
2017-03-04,,164300,
2017-03-05,,165200,
2017-03-06,,165800,
2017-03-07,,166100,
2017-03-08,,166600,
2017-03-09,,167200,
2017-03-10,,167400,
2017-03-11,,168100,
2017-03-12,,168900,
2017-03-13,,169400,
2017-03-14,,170000,
2017-03-15,,170600,
2017-03-16,,171400,
2017-03-17,,171900,
2017-03-18,,172600,
2017-03-19,,173200,
2017-03-20,,173700,
2017-03-21,,174100,
2017-03-22,,174800,
2017-03-23,,175300,
2017-03-24,,176300,
2017-03-25,,177800,
2017-03-26,,179600,
2017-03-27,,180600,
2017-03-28,,181400,
2017-03-29,,182200,
2017-03-30,,182700,
2017-03-31,,183800,
2017-04-01,,185200,
2017-04-02,,186000,
2017-04-03,,186700,
2017-04-04,,187500,
2017-04-05,,188300,
2017-04-06,,189400,
2017-04-07,,190300,
2017-04-08,,191600,
2017-04-09,,192700,
2017-04-10,,193700,
2017-04-11,,194800,
2017-04-12,,195800,
2017-04-13,,197000,
2017-04-14,,198300,
2017-04-15,,199600,
2017-04-16,,201300,
2017-04-17,,202500,
2017-04-18,,203400,
2017-04-19,,204300,
2017-04-20,,204900,
2017-04-21,,205900,
2017-04-22,,207100,
2017-04-23,,208400,
2017-04-24,,209300,
2017-04-25,,210000,
2017-04-26,,210900,
2017-04-27,,211500,
2017-04-28,,212100,
2017-04-29,,213100,
2017-04-30,,214200,
2017-05-01,,215200,
2017-05-02,,215800,
2017-05-03,,216300,
2017-05-04,,217000,
2017-05-05,,217600,
2017-05-06,,218300,
2017-05-07,,218900,
2017-05-08,,219500,
2017-05-09,,219900,
2017-05-10,,220500,
2017-05-11,,221200,
2017-05-12,,221700,
2017-05-13,,222500,
2017-05-14,,223300,
2017-05-15,,223900,
2017-05-16,,224200,
2017-05-17,,224800,
2017-05-18,,225300,
2017-05-19,,225600,
2017-05-20,,226400,
