Date,PS3 player count,PS4 player count,
2015-07-29,0,500,
2015-07-30,100,1000,
2015-07-31,100,1300,
2015-08-01,200,1500,
2015-08-02,200,1700,
2015-08-03,200,1900,
2015-08-04,300,2200,
2015-08-05,400,2500,
2015-08-06,400,2800,
2015-08-07,500,2900,
2015-08-08,600,3000,
2015-08-09,600,3300,
2015-08-10,600,3400,
2015-08-11,600,3600,
2015-08-12,600,3900,
2015-08-13,800,4000,
2015-08-14,800,4000,
2015-08-15,800,4000,
2015-08-16,800,4100,
2015-08-17,900,4200,
2015-08-18,900,4400,
2015-08-19,1000,4600,
2015-08-20,1000,4700,
2015-08-21,1100,4700,
2015-08-22,1100,4800,
2015-08-23,1200,5000,
2015-08-24,1200,5200,
2015-08-25,1200,5300,
2015-08-26,1200,5300,
2015-08-27,1200,5400,
2015-08-28,1300,5500,
2015-08-29,1300,5500,
2015-08-30,1300,5600,
2015-08-31,1300,5800,
2015-09-01,1400,5800,
2015-09-02,1400,6000,
2015-09-03,1400,6000,
2015-09-04,1500,6400,
2015-09-05,1500,6500,
2015-09-06,1600,6800,
2015-09-07,1600,6900,
2015-09-08,1600,7000,
2015-09-09,1700,7100,
2015-09-10,1700,7100,
2015-09-11,1700,7200,
2015-09-12,1700,7200,
2015-09-13,1800,7400,
2015-09-14,1800,7400,
2015-09-15,1800,7400,
2015-09-16,1800,7400,
2015-09-17,1800,7500,
2015-09-18,1800,7600,
2015-09-19,1800,7900,
2015-09-20,1800,7900,
2015-09-21,1800,7900,
2015-09-22,1800,7900,
2015-09-23,1900,8000,
2015-09-24,1900,8000,
2015-09-25,1900,8000,
2015-09-26,1900,8200,
2015-09-27,2000,8300,
2015-09-28,2000,8300,
2015-09-29,2000,8300,
2015-09-30,2000,8300,
2015-10-01,2000,8400,
2015-10-02,2000,8500,
2015-10-03,2000,8600,
2015-10-04,2100,8600,
2015-10-05,2100,8600,
2015-10-06,2100,8700,
2015-10-07,2100,8700,
2015-10-08,2100,8700,
2015-10-09,2100,8700,
2015-10-10,2100,8700,
2015-10-11,2200,8900,
2015-10-12,2200,8900,
2015-10-13,2200,8900,
2015-10-14,2200,9100,
2015-10-15,2200,9100,
2015-10-16,2300,9200,
2015-10-17,2300,9300,
2015-10-18,2300,9300,
2015-10-19,2300,9300,
2015-10-20,2300,9400,
2015-10-21,2300,9400,
2015-10-22,2300,9400,
2015-10-23,2300,9400,
2015-10-24,2300,9500,
2015-10-25,2300,9500,
2015-10-26,2300,9500,
2015-10-27,2300,9500,
2015-10-28,2300,9600,
2015-10-29,2300,9600,
2015-10-30,2300,9600,
2015-10-31,2300,9600,
2015-11-01,2300,9600,
2015-11-02,2300,9600,
2015-11-03,2300,9600,
2015-11-04,2300,9600,
2015-11-05,2300,9600,
2015-11-06,2400,9600,
2015-11-07,2400,9600,
2015-11-08,2400,9700,
2015-11-09,2400,9700,
2015-11-10,2400,9700,
2015-11-11,2400,9700,
2015-11-12,2400,9700,
2015-11-13,2400,9800,
2015-11-14,2500,9900,
2015-11-15,2500,9900,
2015-11-16,2500,10000,
2015-11-17,2500,10000,
2015-11-18,2500,10000,
2015-11-19,2500,10000,
2015-11-20,2500,10000,
2015-11-21,2500,10100,
2015-11-22,2500,10100,
2015-11-23,2500,10100,
2015-11-24,2500,10100,
2015-11-25,2600,10100,
2015-11-26,2600,10100,
2015-11-27,2600,10100,
2015-11-28,2600,10300,
2015-11-29,2600,10300,
2015-11-30,2600,10300,
2015-12-01,2600,12100,
2015-12-02,2600,18100,
2015-12-03,2700,26200,
2015-12-04,2700,36000,
2015-12-05,2700,48000,
2015-12-06,2700,60700,
2015-12-07,2700,69000,
2015-12-08,2700,79000,
2015-12-09,2800,86500,
2015-12-10,2800,93900,
2015-12-11,2800,100700,
2015-12-12,2800,110200,
2015-12-13,2800,121300,
2015-12-14,2800,128400,
2015-12-15,2900,135300,
2015-12-16,2900,142800,
2015-12-17,3000,148500,
2015-12-18,3000,154500,
2015-12-19,3000,163400,
2015-12-20,3000,172600,
2015-12-21,3000,179700,
2015-12-22,3000,187200,
2015-12-23,3000,194000,
2015-12-24,3100,201200,
2015-12-25,3100,210400,
2015-12-26,3100,219600,
2015-12-27,3100,230400,
2015-12-28,3100,239500,
2015-12-29,3100,249500,
2015-12-30,3100,257400,
2015-12-31,3200,266300,
2016-01-01,3200,274900,
2016-01-02,3300,285500,
2016-01-03,3300,297000,
2016-01-04,3300,302300,
2016-01-05,3300,310400,
2016-01-06,3400,317500,
2016-01-07,3400,322800,
2016-01-08,3400,328500,
2016-01-09,3400,335200,
2016-01-10,3500,342200,
2016-01-11,3500,346900,
2016-01-12,3500,350200,
2016-01-13,3500,353500,
2016-01-14,3500,356600,
2016-01-15,3500,360000,
2016-01-16,3500,364400,
2016-01-17,3500,368900,
2016-01-18,3500,371900,
2016-01-19,3500,374800,
2016-01-20,3500,377500,
2016-01-21,3500,380200,
2016-01-22,3500,383500,
2016-01-23,3500,387200,
2016-01-24,3600,391800,
2016-01-25,3600,394000,
2016-01-26,3600,396300,
2016-01-27,3600,398600,
2016-01-28,3600,400400,
2016-01-29,3600,402800,
2016-01-30,3600,405500,
2016-01-31,3700,408400,
2016-02-01,3700,411000,
2016-02-02,3800,413700,
2016-02-03,3800,416100,
2016-02-04,3900,417700,
2016-02-05,3900,420300,
2016-02-06,3900,423700,
2016-02-07,3900,426200,
2016-02-08,3900,427800,
2016-02-09,3900,429400,
2016-02-10,3900,431200,
2016-02-11,3900,432600,
2016-02-12,4000,433900,
2016-02-13,4000,436500,
2016-02-14,4000,439000,
2016-02-15,4000,440900,
2016-02-16,4000,443200,
2016-02-17,4000,444700,
2016-02-18,4000,446500,
2016-02-19,4000,447900,
2016-02-20,4100,449400,
2016-02-21,4100,451200,
2016-02-22,4100,452500,
2016-02-23,4100,454100,
2016-02-24,4100,455400,
2016-02-25,4100,456200,
2016-02-26,4100,457100,
2016-02-27,4100,458700,
2016-02-28,4100,460100,
2016-02-29,4100,461300,
2016-03-01,4100,462000,
2016-03-02,4100,463400,
2016-03-03,4100,464100,
2016-03-04,4100,465300,
2016-03-05,4100,466500,
2016-03-06,4100,467700,
2016-03-07,4100,468600,
2016-03-08,4100,469600,
2016-03-09,4100,470300,
2016-03-10,4100,471300,
2016-03-11,4100,472100,
2016-03-12,4100,473700,
2016-03-13,4100,474800,
2016-03-14,4100,475500,
2016-03-15,4100,476100,
2016-03-16,4100,477100,
2016-03-17,4100,478000,
2016-03-18,4100,479100,
2016-03-19,4100,480500,
2016-03-20,4100,482100,
2016-03-21,4100,483500,
2016-03-22,4100,484500,
2016-03-23,4100,485500,
2016-03-24,4100,486300,
2016-03-25,4100,487200,
2016-03-26,4100,488100,
2016-03-27,4100,489300,
2016-03-28,4100,490200,
2016-03-29,4100,490900,
2016-03-30,4100,491400,
2016-03-31,4100,492300,
2016-04-01,4200,493100,
2016-04-02,4200,494100,
2016-04-03,4200,495200,
2016-04-04,4200,495800,
2016-04-05,4200,496200,
2016-04-06,4200,497100,
2016-04-07,4200,497900,
2016-04-08,4300,499100,
2016-04-09,4300,500300,
2016-04-10,4300,501200,
2016-04-11,4300,501600,
2016-04-12,4400,502500,
2016-04-13,4400,503200,
2016-04-14,4400,504100,
2016-04-15,4400,504500,
2016-04-16,4400,505200,
2016-04-17,4400,506100,
2016-04-18,4400,506800,
2016-04-19,4400,507300,
2016-04-20,4400,507800,
2016-04-21,4400,508300,
2016-04-22,4400,508700,
2016-04-23,4400,509500,
2016-04-24,4400,510400,
2016-04-25,4400,510700,
2016-04-26,4400,511300,
2016-04-27,4500,512000,
2016-04-28,4500,512700,
2016-04-29,4500,513300,
2016-04-30,4500,513900,
2016-05-01,4500,514900,
2016-05-02,4500,515300,
2016-05-03,4500,515900,
2016-05-04,4500,516700,
2016-05-05,4500,517200,
2016-05-06,4600,517700,
