Date,'',PS4 player count,
2013-11-14,,100,
2013-11-15,,1000,
2013-11-16,,3000,
2013-11-17,,5700,
2013-11-18,,7000,
2013-11-19,,8900,
2013-11-20,,10600,
2013-11-21,,12400,
2013-11-22,,13600,
2013-11-23,,15100,
2013-11-24,,16900,
2013-11-25,,18200,
2013-11-26,,19700,
2013-11-27,,21300,
2013-11-28,,23100,
2013-11-29,,25400,
2013-11-30,,27500,
2013-12-01,,30300,
2013-12-02,,32000,
2013-12-03,,34100,
2013-12-04,,35900,
2013-12-05,,37900,
2013-12-06,,39600,
2013-12-07,,42000,
2013-12-08,,43900,
2013-12-09,,45300,
2013-12-10,,47000,
2013-12-11,,48500,
2013-12-12,,50200,
2013-12-13,,52000,
2013-12-14,,54600,
2013-12-15,,57200,
2013-12-16,,59300,
2013-12-17,,60900,
2013-12-18,,62600,
2013-12-19,,64500,
2013-12-20,,66400,
2013-12-21,,69000,
2013-12-22,,71500,
2013-12-23,,74000,
2013-12-24,,76900,
2013-12-25,,81000,
2013-12-26,,86900,
2013-12-27,,91900,
2013-12-28,,98200,
2013-12-29,,103800,
2013-12-30,,108800,
2013-12-31,,113200,
2014-01-01,,117300,
2014-01-02,,121500,
2014-01-03,,126400,
2014-01-04,,130500,
2014-01-05,,135700,
2014-01-06,,140000,
2014-01-07,,143100,
2014-01-08,,146400,
2014-01-09,,149600,
2014-01-10,,152900,
2014-01-11,,156400,
2014-01-12,,161000,
2014-01-13,,163600,
2014-01-14,,166500,
2014-01-15,,168600,
2014-01-16,,170800,
2014-01-17,,173300,
2014-01-18,,177400,
2014-01-19,,181700,
2014-01-20,,184800,
2014-01-21,,186200,
2014-01-22,,188500,
2014-01-23,,190900,
2014-01-24,,193300,
2014-01-25,,197200,
2014-01-26,,200400,
2014-01-27,,202900,
2014-01-28,,205400,
2014-01-29,,207800,
2014-01-30,,210500,
2014-01-31,,213300,
2014-02-01,,216800,
2014-02-02,,220300,
2014-02-03,,222800,
2014-02-04,,224600,
2014-02-05,,226300,
2014-02-06,,228000,
