Date,'',PS4 player count,
2017-10-25,,200,
2017-10-26,,200,
2017-10-27,,300,
2017-10-28,,400,
2017-10-29,,500,
2017-10-30,,600,
2017-10-31,,700,
2017-11-01,,700,
2017-11-02,,800,
2017-11-03,,800,
2017-11-04,,1000,
2017-11-05,,1300,
2017-11-06,,1300,
2017-11-07,,1300,
2017-11-08,,1300,
2017-11-09,,1400,
2017-11-10,,1400,
2017-11-11,,1600,
2017-11-12,,1700,
2017-11-13,,1800,
2017-11-14,,1800,
2017-11-15,,1800,
2017-11-16,,1900,
2017-11-17,,1900,
2017-11-18,,1900,
2017-11-19,,2000,
2017-11-20,,2100,
2017-11-21,,2300,
2017-11-22,,3500,
2017-11-23,,4500,
2017-11-24,,5900,
2017-11-25,,7500,
2017-11-26,,9500,
2017-11-27,,10000,
2017-11-28,,10800,
2017-11-29,,11800,
2017-11-30,,12700,
2017-12-01,,14100,
2017-12-02,,16900,
2017-12-03,,18400,
2017-12-04,,19300,
2017-12-05,,19800,
2017-12-06,,20200,
2017-12-07,,20800,
2017-12-08,,22200,
2017-12-09,,24000,
2017-12-10,,25800,
2017-12-11,,26600,
2017-12-12,,27100,
2017-12-13,,27700,
2017-12-14,,28500,
2017-12-15,,29700,
2017-12-16,,32000,
2017-12-17,,33900,
2017-12-18,,34900,
2017-12-19,,35500,
2017-12-20,,36200,
2017-12-21,,37400,
2017-12-22,,39400,
2017-12-23,,42500,
2017-12-24,,50000,
2017-12-25,,64300,
2017-12-26,,74200,
2017-12-27,,79900,
2017-12-28,,85200,
2017-12-29,,89400,
2017-12-30,,95600,
2017-12-31,,105700,
2018-01-01,,114400,
2018-01-02,,117500,
2018-01-03,,120000,
2018-01-04,,122700,
2018-01-05,,125500,
2018-01-06,,131800,
2018-01-07,,136700,
2018-01-08,,138000,
2018-01-09,,139200,
2018-01-10,,140100,
2018-01-11,,141000,
2018-01-12,,143400,
2018-01-13,,147800,
2018-01-14,,151100,
2018-01-15,,152200,
2018-01-16,,153300,
2018-01-17,,154100,
2018-01-18,,154800,
2018-01-19,,156200,
2018-01-20,,160100,
2018-01-21,,163400,
2018-01-22,,164500,
2018-01-23,,165000,
2018-01-24,,165600,
2018-01-25,,166500,
2018-01-26,,167500,
2018-01-27,,170200,
2018-01-28,,172400,
2018-01-29,,172900,
2018-01-30,,173600,
2018-01-31,,174400,
2018-02-01,,175300,
2018-02-02,,176500,
2018-02-03,,178600,
2018-02-04,,181100,
2018-02-05,,181700,
2018-02-06,,182500,
2018-02-07,,183300,
2018-02-08,,183700,
2018-02-09,,184900,
2018-02-10,,187200,
2018-02-11,,188900,
2018-02-12,,190000,
2018-02-13,,190900,
2018-02-14,,191200,
2018-02-15,,191900,
2018-02-16,,193300,
2018-02-17,,195400,
2018-02-18,,196700,
2018-02-19,,197300,
2018-02-20,,197900,
2018-02-21,,198400,
2018-02-22,,199000,
2018-02-23,,200200,
2018-02-24,,201500,
2018-02-25,,203500,
2018-02-26,,203700,
2018-02-27,,204400,
2018-02-28,,204900,
2018-03-01,,205700,
2018-03-02,,207300,
2018-03-03,,209800,
2018-03-04,,211800,
2018-03-05,,212400,
2018-03-06,,212800,
2018-03-07,,213800,
2018-03-08,,214800,
2018-03-09,,216300,
2018-03-10,,219800,
2018-03-11,,223300,
2018-03-12,,224600,
2018-03-13,,226000,
2018-03-14,,227200,
2018-03-15,,228700,
