Date,PS3 player count,PS4 player count,
2015-11-28,100,0,
2015-11-29,100,0,
2015-11-30,100,0,
2015-12-01,200,0,
2015-12-02,200,0,
2015-12-03,200,100,
2015-12-04,200,100,
2015-12-05,200,200,
2015-12-06,200,200,
2015-12-07,200,200,
2015-12-08,300,300,
2015-12-09,300,400,
2015-12-10,300,600,
2015-12-11,300,700,
2015-12-12,300,800,
2015-12-13,300,900,
2015-12-14,300,900,
2015-12-15,400,1000,
2015-12-16,400,1100,
2015-12-17,400,1200,
2015-12-18,400,1300,
2015-12-19,400,1600,
2015-12-20,400,2000,
2015-12-21,400,2200,
2015-12-22,400,2300,
2015-12-23,400,2700,
2015-12-24,400,3000,
2015-12-25,600,3600,
2015-12-26,600,4200,
2015-12-27,600,4800,
2015-12-28,700,5200,
2015-12-29,700,5400,
2015-12-30,700,5800,
2015-12-31,800,6100,
2016-01-01,800,6400,
2016-01-02,800,6800,
2016-01-03,800,7200,
2016-01-04,800,7300,
2016-01-05,800,7500,
2016-01-06,900,7700,
2016-01-07,1000,7800,
2016-01-08,1000,8000,
2016-01-09,1000,8300,
2016-01-10,1000,8700,
2016-01-11,1000,8900,
2016-01-12,1100,9000,
2016-01-13,1100,9000,
2016-01-14,1100,9100,
2016-01-15,1100,9400,
2016-01-16,1200,9800,
2016-01-17,1200,10000,
2016-01-18,1300,10100,
2016-01-19,1300,10400,
2016-01-20,1300,10600,
2016-01-21,1300,10600,
2016-01-22,1300,10800,
2016-01-23,1300,11300,
2016-01-24,1300,11900,
2016-01-25,1300,12300,
2016-01-26,1400,12600,
2016-01-27,1400,12800,
2016-01-28,1400,13100,
2016-01-29,1400,13200,
2016-01-30,1500,13700,
2016-01-31,1500,14200,
2016-02-01,1500,14500,
2016-02-02,1600,14700,
2016-02-03,1600,14700,
2016-02-04,1600,14800,
2016-02-05,1600,15200,
2016-02-06,1700,15500,
2016-02-07,1700,15900,
2016-02-08,1700,16000,
2016-02-09,1700,16400,
2016-02-10,1700,16400,
2016-02-11,1700,16700,
2016-02-12,1800,16900,
2016-02-13,1900,17200,
2016-02-14,1900,17600,
2016-02-15,1900,17700,
2016-02-16,2000,17900,
2016-02-17,2100,18100,
2016-02-18,2200,18500,
2016-02-19,2200,18600,
2016-02-20,2200,19000,
2016-02-21,2200,19200,
2016-02-22,2200,19300,
2016-02-23,2200,19400,
2016-02-24,2200,19700,
2016-02-25,2300,19900,
2016-02-26,2400,20100,
2016-02-27,2400,20200,
2016-02-28,2400,20900,
2016-02-29,2400,21100,
2016-03-01,2400,21300,
2016-03-02,2400,21600,
2016-03-03,2500,21900,
2016-03-04,2600,22200,
2016-03-05,2600,22400,
2016-03-06,2600,22600,
2016-03-07,2600,22900,
2016-03-08,2600,23200,
2016-03-09,2600,23300,
2016-03-10,2600,23400,
2016-03-11,2600,23600,
2016-03-12,2700,23900,
2016-03-13,2700,24400,
2016-03-14,2700,24600,
2016-03-15,2700,24800,
2016-03-16,2700,25000,
2016-03-17,2700,25000,
2016-03-18,2700,25200,
2016-03-19,2800,25500,
2016-03-20,2800,25800,
2016-03-21,2800,25900,
2016-03-22,2800,26100,
2016-03-23,2900,26400,
2016-03-24,2900,26500,
2016-03-25,3000,26700,
2016-03-26,3000,26900,
2016-03-27,3000,27200,
2016-03-28,3000,27400,
2016-03-29,3100,27600,
2016-03-30,3200,27900,
2016-03-31,3200,28100,
2016-04-01,3400,28600,
2016-04-02,3400,29000,
2016-04-03,3400,29300,
2016-04-04,3400,29500,
2016-04-05,3400,29700,
2016-04-06,3400,29800,
2016-04-07,3500,30100,
2016-04-08,3500,30400,
2016-04-09,3500,30700,
2016-04-10,3600,31100,
2016-04-11,3800,31500,
2016-04-12,3800,31600,
2016-04-13,3900,31800,
2016-04-14,4000,31900,
2016-04-15,4000,32000,
2016-04-16,4000,32200,
2016-04-17,4000,32500,
2016-04-18,4000,32700,
2016-04-19,4000,32800,
2016-04-20,4000,33000,
2016-04-21,4000,33200,
2016-04-22,4000,33400,
2016-04-23,4100,33700,
2016-04-24,4200,33900,
2016-04-25,4200,34000,
2016-04-26,4200,34200,
2016-04-27,4200,34400,
2016-04-28,4200,34500,
2016-04-29,4200,34800,
2016-04-30,4300,35100,
2016-05-01,4300,35300,
2016-05-02,4300,35300,
2016-05-03,4400,35400,
2016-05-04,4800,35600,
2016-05-05,5400,35800,
