Date,'',PS4 player count,
2014-12-02,,0,
2014-12-03,,0,
2014-12-04,,100,
2014-12-05,,100,
2014-12-06,,200,
2014-12-07,,800,
2014-12-08,,800,
2014-12-09,,1500,
2014-12-10,,2800,
2014-12-11,,3800,
2014-12-12,,5100,
2014-12-13,,6400,
2014-12-14,,8000,
2014-12-15,,8600,
2014-12-16,,9700,
2014-12-17,,10600,
2014-12-18,,11300,
2014-12-19,,12300,
2014-12-20,,13500,
2014-12-21,,14900,
2014-12-22,,15800,
2014-12-23,,17100,
2014-12-24,,18000,
2014-12-25,,19400,
2014-12-26,,20100,
2014-12-27,,21100,
2014-12-28,,23100,
2014-12-29,,24900,
2014-12-30,,27600,
2014-12-31,,29500,
2015-01-01,,31100,
2015-01-02,,32600,
2015-01-03,,34300,
2015-01-04,,36300,
2015-01-05,,37200,
2015-01-06,,38200,
2015-01-07,,39100,
2015-01-08,,39900,
2015-01-09,,40900,
2015-01-10,,42200,
2015-01-11,,43200,
2015-01-12,,44200,
2015-01-13,,44900,
2015-01-14,,45600,
2015-01-15,,46600,
2015-01-16,,47800,
2015-01-17,,49100,
2015-01-18,,50400,
2015-01-19,,51200,
2015-01-20,,51800,
2015-01-21,,52800,
2015-01-22,,53400,
2015-01-23,,55000,
2015-01-24,,56500,
2015-01-25,,58600,
2015-01-26,,60000,
2015-01-27,,61400,
2015-01-28,,62100,
2015-01-29,,63000,
2015-01-30,,64300,
2015-01-31,,65600,
2015-02-01,,67300,
2015-02-02,,68400,
2015-02-03,,69300,
2015-02-04,,70300,
2015-02-05,,71300,
2015-02-06,,72600,
2015-02-07,,73900,
2015-02-08,,75300,
2015-02-09,,75900,
2015-02-10,,76500,
2015-02-11,,77200,
2015-02-12,,77800,
2015-02-13,,78700,
2015-02-14,,80300,
2015-02-15,,82200,
2015-02-16,,83900,
2015-02-17,,85000,
2015-02-18,,86000,
2015-02-19,,87400,
2015-02-20,,88600,
2015-02-21,,89900,
2015-02-22,,91500,
2015-02-23,,92600,
2015-02-24,,93500,
2015-02-25,,94200,
2015-02-26,,94900,
2015-02-27,,95500,
2015-02-28,,96500,
2015-03-01,,97600,
2015-03-02,,98300,
2015-03-03,,98900,
2015-03-04,,99600,
2015-03-05,,100000,
2015-03-06,,100900,
2015-03-07,,101900,
2015-03-08,,102600,
2015-03-09,,103200,
2015-03-10,,103700,
2015-03-11,,104200,
2015-03-12,,104800,
2015-03-13,,105500,
2015-03-14,,106600,
2015-03-15,,107600,
2015-03-16,,108400,
2015-03-17,,108900,
2015-03-18,,109400,
2015-03-19,,109900,
2015-03-20,,110400,
2015-03-21,,111400,
2015-03-22,,113000,
2015-03-23,,113400,
2015-03-24,,113500,
2015-03-25,,113900,
2015-03-26,,114600,
2015-03-27,,115200,
2015-03-28,,116300,
2015-03-29,,117100,
2015-03-30,,117600,
2015-03-31,,118300,
2015-04-01,,118900,
2015-04-02,,119400,
2015-04-03,,120100,
2015-04-04,,120700,
2015-04-05,,121400,
2015-04-06,,122000,
2015-04-07,,122500,
2015-04-08,,123100,
