Date,PS3 player count,PS4 player count,
2015-01-30,200,1200,
2015-01-31,600,3000,
2015-02-01,800,4600,
2015-02-02,1000,5900,
2015-02-03,1200,7200,
2015-02-04,1400,8100,
2015-02-05,1700,9000,
2015-02-06,1800,9900,
2015-02-07,1900,11200,
2015-02-08,2200,12300,
2015-02-09,2600,13000,
2015-02-10,2600,13400,
2015-02-11,2700,14200,
2015-02-12,2800,14500,
2015-02-13,3300,15200,
2015-02-14,3500,16000,
2015-02-15,3800,16900,
2015-02-16,3900,18200,
2015-02-17,4000,19100,
2015-02-18,4100,19800,
2015-02-19,4300,20400,
2015-02-20,4400,20700,
2015-02-21,4500,21600,
2015-02-22,4600,22500,
2015-02-23,4700,22800,
2015-02-24,4900,23100,
2015-02-25,5100,23600,
2015-02-26,5200,24000,
2015-02-27,5300,24400,
2015-02-28,5400,24800,
2015-03-01,5600,25300,
2015-03-02,5700,25900,
2015-03-03,5800,26300,
2015-03-04,5900,26500,
2015-03-05,6100,27000,
2015-03-06,6200,27400,
2015-03-07,6400,27600,
2015-03-08,6700,28200,
2015-03-09,6800,28600,
2015-03-10,6800,28900,
2015-03-11,6900,29200,
2015-03-12,6900,29400,
2015-03-13,7100,29600,
2015-03-14,7100,30000,
2015-03-15,7300,30400,
2015-03-16,7400,30500,
2015-03-17,7500,30600,
2015-03-18,7600,30900,
2015-03-19,7700,31100,
2015-03-20,7700,31300,
2015-03-21,7800,31500,
2015-03-22,7800,31800,
2015-03-23,7800,32000,
2015-03-24,8000,32200,
2015-03-25,8400,32900,
2015-03-26,8400,33100,
2015-03-27,8600,33800,
2015-03-28,9000,34400,
2015-03-29,9200,35200,
2015-03-30,9200,35500,
2015-03-31,9300,36000,
2015-04-01,9400,36300,
2015-04-02,9500,36700,
2015-04-03,9800,37000,
2015-04-04,10000,37700,
2015-04-05,10400,38300,
2015-04-06,10600,38700,
2015-04-07,10700,39000,
2015-04-08,10900,39300,
2015-04-09,11100,39700,
2015-04-10,11100,39900,
2015-04-11,11200,40300,
2015-04-12,11300,40800,
2015-04-13,11400,41300,
2015-04-14,11500,41300,
2015-04-15,11500,41800,
2015-04-16,11500,42100,
2015-04-17,11600,42300,
2015-04-18,11600,42600,
2015-04-19,11600,43000,
2015-04-20,11700,43100,
2015-04-21,11800,43400,
2015-04-22,11900,43700,
2015-04-23,12000,43900,
2015-04-24,12000,44200,
2015-04-25,12100,44400,
2015-04-26,12200,44600,
2015-04-27,12200,44700,
2015-04-28,12200,44800,
2015-04-29,12300,45000,
2015-04-30,12400,45100,
2015-05-01,12400,45200,
2015-05-02,12600,45400,
2015-05-03,12800,45800,
2015-05-04,12900,46000,
2015-05-05,12900,46400,
2015-05-06,13000,46500,
2015-05-07,13000,46800,
2015-05-08,13000,46900,
2015-05-09,13100,47500,
2015-05-10,13200,47800,
2015-05-11,13200,48100,
2015-05-12,13400,48200,
2015-05-13,13400,48500,
2015-05-14,13500,48600,
2015-05-15,13600,48800,
2015-05-16,13600,49100,
2015-05-17,13700,49100,
2015-05-18,13700,49300,
2015-05-19,13800,49700,
2015-05-20,14000,49900,
2015-05-21,14200,50200,
2015-05-22,14200,50600,
2015-05-23,14300,51100,
2015-05-24,14800,52200,
2015-05-25,15100,52500,
2015-05-26,15200,52900,
2015-05-27,15400,53300,
2015-05-28,15600,53600,
2015-05-29,15800,54000,
2015-05-30,16000,54300,
2015-05-31,16200,54500,
2015-06-01,16200,54700,
2015-06-02,16300,55000,
2015-06-03,16400,55100,
2015-06-04,16500,55500,
2015-06-05,16500,55900,
2015-06-06,17000,56500,
2015-06-07,17100,56800,
2015-06-08,17200,57200,
2015-06-09,17300,57400,
2015-06-10,17400,57500,
2015-06-11,17400,57700,
2015-06-12,17600,58000,
2015-06-13,17700,58200,
2015-06-14,17900,58500,
2015-06-15,18100,58600,
2015-06-16,18200,58900,
2015-06-17,18300,59400,
2015-06-18,18400,59500,
2015-06-19,18500,59700,
2015-06-20,18600,60200,
2015-06-21,18700,60400,
2015-06-22,18700,60500,
2015-06-23,18700,60700,
2015-06-24,18800,61200,
2015-06-25,18900,61500,
2015-06-26,19000,61600,
2015-06-27,19000,61900,
2015-06-28,19100,62200,
2015-06-29,19100,62800,
2015-06-30,19100,63000,
2015-07-01,19200,63300,
2015-07-02,19300,63500,
2015-07-03,19300,63700,
2015-07-04,19300,64100,
2015-07-05,19500,64600,
2015-07-06,19600,64700,
2015-07-07,19600,64900,
2015-07-08,19600,65400,
2015-07-09,19700,65600,
2015-07-10,19700,65900,
2015-07-11,19900,66400,
2015-07-12,20100,66600,
2015-07-13,20100,67300,
2015-07-14,20200,67600,
2015-07-15,20200,68200,
2015-07-16,20500,68600,
2015-07-17,20700,68900,
2015-07-18,20900,69200,
2015-07-19,21000,69400,
2015-07-20,21000,69800,
2015-07-21,21200,70000,
2015-07-22,21200,70400,
2015-07-23,21300,70600,
2015-07-24,21400,70800,
2015-07-25,21400,71200,
2015-07-26,21600,71300,
2015-07-27,21700,71700,
2015-07-28,22300,72300,
2015-07-29,22500,72800,
2015-07-30,22700,73700,
2015-07-31,23300,74300,
2015-08-01,23500,75200,
2015-08-02,23800,75900,
2015-08-03,24100,76600,
2015-08-04,24500,77200,
2015-08-05,24700,77800,
2015-08-06,25000,78300,
2015-08-07,25200,79500,
2015-08-08,25400,80200,
2015-08-09,25600,81100,
2015-08-10,25900,81800,
2015-08-11,26000,82300,
2015-08-12,26300,82700,
2015-08-13,26300,83400,
2015-08-14,26500,83800,
2015-08-15,26600,84500,
2015-08-16,26700,85300,
2015-08-17,27000,85600,
2015-08-18,27100,85900,
2015-08-19,27200,86500,
2015-08-20,27400,86800,
2015-08-21,27500,87100,
2015-08-22,27800,87400,
2015-08-23,27900,88100,
2015-08-24,28200,88300,
2015-08-25,28400,88700,
2015-08-26,28400,89300,
2015-08-27,28400,89600,
2015-08-28,28400,90100,
2015-08-29,28800,90600,
2015-08-30,28900,90900,
2015-08-31,29000,91400,
2015-09-01,29100,91900,
2015-09-02,29100,92200,
2015-09-03,29300,92400,
2015-09-04,29300,92900,
2015-09-05,29400,93000,
2015-09-06,29600,93300,
2015-09-07,29900,93900,
2015-09-08,30100,94400,
2015-09-09,30100,94500,
2015-09-10,30300,94600,
2015-09-11,30400,95100,
2015-09-12,30500,95300,
2015-09-13,30700,95700,
2015-09-14,30800,95900,
2015-09-15,30900,96100,
2015-09-16,31000,96200,
2015-09-17,31000,96500,
2015-09-18,31300,96800,
2015-09-19,31400,97000,
2015-09-20,31500,97300,
2015-09-21,31600,97400,
2015-09-22,31700,97600,
2015-09-23,31800,97900,
2015-09-24,31900,98100,
2015-09-25,31900,98400,
2015-09-26,32100,98600,
2015-09-27,32200,99100,
2015-09-28,32200,99500,
2015-09-29,32300,99900,
2015-09-30,32300,100100,
2015-10-01,32400,100400,
2015-10-02,32400,100600,
2015-10-03,32500,101000,
2015-10-04,32800,101700,
2015-10-05,32800,101900,
2015-10-06,33000,102100,
2015-10-07,33100,102300,
2015-10-08,33200,102500,
2015-10-09,33200,102700,
2015-10-10,33400,102800,
2015-10-11,33500,103000,
2015-10-12,33500,103300,
2015-10-13,33500,103500,
2015-10-14,33600,103800,
2015-10-15,33600,104000,
2015-10-16,33700,104300,
2015-10-17,33900,104400,
2015-10-18,34100,104900,
2015-10-19,34300,105400,
2015-10-20,36100,108500,
2015-10-21,37800,115500,
2015-10-22,39400,119900,
2015-10-23,40400,123600,
2015-10-24,41100,127000,
2015-10-25,42000,129700,
2015-10-26,42600,131700,
2015-10-27,43100,133600,
2015-10-28,43700,135100,
2015-10-29,44200,136600,
2015-10-30,44400,137700,
2015-10-31,45000,139500,
2015-11-01,45400,140700,
2015-11-02,45600,141800,
2015-11-03,45900,143200,
2015-11-04,46100,144200,
2015-11-05,46500,144600,
2015-11-06,46800,145600,
2015-11-07,47000,147000,
2015-11-08,47500,148400,
2015-11-09,47900,149000,
2015-11-10,48200,150200,
2015-11-11,48500,151700,
2015-11-12,48600,152800,
2015-11-13,48900,153700,
2015-11-14,49400,154400,
2015-11-15,49600,155700,
2015-11-16,49900,156500,
2015-11-17,49900,157200,
2015-11-18,50200,157700,
2015-11-19,50500,158200,
2015-11-20,50700,158600,
2015-11-21,50900,159200,
2015-11-22,51300,160000,
2015-11-23,51600,160400,
2015-11-24,51700,161100,
2015-11-25,51900,161900,
2015-11-26,52200,162500,
2015-11-27,52300,163100,
2015-11-28,52600,163900,
2015-11-29,52900,165000,
2015-11-30,53100,165300,
2015-12-01,53300,165900,
2015-12-02,53500,166400,
2015-12-03,53600,166800,
2015-12-04,53900,167700,
2015-12-05,54200,168700,
2015-12-06,54300,169800,
2015-12-07,54500,170600,
2015-12-08,54600,171400,
2015-12-09,54800,171700,
2015-12-10,54900,172200,
2015-12-11,55100,172900,
2015-12-12,55200,173700,
2015-12-13,55300,174600,
2015-12-14,55400,175000,
2015-12-15,55600,175700,
2015-12-16,55800,176200,
2015-12-17,55900,176600,
2015-12-18,56000,177300,
2015-12-19,56500,177800,
2015-12-20,56600,178500,
2015-12-21,56700,179500,
2015-12-22,56800,180000,
2015-12-23,56800,180800,
2015-12-24,57000,181200,
2015-12-25,57200,181800,
2015-12-26,57300,182700,
2015-12-27,57700,183400,
2015-12-28,58000,184100,
2015-12-29,58200,184800,
2015-12-30,58500,185600,
2015-12-31,58600,186400,
2016-01-01,58800,187000,
2016-01-02,58800,187900,
2016-01-03,59000,188700,
2016-01-04,59300,189300,
2016-01-05,59400,190100,
2016-01-06,59500,190600,
2016-01-07,59800,191100,
2016-01-08,60000,191900,
2016-01-09,60200,192800,
2016-01-10,60500,193300,
2016-01-11,60700,194000,
2016-01-12,60800,194600,
2016-01-13,61000,194900,
2016-01-14,61200,195500,
2016-01-15,61400,196100,
2016-01-16,61500,196500,
2016-01-17,61700,197300,
2016-01-18,61800,198200,
2016-01-19,61900,198900,
2016-01-20,62100,199700,
2016-01-21,62200,200800,
2016-01-22,62300,202400,
2016-01-23,62400,204200,
2016-01-24,62600,205900,
2016-01-25,62900,207800,
2016-01-26,63100,209600,
