Date,PS3 player count,PS4 player count,PS Vita player count
2011-07-19,100,0,0
2011-07-20,1300,0,0
2011-07-21,2600,0,0
2011-07-22,4600,0,0
2011-07-23,6300,0,0
2011-07-24,8900,0,0
2011-07-25,10900,0,0
2011-07-26,13100,0,0
2011-07-27,15000,0,0
2011-07-28,17200,0,0
2011-07-29,19100,0,0
2011-07-30,20400,0,0
2011-07-31,22800,0,0
2011-08-01,24500,0,0
2011-08-02,25600,0,0
2011-08-03,26700,0,0
2011-08-04,28700,0,0
2011-08-05,31000,0,0
2011-08-06,33000,0,0
2011-08-07,35200,0,0
2011-08-08,36600,0,0
2011-08-09,38100,0,0
2011-08-10,39400,0,0
2011-08-11,41300,0,0
2011-08-12,43100,0,0
2011-08-13,44500,0,0
2011-08-14,46400,0,0
2011-08-15,47800,0,0
2011-08-16,49300,0,0
2011-08-17,50700,0,0
2011-08-18,51600,0,0
2011-08-19,52900,0,0
2011-08-20,54800,0,0
2011-08-21,56300,0,0
2011-08-22,57500,0,0
2011-08-23,58900,0,0
2011-08-24,59900,0,0
2011-08-25,60900,0,0
2011-08-26,61700,0,0
2011-08-27,63000,0,0
2011-08-28,64200,0,0
2011-08-29,64800,0,0
2011-08-30,65700,0,0
2011-08-31,66900,0,0
2011-09-01,67600,0,0
2011-09-02,68400,0,0
2011-09-03,69500,0,0
2011-09-04,70500,0,0
2011-09-05,71100,0,0
2011-09-06,71900,0,0
2011-09-07,72600,0,0
2011-09-08,73400,0,0
2011-09-09,74000,0,0
2011-09-10,75100,0,0
2011-09-11,76000,0,0
2011-09-12,76900,0,0
2011-09-13,77600,0,0
2011-09-14,78100,0,0
2011-09-15,78700,0,0
2011-09-16,79200,0,0
2011-09-17,80100,0,0
2011-09-18,81300,0,0
2011-09-19,81800,0,0
2011-09-20,82600,0,0
2011-09-21,83000,0,0
2011-09-22,84200,0,0
2011-09-23,85200,0,0
2011-09-24,85900,0,0
2011-09-25,86400,0,0
2011-09-26,87100,0,0
2011-09-27,87600,0,0
2011-09-28,88200,0,0
2011-09-29,89100,0,0
2011-09-30,90100,0,0
2011-10-01,91200,0,0
2011-10-02,92000,0,0
2011-10-03,93000,0,0
2011-10-04,93300,0,0
2011-10-05,93800,0,0
2011-10-06,94500,0,0
2011-10-07,95200,0,0
2011-10-08,95600,0,0
2011-10-09,96400,0,0
2011-10-10,97000,0,0
2011-10-11,97700,0,0
2011-10-12,98300,0,0
2011-10-13,98600,0,0
2011-10-14,99200,0,0
2011-10-15,99800,0,0
2011-10-16,100600,0,0
2011-10-17,101400,0,0
2011-10-18,101700,0,0
2011-10-19,102200,0,0
2011-10-20,102600,0,0
2011-10-21,103200,0,0
2011-10-22,103500,0,0
2011-10-23,104300,0,0
2011-10-24,105000,0,0
2011-10-25,105400,0,0
2011-10-26,105800,0,0
2011-10-27,106500,0,0
2011-10-28,107100,0,0
2011-10-29,107900,0,0
2011-10-30,108900,0,0
2011-10-31,109600,0,0
2011-11-01,110100,0,0
2011-11-02,110600,0,0
2011-11-03,111000,0,0
2011-11-04,111500,0,0
2011-11-05,112400,0,0
2011-11-06,113100,0,0
2011-11-07,113700,0,0
2011-11-08,114100,0,0
2011-11-09,114500,0,0
2011-11-10,114800,0,0
2011-11-11,115300,0,0
2011-11-12,116100,0,0
2011-11-13,116800,0,0
2011-11-14,117100,0,0
2011-11-15,117300,0,0
2011-11-16,118000,0,0
2011-11-17,118300,0,0
2011-11-18,118600,0,0
2011-11-19,119300,0,0
2011-11-20,119800,0,0
2011-11-21,120100,0,0
2011-11-22,120500,0,0
2011-11-23,120800,0,0
2011-11-24,121100,0,0
2011-11-25,121700,0,0
2011-11-26,122500,0,0
2011-11-27,123000,0,0
2011-11-28,123400,0,0
2011-11-29,124000,0,0
2011-11-30,124400,0,0
2011-12-01,124600,0,0
2011-12-02,124900,0,0
2011-12-03,125600,0,0
2011-12-04,126000,0,0
2011-12-05,126200,0,0
2011-12-06,126500,0,0
2011-12-07,126700,0,0
2011-12-08,127100,0,0
2011-12-09,127400,0,0
2011-12-10,128100,0,0
2011-12-11,128400,0,0
2011-12-12,128600,0,0
2011-12-13,128800,0,0
2011-12-14,129100,0,0
2011-12-15,129300,0,0
2011-12-16,129800,0,0
2011-12-17,130500,0,0
2011-12-18,130900,0,0
2011-12-19,131200,0,0
2011-12-20,131700,0,0
2011-12-21,131800,0,0
2011-12-22,132300,0,0
2011-12-23,132800,0,0
2011-12-24,133400,0,0
2011-12-25,133700,0,0
2011-12-26,134200,0,0
2011-12-27,134800,0,0
2011-12-28,135600,0,0
2011-12-29,135900,0,0
2011-12-30,136300,0,0
2011-12-31,136700,0,0
2012-01-01,137200,0,0
2012-01-02,137800,0,0
2012-01-03,138500,0,0
2012-01-04,138700,0,0
2012-01-05,138900,0,0
2012-01-06,139100,0,0
2012-01-07,139700,0,0
2012-01-08,140200,0,0
2012-01-09,140600,0,0
2012-01-10,140900,0,0
2012-01-11,141200,0,0
2012-01-12,141500,0,0
2012-01-13,141700,0,0
2012-01-14,142100,0,0
2012-01-15,142500,0,0
2012-01-16,143100,0,0
2012-01-17,143500,0,0
2012-01-18,143700,0,0
2012-01-19,144100,0,0
2012-01-20,144500,0,0
2012-01-21,144900,0,0
2012-01-22,145000,0,0
2012-01-23,145200,0,0
2012-01-24,145300,0,0
2012-01-25,145500,0,0
2012-01-26,145800,0,0
2012-01-27,146200,0,0
2012-01-28,146500,0,0
2012-01-29,146900,0,0
2012-01-30,147200,0,0
2012-01-31,147700,0,0
2012-02-01,148000,0,0
2012-02-02,148200,0,0
2012-02-03,148400,0,0
2012-02-04,148800,0,0
2012-02-05,149200,0,0
2012-02-06,149500,0,0
2012-02-07,149800,0,0
2012-02-08,150000,0,0
2012-02-09,150200,0,0
2012-02-10,150500,0,0
2012-02-11,150700,0,0
2012-02-12,151100,0,0
2012-02-13,151300,0,0
2012-02-14,151500,0,0
2012-02-15,151800,0,0
2012-02-16,152000,0,0
2012-02-17,152300,0,0
2012-02-18,152700,0,0
2012-02-19,153200,0,0
2012-02-20,153500,0,0
2012-02-21,153800,0,0
2012-02-22,154000,0,0
2012-02-23,154200,0,0
2012-02-24,154300,0,0
2012-02-25,154600,0,0
2012-02-26,154900,0,0
2012-02-27,155100,0,0
2012-02-28,155200,0,0
2012-02-29,155400,0,0
2012-03-01,155600,0,0
2012-03-02,156200,0,0
2012-03-03,156700,0,0
2012-03-04,156800,0,0
2012-03-05,156900,0,0
2012-03-06,157300,0,0
2012-03-07,157800,0,0
2012-03-08,158200,0,0
2012-03-09,158800,0,0
2012-03-10,159200,0,0
2012-03-11,159700,0,0
2012-03-12,160100,0,0
2012-03-13,160600,0,0
2012-03-14,160900,0,0
2012-03-15,161100,0,0
2012-03-16,161300,0,0
2012-03-17,161900,0,0
2012-03-18,162300,0,0
2012-03-19,162400,0,0
2012-03-20,162700,0,0
2012-03-21,163000,0,0
2012-03-22,163000,0,0
2012-03-23,163200,0,0
2012-03-24,163400,0,0
2012-03-25,163800,0,0
2012-03-26,164200,0,0
2012-03-27,164500,0,0
2012-03-28,164700,0,0
2012-03-29,164900,0,0
2012-03-30,165300,0,0
2012-03-31,165700,0,0
2012-04-01,166000,0,0
2012-04-02,166100,0,0
2012-04-03,166300,0,0
2012-04-04,166500,0,0
2012-04-05,166900,0,0
2012-04-06,167200,0,0
2012-04-07,167600,0,0
2012-04-08,167900,0,0
2012-04-09,168300,0,0
2012-04-10,168700,0,0
2012-04-11,169000,0,0
2012-04-12,169300,0,0
2012-04-13,169600,0,0
2012-04-14,170000,0,0
2012-04-15,170500,0,0
2012-04-16,170900,0,0
2012-04-17,171100,0,0
2012-04-18,171200,0,0
2012-04-19,171400,0,0
2012-04-20,171500,0,0
2012-04-21,171900,0,0
2012-04-22,172600,0,0
2012-04-23,172700,0,0
2012-04-24,172800,0,0
2012-04-25,173000,0,0
2012-04-26,173200,0,0
2012-04-27,173400,0,0
2012-04-28,173900,0,0
2012-04-29,174400,0,0
2012-04-30,174600,0,0
2012-05-01,174700,0,0
2012-05-02,174900,0,0
2012-05-03,175300,0,0
2012-05-04,175400,0,0
2012-05-05,175900,0,0
2012-05-06,176300,0,0
2012-05-07,176300,0,0
2012-05-08,176500,0,0
2012-05-09,176700,0,0
2012-05-10,177000,0,0
2012-05-11,177000,0,0
2012-05-12,177300,0,0
2012-05-13,177600,0,0
2012-05-14,177800,0,0
2012-05-15,178000,0,0
2012-05-16,178500,0,0
2012-05-17,178900,0,0
2012-05-18,179200,0,0
2012-05-19,179500,0,0
2012-05-20,179800,0,0
2012-05-21,180000,0,0
2012-05-22,180000,0,0
2012-05-23,180300,0,0
2012-05-24,180400,0,0
2012-05-25,180600,0,0
2012-05-26,180800,0,0
2012-05-27,181000,0,0
2012-05-28,181500,0,0
2012-05-29,181600,0,0
2012-05-30,182000,0,0
2012-05-31,182500,0,0
2012-06-01,182800,0,0
2012-06-02,183300,0,0
2012-06-03,183800,0,0
2012-06-04,184200,0,0
2012-06-05,184300,0,0
2012-06-06,184600,0,0
2012-06-07,184700,0,0
2012-06-08,185200,0,0
2012-06-09,185800,0,0
