Date,PS3 player count,PS4 player count,
2014-11-08,100,0,
2014-11-09,100,0,
2014-11-10,100,0,
2014-11-11,100,0,
2014-11-12,100,0,
2014-11-13,100,0,
2014-11-14,100,100,
2014-11-15,100,100,
2014-11-16,100,300,
2014-11-17,200,500,
2014-11-18,3600,10600,
2014-11-19,7900,26300,
2014-11-20,10900,35600,
2014-11-21,14600,44100,
2014-11-22,20400,54400,
2014-11-23,25600,62400,
2014-11-24,29300,66300,
2014-11-25,31100,70500,
2014-11-26,35100,79700,
2014-11-27,39300,87400,
2014-11-28,44300,99000,
2014-11-29,49200,113400,
2014-11-30,53000,125000,
2014-12-01,54800,131700,
2014-12-02,56900,137400,
2014-12-03,58300,142300,
2014-12-04,60400,148500,
2014-12-05,62700,154000,
2014-12-06,67400,163000,
2014-12-07,71000,171700,
2014-12-08,72500,176600,
2014-12-09,74300,180700,
2014-12-10,76200,184600,
2014-12-11,77500,189300,
2014-12-12,79500,194900,
2014-12-13,82700,203800,
2014-12-14,86200,211400,
2014-12-15,88200,216000,
2014-12-16,89700,220400,
2014-12-17,91400,225100,
2014-12-18,92900,229500,
2014-12-19,95000,234500,
2014-12-20,98800,243100,
2014-12-21,102200,252900,
2014-12-22,105400,260300,
2014-12-23,108800,267900,
2014-12-24,115500,278900,
2014-12-25,150900,325000,
2014-12-26,174800,358800,
2014-12-27,189900,385300,
2014-12-28,201700,416700,
2014-12-29,210200,444600,
2014-12-30,218600,472500,
2014-12-31,226000,494100,
2015-01-01,233300,515000,
2015-01-02,239000,534300,
2015-01-03,244200,552600,
2015-01-04,249200,568600,
2015-01-05,252400,581100,
2015-01-06,257000,590200,
2015-01-07,260500,599700,
2015-01-08,262700,606800,
2015-01-09,265400,615700,
2015-01-10,270300,628400,
2015-01-11,274200,640200,
2015-01-12,275900,647200,
2015-01-13,278000,653500,
2015-01-14,278900,659000,
2015-01-15,280200,663600,
2015-01-16,281700,669100,
2015-01-17,284600,677800,
2015-01-18,287900,687600,
2015-01-19,290400,694400,
2015-01-20,291900,699000,
2015-01-21,292900,703400,
2015-01-22,294200,707900,
2015-01-23,296100,712800,
2015-01-24,299000,721800,
2015-01-25,301400,730100,
2015-01-26,302600,734500,
2015-01-27,304000,738600,
2015-01-28,304900,742700,
2015-01-29,305900,746100,
2015-01-30,307200,750800,
2015-01-31,310500,757600,
2015-02-01,313100,764200,
2015-02-02,314200,767400,
2015-02-03,315200,771000,
2015-02-04,316400,774700,
2015-02-05,317300,777500,
2015-02-06,318700,781600,
2015-02-07,322100,788100,
2015-02-08,325100,795500,
2015-02-09,327100,799000,
2015-02-10,327700,802000,
2015-02-11,328800,805100,
2015-02-12,329700,808900,
2015-02-13,331000,813200,
2015-02-14,334500,821800,
2015-02-15,338400,833900,
2015-02-16,341700,843200,
2015-02-17,343900,849300,
2015-02-18,345600,854700,
2015-02-19,347100,859900,
2015-02-20,348900,864000,
2015-02-21,351600,871400,
2015-02-22,354000,877900,
2015-02-23,355200,881100,
2015-02-24,356500,884100,
2015-02-25,357200,887100,
2015-02-26,358000,890900,
2015-02-27,359400,895400,
