Date,'',PS4 player count,
2014-10-25,,100,
2014-10-26,,300,
2014-10-27,,600,
2014-10-28,,2400,
2014-10-29,,4800,
2014-10-30,,7500,
2014-10-31,,11300,
2014-11-01,,15800,
2014-11-02,,20100,
2014-11-03,,23800,
2014-11-04,,26300,
2014-11-05,,29100,
2014-11-06,,32000,
2014-11-07,,34600,
2014-11-08,,38000,
2014-11-09,,42100,
2014-11-10,,45100,
2014-11-11,,48000,
2014-11-12,,50100,
2014-11-13,,52500,
2014-11-14,,54500,
2014-11-15,,56800,
2014-11-16,,59500,
2014-11-17,,61800,
2014-11-18,,64900,
2014-11-19,,66600,
2014-11-20,,68000,
2014-11-21,,69900,
2014-11-22,,71700,
2014-11-23,,73500,
2014-11-24,,74500,
2014-11-25,,75700,
2014-11-26,,77400,
2014-11-27,,78500,
2014-11-28,,79900,
2014-11-29,,81800,
2014-11-30,,83400,
2014-12-01,,84400,
2014-12-02,,85400,
2014-12-03,,86300,
2014-12-04,,87600,
2014-12-05,,88800,
2014-12-06,,90600,
2014-12-07,,92300,
2014-12-08,,93200,
2014-12-09,,94200,
2014-12-10,,94700,
2014-12-11,,95500,
2014-12-12,,96300,
2014-12-13,,97500,
2014-12-14,,99000,
2014-12-15,,100100,
2014-12-16,,101000,
2014-12-17,,102200,
2014-12-18,,103600,
2014-12-19,,104600,
2014-12-20,,106300,
2014-12-21,,107800,
2014-12-22,,109600,
2014-12-23,,110700,
2014-12-24,,112000,
2014-12-25,,113600,
2014-12-26,,114200,
2014-12-27,,115400,
2014-12-28,,117600,
2014-12-29,,120000,
2014-12-30,,122300,
2014-12-31,,124600,
2015-01-01,,126300,
2015-01-02,,128100,
2015-01-03,,130700,
2015-01-04,,132400,
2015-01-05,,134100,
2015-01-06,,136300,
2015-01-07,,138000,
2015-01-08,,139300,
2015-01-09,,140800,
2015-01-10,,142600,
2015-01-11,,144500,
2015-01-12,,145900,
2015-01-13,,146800,
2015-01-14,,148200,
2015-01-15,,149500,
2015-01-16,,151000,
2015-01-17,,152400,
2015-01-18,,153900,
2015-01-19,,155100,
2015-01-20,,156000,
2015-01-21,,157100,
2015-01-22,,158300,
2015-01-23,,159200,
2015-01-24,,160600,
2015-01-25,,161700,
2015-01-26,,162700,
2015-01-27,,163800,
2015-01-28,,164700,
2015-01-29,,165900,
2015-01-30,,167400,
2015-01-31,,168800,
2015-02-01,,170300,
2015-02-02,,171500,
2015-02-03,,172800,
2015-02-04,,174100,
2015-02-05,,175000,
2015-02-06,,175900,
2015-02-07,,177500,
2015-02-08,,179800,
2015-02-09,,180400,
2015-02-10,,181800,
2015-02-11,,183000,
2015-02-12,,184200,
2015-02-13,,185100,
2015-02-14,,186700,
2015-02-15,,188200,
2015-02-16,,189400,
2015-02-17,,190500,
2015-02-18,,191600,
2015-02-19,,192700,
2015-02-20,,194200,
2015-02-21,,196300,
2015-02-22,,198200,
2015-02-23,,199800,
2015-02-24,,201100,
2015-02-25,,202300,
2015-02-26,,203500,
2015-02-27,,205400,
2015-02-28,,207200,
2015-03-01,,208700,
2015-03-02,,209700,
2015-03-03,,210900,
2015-03-04,,212300,
2015-03-05,,213300,
2015-03-06,,214900,
2015-03-07,,216800,
2015-03-08,,218400,
2015-03-09,,220000,
2015-03-10,,221500,
2015-03-11,,223200,
2015-03-12,,224800,
2015-03-13,,226400,
2015-03-14,,228600,
2015-03-15,,230200,
2015-03-16,,231500,
2015-03-17,,233100,
2015-03-18,,234000,
2015-03-19,,235100,
2015-03-20,,236200,
2015-03-21,,238000,
2015-03-22,,239600,
2015-03-23,,241100,
2015-03-24,,242600,
2015-03-25,,243900,
2015-03-26,,245000,
2015-03-27,,245900,
2015-03-28,,247200,
2015-03-29,,248300,
2015-03-30,,249500,
2015-03-31,,250800,
2015-04-01,,251800,
2015-04-02,,253100,
2015-04-03,,254200,
2015-04-04,,255600,
2015-04-05,,256600,
2015-04-06,,257500,
2015-04-07,,258500,
2015-04-08,,259300,
2015-04-09,,260200,
2015-04-10,,261000,
2015-04-11,,262200,
2015-04-12,,263300,
2015-04-13,,264200,
2015-04-14,,265000,
2015-04-15,,265800,
2015-04-16,,266500,
2015-04-17,,266900,
2015-04-18,,267700,
2015-04-19,,269000,
2015-04-20,,270100,
2015-04-21,,271100,
2015-04-22,,271800,
2015-04-23,,272900,
2015-04-24,,273700,
2015-04-25,,274800,
