Date,'',PS4 player count,
2015-08-27,,0,
2015-08-28,,200,
2015-08-29,,600,
2015-08-30,,1000,
2015-08-31,,1900,
2015-09-01,,10700,
2015-09-02,,18500,
2015-09-03,,26400,
2015-09-04,,34800,
2015-09-05,,43600,
2015-09-06,,54400,
2015-09-07,,64700,
2015-09-08,,73300,
2015-09-09,,82000,
2015-09-10,,88400,
2015-09-11,,97300,
2015-09-12,,108000,
2015-09-13,,117700,
2015-09-14,,124600,
2015-09-15,,133100,
2015-09-16,,140400,
2015-09-17,,147200,
2015-09-18,,154100,
2015-09-19,,163600,
2015-09-20,,172800,
2015-09-21,,179900,
2015-09-22,,186900,
2015-09-23,,193700,
2015-09-24,,199500,
2015-09-25,,206500,
2015-09-26,,215500,
2015-09-27,,223600,
2015-09-28,,230000,
2015-09-29,,236300,
2015-09-30,,241800,
2015-10-01,,248000,
2015-10-02,,254300,
2015-10-03,,262800,
2015-10-04,,269800,
2015-10-05,,275400,
2015-10-06,,280800,
2015-10-07,,285400,
2015-10-08,,289600,
2015-10-09,,294700,
2015-10-10,,301100,
2015-10-11,,307700,
2015-10-12,,312500,
2015-10-13,,318100,
2015-10-14,,323300,
2015-10-15,,328400,
2015-10-16,,334100,
2015-10-17,,341700,
2015-10-18,,348300,
2015-10-19,,352200,
2015-10-20,,356300,
2015-10-21,,359800,
2015-10-22,,364100,
2015-10-23,,368800,
2015-10-24,,374300,
2015-10-25,,379900,
2015-10-26,,384000,
2015-10-27,,388000,
2015-10-28,,391900,
2015-10-29,,395800,
2015-10-30,,401200,
2015-10-31,,406900,
2015-11-01,,412100,
2015-11-02,,415200,
2015-11-03,,419400,
2015-11-04,,423200,
2015-11-05,,427600,
2015-11-06,,431500,
2015-11-07,,436500,
2015-11-08,,441300,
2015-11-09,,444600,
2015-11-10,,448600,
2015-11-11,,452100,
2015-11-12,,455200,
2015-11-13,,458100,
2015-11-14,,461900,
2015-11-15,,465700,
2015-11-16,,467900,
2015-11-17,,471200,
2015-11-18,,473500,
2015-11-19,,476400,
2015-11-20,,480200,
2015-11-21,,482900,
2015-11-22,,486400,
2015-11-23,,488900,
2015-11-24,,491500,
2015-11-25,,494200,
2015-11-26,,497300,
2015-11-27,,501200,
2015-11-28,,505700,
2015-11-29,,510100,
2015-11-30,,513000,
2015-12-01,,515100,
2015-12-02,,517700,
2015-12-03,,520700,
2015-12-04,,523800,
2015-12-05,,527100,
2015-12-06,,531300,
2015-12-07,,534700,
2015-12-08,,537000,
2015-12-09,,539000,
2015-12-10,,541500,
2015-12-11,,544200,
2015-12-12,,548500,
2015-12-13,,552500,
2015-12-14,,554600,
2015-12-15,,557600,
2015-12-16,,560000,
2015-12-17,,562200,
2015-12-18,,564900,
2015-12-19,,568600,
2015-12-20,,572100,
2015-12-21,,574500,
2015-12-22,,578000,
2015-12-23,,581200,
2015-12-24,,585300,
2015-12-25,,592300,
2015-12-26,,599400,
2015-12-27,,605100,
2015-12-28,,610000,
2015-12-29,,615400,
2015-12-30,,619500,
2015-12-31,,624400,
2016-01-01,,628200,
2016-01-02,,632300,
2016-01-03,,637300,
2016-01-04,,640000,
2016-01-05,,644200,
2016-01-06,,647500,
2016-01-07,,651000,
2016-01-08,,654100,
2016-01-09,,658700,
2016-01-10,,663400,
2016-01-11,,666800,
2016-01-12,,670100,
2016-01-13,,672400,
2016-01-14,,675100,
2016-01-15,,678100,
2016-01-16,,682600,
2016-01-17,,686600,
2016-01-18,,689600,
2016-01-19,,692000,
2016-01-20,,694400,
2016-01-21,,697200,
2016-01-22,,700300,
2016-01-23,,705700,
2016-01-24,,709600,
2016-01-25,,712600,
2016-01-26,,715800,
2016-01-27,,719300,
2016-01-28,,721300,
2016-01-29,,724100,
2016-01-30,,727800,
2016-01-31,,732100,
2016-02-01,,735200,
2016-02-02,,738400,
2016-02-03,,741500,
2016-02-04,,743900,
2016-02-05,,746700,
2016-02-06,,750500,
2016-02-07,,754800,
2016-02-08,,757500,
2016-02-09,,760800,
2016-02-10,,763000,
2016-02-11,,765300,
2016-02-12,,767900,
2016-02-13,,771700,
2016-02-14,,775400,
2016-02-15,,778300,
2016-02-16,,781100,
2016-02-17,,783400,
2016-02-18,,786000,
2016-02-19,,788500,
2016-02-20,,792000,
2016-02-21,,795800,
2016-02-22,,798600,
2016-02-23,,800600,
2016-02-24,,802800,
2016-02-25,,805600,
2016-02-26,,808000,
2016-02-27,,811200,
2016-02-28,,815400,
2016-02-29,,817900,
2016-03-01,,820300,
2016-03-02,,823400,
2016-03-03,,826000,
2016-03-04,,829100,
2016-03-05,,832700,
2016-03-06,,836300,
2016-03-07,,838600,
2016-03-08,,841100,
2016-03-09,,843200,
2016-03-10,,845800,
2016-03-11,,848800,
2016-03-12,,852400,
2016-03-13,,856200,
2016-03-14,,858700,
2016-03-15,,861300,
2016-03-16,,863200,
2016-03-17,,865400,
2016-03-18,,867300,
2016-03-19,,870700,
2016-03-20,,873500,
2016-03-21,,876700,
2016-03-22,,879300,
2016-03-23,,882600,
2016-03-24,,885200,
2016-03-25,,888400,
2016-03-26,,891800,
2016-03-27,,894700,
2016-03-28,,897400,
2016-03-29,,900400,
2016-03-30,,902500,
2016-03-31,,904600,
2016-04-01,,906300,
2016-04-02,,909300,
2016-04-03,,912300,
2016-04-04,,914300,
2016-04-05,,916500,
2016-04-06,,918500,
2016-04-07,,920700,
2016-04-08,,922700,
2016-04-09,,925900,
2016-04-10,,929100,
2016-04-11,,931200,
2016-04-12,,932900,
2016-04-13,,934500,
2016-04-14,,936500,
2016-04-15,,937700,
2016-04-16,,940400,
2016-04-17,,943000,
2016-04-18,,944700,
2016-04-19,,947200,
2016-04-20,,949200,
2016-04-21,,951900,
2016-04-22,,954900,
2016-04-23,,958100,
2016-04-24,,961100,
2016-04-25,,964400,
2016-04-26,,967700,
2016-04-27,,970400,
2016-04-28,,973100,
2016-04-29,,976800,
2016-04-30,,980300,
2016-05-01,,983800,
2016-05-02,,987400,
2016-05-03,,990400,
2016-05-04,,993200,
2016-05-05,,995900,
2016-05-06,,998800,
2016-05-07,,1002600,
2016-05-08,,1005500,
2016-05-09,,1008100,
2016-05-10,,1010600,
2016-05-11,,1012900,
2016-05-12,,1015000,
2016-05-13,,1017600,
2016-05-14,,1021000,
2016-05-15,,1024100,
2016-05-16,,1026400,
2016-05-17,,1028500,
2016-05-18,,1031500,
2016-05-19,,1033100,
2016-05-20,,1034900,
2016-05-21,,1037400,
2016-05-22,,1040500,
2016-05-23,,1043000,
2016-05-24,,1045300,
2016-05-25,,1047900,
2016-05-26,,1050800,
2016-05-27,,1052800,
2016-05-28,,1055700,
2016-05-29,,1059300,
2016-05-30,,1061900,
2016-05-31,,1064400,
2016-06-01,,1067200,
2016-06-02,,1069400,
2016-06-03,,1071700,
2016-06-04,,1074900,
2016-06-05,,1077900,
2016-06-06,,1079900,
2016-06-07,,1082000,
2016-06-08,,1084200,
2016-06-09,,1086300,
2016-06-10,,1088500,
2016-06-11,,1091000,
2016-06-12,,1093500,
2016-06-13,,1096100,
2016-06-14,,1098100,
2016-06-15,,1100700,
2016-06-16,,1102900,
2016-06-17,,1105500,
2016-06-18,,1108600,
2016-06-19,,1111900,
2016-06-20,,1114500,
2016-06-21,,1116300,
2016-06-22,,1118300,
2016-06-23,,1120400,
2016-06-24,,1122300,
2016-06-25,,1124900,
2016-06-26,,1127500,
2016-06-27,,1130400,
2016-06-28,,1134500,
2016-06-29,,1136600,
2016-06-30,,1138700,
2016-07-01,,1141200,
2016-07-02,,1143500,
2016-07-03,,1146400,
2016-07-04,,1148400,
2016-07-05,,1150300,
2016-07-06,,1152400,
2016-07-07,,1154500,
2016-07-08,,1156800,
2016-07-09,,1159600,
2016-07-10,,1162500,
2016-07-11,,1164700,
2016-07-12,,1166800,
2016-07-13,,1169100,
2016-07-14,,1171900,
2016-07-15,,1174300,
2016-07-16,,1177700,
2016-07-17,,1180900,
2016-07-18,,1183700,
2016-07-19,,1186500,
2016-07-20,,1189200,
2016-07-21,,1191900,
2016-07-22,,1194500,
2016-07-23,,1197500,
2016-07-24,,1200100,
2016-07-25,,1203000,
2016-07-26,,1205300,
2016-07-27,,1207700,
2016-07-28,,1209700,
2016-07-29,,1212400,
2016-07-30,,1215100,
2016-07-31,,1217600,
2016-08-01,,1220100,
2016-08-02,,1222200,
2016-08-03,,1224300,
2016-08-04,,1226300,
2016-08-05,,1228700,
2016-08-06,,1230800,
2016-08-07,,1233300,
2016-08-08,,1235400,
2016-08-09,,1237900,
2016-08-10,,1240400,
2016-08-11,,1242900,
2016-08-12,,1245700,
2016-08-13,,1248700,
2016-08-14,,1251400,
2016-08-15,,1253500,
2016-08-16,,1256300,
2016-08-17,,1258100,
2016-08-18,,1260100,
2016-08-19,,1262100,
2016-08-20,,1264200,
2016-08-21,,1266800,
2016-08-22,,1269600,
2016-08-23,,1272400,
2016-08-24,,1273800,
2016-08-25,,1276400,
2016-08-26,,1278300,
2016-08-27,,1280800,
2016-08-28,,1283500,
2016-08-29,,1286500,
2016-08-30,,1289400,
2016-08-31,,1291900,
2016-09-01,,1294100,
2016-09-02,,1296400,
2016-09-03,,1299400,
2016-09-04,,1301100,
2016-09-05,,1303200,
2016-09-06,,1304600,
2016-09-07,,1306600,
2016-09-08,,1308200,
2016-09-09,,1310700,
2016-09-10,,1314000,
2016-09-11,,1316900,
2016-09-12,,1318500,
2016-09-13,,1321100,
2016-09-14,,1324000,
2016-09-15,,1327000,
2016-09-16,,1329600,
2016-09-17,,1333400,
2016-09-18,,1337100,
2016-09-19,,1339300,
2016-09-20,,1341600,
2016-09-21,,1344300,
2016-09-22,,1346500,
2016-09-23,,1348800,
2016-09-24,,1351700,
2016-09-25,,1354400,
2016-09-26,,1355900,
2016-09-27,,1357900,
2016-09-28,,1360200,
2016-09-29,,1362500,
2016-09-30,,1364900,
2016-10-01,,1367500,
2016-10-02,,1370300,
2016-10-03,,1372700,
2016-10-04,,1375000,
2016-10-05,,1377000,
2016-10-06,,1379000,
2016-10-07,,1381400,
2016-10-08,,1384700,
2016-10-09,,1387500,
2016-10-10,,1389800,
2016-10-11,,1392100,
2016-10-12,,1394000,
2016-10-13,,1395600,
2016-10-14,,1397600,
2016-10-15,,1400000,
2016-10-16,,1402600,
2016-10-17,,1404200,
2016-10-18,,1406600,
2016-10-19,,1408300,
2016-10-20,,1410300,
2016-10-21,,1412300,
2016-10-22,,1415800,
2016-10-23,,1418200,
2016-10-24,,1420100,
2016-10-25,,1421900,
2016-10-26,,1423900,
2016-10-27,,1425800,
2016-10-28,,1427600,
2016-10-29,,1429800,
2016-10-30,,1432700,
2016-10-31,,1434400,
2016-11-01,,1436700,
2016-11-02,,1438600,
2016-11-03,,1440300,
2016-11-04,,1442100,
2016-11-05,,1444400,
2016-11-06,,1446500,
2016-11-07,,1448400,
2016-11-08,,1450200,
2016-11-09,,1451900,
2016-11-10,,1453700,
2016-11-11,,1455800,
2016-11-12,,1458600,
2016-11-13,,1461500,
2016-11-14,,1463400,
2016-11-15,,1466100,
2016-11-16,,1467500,
2016-11-17,,1469700,
2016-11-18,,1471600,
2016-11-19,,1474400,
2016-11-20,,1476500,
2016-11-21,,1478000,
2016-11-22,,1479900,
2016-11-23,,1481900,
2016-11-24,,1484400,
2016-11-25,,1487600,
2016-11-26,,1491500,
2016-11-27,,1494400,
2016-11-28,,1496700,
2016-11-29,,1499900,
2016-11-30,,1502700,
2016-12-01,,1505300,
2016-12-02,,1507300,
2016-12-03,,1510500,
2016-12-04,,1512900,
2016-12-05,,1515000,
2016-12-06,,1517000,
2016-12-07,,1519100,
2016-12-08,,1521000,
2016-12-09,,1523000,
2016-12-10,,1525900,
2016-12-11,,1529000,
2016-12-12,,1530400,
2016-12-13,,1531900,
2016-12-14,,1534100,
2016-12-15,,1536100,
2016-12-16,,1538500,
2016-12-17,,1541700,
2016-12-18,,1544600,
2016-12-19,,1547100,
2016-12-20,,1549800,
2016-12-21,,1552300,
2016-12-22,,1554300,
2016-12-23,,1557500,
2016-12-24,,1561600,
2016-12-25,,1566500,
2016-12-26,,1570900,
2016-12-27,,1575500,
2016-12-28,,1579400,
2016-12-29,,1584300,
2016-12-30,,1587500,
2016-12-31,,1591000,
2017-01-01,,1594900,
2017-01-02,,1598500,
2017-01-03,,1601600,
2017-01-04,,1604600,
2017-01-05,,1607400,
2017-01-06,,1610300,
2017-01-07,,1614000,
2017-01-08,,1617500,
2017-01-09,,1620400,
2017-01-10,,1623100,
2017-01-11,,1625100,
2017-01-12,,1627600,
2017-01-13,,1630800,
2017-01-14,,1633900,
2017-01-15,,1637800,
2017-01-16,,1640800,
2017-01-17,,1643000,
2017-01-18,,1646000,
2017-01-19,,1648200,
2017-01-20,,1651100,
2017-01-21,,1654400,
2017-01-22,,1657700,
2017-01-23,,1660100,
2017-01-24,,1662600,
2017-01-25,,1665100,
2017-01-26,,1667400,
2017-01-27,,1669800,
2017-01-28,,1673300,
