Date,'',PS4 player count,
2016-10-04,,0,
2016-10-05,,1000,
2016-10-06,,7000,
2016-10-07,,63800,
2016-10-08,,113900,
2016-10-09,,148100,
2016-10-10,,176500,
2016-10-11,,198900,
2016-10-12,,221400,
2016-10-13,,241300,
2016-10-14,,263700,
2016-10-15,,292000,
2016-10-16,,319300,
2016-10-17,,343300,
2016-10-18,,364600,
2016-10-19,,384100,
2016-10-20,,403700,
2016-10-21,,421600,
2016-10-22,,443900,
2016-10-23,,465600,
2016-10-24,,483000,
2016-10-25,,496100,
2016-10-26,,508900,
2016-10-27,,522700,
2016-10-28,,537200,
2016-10-29,,553400,
2016-10-30,,571800,
2016-10-31,,584200,
2016-11-01,,597400,
2016-11-02,,608900,
2016-11-03,,620400,
2016-11-04,,633400,
2016-11-05,,648500,
2016-11-06,,663600,
2016-11-07,,674900,
2016-11-08,,685600,
2016-11-09,,695500,
2016-11-10,,705700,
2016-11-11,,716500,
2016-11-12,,732800,
2016-11-13,,747900,
2016-11-14,,758500,
2016-11-15,,768900,
2016-11-16,,777800,
2016-11-17,,786000,
2016-11-18,,796500,
2016-11-19,,809400,
2016-11-20,,820900,
2016-11-21,,830300,
2016-11-22,,837800,
2016-11-23,,846600,
2016-11-24,,856600,
2016-11-25,,869500,
2016-11-26,,887300,
2016-11-27,,902100,
2016-11-28,,913700,
2016-11-29,,923000,
2016-11-30,,932000,
2016-12-01,,941900,
2016-12-02,,950800,
2016-12-03,,962200,
2016-12-04,,974100,
2016-12-05,,981900,
2016-12-06,,991400,
2016-12-07,,999600,
2016-12-08,,1008200,
2016-12-09,,1016300,
2016-12-10,,1028000,
2016-12-11,,1040000,
2016-12-12,,1047900,
2016-12-13,,1056200,
2016-12-14,,1063800,
2016-12-15,,1072100,
2016-12-16,,1081200,
2016-12-17,,1092300,
2016-12-18,,1104200,
2016-12-19,,1114300,
2016-12-20,,1123700,
2016-12-21,,1135100,
2016-12-22,,1145600,
2016-12-23,,1156800,
2016-12-24,,1171000,
2016-12-25,,1198000,
2016-12-26,,1221800,
2016-12-27,,1241000,
2016-12-28,,1259200,
2016-12-29,,1276300,
2016-12-30,,1293400,
2016-12-31,,1307500,
2017-01-01,,1321900,
2017-01-02,,1337000,
2017-01-03,,1350500,
2017-01-04,,1361200,
2017-01-05,,1372400,
2017-01-06,,1386300,
2017-01-07,,1400100,
2017-01-08,,1414700,
2017-01-09,,1426400,
2017-01-10,,1435700,
2017-01-11,,1444300,
2017-01-12,,1452500,
2017-01-13,,1462400,
2017-01-14,,1475000,
2017-01-15,,1487400,
2017-01-16,,1496700,
2017-01-17,,1505900,
2017-01-18,,1514600,
2017-01-19,,1523000,
2017-01-20,,1531300,
2017-01-21,,1544100,
2017-01-22,,1557100,
2017-01-23,,1565800,
2017-01-24,,1573300,
2017-01-25,,1581800,
2017-01-26,,1589300,
2017-01-27,,1597800,
2017-01-28,,1608700,
2017-01-29,,1619200,
2017-01-30,,1627400,
2017-01-31,,1635700,
2017-02-01,,1643900,
2017-02-02,,1651800,
2017-02-03,,1659800,
2017-02-04,,1670600,
2017-02-05,,1682000,
2017-02-06,,1688700,
2017-02-07,,1695300,
2017-02-08,,1702400,
2017-02-09,,1709800,
2017-02-10,,1717700,
2017-02-11,,1729300,
2017-02-12,,1740700,
2017-02-13,,1748500,
2017-02-14,,1756300,
2017-02-15,,1765000,
2017-02-16,,1771600,
2017-02-17,,1779500,
2017-02-18,,1791900,
2017-02-19,,1803900,
2017-02-20,,1813800,
2017-02-21,,1821900,
2017-02-22,,1829300,
2017-02-23,,1836700,
2017-02-24,,1845100,
2017-02-25,,1856500,
2017-02-26,,1866500,
2017-02-27,,1874600,
2017-02-28,,1882900,
2017-03-01,,1889900,
2017-03-02,,1898300,
2017-03-03,,1905900,
2017-03-04,,1916100,
2017-03-05,,1926000,
2017-03-06,,1933000,
2017-03-07,,1939900,
2017-03-08,,1946700,
2017-03-09,,1951900,
2017-03-10,,1958700,
2017-03-11,,1966500,
2017-03-12,,1975200,
2017-03-13,,1982100,
2017-03-14,,1989300,
2017-03-15,,1995500,
2017-03-16,,2001800,
2017-03-17,,2008400,
2017-03-18,,2017200,
2017-03-19,,2027300,
2017-03-20,,2033600,
2017-03-21,,2039700,
2017-03-22,,2046400,
2017-03-23,,2052700,
2017-03-24,,2058800,
2017-03-25,,2066300,
2017-03-26,,2074800,
2017-03-27,,2080400,
2017-03-28,,2085600,
2017-03-29,,2091500,
2017-03-30,,2096900,
2017-03-31,,2102800,
2017-04-01,,2111200,
2017-04-02,,2120300,
2017-04-03,,2127500,
2017-04-04,,2133300,
2017-04-05,,2139300,
2017-04-06,,2145200,
2017-04-07,,2151700,
2017-04-08,,2160000,
2017-04-09,,2167500,
2017-04-10,,2174500,
2017-04-11,,2181100,
2017-04-12,,2187900,
2017-04-13,,2195300,
2017-04-14,,2204000,
2017-04-15,,2211900,
