Date,'',PS4 player count,
2015-05-25,,100,
2015-05-26,,1200,
2015-05-27,,2100,
2015-05-28,,3000,
2015-05-29,,4300,
2015-05-30,,5600,
2015-05-31,,6900,
2015-06-01,,7700,
2015-06-02,,8500,
2015-06-03,,9000,
2015-06-04,,9400,
2015-06-05,,10000,
2015-06-06,,10700,
2015-06-07,,11500,
2015-06-08,,11800,
2015-06-09,,12300,
2015-06-10,,12500,
2015-06-11,,12700,
2015-06-12,,13300,
2015-06-13,,13900,
2015-06-14,,14700,
2015-06-15,,15300,
2015-06-16,,15600,
2015-06-17,,15800,
2015-06-18,,16300,
2015-06-19,,16600,
2015-06-20,,17000,
2015-06-21,,17300,
2015-06-22,,17400,
2015-06-23,,17600,
2015-06-24,,17900,
2015-06-25,,18000,
2015-06-26,,18400,
2015-06-27,,18600,
2015-06-28,,19100,
2015-06-29,,19300,
2015-06-30,,19400,
2015-07-01,,19700,
2015-07-02,,20000,
2015-07-03,,20300,
2015-07-04,,20600,
2015-07-05,,20800,
2015-07-06,,20900,
2015-07-07,,21300,
2015-07-08,,21500,
2015-07-09,,22000,
2015-07-10,,22200,
2015-07-11,,22500,
2015-07-12,,22700,
2015-07-13,,23000,
2015-07-14,,23200,
2015-07-15,,23600,
2015-07-16,,23700,
2015-07-17,,23800,
2015-07-18,,24300,
2015-07-19,,24800,
2015-07-20,,24900,
2015-07-21,,24900,
2015-07-22,,25200,
2015-07-23,,25500,
2015-07-24,,25600,
2015-07-25,,25900,
2015-07-26,,26100,
2015-07-27,,26500,
2015-07-28,,27000,
2015-07-29,,27400,
2015-07-30,,27600,
2015-07-31,,28100,
2015-08-01,,28400,
2015-08-02,,28700,
2015-08-03,,28900,
2015-08-04,,29100,
2015-08-05,,29400,
2015-08-06,,29700,
2015-08-07,,29900,
2015-08-08,,30300,
2015-08-09,,30400,
2015-08-10,,30700,
2015-08-11,,31000,
2015-08-12,,31400,
2015-08-13,,31700,
2015-08-14,,31700,
2015-08-15,,32000,
2015-08-16,,32300,
2015-08-17,,32500,
2015-08-18,,32600,
2015-08-19,,32800,
2015-08-20,,33100,
2015-08-21,,33200,
2015-08-22,,33500,
2015-08-23,,33700,
2015-08-24,,33900,
2015-08-25,,33900,
2015-08-26,,34000,
2015-08-27,,34100,
2015-08-28,,34300,
2015-08-29,,34500,
2015-08-30,,34600,
2015-08-31,,34600,
2015-09-01,,34600,
2015-09-02,,34900,
2015-09-03,,34900,
2015-09-04,,35000,
2015-09-05,,35300,
2015-09-06,,35600,
2015-09-07,,35800,
2015-09-08,,36000,
2015-09-09,,36000,
2015-09-10,,36200,
2015-09-11,,36400,
2015-09-12,,36600,
2015-09-13,,36700,
2015-09-14,,36800,
2015-09-15,,37000,
2015-09-16,,37000,
2015-09-17,,37100,
2015-09-18,,37200,
2015-09-19,,37300,
2015-09-20,,37400,
2015-09-21,,37500,
2015-09-22,,37600,
2015-09-23,,37800,
2015-09-24,,37900,
2015-09-25,,37900,
2015-09-26,,38300,
2015-09-27,,38600,
2015-09-28,,38900,
2015-09-29,,38900,
2015-09-30,,39100,
2015-10-01,,39400,
2015-10-02,,39500,
2015-10-03,,39900,
2015-10-04,,40300,
2015-10-05,,40400,
2015-10-06,,40700,
2015-10-07,,40900,
2015-10-08,,40900,
2015-10-09,,41100,
2015-10-10,,41500,
2015-10-11,,41700,
2015-10-12,,41900,
2015-10-13,,42100,
2015-10-14,,42400,
2015-10-15,,42700,
2015-10-16,,43000,
2015-10-17,,43400,
2015-10-18,,43800,
2015-10-19,,44100,
2015-10-20,,44500,
2015-10-21,,44500,
2015-10-22,,44800,
2015-10-23,,44900,
2015-10-24,,45300,
2015-10-25,,45700,
2015-10-26,,45800,
2015-10-27,,46000,
2015-10-28,,46100,
2015-10-29,,46200,
2015-10-30,,46400,
2015-10-31,,46600,
2015-11-01,,47000,
2015-11-02,,47100,
2015-11-03,,59100,
2015-11-04,,90800,
2015-11-05,,125700,
2015-11-06,,157600,
2015-11-07,,197500,
2015-11-08,,234800,
2015-11-09,,259100,
2015-11-10,,282100,
2015-11-11,,305500,
2015-11-12,,325400,
2015-11-13,,346300,
2015-11-14,,373300,
2015-11-15,,396100,
2015-11-16,,411400,
2015-11-17,,426300,
2015-11-18,,440800,
