Date,'',PS4 player count,
2020-05-16,,100,
2020-05-17,,100,
2020-05-18,,100,
2020-05-19,,200,
2020-05-20,,800,
2020-05-21,,2100,
2020-05-22,,41700,
2020-05-23,,73700,
2020-05-24,,96200,
2020-05-25,,115100,
2020-05-26,,131300,
2020-05-27,,144800,
2020-05-28,,157700,
2020-05-29,,172800,
2020-05-30,,185900,
2020-05-31,,198600,
2020-06-01,,207200,
2020-06-02,,214600,
2020-06-03,,222700,
2020-06-04,,230100,
2020-06-05,,236400,
2020-06-06,,244400,
2020-06-07,,250200,
2020-06-08,,255000,
2020-06-09,,259500,
2020-06-10,,263400,
2020-06-11,,267400,
2020-06-12,,273600,
2020-06-13,,278800,
2020-06-14,,282200,
2020-06-15,,286300,
2020-06-16,,289800,
2020-06-17,,292800,
2020-06-18,,295100,
2020-06-19,,297600,
2020-06-20,,301000,
2020-06-21,,304800,
2020-06-22,,307800,
2020-06-23,,310100,
2020-06-24,,312500,
2020-06-25,,314400,
2020-06-26,,316700,
2020-06-27,,319500,
2020-06-28,,322200,
2020-06-29,,324200,
2020-06-30,,326200,
2020-07-01,,328600,
2020-07-02,,330800,
2020-07-03,,333800,
2020-07-04,,336300,
2020-07-05,,338500,
2020-07-06,,340300,
2020-07-07,,342200,
2020-07-08,,344100,
2020-07-09,,345900,
2020-07-10,,347300,
2020-07-11,,349600,
2020-07-12,,351200,
2020-07-13,,352300,
2020-07-14,,353700,
2020-07-15,,355500,
2020-07-16,,356900,
2020-07-17,,358000,
2020-07-18,,359500,
2020-07-19,,360500,
2020-07-20,,361700,
2020-07-21,,362700,
2020-07-22,,364300,
2020-07-23,,367300,
2020-07-24,,369900,
2020-07-25,,372500,
2020-07-26,,376000,
2020-07-27,,378300,
2020-07-28,,380500,
2020-07-29,,382000,
2020-07-30,,383500,
2020-07-31,,385600,
2020-08-01,,388600,
2020-08-02,,391200,
2020-08-03,,392700,
2020-08-04,,394000,
2020-08-05,,396400,
2020-08-06,,397600,
2020-08-07,,398700,
2020-08-08,,400400,
2020-08-09,,401300,
2020-08-10,,401900,
2020-08-11,,402800,
2020-08-12,,403600,
2020-08-13,,404400,
2020-08-14,,405100,
2020-08-15,,406300,
2020-08-16,,406900,
2020-08-17,,407700,
2020-08-18,,408700,
2020-08-19,,409700,
2020-08-20,,410600,
2020-08-21,,411500,
2020-08-22,,412200,
2020-08-23,,413400,
2020-08-24,,414500,
2020-08-25,,415300,
2020-08-26,,416100,
2020-08-27,,417200,
2020-08-28,,418500,
2020-08-29,,420300,
2020-08-30,,421900,
2020-08-31,,422600,
2020-09-01,,423800,
2020-09-02,,425100,
2020-09-03,,425900,
2020-09-04,,426800,
2020-09-05,,427800,
2020-09-06,,429300,
2020-09-07,,430300,
2020-09-08,,431100,
2020-09-09,,431700,
2020-09-10,,432300,
2020-09-11,,433000,
2020-09-12,,433700,
2020-09-13,,434400,
2020-09-14,,434900,
2020-09-15,,435700,
2020-09-16,,436300,
2020-09-17,,436800,
2020-09-18,,437300,
2020-09-19,,437700,
2020-09-20,,438100,
2020-09-21,,438500,
2020-09-22,,438900,
2020-09-23,,439400,
2020-09-24,,439900,
2020-09-25,,440300,
2020-09-26,,440700,
2020-09-27,,441300,
2020-09-28,,441900,
2020-09-29,,442500,
2020-09-30,,442900,
2020-10-01,,443200,
2020-10-02,,443900,
2020-10-03,,444400,
2020-10-04,,445400,
2020-10-05,,446000,
2020-10-06,,446200,
2020-10-07,,446500,
2020-10-08,,446800,
2020-10-09,,447300,
2020-10-10,,448000,
2020-10-11,,448500,
2020-10-12,,448800,
2020-10-13,,449000,
2020-10-14,,449400,
2020-10-15,,449800,
2020-10-16,,450200,
2020-10-17,,451100,
2020-10-18,,451600,
2020-10-19,,452100,
2020-10-20,,452400,
2020-10-21,,452800,
2020-10-22,,453100,
2020-10-23,,453500,
2020-10-24,,454000,
2020-10-25,,454600,
2020-10-26,,455000,
2020-10-27,,455300,
2020-10-28,,455400,
2020-10-29,,455700,
2020-10-30,,456100,
2020-10-31,,456500,
2020-11-01,,456800,
2020-11-02,,457200,
2020-11-03,,457500,
2020-11-04,,457600,
2020-11-05,,458100,
2020-11-06,,458400,
2020-11-07,,459300,
2020-11-08,,459600,
2020-11-09,,460200,
2020-11-10,,460700,
2020-11-11,,461200,
2020-11-12,,461500,
2020-11-13,,462100,
2020-11-14,,462200,
2020-11-15,,462400,
2020-11-16,,462800,
2020-11-17,,463100,
2020-11-18,,463800,
2020-11-19,,464300,
