Date,'',PS4 player count,PS Vita player count
2014-04-01,,4500,0
2014-04-02,,38600,100
2014-04-03,,78400,200
2014-04-04,,120300,400
2014-04-05,,165400,600
2014-04-06,,203900,900
2014-04-07,,227900,1200
2014-04-08,,250600,1200
2014-04-09,,270100,1200
2014-04-10,,287400,1300
2014-04-11,,308500,1300
2014-04-12,,333700,1500
2014-04-13,,359900,1600
2014-04-14,,377100,1800
2014-04-15,,395000,1800
2014-04-16,,409200,2000
2014-04-17,,425700,2100
2014-04-18,,444300,2200
2014-04-19,,462300,2200
2014-04-20,,478600,2200
2014-04-21,,493000,2300
2014-04-22,,503500,2300
2014-04-23,,513600,2300
2014-04-24,,522700,2500
2014-04-25,,534300,2600
2014-04-26,,550000,2700
2014-04-27,,562700,2800
2014-04-28,,572200,2800
2014-04-29,,582300,2900
2014-04-30,,591600,3000
2014-05-01,,601500,3000
2014-05-02,,609900,3000
2014-05-03,,622400,3000
2014-05-04,,636300,3100
2014-05-05,,643500,3200
2014-05-06,,651300,3200
2014-05-07,,656700,3200
2014-05-08,,662000,3200
2014-05-09,,667400,3200
2014-05-10,,675200,3200
2014-05-11,,680500,3300
2014-05-12,,683900,3300
2014-05-13,,688600,3300
2014-05-14,,692000,3400
2014-05-15,,695300,3400
2014-05-16,,698500,3400
2014-05-17,,702300,3400
2014-05-18,,707800,3500
2014-05-19,,710600,3500
2014-05-20,,713400,3500
2014-05-21,,716900,3500
2014-05-22,,720300,3500
2014-05-23,,723500,3500
2014-05-24,,728000,3500
2014-05-25,,732000,3500
2014-05-26,,736100,3500
2014-05-27,,739400,3500
2014-05-28,,743400,3500
2014-05-29,,746600,3500
2014-05-30,,750700,3500
2014-05-31,,754400,3500
2014-06-01,,757600,3500
2014-06-02,,760200,3500
2014-06-03,,762900,3500
2014-06-04,,765800,3500
2014-06-05,,768700,3500
2014-06-06,,771000,3500
2014-06-07,,773800,3500
2014-06-08,,776500,3600
2014-06-09,,778100,3600
2014-06-10,,780300,3600
2014-06-11,,782200,3600
2014-06-12,,784000,3600
2014-06-13,,786100,3600
2014-06-14,,788600,3600
2014-06-15,,790700,3600
2014-06-16,,792500,3600
2014-06-17,,794200,3600
2014-06-18,,796200,3600
2014-06-19,,797600,3600
2014-06-20,,799300,3600
2014-06-21,,801400,3600
2014-06-22,,803600,3700
2014-06-23,,805100,3700
2014-06-24,,806800,3700
2014-06-25,,808300,3700
2014-06-26,,810200,3700
2014-06-27,,811300,3700
2014-06-28,,813000,3700
2014-06-29,,814700,3800
2014-06-30,,816400,3800
2014-07-01,,817900,3800
2014-07-02,,819800,3800
2014-07-03,,821300,3800
2014-07-04,,822800,3800
2014-07-05,,824300,3800
2014-07-06,,825900,3800
2014-07-07,,827300,3800
2014-07-08,,828800,3900
2014-07-09,,830000,3900
2014-07-10,,831300,3900
2014-07-11,,832900,3900
2014-07-12,,834800,3900
2014-07-13,,836600,3900
2014-07-14,,838000,3900
2014-07-15,,839900,3900
2014-07-16,,841400,3900
2014-07-17,,843100,4000
2014-07-18,,844400,4000
2014-07-19,,846100,4000
