Date,PS3 player count,PS4 player count,
2014-03-11,100,0,
2014-03-12,100,100,
2014-03-13,100,100,
2014-03-14,100,600,
2014-03-15,100,1000,
2014-03-16,100,1800,
2014-03-17,200,2600,
2014-03-18,2400,6900,
2014-03-19,6500,17600,
2014-03-20,13900,33700,
2014-03-21,22200,51000,
2014-03-22,32000,69200,
2014-03-23,40300,87200,
2014-03-24,46800,98200,
2014-03-25,53300,110000,
2014-03-26,59600,120100,
2014-03-27,65900,129000,
2014-03-28,71200,138500,
2014-03-29,77800,149500,
2014-03-30,84200,160300,
2014-03-31,88500,168600,
2014-04-01,92700,174700,
2014-04-02,97400,181400,
2014-04-03,101700,187700,
2014-04-04,105500,194900,
2014-04-05,110600,201900,
2014-04-06,115400,210000,
2014-04-07,118200,214500,
2014-04-08,121200,219300,
2014-04-09,124400,223600,
2014-04-10,127600,227600,
2014-04-11,130400,232600,
2014-04-12,134900,238900,
2014-04-13,138400,244400,
2014-04-14,141100,248900,
2014-04-15,143500,252600,
2014-04-16,145900,256300,
2014-04-17,147600,259300,
2014-04-18,150900,263900,
2014-04-19,154100,269700,
2014-04-20,157000,274500,
2014-04-21,159800,278500,
2014-04-22,161000,282200,
2014-04-23,163100,285600,
2014-04-24,165000,289100,
2014-04-25,167000,292100,
2014-04-26,169600,296800,
2014-04-27,172700,301100,
2014-04-28,174900,304400,
2014-04-29,177600,308000,
2014-04-30,179700,311000,
2014-05-01,182700,315000,
2014-05-02,184700,318600,
2014-05-03,187000,322900,
2014-05-04,189900,326400,
2014-05-05,192400,329700,
2014-05-06,193300,333200,
2014-05-07,195000,336300,
2014-05-08,196300,339300,
2014-05-09,198800,342100,
2014-05-10,201800,346400,
2014-05-11,204300,350000,
2014-05-12,206200,352000,
2014-05-13,207400,355000,
2014-05-14,208700,357400,
2014-05-15,209600,359600,
2014-05-16,211100,361800,
2014-05-17,213000,365000,
2014-05-18,215100,368600,
2014-05-19,216400,371300,
2014-05-20,217900,374500,
2014-05-21,219100,377600,
2014-05-22,220200,380800,
2014-05-23,221900,383400,
2014-05-24,224100,386300,
2014-05-25,226100,390600,
2014-05-26,228000,393700,
2014-05-27,229200,396800,
2014-05-28,231000,399300,
2014-05-29,232500,401800,
2014-05-30,234300,403900,
2014-05-31,236000,406200,
2014-06-01,237800,409200,
2014-06-02,239000,410900,
2014-06-03,240000,412900,
2014-06-04,240900,414900,
2014-06-05,242300,417000,
2014-06-06,243600,419000,
2014-06-07,245800,421300,
2014-06-08,247400,424300,
2014-06-09,248900,426300,
2014-06-10,250300,428500,
2014-06-11,252200,430500,
2014-06-12,253800,432600,
2014-06-13,255100,434400,
2014-06-14,256900,437100,
2014-06-15,259100,439500,
2014-06-16,260600,442100,
2014-06-17,262200,444800,
2014-06-18,263700,447500,
2014-06-19,265000,449800,
2014-06-20,266300,452300,
2014-06-21,267800,454600,
2014-06-22,269200,457500,
2014-06-23,270600,459800,
2014-06-24,271400,461800,
2014-06-25,272400,463700,
2014-06-26,273800,465500,
2014-06-27,275100,467700,
2014-06-28,276700,470400,
2014-06-29,278500,472600,
2014-06-30,279600,474200,
2014-07-01,280600,476200,
2014-07-02,281900,478900,
2014-07-03,283300,480600,
2014-07-04,284500,482600,
2014-07-05,285900,485400,
2014-07-06,287200,487500,
2014-07-07,288400,489900,
2014-07-08,290200,492200,
2014-07-09,291200,493900,
2014-07-10,293100,495900,
2014-07-11,294200,497400,
2014-07-12,295500,499400,
2014-07-13,296700,501800,
2014-07-14,297600,503000,
2014-07-15,298300,505200,
2014-07-16,299600,507200,
2014-07-17,300500,509700,
2014-07-18,301600,511800,
2014-07-19,303100,514600,
2014-07-20,304700,517900,
2014-07-21,306000,520900,
2014-07-22,307000,522800,
2014-07-23,308200,524400,
2014-07-24,309600,525900,
2014-07-25,310900,527900,
2014-07-26,312200,529700,
2014-07-27,313300,531600,
2014-07-28,314900,533600,
2014-07-29,316200,535400,
2014-07-30,317400,537100,
2014-07-31,318700,538600,
2014-08-01,319500,540100,
2014-08-02,321100,542400,
2014-08-03,322300,544600,
