Date,PS3 player count,PS4 player count,
2015-08-25,0,100,
2015-08-26,0,300,
2015-08-27,0,1000,
2015-08-28,200,2700,
2015-08-29,200,6100,
2015-08-30,400,8500,
2015-08-31,700,13800,
2015-09-01,4300,56600,
2015-09-02,10400,95400,
2015-09-03,12600,115300,
2015-09-04,15400,131900,
2015-09-05,17900,152300,
2015-09-06,19500,173300,
2015-09-07,21500,194000,
2015-09-08,23300,211000,
2015-09-09,25100,229200,
2015-09-10,26500,247900,
2015-09-11,27800,265000,
2015-09-12,29900,287900,
2015-09-13,31900,313900,
2015-09-14,33700,337100,
2015-09-15,34900,355900,
2015-09-16,36100,372600,
2015-09-17,38100,391100,
2015-09-18,40200,409500,
2015-09-19,42500,433000,
2015-09-20,45000,454600,
2015-09-21,47800,474200,
2015-09-22,49600,491400,
2015-09-23,51600,510100,
2015-09-24,54000,528000,
2015-09-25,56100,545300,
2015-09-26,58100,566700,
2015-09-27,61200,589900,
2015-09-28,63700,608100,
2015-09-29,66200,623900,
2015-09-30,68000,639700,
2015-10-01,70000,655400,
2015-10-02,72200,671400,
2015-10-03,75600,692900,
2015-10-04,79000,715500,
2015-10-05,82200,735100,
2015-10-06,89000,777100,
2015-10-07,92900,804000,
2015-10-08,95900,824700,
2015-10-09,98200,844700,
2015-10-10,101700,867600,
2015-10-11,105000,891500,
2015-10-12,107500,908800,
2015-10-13,109800,924200,
2015-10-14,111800,939100,
2015-10-15,113700,953700,
2015-10-16,115600,967800,
2015-10-17,118200,985800,
2015-10-18,120600,1005300,
2015-10-19,122500,1019000,
2015-10-20,124600,1030800,
2015-10-21,126500,1042400,
2015-10-22,128400,1055700,
2015-10-23,131300,1069800,
2015-10-24,133100,1087200,
2015-10-25,135800,1103600,
2015-10-26,137400,1115500,
2015-10-27,138800,1127400,
2015-10-28,140300,1139100,
2015-10-29,141500,1149900,
2015-10-30,143000,1161000,
2015-10-31,144800,1175000,
2015-11-01,147600,1191100,
2015-11-02,148900,1201600,
2015-11-03,151000,1213300,
2015-11-04,152200,1224200,
2015-11-05,153500,1235100,
2015-11-06,154800,1247000,
2015-11-07,156700,1261000,
2015-11-08,159400,1274700,
2015-11-09,161400,1284000,
2015-11-10,162500,1291800,
2015-11-11,164000,1300100,
2015-11-12,165600,1307700,
2015-11-13,167300,1315800,
2015-11-14,169600,1325200,
2015-11-15,172000,1333200,
2015-11-16,172900,1339200,
2015-11-17,174300,1346500,
2015-11-18,175700,1353100,
2015-11-19,176800,1359600,
2015-11-20,178200,1367000,
2015-11-21,180300,1374700,
2015-11-22,182000,1383900,
2015-11-23,183800,1390600,
2015-11-24,184700,1396800,
2015-11-25,186400,1403200,
2015-11-26,188100,1410800,
2015-11-27,188900,1420000,
2015-11-28,190500,1428800,
2015-11-29,192500,1439700,
2015-11-30,194000,1447600,
2015-12-01,195300,1454400,
2015-12-02,196700,1460700,
2015-12-03,198000,1467500,
2015-12-04,199200,1473700,
2015-12-05,201500,1483100,
2015-12-06,203400,1493000,
2015-12-07,204600,1499600,
2015-12-08,205900,1506700,
2015-12-09,207000,1512300,
2015-12-10,207900,1517100,
2015-12-11,209000,1523100,
2015-12-12,211100,1531800,
2015-12-13,212600,1540800,
2015-12-14,213600,1546900,
2015-12-15,214500,1553400,
2015-12-16,215700,1559300,
2015-12-17,217300,1564500,
2015-12-18,218300,1570000,
2015-12-19,220200,1577700,
2015-12-20,222100,1585100,
2015-12-21,223300,1592300,
2015-12-22,224900,1599400,
2015-12-23,226800,1606200,
2015-12-24,229000,1613700,
2015-12-25,231300,1624600,
2015-12-26,233500,1635700,
2015-12-27,235700,1647000,
2015-12-28,237100,1656000,
2015-12-29,239000,1665600,
2015-12-30,240900,1674200,
2015-12-31,242400,1682800,
2016-01-01,244400,1692600,
2016-01-02,245800,1703500,
2016-01-03,248300,1713800,
2016-01-04,249700,1719800,
2016-01-05,251300,1727500,
2016-01-06,252600,1737000,
2016-01-07,253800,1745100,
2016-01-08,255000,1753100,
2016-01-09,257000,1763200,
2016-01-10,259500,1773000,
2016-01-11,261000,1779200,
2016-01-12,262100,1785900,
2016-01-13,263500,1791800,
2016-01-14,264600,1797500,
2016-01-15,265500,1804200,
2016-01-16,266800,1813100,
2016-01-17,268300,1820700,
2016-01-18,269400,1827200,
2016-01-19,270800,1834300,
2016-01-20,271400,1841100,
2016-01-21,272400,1846500,
2016-01-22,273900,1853100,
2016-01-23,275300,1861800,
2016-01-24,276600,1869400,
2016-01-25,277600,1876600,
2016-01-26,278700,1883800,
2016-01-27,279400,1889800,
2016-01-28,280900,1895500,
2016-01-29,281900,1901700,
2016-01-30,283200,1910400,
2016-01-31,284400,1919400,
2016-02-01,285100,1925000,
2016-02-02,286200,1931600,
2016-02-03,287100,1936500,
2016-02-04,288000,1943000,
2016-02-05,288700,1949500,
2016-02-06,290100,1958200,
2016-02-07,291700,1966600,
2016-02-08,292900,1973100,
2016-02-09,293800,1979800,
2016-02-10,294500,1985400,
2016-02-11,295600,1991800,
2016-02-12,296700,1998200,
2016-02-13,298400,2005600,
2016-02-14,299400,2014600,
2016-02-15,300300,2020500,
2016-02-16,301200,2026400,
2016-02-17,302500,2030800,
2016-02-18,303200,2036100,
2016-02-19,304500,2043000,
2016-02-20,305600,2051000,
2016-02-21,306800,2058900,
2016-02-22,307600,2064800,
2016-02-23,308500,2070500,
2016-02-24,309200,2075900,
2016-02-25,310700,2081800,
2016-02-26,311500,2086900,
2016-02-27,312800,2095000,
2016-02-28,313900,2103100,
2016-02-29,314800,2108700,
2016-03-01,315800,2114600,
2016-03-02,316700,2120100,
2016-03-03,317800,2125600,
2016-03-04,318400,2132100,
2016-03-05,319500,2138800,
2016-03-06,320500,2146400,
2016-03-07,321600,2151900,
2016-03-08,322400,2158500,
2016-03-09,323000,2163900,
2016-03-10,324000,2169000,
2016-03-11,325200,2173900,
2016-03-12,326700,2181900,
2016-03-13,327800,2188900,
2016-03-14,328800,2194500,
2016-03-15,329800,2199100,
2016-03-16,330500,2204000,
2016-03-17,331800,2209800,
2016-03-18,332700,2214700,
2016-03-19,333800,2221100,
2016-03-20,334700,2228500,
2016-03-21,335800,2234500,
2016-03-22,336700,2240700,
2016-03-23,337600,2245200,
2016-03-24,338500,2251000,
2016-03-25,340400,2258000,
2016-03-26,341400,2265000,
2016-03-27,343300,2272700,
2016-03-28,344400,2277900,
2016-03-29,345300,2283500,
2016-03-30,345900,2288400,
2016-03-31,346800,2293200,
2016-04-01,347900,2298300,
2016-04-02,348700,2306200,
2016-04-03,349900,2313300,
2016-04-04,351000,2318600,
2016-04-05,351700,2323200,
2016-04-06,352200,2328300,
2016-04-07,352700,2333600,
2016-04-08,353600,2339100,
2016-04-09,354600,2345700,
2016-04-10,355200,2352500,
2016-04-11,355900,2357000,
2016-04-12,356600,2361300,
2016-04-13,357000,2365200,
2016-04-14,357900,2369300,
2016-04-15,358400,2374000,
2016-04-16,359500,2379600,
2016-04-17,360300,2385900,
2016-04-18,361100,2390700,
2016-04-19,361700,2395100,
2016-04-20,362300,2398200,
2016-04-21,362800,2402500,
2016-04-22,363300,2406800,
2016-04-23,364500,2412400,
2016-04-24,365800,2418500,
2016-04-25,366300,2423200,
2016-04-26,366900,2426700,
2016-04-27,367600,2430100,
2016-04-28,368400,2434500,
2016-04-29,369300,2438900,
2016-04-30,370000,2444500,
2016-05-01,371000,2451300,
2016-05-02,371500,2456000,
2016-05-03,372200,2460000,
2016-05-04,372900,2464000,
2016-05-05,373600,2469200,
2016-05-06,374700,2473700,
2016-05-07,375900,2479300,
2016-05-08,377100,2484300,
2016-05-09,377700,2489600,
2016-05-10,378800,2494200,
2016-05-11,379400,2498100,
2016-05-12,379900,2503000,
2016-05-13,380400,2507100,
2016-05-14,381500,2512800,
2016-05-15,382900,2519800,
2016-05-16,383700,2524100,
2016-05-17,384500,2527800,
2016-05-18,384800,2533000,
2016-05-19,385500,2537000,
2016-05-20,386400,2541400,
2016-05-21,387200,2547700,
2016-05-22,388000,2554000,
2016-05-23,388400,2558000,
2016-05-24,389000,2561600,
2016-05-25,389700,2565900,
2016-05-26,390500,2570100,
2016-05-27,391000,2574000,
2016-05-28,392200,2579800,
2016-05-29,392800,2584900,
2016-05-30,393300,2590100,
2016-05-31,393900,2594300,
2016-06-01,394600,2598200,
2016-06-02,395400,2602400,
2016-06-03,396200,2606400,
2016-06-04,397100,2611600,
2016-06-05,397900,2617300,
2016-06-06,398400,2622200,
2016-06-07,399300,2626800,
2016-06-08,400200,2630700,
2016-06-09,400600,2634800,
2016-06-10,401500,2639200,
2016-06-11,402700,2644200,
2016-06-12,403300,2649500,
2016-06-13,404200,2653600,
2016-06-14,405100,2657900,
2016-06-15,405800,2662200,
2016-06-16,406300,2666300,
2016-06-17,407100,2671100,
2016-06-18,408100,2676700,
2016-06-19,409500,2683000,
2016-06-20,410200,2687600,
2016-06-21,411200,2692000,
2016-06-22,412500,2695800,
2016-06-23,413000,2699900,
2016-06-24,414000,2704600,
2016-06-25,414900,2708500,
2016-06-26,416000,2714000,
2016-06-27,417200,2718800,
2016-06-28,417800,2722900,
2016-06-29,418700,2726900,
2016-06-30,419400,2731300,
2016-07-01,420400,2735800,
2016-07-02,421200,2741400,
2016-07-03,422200,2747400,
2016-07-04,422900,2752700,
2016-07-05,423900,2756900,
2016-07-06,424600,2760900,
2016-07-07,425400,2765500,
2016-07-08,426200,2770400,
2016-07-09,427000,2775900,
2016-07-10,428100,2780900,
2016-07-11,428900,2785700,
2016-07-12,430200,2790500,
2016-07-13,431100,2794900,
2016-07-14,431800,2799700,
2016-07-15,433100,2804200,
2016-07-16,434300,2809200,
2016-07-17,435900,2814200,
2016-07-18,436800,2819500,
2016-07-19,437700,2823400,
2016-07-20,438200,2827200,
2016-07-21,439300,2831500,
2016-07-22,440300,2835100,
2016-07-23,441000,2839500,
2016-07-24,441800,2844800,
2016-07-25,442800,2849200,
2016-07-26,443200,2853600,
2016-07-27,444100,2858200,
2016-07-28,444900,2862900,
2016-07-29,445700,2868300,
2016-07-30,446600,2874500,
2016-07-31,447600,2879300,
2016-08-01,448400,2884700,
2016-08-02,449100,2888300,
2016-08-03,449800,2891800,
2016-08-04,450600,2895600,
2016-08-05,451300,2899000,
2016-08-06,452100,2904200,
2016-08-07,452700,2908800,
2016-08-08,453600,2912400,
2016-08-09,454300,2916400,
2016-08-10,455200,2920400,
2016-08-11,455700,2924800,
2016-08-12,456800,2929100,
2016-08-13,457500,2934200,
2016-08-14,458200,2939600,
2016-08-15,459100,2944400,
2016-08-16,460100,2948600,
2016-08-17,460500,2952900,
2016-08-18,461300,2956800,
2016-08-19,462300,2961000,
2016-08-20,463300,2966100,
2016-08-21,464300,2971400,
2016-08-22,465000,2975600,
2016-08-23,465700,2980300,
2016-08-24,466400,2983600,
2016-08-25,466900,2988500,
2016-08-26,467700,2992800,
2016-08-27,468400,2999300,
2016-08-28,469700,3004900,
2016-08-29,470400,3008900,
2016-08-30,471300,3012900,
2016-08-31,471700,3017400,
2016-09-01,472800,3021600,
2016-09-02,473500,3026000,
2016-09-03,474200,3031100,
2016-09-04,475200,3036100,
2016-09-05,476000,3040500,
2016-09-06,476700,3043900,
2016-09-07,477500,3048500,
2016-09-08,478700,3052200,
2016-09-09,479700,3056400,
2016-09-10,481000,3062000,
2016-09-11,481800,3068200,
2016-09-12,482600,3071900,
2016-09-13,483500,3077000,
2016-09-14,484300,3082100,
2016-09-15,485100,3087100,
2016-09-16,485800,3092100,
2016-09-17,486500,3098800,
2016-09-18,487600,3105600,
2016-09-19,488500,3110300,
2016-09-20,489200,3114500,
2016-09-21,489900,3118700,
2016-09-22,490900,3122700,
2016-09-23,491600,3127400,
2016-09-24,492800,3133500,
2016-09-25,494100,3138600,
2016-09-26,494800,3142500,
2016-09-27,495600,3147200,
2016-09-28,496100,3151400,
2016-09-29,496700,3155500,
2016-09-30,497400,3159800,
2016-10-01,498600,3165300,
2016-10-02,499700,3170500,
2016-10-03,500200,3174900,
2016-10-04,501100,3178900,
2016-10-05,501800,3182700,
2016-10-06,502700,3186600,
2016-10-07,503400,3190400,
2016-10-08,504300,3196200,
2016-10-09,505200,3202100,
2016-10-10,506400,3205700,
2016-10-11,506900,3209200,
2016-10-12,507400,3212300,
2016-10-13,507800,3215600,
2016-10-14,508100,3219500,
2016-10-15,509300,3223900,
2016-10-16,510600,3229400,
2016-10-17,511200,3233300,
2016-10-18,511800,3237200,
2016-10-19,512500,3240400,
2016-10-20,513300,3244600,
2016-10-21,513800,3247900,
2016-10-22,515000,3252600,
2016-10-23,515800,3257100,
2016-10-24,516500,3260900,
2016-10-25,517300,3263500,
2016-10-26,518000,3266500,
2016-10-27,518400,3269900,
2016-10-28,518700,3274100,
2016-10-29,519500,3279000,
2016-10-30,520600,3284300,
2016-10-31,521300,3287100,
2016-11-01,521700,3290500,
2016-11-02,522300,3293300,
2016-11-03,523100,3296700,
2016-11-04,523600,3300200,
2016-11-05,524800,3304800,
2016-11-06,525900,3308200,
2016-11-07,526400,3310800,
2016-11-08,527500,3313500,
2016-11-09,528200,3316300,
2016-11-10,528600,3319200,
2016-11-11,529400,3323000,
2016-11-12,530300,3327500,
2016-11-13,531000,3331400,
2016-11-14,531400,3334000,
2016-11-15,532200,3337300,
2016-11-16,532600,3339800,
2016-11-17,533000,3342500,
2016-11-18,533400,3346000,
2016-11-19,534200,3349300,
2016-11-20,535000,3353000,
2016-11-21,535800,3356600,
2016-11-22,536600,3359800,
2016-11-23,537200,3363400,
2016-11-24,537700,3367100,
2016-11-25,538500,3371100,
2016-11-26,539700,3377500,
2016-11-27,540800,3382800,
2016-11-28,541700,3386200,
2016-11-29,542300,3390200,
2016-11-30,542900,3393600,
2016-12-01,543800,3397000,
2016-12-02,544300,3400400,
2016-12-03,545300,3405700,
2016-12-04,546400,3411600,
2016-12-05,547600,3414700,
2016-12-06,548100,3417600,
2016-12-07,548900,3420800,
2016-12-08,549400,3424600,
2016-12-09,550000,3428500,
2016-12-10,550600,3433300,
2016-12-11,551400,3438200,
2016-12-12,551800,3440500,
2016-12-13,552500,3443600,
2016-12-14,553300,3447200,
