Date,'',PS4 player count,
2017-10-04,,100,
2017-10-05,,200,
2017-10-06,,800,
2017-10-07,,3000,
2017-10-08,,4900,
2017-10-09,,8600,
2017-10-10,,63200,
2017-10-11,,106400,
2017-10-12,,134700,
2017-10-13,,165000,
2017-10-14,,196200,
2017-10-15,,227300,
2017-10-16,,251300,
2017-10-17,,270500,
2017-10-18,,289800,
2017-10-19,,308200,
2017-10-20,,326700,
2017-10-21,,350800,
2017-10-22,,379700,
2017-10-23,,397900,
2017-10-24,,415700,
2017-10-25,,433700,
2017-10-26,,451500,
2017-10-27,,468800,
2017-10-28,,486400,
2017-10-29,,506800,
2017-10-30,,520600,
2017-10-31,,534200,
2017-11-01,,548400,
2017-11-02,,561400,
2017-11-03,,574900,
2017-11-04,,591500,
2017-11-05,,606900,
2017-11-06,,615900,
2017-11-07,,625300,
2017-11-08,,633500,
2017-11-09,,641600,
2017-11-10,,651000,
2017-11-11,,662000,
2017-11-12,,673700,
2017-11-13,,681600,
2017-11-14,,690100,
2017-11-15,,698200,
2017-11-16,,705200,
2017-11-17,,711100,
2017-11-18,,719600,
2017-11-19,,728700,
2017-11-20,,735900,
2017-11-21,,742900,
2017-11-22,,750700,
2017-11-23,,759300,
2017-11-24,,772000,
2017-11-25,,787800,
2017-11-26,,804100,
2017-11-27,,813800,
2017-11-28,,823100,
2017-11-29,,832800,
2017-11-30,,839900,
2017-12-01,,848300,
2017-12-02,,859100,
2017-12-03,,869900,
2017-12-04,,876900,
2017-12-05,,883400,
2017-12-06,,890200,
2017-12-07,,897000,
2017-12-08,,902800,
2017-12-09,,912300,
2017-12-10,,922500,
2017-12-11,,931100,
2017-12-12,,939200,
2017-12-13,,945600,
2017-12-14,,951200,
2017-12-15,,958200,
2017-12-16,,967900,
2017-12-17,,976100,
2017-12-18,,982200,
2017-12-19,,988100,
2017-12-20,,993800,
2017-12-21,,1000000,
2017-12-22,,1007500,
2017-12-23,,1017000,
2017-12-24,,1027100,
2017-12-25,,1046700,
2017-12-26,,1064900,
2017-12-27,,1080600,
2017-12-28,,1095400,
2017-12-29,,1110400,
2017-12-30,,1122900,
2017-12-31,,1135600,
2018-01-01,,1148800,
2018-01-02,,1158500,
2018-01-03,,1167500,
2018-01-04,,1177500,
2018-01-05,,1187200,
2018-01-06,,1198700,
2018-01-07,,1210200,
2018-01-08,,1218000,
2018-01-09,,1225200,
2018-01-10,,1232100,
2018-01-11,,1238400,
2018-01-12,,1244600,
2018-01-13,,1255500,
2018-01-14,,1265700,
2018-01-15,,1273300,
2018-01-16,,1279300,
2018-01-17,,1286300,
2018-01-18,,1291900,
2018-01-19,,1297000,
2018-01-20,,1304300,
2018-01-21,,1313500,
2018-01-22,,1320300,
2018-01-23,,1325500,
2018-01-24,,1330400,
2018-01-25,,1336700,
2018-01-26,,1342200,
2018-01-27,,1349300,
2018-01-28,,1357600,
2018-01-29,,1363200,
2018-01-30,,1367900,
2018-01-31,,1372500,
2018-02-01,,1376500,
2018-02-02,,1381300,
2018-02-03,,1388600,
2018-02-04,,1396300,
2018-02-05,,1400200,
2018-02-06,,1404200,
2018-02-07,,1408800,
2018-02-08,,1413900,
2018-02-09,,1418000,
2018-02-10,,1424700,
2018-02-11,,1432500,
2018-02-12,,1436900,
2018-02-13,,1440800,
2018-02-14,,1444800,
2018-02-15,,1449100,
2018-02-16,,1454200,
2018-02-17,,1459900,
2018-02-18,,1466500,
2018-02-19,,1471200,
2018-02-20,,1476400,
2018-02-21,,1480600,
2018-02-22,,1484900,
2018-02-23,,1488700,
2018-02-24,,1494800,
2018-02-25,,1500000,
2018-02-26,,1504300,
2018-02-27,,1508200,
2018-02-28,,1511400,
2018-03-01,,1515500,
2018-03-02,,1520300,
2018-03-03,,1526100,
2018-03-04,,1533200,
2018-03-05,,1537300,
2018-03-06,,1542400,
2018-03-07,,1547200,
2018-03-08,,1550100,
2018-03-09,,1553900,
2018-03-10,,1560300,
2018-03-11,,1565800,
2018-03-12,,1569700,
2018-03-13,,1573900,
2018-03-14,,1578000,
2018-03-15,,1582500,
2018-03-16,,1586900,
2018-03-17,,1591200,
2018-03-18,,1596700,
2018-03-19,,1599700,
2018-03-20,,1603100,
2018-03-21,,1606700,
2018-03-22,,1609800,
2018-03-23,,1613900,
2018-03-24,,1619300,
2018-03-25,,1624200,
2018-03-26,,1627900,
2018-03-27,,1632300,
2018-03-28,,1635700,
2018-03-29,,1639800,
2018-03-30,,1643300,
2018-03-31,,1648500,
2018-04-01,,1652800,
2018-04-02,,1657100,
2018-04-03,,1660300,
2018-04-04,,1663600,
2018-04-05,,1667000,
2018-04-06,,1670100,
2018-04-07,,1674400,
2018-04-08,,1679400,
2018-04-09,,1682200,
2018-04-10,,1685400,
2018-04-11,,1688800,
2018-04-12,,1691900,
2018-04-13,,1695100,
2018-04-14,,1699700,
2018-04-15,,1704300,
2018-04-16,,1707700,
2018-04-17,,1710900,
2018-04-18,,1713900,
2018-04-19,,1717200,
2018-04-20,,1719900,
2018-04-21,,1724900,
2018-04-22,,1729000,
2018-04-23,,1732800,
2018-04-24,,1735600,
2018-04-25,,1738300,
2018-04-26,,1740800,
2018-04-27,,1744500,
2018-04-28,,1749300,
2018-04-29,,1753400,
2018-04-30,,1757300,
2018-05-01,,1759500,
2018-05-02,,1761200,
2018-05-03,,1762400,
2018-05-04,,1764400,
2018-05-05,,1766900,
2018-05-06,,1769400,
2018-05-07,,1770700,
2018-05-08,,1772200,
2018-05-09,,1773800,
2018-05-10,,1775200,
2018-05-11,,1777200,
2018-05-12,,1779200,
2018-05-13,,1781900,
2018-05-14,,1783700,
2018-05-15,,1785300,
2018-05-16,,1787100,
2018-05-17,,1789200,
2018-05-18,,1791800,
2018-05-19,,1795600,
2018-05-20,,1800100,
2018-05-21,,1803900,
2018-05-22,,1806700,
2018-05-23,,1808800,
2018-05-24,,1811800,
2018-05-25,,1815000,
2018-05-26,,1818600,
2018-05-27,,1823400,
2018-05-28,,1827500,
2018-05-29,,1831100,
2018-05-30,,1833600,
2018-05-31,,1836900,
2018-06-01,,1840000,
2018-06-02,,1844300,
2018-06-03,,1849700,
2018-06-04,,1852900,
2018-06-05,,1855400,
2018-06-06,,1857200,
2018-06-07,,1859800,
2018-06-08,,1862100,
2018-06-09,,1866700,
2018-06-10,,1870600,
2018-06-11,,1873600,
2018-06-12,,1876000,
2018-06-13,,1878600,
2018-06-14,,1881100,
2018-06-15,,1883800,
2018-06-16,,1887300,
2018-06-17,,1890800,
2018-06-18,,1894500,
2018-06-19,,1897100,
2018-06-20,,1899700,
2018-06-21,,1901600,
2018-06-22,,1903700,
2018-06-23,,1907100,
2018-06-24,,1910300,
2018-06-25,,1912000,
2018-06-26,,1914500,
2018-06-27,,1916400,
2018-06-28,,1918500,
2018-06-29,,1920400,
2018-06-30,,1923000,
2018-07-01,,1926400,
2018-07-02,,1928500,
2018-07-03,,1930500,
2018-07-04,,1932500,
2018-07-05,,1934900,
2018-07-06,,1937000,
2018-07-07,,1940800,
2018-07-08,,1944000,
2018-07-09,,1946400,
2018-07-10,,1949300,
2018-07-11,,1951300,
2018-07-12,,1954000,
2018-07-13,,1957200,
2018-07-14,,1960300,
2018-07-15,,1963300,
2018-07-16,,1966700,
2018-07-17,,1969400,
2018-07-18,,1973300,
2018-07-19,,1977200,
2018-07-20,,1981400,
2018-07-21,,1987400,
2018-07-22,,1993100,
2018-07-23,,1997500,
2018-07-24,,2002000,
2018-07-25,,2005100,
2018-07-26,,2007200,
2018-07-27,,2010500,
2018-07-28,,2014000,
2018-07-29,,2017200,
2018-07-30,,2019300,
2018-07-31,,2021800,
2018-08-01,,2024700,
2018-08-02,,2026700,
2018-08-03,,2029500,
2018-08-04,,2032200,
2018-08-05,,2035000,
2018-08-06,,2037600,
2018-08-07,,2039800,
2018-08-08,,2042400,
2018-08-09,,2044800,
2018-08-10,,2047000,
2018-08-11,,2049500,
2018-08-12,,2053100,
2018-08-13,,2055400,
2018-08-14,,2058200,
2018-08-15,,2060400,
2018-08-16,,2062700,
2018-08-17,,2064900,
2018-08-18,,2067900,
2018-08-19,,2071200,
2018-08-20,,2073500,
2018-08-21,,2075700,
2018-08-22,,2078000,
2018-08-23,,2080000,
2018-08-24,,2082400,
2018-08-25,,2085600,
2018-08-26,,2089200,
2018-08-27,,2091500,
2018-08-28,,2093500,
2018-08-29,,2096100,
2018-08-30,,2098400,
2018-08-31,,2100700,
2018-09-01,,2103900,
2018-09-02,,2107200,
2018-09-03,,2110000,
2018-09-04,,2111900,
2018-09-05,,2113500,
2018-09-06,,2115500,
2018-09-07,,2117200,
2018-09-08,,2119800,
2018-09-09,,2122600,
2018-09-10,,2124800,
2018-09-11,,2127100,
2018-09-12,,2128700,
2018-09-13,,2130700,
2018-09-14,,2132900,
2018-09-15,,2135600,
2018-09-16,,2138600,
2018-09-17,,2141000,
2018-09-18,,2143000,
2018-09-19,,2145100,
2018-09-20,,2147600,
2018-09-21,,2150200,
2018-09-22,,2154700,
2018-09-23,,2157800,
2018-09-24,,2160500,
2018-09-25,,2162500,
2018-09-26,,2164600,
2018-09-27,,2167000,
2018-09-28,,2169000,
2018-09-29,,2171800,
2018-09-30,,2174200,
2018-10-01,,2176300,
2018-10-02,,2177900,
2018-10-03,,2180000,
2018-10-04,,2181900,
2018-10-05,,2184100,
2018-10-06,,2186200,
2018-10-07,,2188100,
2018-10-08,,2190200,
2018-10-09,,2191200,
2018-10-10,,2192900,
2018-10-11,,2194300,
2018-10-12,,2196800,
2018-10-13,,2199600,
2018-10-14,,2202100,
2018-10-15,,2203900,
2018-10-16,,2205500,
2018-10-17,,2206900,
2018-10-18,,2208600,
2018-10-19,,2210300,
2018-10-20,,2212600,
2018-10-21,,2214800,
2018-10-22,,2216000,
2018-10-23,,2217500,
2018-10-24,,2219000,
2018-10-25,,2220300,
2018-10-26,,2222400,
2018-10-27,,2224600,
2018-10-28,,2226700,
2018-10-29,,2228000,
2018-10-30,,2229500,
2018-10-31,,2230500,
2018-11-01,,2232900,
2018-11-02,,2235000,
2018-11-03,,2237600,
2018-11-04,,2240300,
2018-11-05,,2242300,
2018-11-06,,2244300,
2018-11-07,,2246000,
2018-11-08,,2247800,
2018-11-09,,2249300,
2018-11-10,,2251900,
2018-11-11,,2254900,
2018-11-12,,2257200,
2018-11-13,,2259000,
2018-11-14,,2260900,
2018-11-15,,2262900,
2018-11-16,,2264900,
2018-11-17,,2266800,
2018-11-18,,2269200,
2018-11-19,,2271300,
2018-11-20,,2273600,
2018-11-21,,2275700,
2018-11-22,,2278100,
2018-11-23,,2281000,
2018-11-24,,2283700,
2018-11-25,,2287000,
2018-11-26,,2289800,
2018-11-27,,2292000,
2018-11-28,,2294000,
2018-11-29,,2295600,
2018-11-30,,2297400,
2018-12-01,,2300300,
2018-12-02,,2302600,
2018-12-03,,2304500,
2018-12-04,,2306300,
2018-12-05,,2307500,
2018-12-06,,2309300,
2018-12-07,,2311100,
2018-12-08,,2313400,
2018-12-09,,2315600,
2018-12-10,,2317400,
2018-12-11,,2318900,
2018-12-12,,2320800,
2018-12-13,,2323300,
2018-12-14,,2325900,
2018-12-15,,2329200,
2018-12-16,,2333500,
2018-12-17,,2336100,
2018-12-18,,2338800,
2018-12-19,,2341400,
2018-12-20,,2344000,
2018-12-21,,2346800,
2018-12-22,,2350600,
2018-12-23,,2354300,
2018-12-24,,2358500,
2018-12-25,,2363900,
2018-12-26,,2369900,
2018-12-27,,2375400,
2018-12-28,,2380700,
2018-12-29,,2384900,
2018-12-30,,2389100,
2018-12-31,,2394000,
2019-01-01,,2397400,
2019-01-02,,2400700,
2019-01-03,,2404000,
2019-01-04,,2407000,
2019-01-05,,2410600,
2019-01-06,,2414300,
2019-01-07,,2416500,
2019-01-08,,2419100,
2019-01-09,,2421100,
2019-01-10,,2423000,
2019-01-11,,2424800,
2019-01-12,,2428100,
2019-01-13,,2430900,
2019-01-14,,2432600,
2019-01-15,,2434100,
2019-01-16,,2435800,
2019-01-17,,2437500,
2019-01-18,,2439100,
2019-01-19,,2441700,
2019-01-20,,2444700,
2019-01-21,,2446300,
2019-01-22,,2448500,
