Date,PS3 player count,PS4 player count,
2016-06-16,0,0,
2016-06-17,0,100,
2016-06-18,0,200,
2016-06-19,0,200,
2016-06-20,0,200,
2016-06-21,0,2400,
2016-06-22,400,5400,
2016-06-23,600,7100,
2016-06-24,1000,9300,
2016-06-25,1200,11500,
2016-06-26,1300,14200,
2016-06-27,1500,15800,
2016-06-28,1600,17200,
2016-06-29,1700,18500,
2016-06-30,1800,19800,
2016-07-01,1900,21000,
2016-07-02,1900,22500,
2016-07-03,2000,23800,
2016-07-04,2100,25000,
2016-07-05,2200,26100,
2016-07-06,2300,27000,
2016-07-07,2300,27700,
2016-07-08,2300,28500,
2016-07-09,2400,29300,
2016-07-10,2500,30000,
2016-07-11,2600,30300,
2016-07-12,2700,30800,
2016-07-13,2700,31400,
2016-07-14,2800,31900,
2016-07-15,2900,32000,
2016-07-16,2900,32400,
2016-07-17,3000,33100,
2016-07-18,3000,33400,
2016-07-19,3000,33900,
2016-07-20,3000,34400,
2016-07-21,3000,35000,
2016-07-22,3000,35100,
2016-07-23,3000,35400,
2016-07-24,3000,35900,
2016-07-25,3100,36700,
2016-07-26,3100,37000,
2016-07-27,3100,37500,
2016-07-28,3100,37800,
2016-07-29,3200,38300,
2016-07-30,3200,38900,
2016-07-31,3300,39200,
2016-08-01,3400,39300,
2016-08-02,3400,39400,
2016-08-03,3500,39700,
2016-08-04,3500,40000,
2016-08-05,3600,40200,
2016-08-06,3600,40600,
2016-08-07,3600,40900,
2016-08-08,3700,40900,
2016-08-09,3700,41200,
2016-08-10,3700,41500,
2016-08-11,3700,41900,
2016-08-12,3700,42100,
2016-08-13,3700,42300,
2016-08-14,3700,42600,
2016-08-15,3800,42800,
2016-08-16,3800,43100,
2016-08-17,3800,43300,
2016-08-18,3900,43600,
2016-08-19,3900,44000,
2016-08-20,3900,44600,
2016-08-21,4000,45000,
2016-08-22,4000,45300,
2016-08-23,4000,45700,
2016-08-24,4000,46100,
2016-08-25,4000,46300,
2016-08-26,4000,46600,
2016-08-27,4000,46800,
2016-08-28,4000,47000,
2016-08-29,4000,47300,
2016-08-30,4100,47500,
2016-08-31,4100,48000,
2016-09-01,4100,48100,
2016-09-02,4100,48400,
2016-09-03,4200,48700,
2016-09-04,4200,48900,
2016-09-05,4200,49100,
2016-09-06,4200,49200,
2016-09-07,4200,49500,
2016-09-08,4200,49700,
2016-09-09,4200,49900,
2016-09-10,4200,50200,
2016-09-11,4200,50700,
2016-09-12,4200,51000,
2016-09-13,4300,51500,
2016-09-14,4300,51900,
2016-09-15,4400,52100,
2016-09-16,4400,52300,
2016-09-17,4400,52700,
2016-09-18,4400,52900,
2016-09-19,4600,53100,
2016-09-20,4600,53300,
2016-09-21,4600,53500,
2016-09-22,4600,53700,
2016-09-23,4600,53700,
2016-09-24,4600,53800,
2016-09-25,4600,54100,
2016-09-26,4600,54300,
2016-09-27,4700,54600,
2016-09-28,4700,54900,
2016-09-29,4700,55000,
2016-09-30,4700,55300,
2016-10-01,4800,55800,
2016-10-02,4800,56000,
2016-10-03,4800,56300,
2016-10-04,4800,56500,
2016-10-05,4800,57000,
2016-10-06,4800,57100,
2016-10-07,4800,57500,
2016-10-08,4800,57900,
2016-10-09,4900,58000,
2016-10-10,4900,58300,
2016-10-11,4900,58400,
2016-10-12,5000,58400,
2016-10-13,5000,58500,
2016-10-14,5000,58900,
2016-10-15,5000,59300,
2016-10-16,5100,59600,
2016-10-17,5100,59900,
