Date,'',PS4 player count,
2019-03-23,,200,
2019-03-24,,400,
2019-03-25,,900,
2019-03-26,,151700,
2019-03-27,,246800,
2019-03-28,,297700,
2019-03-29,,342700,
2019-03-30,,396300,
2019-03-31,,441600,
2019-04-01,,473000,
2019-04-02,,497700,
2019-04-03,,516500,
2019-04-04,,532100,
2019-04-05,,551400,
2019-04-06,,579100,
2019-04-07,,604500,
2019-04-08,,619900,
2019-04-09,,631900,
2019-04-10,,642800,
2019-04-11,,653000,
2019-04-12,,664000,
2019-04-13,,682600,
2019-04-14,,701800,
2019-04-15,,714100,
2019-04-16,,724800,
2019-04-17,,734700,
2019-04-18,,744200,
2019-04-19,,758100,
2019-04-20,,774500,
2019-04-21,,800900,
2019-04-22,,815900,
2019-04-23,,825300,
2019-04-24,,833400,
2019-04-25,,840300,
2019-04-26,,847600,
2019-04-27,,859300,
2019-04-28,,871000,
2019-04-29,,878400,
2019-04-30,,884400,
2019-05-01,,890200,
2019-05-02,,897000,
2019-05-03,,903800,
2019-05-04,,913600,
2019-05-05,,924000,
2019-05-06,,930100,
2019-05-07,,934900,
2019-05-08,,940600,
2019-05-09,,945400,
2019-05-10,,950600,
2019-05-11,,962300,
2019-05-12,,975000,
2019-05-13,,983300,
2019-05-14,,989000,
2019-05-15,,993200,
2019-05-16,,997200,
2019-05-17,,1002500,
2019-05-18,,1010700,
2019-05-19,,1019900,
2019-05-20,,1025600,
2019-05-21,,1030400,
2019-05-22,,1034900,
2019-05-23,,1039200,
2019-05-24,,1044700,
2019-05-25,,1052900,
2019-05-26,,1060400,
2019-05-27,,1069800,
2019-05-28,,1075900,
2019-05-29,,1081400,
2019-05-30,,1087000,
2019-05-31,,1092300,
2019-06-01,,1099900,
2019-06-02,,1108700,
2019-06-03,,1114800,
2019-06-04,,1121000,
2019-06-05,,1126800,
2019-06-06,,1131900,
2019-06-07,,1138900,
2019-06-08,,1149100,
2019-06-09,,1160400,
2019-06-10,,1169900,
2019-06-11,,1177800,
2019-06-12,,1184500,
2019-06-13,,1191800,
2019-06-14,,1199300,
2019-06-15,,1209300,
2019-06-16,,1220000,
2019-06-17,,1229800,
2019-06-18,,1238000,
2019-06-19,,1244200,
2019-06-20,,1250900,
2019-06-21,,1257200,
2019-06-22,,1264000,
2019-06-23,,1270300,
2019-06-24,,1276200,
2019-06-25,,1281400,
2019-06-26,,1285900,
2019-06-27,,1289900,
2019-06-28,,1295400,
2019-06-29,,1300900,
2019-06-30,,1306900,
2019-07-01,,1312700,
2019-07-02,,1318000,
2019-07-03,,1323500,
2019-07-04,,1330100,
2019-07-05,,1335600,
2019-07-06,,1341600,
2019-07-07,,1348500,
2019-07-08,,1354700,
2019-07-09,,1360300,
2019-07-10,,1366500,
2019-07-11,,1372000,
2019-07-12,,1377500,
2019-07-13,,1383800,
2019-07-14,,1391000,
2019-07-15,,1396700,
2019-07-16,,1402000,
2019-07-17,,1408200,
2019-07-18,,1412900,
2019-07-19,,1418300,
2019-07-20,,1425300,
2019-07-21,,1432000,
2019-07-22,,1437300,
2019-07-23,,1443600,
2019-07-24,,1448200,
2019-07-25,,1452300,
2019-07-26,,1458100,
2019-07-27,,1464200,
2019-07-28,,1471400,
2019-07-29,,1476800,
2019-07-30,,1481900,
2019-07-31,,1487000,
2019-08-01,,1490800,
2019-08-02,,1495100,
2019-08-03,,1501000,
2019-08-04,,1506800,
2019-08-05,,1511800,
2019-08-06,,1516400,
2019-08-07,,1520800,
2019-08-08,,1525000,
2019-08-09,,1529700,
2019-08-10,,1535500,
2019-08-11,,1540500,
2019-08-12,,1544700,
2019-08-13,,1548600,
2019-08-14,,1552000,
2019-08-15,,1555100,
2019-08-16,,1559400,
2019-08-17,,1563700,
2019-08-18,,1568200,
2019-08-19,,1572100,
2019-08-20,,1576100,
2019-08-21,,1579700,
2019-08-22,,1582100,
2019-08-23,,1584700,
2019-08-24,,1589100,
2019-08-25,,1593500,
2019-08-26,,1596900,
2019-08-27,,1600200,
2019-08-28,,1602800,
2019-08-29,,1605100,
2019-08-30,,1607800,
2019-08-31,,1613700,
2019-09-01,,1620300,
2019-09-02,,1627000,
2019-09-03,,1631800,
2019-09-04,,1634300,
2019-09-05,,1636300,
2019-09-06,,1638800,
2019-09-07,,1642100,
2019-09-08,,1645200,
2019-09-09,,1647500,
2019-09-10,,1649100,
2019-09-11,,1650800,
2019-09-12,,1652600,
2019-09-13,,1654500,
2019-09-14,,1657200,
2019-09-15,,1660300,
2019-09-16,,1662000,
2019-09-17,,1664000,
2019-09-18,,1665700,
2019-09-19,,1667500,
2019-09-20,,1669800,
2019-09-21,,1672800,
2019-09-22,,1675400,
2019-09-23,,1677500,
2019-09-24,,1679600,
2019-09-25,,1681200,
2019-09-26,,1682800,
2019-09-27,,1684500,
2019-09-28,,1687500,
2019-09-29,,1690800,
2019-09-30,,1692800,
2019-10-01,,1721600,
2019-10-02,,1826600,
2019-10-03,,1947000,
2019-10-04,,2053800,
2019-10-05,,2189000,
2019-10-06,,2313500,
2019-10-07,,2398600,
2019-10-08,,2471300,
2019-10-09,,2541000,
2019-10-10,,2599300,
2019-10-11,,2664100,
2019-10-12,,2748100,
2019-10-13,,2831600,
2019-10-14,,2906200,
2019-10-15,,2958700,
2019-10-16,,3001500,
2019-10-17,,3042100,
2019-10-18,,3082400,
2019-10-19,,3138100,
2019-10-20,,3193000,
2019-10-21,,3233000,
2019-10-22,,3269100,
2019-10-23,,3299700,
2019-10-24,,3332600,
2019-10-25,,3367900,
2019-10-26,,3417900,
2019-10-27,,3467500,
2019-10-28,,3498900,
2019-10-29,,3529300,
2019-10-30,,3556300,
2019-10-31,,3582900,
2019-11-01,,3617600,
2019-11-02,,3666200,
2019-11-03,,3712300,
2019-11-04,,3741700,
2019-11-05,,3768300,
2019-11-06,,3788200,
2019-11-07,,3808400,
2019-11-08,,3829100,
2019-11-09,,3855500,
2019-11-10,,3880800,
2019-11-11,,3897300,
2019-11-12,,3910600,
2019-11-13,,3921700,
2019-11-14,,3932800,
2019-11-15,,3946900,
2019-11-16,,3965200,
2019-11-17,,3982900,
2019-11-18,,3993800,
2019-11-19,,4003300,
2019-11-20,,4012700,
2019-11-21,,4021000,
2019-11-22,,4030700,
2019-11-23,,4046200,
2019-11-24,,4061400,
2019-11-25,,4071200,
2019-11-26,,4079900,
2019-11-27,,4090700,
2019-11-28,,4102900,
2019-11-29,,4117800,
2019-11-30,,4135400,
2019-12-01,,4149600,
2019-12-02,,4160300,
2019-12-03,,4169200,
2019-12-04,,4178800,
2019-12-05,,4187500,
2019-12-06,,4195600,
2019-12-07,,4206900,
2019-12-08,,4219200,
2019-12-09,,4227600,
2019-12-10,,4233900,
2019-12-11,,4240600,
2019-12-12,,4247100,
2019-12-13,,4254900,
2019-12-14,,4264800,
2019-12-15,,4274900,
2019-12-16,,4281100,
2019-12-17,,4287700,
2019-12-18,,4294200,
2019-12-19,,4299300,
2019-12-20,,4306600,
2019-12-21,,4315100,
2019-12-22,,4325700,
2019-12-23,,4335700,
2019-12-24,,4347000,
2019-12-25,,4368400,
2019-12-26,,4388900,
2019-12-27,,4403100,
2019-12-28,,4416500,
2019-12-29,,4428200,
2019-12-30,,4437300,
2019-12-31,,4446400,
2020-01-01,,4456300,
2020-01-02,,4465200,
2020-01-03,,4473100,
2020-01-04,,4482900,
2020-01-05,,4493200,
2020-01-06,,4499500,
2020-01-07,,4505700,
2020-01-08,,4511300,
2020-01-09,,4516600,
2020-01-10,,4522500,
2020-01-11,,4530400,
2020-01-12,,4537800,
2020-01-13,,4542700,
2020-01-14,,4546800,
2020-01-15,,4551000,
2020-01-16,,4555100,
2020-01-17,,4560300,
2020-01-18,,4568800,
2020-01-19,,4575400,
2020-01-20,,4580600,
2020-01-21,,4584700,
2020-01-22,,4588400,
2020-01-23,,4592900,
2020-01-24,,4597400,
2020-01-25,,4604500,
2020-01-26,,4611000,
2020-01-27,,4614400,
2020-01-28,,4618300,
2020-01-29,,4622900,
2020-01-30,,4626900,
2020-01-31,,4631600,
2020-02-01,,4637200,
2020-02-02,,4644000,
2020-02-03,,4647400,
2020-02-04,,4651400,
2020-02-05,,4655300,
2020-02-06,,4659100,
2020-02-07,,4662600,
2020-02-08,,4667800,
2020-02-09,,4673900,
2020-02-10,,4677700,
2020-02-11,,4681000,
