Date,'',PS4 player count,
2018-02-08,,100,
2018-02-09,,100,
2018-02-10,,200,
2018-02-11,,300,
2018-02-12,,800,
2018-02-13,,7900,
2018-02-14,,14000,
2018-02-15,,18100,
2018-02-16,,22700,
2018-02-17,,28400,
2018-02-18,,32200,
2018-02-19,,35800,
2018-02-20,,38100,
2018-02-21,,41000,
2018-02-22,,43800,
2018-02-23,,46500,
2018-02-24,,49700,
2018-02-25,,53000,
2018-02-26,,55200,
2018-02-27,,57400,
2018-02-28,,59200,
2018-03-01,,61000,
2018-03-02,,62800,
2018-03-03,,65500,
2018-03-04,,68200,
2018-03-05,,69800,
2018-03-06,,71200,
2018-03-07,,72800,
2018-03-08,,74200,
2018-03-09,,76400,
2018-03-10,,79200,
2018-03-11,,81800,
2018-03-12,,83700,
2018-03-13,,85400,
2018-03-14,,86800,
2018-03-15,,88200,
2018-03-16,,89900,
2018-03-17,,91600,
2018-03-18,,93200,
2018-03-19,,94600,
2018-03-20,,95900,
2018-03-21,,97000,
2018-03-22,,98600,
2018-03-23,,100100,
2018-03-24,,102300,
2018-03-25,,104600,
2018-03-26,,105400,
2018-03-27,,106600,
2018-03-28,,107900,
2018-03-29,,109800,
2018-03-30,,111000,
2018-03-31,,112300,
2018-04-01,,114600,
2018-04-02,,116300,
2018-04-03,,117600,
2018-04-04,,118700,
2018-04-05,,119600,
2018-04-06,,120700,
2018-04-07,,122500,
2018-04-08,,123700,
2018-04-09,,124200,
2018-04-10,,124700,
2018-04-11,,125500,
2018-04-12,,126600,
2018-04-13,,127600,
2018-04-14,,128600,
2018-04-15,,130200,
2018-04-16,,130800,
2018-04-17,,131300,
2018-04-18,,132000,
2018-04-19,,132900,
2018-04-20,,134000,
2018-04-21,,134800,
2018-04-22,,135500,
2018-04-23,,136300,
2018-04-24,,137400,
2018-04-25,,138300,
2018-04-26,,139200,
2018-04-27,,139800,
2018-04-28,,140800,
2018-04-29,,142200,
2018-04-30,,143200,
2018-05-01,,143600,
2018-05-02,,144100,
2018-05-03,,144400,
2018-05-04,,144600,
2018-05-05,,145300,
2018-05-06,,146000,
2018-05-07,,146600,
2018-05-08,,147100,
2018-05-09,,147300,
2018-05-10,,147800,
2018-05-11,,148300,
2018-05-12,,148900,
2018-05-13,,149500,
2018-05-14,,150000,
2018-05-15,,150200,
2018-05-16,,150500,
2018-05-17,,150600,
2018-05-18,,150900,
2018-05-19,,151200,
2018-05-20,,151600,
2018-05-21,,152200,
2018-05-22,,152500,
2018-05-23,,152900,
2018-05-24,,153300,
2018-05-25,,153600,
2018-05-26,,153900,
2018-05-27,,154500,
2018-05-28,,155000,
2018-05-29,,155300,
2018-05-30,,155600,
2018-05-31,,156000,
2018-06-01,,156500,
2018-06-02,,157000,
2018-06-03,,157600,
2018-06-04,,158000,
2018-06-05,,158300,
2018-06-06,,158900,
2018-06-07,,159200,
2018-06-08,,159900,
2018-06-09,,160600,
2018-06-10,,161300,
2018-06-11,,162000,
2018-06-12,,162600,
2018-06-13,,163000,
2018-06-14,,163500,
2018-06-15,,163900,
2018-06-16,,164300,
2018-06-17,,164900,
2018-06-18,,165400,
2018-06-19,,165800,
2018-06-20,,166100,
2018-06-21,,166400,
2018-06-22,,167000,
2018-06-23,,167800,
2018-06-24,,168400,
2018-06-25,,168800,
2018-06-26,,169100,
2018-06-27,,169500,
2018-06-28,,169800,
2018-06-29,,170300,
2018-06-30,,170500,
2018-07-01,,170900,
2018-07-02,,171200,
2018-07-03,,171500,
2018-07-04,,172000,
2018-07-05,,172200,
2018-07-06,,173000,
2018-07-07,,173600,
2018-07-08,,174000,
2018-07-09,,174200,
2018-07-10,,174700,
2018-07-11,,175100,
2018-07-12,,175600,
2018-07-13,,176000,
2018-07-14,,176500,
2018-07-15,,176900,
2018-07-16,,177200,
2018-07-17,,177600,
2018-07-18,,177800,
2018-07-19,,178100,
2018-07-20,,178600,
2018-07-21,,179100,
2018-07-22,,179500,
2018-07-23,,180000,
2018-07-24,,180600,
2018-07-25,,181100,
2018-07-26,,181800,
2018-07-27,,182200,
2018-07-28,,182600,
2018-07-29,,183600,
2018-07-30,,184100,
2018-07-31,,184700,
2018-08-01,,185100,
2018-08-02,,185500,
2018-08-03,,186200,
2018-08-04,,186700,
2018-08-05,,187200,
2018-08-06,,187800,
2018-08-07,,187900,
2018-08-08,,188500,
2018-08-09,,188800,
2018-08-10,,189300,
2018-08-11,,189700,
2018-08-12,,190200,
2018-08-13,,190500,
2018-08-14,,190900,
2018-08-15,,191600,
2018-08-16,,192000,
2018-08-17,,192500,
2018-08-18,,193100,
2018-08-19,,194100,
2018-08-20,,194600,
2018-08-21,,194700,
2018-08-22,,195200,
2018-08-23,,195500,
2018-08-24,,195800,
2018-08-25,,196200,
2018-08-26,,196400,
2018-08-27,,196500,
2018-08-28,,196800,
2018-08-29,,197400,
2018-08-30,,197600,
2018-08-31,,197900,
2018-09-01,,198500,
2018-09-02,,199000,
2018-09-03,,199400,
2018-09-04,,199700,
2018-09-05,,200100,
2018-09-06,,200200,
2018-09-07,,200700,
2018-09-08,,201300,
2018-09-09,,201800,
2018-09-10,,202100,
2018-09-11,,202300,
2018-09-12,,202700,
2018-09-13,,203000,
2018-09-14,,203300,
2018-09-15,,203500,
2018-09-16,,203800,
2018-09-17,,204100,
2018-09-18,,204300,
2018-09-19,,204400,
2018-09-20,,204500,
2018-09-21,,204700,
2018-09-22,,205500,
2018-09-23,,205800,
2018-09-24,,206000,
2018-09-25,,206200,
2018-09-26,,206500,
2018-09-27,,206700,
2018-09-28,,207100,
2018-09-29,,207400,
2018-09-30,,207700,
2018-10-01,,208000,
2018-10-02,,208200,
2018-10-03,,208400,
2018-10-04,,208500,
2018-10-05,,209000,
2018-10-06,,209600,
2018-10-07,,210200,
2018-10-08,,210500,
2018-10-09,,210600,
2018-10-10,,210900,
2018-10-11,,211000,
2018-10-12,,211300,
2018-10-13,,211800,
2018-10-14,,212300,
2018-10-15,,212800,
2018-10-16,,212900,
2018-10-17,,213000,
2018-10-18,,213100,
2018-10-19,,213400,
2018-10-20,,213900,
2018-10-21,,214400,
2018-10-22,,214800,
2018-10-23,,215000,
2018-10-24,,215200,
2018-10-25,,215300,
2018-10-26,,215600,
2018-10-27,,216200,
2018-10-28,,216600,
2018-10-29,,216900,
2018-10-30,,217100,
2018-10-31,,217300,
2018-11-01,,217600,
2018-11-02,,217800,
2018-11-03,,218300,
2018-11-04,,218900,
2018-11-05,,219100,
2018-11-06,,219400,
2018-11-07,,219600,
2018-11-08,,219700,
2018-11-09,,220100,
2018-11-10,,220300,
2018-11-11,,220800,
2018-11-12,,220900,
2018-11-13,,221300,
2018-11-14,,221500,
2018-11-15,,221600,
2018-11-16,,221800,
2018-11-17,,222100,
2018-11-18,,222600,
2018-11-19,,222800,
2018-11-20,,223200,
2018-11-21,,223400,
2018-11-22,,223700,
2018-11-23,,225500,
2018-11-24,,226700,
2018-11-25,,227500,
2018-11-26,,227900,
2018-11-27,,228200,
2018-11-28,,228600,
2018-11-29,,228800,
2018-11-30,,229300,
2018-12-01,,230100,
2018-12-02,,230500,
2018-12-03,,230700,
2018-12-04,,231100,
2018-12-05,,231400,
2018-12-06,,231600,
2018-12-07,,231800,
2018-12-08,,232500,
2018-12-09,,233000,
2018-12-10,,233400,
2018-12-11,,233600,
2018-12-12,,233700,
2018-12-13,,234100,
2018-12-14,,234500,
2018-12-15,,235300,
2018-12-16,,235900,
2018-12-17,,236100,
2018-12-18,,236700,
2018-12-19,,236900,
2018-12-20,,237100,
2018-12-21,,237400,
2018-12-22,,238000,
2018-12-23,,238700,
2018-12-24,,239700,
2018-12-25,,245500,
2018-12-26,,248900,
2018-12-27,,250600,
2018-12-28,,252100,
2018-12-29,,253700,
2018-12-30,,254500,
2018-12-31,,255400,
