Date,PS3 player count,PS4 player count,
2015-09-22,0,0,
2015-09-23,0,0,
2015-09-24,0,400,
2015-09-25,100,17800,
2015-09-26,300,30600,
2015-09-27,400,39200,
2015-09-28,400,45100,
2015-09-29,500,52600,
2015-09-30,600,60200,
2015-10-01,800,68300,
2015-10-02,1000,77300,
2015-10-03,1100,87800,
2015-10-04,1100,98300,
2015-10-05,1100,105800,
2015-10-06,1200,112900,
2015-10-07,1300,120200,
2015-10-08,1400,127200,
2015-10-09,1500,135100,
2015-10-10,1600,144600,
2015-10-11,1600,155400,
2015-10-12,1600,162700,
2015-10-13,1700,168800,
2015-10-14,1700,175300,
2015-10-15,1700,181700,
2015-10-16,1800,187500,
2015-10-17,1900,196200,
2015-10-18,2100,203800,
2015-10-19,2300,209500,
2015-10-20,2300,215000,
2015-10-21,2300,221200,
2015-10-22,2300,226000,
2015-10-23,2300,231700,
2015-10-24,2300,240800,
2015-10-25,5300,248800,
2015-10-26,6500,254400,
2015-10-27,7600,259700,
2015-10-28,8900,265500,
2015-10-29,10600,271000,
2015-10-30,11500,277200,
2015-10-31,12900,285900,
2015-11-01,14800,295000,
2015-11-02,15800,301000,
2015-11-03,16600,307500,
2015-11-04,17800,313800,
2015-11-05,19200,320300,
2015-11-06,20300,325700,
2015-11-07,22500,334500,
2015-11-08,23700,342100,
2015-11-09,24800,347200,
2015-11-10,25700,352200,
2015-11-11,27100,357500,
2015-11-12,27700,363300,
2015-11-13,29200,368300,
2015-11-14,31300,375800,
2015-11-15,32700,383300,
2015-11-16,33400,387900,
2015-11-17,34100,393600,
2015-11-18,35500,398300,
2015-11-19,36000,403600,
2015-11-20,37400,407700,
2015-11-21,38900,414700,
2015-11-22,40400,421200,
2015-11-23,41900,427000,
2015-11-24,43300,432200,
2015-11-25,44600,439900,
2015-11-26,46100,447200,
2015-11-27,47900,458100,
2015-11-28,50100,468900,
2015-11-29,51700,478800,
2015-11-30,53000,485900,
2015-12-01,54600,492700,
2015-12-02,56200,499200,
2015-12-03,57400,505100,
2015-12-04,58500,511400,
2015-12-05,61100,521100,
2015-12-06,62900,530900,
2015-12-07,64100,538200,
2015-12-08,65000,543800,
2015-12-09,66300,551200,
2015-12-10,67200,557500,
2015-12-11,68500,565800,
2015-12-12,70400,574600,
2015-12-13,72500,583800,
2015-12-14,73700,590500,
2015-12-15,75200,596900,
