Date,'',PS4 player count,
2019-08-31,,0,
2019-09-01,,200,
2019-09-02,,200,
2019-09-03,,200,
2019-09-04,,700,
2019-09-05,,31400,
2019-09-06,,767100,
2019-09-07,,1351500,
2019-09-08,,1672400,
2019-09-09,,1831000,
2019-09-10,,1960900,
2019-09-11,,2063500,
2019-09-12,,2150700,
2019-09-13,,2228900,
2019-09-14,,2338800,
2019-09-15,,2431000,
2019-09-16,,2486200,
2019-09-17,,2532200,
2019-09-18,,2575600,
2019-09-19,,2614200,
2019-09-20,,2655700,
2019-09-21,,2718800,
2019-09-22,,2773100,
2019-09-23,,2805500,
2019-09-24,,2832400,
2019-09-25,,2858200,
2019-09-26,,2883200,
2019-09-27,,2912700,
2019-09-28,,2955400,
2019-09-29,,2995500,
2019-09-30,,3020100,
2019-10-01,,3042600,
2019-10-02,,3063800,
2019-10-03,,3085700,
2019-10-04,,3106800,
2019-10-05,,3141500,
2019-10-06,,3171300,
2019-10-07,,3191800,
2019-10-08,,3208300,
2019-10-09,,3225600,
2019-10-10,,3241200,
2019-10-11,,3260500,
2019-10-12,,3288400,
2019-10-13,,3316100,
2019-10-14,,3337000,
2019-10-15,,3353100,
2019-10-16,,3366900,
2019-10-17,,3380800,
2019-10-18,,3395000,
2019-10-19,,3417700,
2019-10-20,,3440100,
2019-10-21,,3453800,
2019-10-22,,3468500,
2019-10-23,,3482400,
2019-10-24,,3498500,
2019-10-25,,3516600,
2019-10-26,,3545700,
2019-10-27,,3573800,
2019-10-28,,3591400,
2019-10-29,,3608900,
2019-10-30,,3624600,
2019-10-31,,3640200,
2019-11-01,,3657000,
2019-11-02,,3680400,
2019-11-03,,3699300,
2019-11-04,,3711900,
2019-11-05,,3725300,
2019-11-06,,3737000,
2019-11-07,,3747600,
2019-11-08,,3763200,
2019-11-09,,3785000,
2019-11-10,,3805300,
2019-11-11,,3820500,
2019-11-12,,3831400,
2019-11-13,,3842500,
2019-11-14,,3852300,
2019-11-15,,3864000,
2019-11-16,,3882000,
2019-11-17,,3899900,
2019-11-18,,3910500,
2019-11-19,,3921900,
2019-11-20,,3931000,
2019-11-21,,3940000,
2019-11-22,,3953500,
2019-11-23,,3980600,
2019-11-24,,4011000,
2019-11-25,,4035100,
2019-11-26,,4056600,
2019-11-27,,4082300,
2019-11-28,,4115000,
2019-11-29,,4184200,
2019-11-30,,4266400,
2019-12-01,,4328000,
2019-12-02,,4369900,
2019-12-03,,4405300,
2019-12-04,,4431300,
2019-12-05,,4453100,
2019-12-06,,4475000,
2019-12-07,,4503500,
2019-12-08,,4530000,
2019-12-09,,4544700,
2019-12-10,,4558900,
2019-12-11,,4572200,
2019-12-12,,4584600,
2019-12-13,,4600800,
2019-12-14,,4629900,
2019-12-15,,4660300,
2019-12-16,,4680800,
2019-12-17,,4700300,
2019-12-18,,4717500,
2019-12-19,,4734300,
2019-12-20,,4754100,
2019-12-21,,4785700,
2019-12-22,,4821000,
2019-12-23,,4859000,
2019-12-24,,4910900,
2019-12-25,,5099700,
2019-12-26,,5273300,
2019-12-27,,5389000,
2019-12-28,,5473400,
2019-12-29,,5541400,
2019-12-30,,5599100,
2019-12-31,,5658200,
2020-01-01,,5709400,
2020-01-02,,5753700,
2020-01-03,,5795200,
2020-01-04,,5837700,
2020-01-05,,5879700,
2020-01-06,,5920400,
2020-01-07,,5946100,
2020-01-08,,5965500,
2020-01-09,,5983100,
2020-01-10,,6000900,
2020-01-11,,6030400,
2020-01-12,,6057600,
2020-01-13,,6073900,
2020-01-14,,6087800,
2020-01-15,,6102300,
2020-01-16,,6115700,
2020-01-17,,6130800,
2020-01-18,,6156700,
2020-01-19,,6180600,
2020-01-20,,6200000,
2020-01-21,,6214900,
2020-01-22,,6229300,
2020-01-23,,6243400,
2020-01-24,,6260900,
2020-01-25,,6285800,
2020-01-26,,6310100,
2020-01-27,,6328100,
2020-01-28,,6344800,
2020-01-29,,6362400,
2020-01-30,,6379000,
2020-01-31,,6396900,
2020-02-01,,6423500,
2020-02-02,,6451700,
2020-02-03,,6466700,
2020-02-04,,6481400,
2020-02-05,,6494800,
2020-02-06,,6509000,
2020-02-07,,6525300,
2020-02-08,,6550200,
2020-02-09,,6574900,
2020-02-10,,6592100,
2020-02-11,,6607400,
2020-02-12,,6622900,
2020-02-13,,6643100,
2020-02-14,,6675700,
2020-02-15,,6720700,
2020-02-16,,6770000,
2020-02-17,,6812400,
2020-02-18,,6845200,
2020-02-19,,6874100,
2020-02-20,,6897700,
2020-02-21,,6919500,
2020-02-22,,6945600,
2020-02-23,,6969800,
2020-02-24,,6985000,
2020-02-25,,6998000,
2020-02-26,,7011100,
2020-02-27,,7027100,
2020-02-28,,7045100,
2020-02-29,,7071900,
2020-03-01,,7097100,
2020-03-02,,7111100,
2020-03-03,,7125200,
2020-03-04,,7138600,
2020-03-05,,7154600,
2020-03-06,,7173500,
2020-03-07,,7201300,
2020-03-08,,7229800,
2020-03-09,,7249600,
2020-03-10,,7267800,
2020-03-11,,7282600,
2020-03-12,,7299600,
2020-03-13,,7324700,
2020-03-14,,7367400,
2020-03-15,,7417300,
2020-03-16,,7466300,
2020-03-17,,7512300,
2020-03-18,,7547600,
2020-03-19,,7583900,
2020-03-20,,7618900,
2020-03-21,,7658100,
2020-03-22,,7691400,
2020-03-23,,7722600,
2020-03-24,,7753200,
2020-03-25,,7779900,
2020-03-26,,7807300,
2020-03-27,,7835400,
2020-03-28,,7868500,
2020-03-29,,7897700,
2020-03-30,,7921700,
2020-03-31,,7946600,
2020-04-01,,7980400,
2020-04-02,,8059900,
2020-04-03,,8139300,
2020-04-04,,8219000,
2020-04-05,,8297500,
2020-04-06,,8359800,
2020-04-07,,8419500,
2020-04-08,,8476300,
2020-04-09,,8530900,
2020-04-10,,8587200,
2020-04-11,,8648400,
2020-04-12,,8713600,
2020-04-13,,8772400,
2020-04-14,,8826700,
2020-04-15,,8878500,
2020-04-16,,8929200,
2020-04-17,,8979300,
2020-04-18,,9031600,
2020-04-19,,9080200,
2020-04-20,,9120500,
2020-04-21,,9160800,
2020-04-22,,9200500,
2020-04-23,,9238700,
2020-04-24,,9279900,
2020-04-25,,9321800,
2020-04-26,,9363700,
2020-04-27,,9397300,
2020-04-28,,9435600,
2020-04-29,,9476300,
2020-04-30,,9508200,
2020-05-01,,9536000,
2020-05-02,,9562500,
2020-05-03,,9586800,
2020-05-04,,9609200,
2020-05-05,,9629200,
2020-05-06,,9649300,
2020-05-07,,9671000,
2020-05-08,,9691700,
2020-05-09,,9712300,
2020-05-10,,9734000,
2020-05-11,,9751800,
2020-05-12,,9771900,
2020-05-13,,9821500,
2020-05-14,,9979600,
2020-05-15,,10143400,
2020-05-16,,10308600,
2020-05-17,,10451000,
2020-05-18,,10564400,
2020-05-19,,10672500,
2020-05-20,,10773700,
2020-05-21,,10863200,
2020-05-22,,10931800,
2020-05-23,,10995700,
2020-05-24,,11043100,
2020-05-25,,11084900,
2020-05-26,,11124300,
2020-05-27,,11156700,
2020-05-28,,11188300,
2020-05-29,,11217200,
2020-05-30,,11243100,
2020-05-31,,11268900,
2020-06-01,,11289700,
2020-06-02,,11311000,
2020-06-03,,11331500,
2020-06-04,,11352200,
2020-06-05,,11373800,
2020-06-06,,11398700,
2020-06-07,,11422100,
2020-06-08,,11442900,
2020-06-09,,11462900,
2020-06-10,,11484200,
2020-06-11,,11503400,
2020-06-12,,11524300,
2020-06-13,,11546300,
2020-06-14,,11567600,
2020-06-15,,11584900,
2020-06-16,,11600000,
2020-06-17,,11617600,
2020-06-18,,11633000,
2020-06-19,,11649100,
2020-06-20,,11665600,
2020-06-21,,11685200,
2020-06-22,,11702100,
2020-06-23,,11718300,
2020-06-24,,11733600,
2020-06-25,,11750200,
2020-06-26,,11766300,
2020-06-27,,11784600,
2020-06-28,,11801900,
2020-06-29,,11817500,
2020-06-30,,11834400,
2020-07-01,,11849500,
2020-07-02,,11864400,
2020-07-03,,11881000,
2020-07-04,,11898000,
2020-07-05,,11911800,
2020-07-06,,11927600,
2020-07-07,,12086700,
2020-07-08,,12682100,
2020-07-09,,13211700,
2020-07-10,,13645900,
2020-07-11,,14046200,
2020-07-12,,14394400,
2020-07-13,,14694400,
2020-07-14,,14962500,
2020-07-15,,15196100,
2020-07-16,,15407000,
2020-07-17,,15607800,
2020-07-18,,15806600,
2020-07-19,,15992800,
2020-07-20,,16150800,
2020-07-21,,16312000,
2020-07-22,,16455200,
2020-07-23,,16599300,
