Date,'',PS4 player count,
2017-10-23,,100,
2017-10-24,,100,
2017-10-25,,100,
2017-10-26,,100,
2017-10-27,,100,
2017-10-28,,100,
2017-10-29,,100,
2017-10-30,,100,
2017-10-31,,100,
2017-11-01,,100,
2017-11-02,,100,
2017-11-03,,100,
2017-11-04,,300,
2017-11-05,,500,
2017-11-06,,10800,
2017-11-07,,55100,
2017-11-08,,76600,
2017-11-09,,103300,
2017-11-10,,237700,
2017-11-11,,326200,
2017-11-12,,374400,
2017-11-13,,409900,
2017-11-14,,437300,
2017-11-15,,464700,
2017-11-16,,490300,
2017-11-17,,519400,
2017-11-18,,562800,
2017-11-19,,597100,
2017-11-20,,623900,
2017-11-21,,652800,
2017-11-22,,684700,
2017-11-23,,717400,
2017-11-24,,785100,
2017-11-25,,854800,
2017-11-26,,905900,
2017-11-27,,940900,
2017-11-28,,967900,
2017-11-29,,988000,
2017-11-30,,1006400,
2017-12-01,,1026500,
2017-12-02,,1050300,
2017-12-03,,1072000,
2017-12-04,,1086600,
2017-12-05,,1100900,
2017-12-06,,1118600,
2017-12-07,,1144700,
2017-12-08,,1171500,
2017-12-09,,1194100,
2017-12-10,,1211800,
2017-12-11,,1224700,
2017-12-12,,1235400,
2017-12-13,,1247600,
2017-12-14,,1258700,
2017-12-15,,1273500,
2017-12-16,,1291000,
2017-12-17,,1307700,
2017-12-18,,1320400,
2017-12-19,,1333400,
2017-12-20,,1348900,
2017-12-21,,1366500,
2017-12-22,,1390400,
2017-12-23,,1426400,
2017-12-24,,1490800,
2017-12-25,,1633000,
2017-12-26,,1717000,
2017-12-27,,1783800,
2017-12-28,,1832100,
2017-12-29,,1875200,
2017-12-30,,1917000,
2017-12-31,,1956000,
2018-01-01,,1989600,
2018-01-02,,2020300,
2018-01-03,,2047700,
2018-01-04,,2069900,
2018-01-05,,2091500,
2018-01-06,,2121800,
2018-01-07,,2145300,
2018-01-08,,2162800,
2018-01-09,,2177400,
2018-01-10,,2190400,
2018-01-11,,2203100,
2018-01-12,,2217900,
2018-01-13,,2236400,
2018-01-14,,2253000,
2018-01-15,,2264700,
2018-01-16,,2274400,
2018-01-17,,2283700,
2018-01-18,,2293200,
2018-01-19,,2302300,
2018-01-20,,2316000,
2018-01-21,,2327600,
2018-01-22,,2335200,
2018-01-23,,2342900,
2018-01-24,,2351400,
2018-01-25,,2361900,
2018-01-26,,2372400,
2018-01-27,,2386300,
2018-01-28,,2400400,
2018-01-29,,2411000,
2018-01-30,,2420000,
2018-01-31,,2429300,
2018-02-01,,2439000,
2018-02-02,,2451000,
2018-02-03,,2466200,
2018-02-04,,2480500,
2018-02-05,,2490600,
2018-02-06,,2500100,
2018-02-07,,2508300,
2018-02-08,,2519200,
2018-02-09,,2531900,
2018-02-10,,2549200,
2018-02-11,,2566000,
2018-02-12,,2578700,
2018-02-13,,2589400,
2018-02-14,,2601000,
2018-02-15,,2613800,
2018-02-16,,2626500,
2018-02-17,,2641700,
2018-02-18,,2659100,
2018-02-19,,2671000,
2018-02-20,,2683100,
2018-02-21,,2694400,
2018-02-22,,2706900,
2018-02-23,,2720000,
2018-02-24,,2735800,
2018-02-25,,2752200,
2018-02-26,,2763700,
2018-02-27,,2774300,
2018-02-28,,2783200,
2018-03-01,,2793800,
2018-03-02,,2805200,
2018-03-03,,2820500,
2018-03-04,,2833700,
2018-03-05,,2843300,
2018-03-06,,2852200,
2018-03-07,,2860100,
2018-03-08,,2867900,
2018-03-09,,2874500,
2018-03-10,,2884900,
2018-03-11,,2893500,
2018-03-12,,2899800,
2018-03-13,,2906300,
2018-03-14,,2913200,
2018-03-15,,2921100,
2018-03-16,,2929400,
2018-03-17,,2940500,
2018-03-18,,2951000,
2018-03-19,,2960000,
2018-03-20,,2967600,
2018-03-21,,2975700,
2018-03-22,,2985200,
2018-03-23,,2997600,
2018-03-24,,3012700,
2018-03-25,,3029700,
2018-03-26,,3041500,
2018-03-27,,3052100,
2018-03-28,,3061200,
2018-03-29,,3072500,
2018-03-30,,3084900,
2018-03-31,,3097900,
2018-04-01,,3110900,
2018-04-02,,3122400,
2018-04-03,,3130800,
2018-04-04,,3140500,
2018-04-05,,3148800,
2018-04-06,,3157200,
