Date,'',PS4 player count,PS Vita player count
2016-06-03,,0,0
2016-06-04,,0,0
2016-06-05,,200,0
2016-06-06,,200,0
2016-06-07,,200,0
2016-06-08,,300,0
2016-06-09,,300,0
2016-06-10,,300,0
2016-06-11,,400,0
2016-06-12,,500,0
2016-06-13,,500,0
2016-06-14,,500,0
2016-06-15,,600,0
2016-06-16,,600,0
2016-06-17,,700,0
2016-06-18,,700,0
2016-06-19,,700,0
2016-06-20,,800,0
2016-06-21,,800,0
2016-06-22,,800,0
2016-06-23,,900,0
2016-06-24,,1000,0
2016-06-25,,1000,0
2016-06-26,,1000,0
2016-06-27,,1000,0
2016-06-28,,1000,0
2016-06-29,,1000,0
2016-06-30,,1000,0
2016-07-01,,1000,0
2016-07-02,,1000,0
2016-07-03,,1100,0
2016-07-04,,1100,0
2016-07-05,,1100,0
2016-07-06,,1100,0
2016-07-07,,1200,0
2016-07-08,,1200,0
2016-07-09,,1200,0
2016-07-10,,1200,0
2016-07-11,,1200,0
2016-07-12,,1200,0
2016-07-13,,1200,0
2016-07-14,,1200,0
2016-07-15,,1200,0
2016-07-16,,1200,0
2016-07-17,,1200,0
2016-07-18,,1300,0
2016-07-19,,1300,0
2016-07-20,,1300,0
2016-07-21,,1300,0
2016-07-22,,1300,0
2016-07-23,,1300,0
2016-07-24,,1300,0
2016-07-25,,1300,0
2016-07-26,,1300,0
2016-07-27,,1300,0
2016-07-28,,1400,0
2016-07-29,,1400,0
2016-07-30,,1400,0
2016-07-31,,1400,0
2016-08-01,,1400,0
2016-08-02,,1400,0
2016-08-03,,1400,0
2016-08-04,,1400,0
2016-08-05,,1400,0
2016-08-06,,1400,0
2016-08-07,,1400,0
2016-08-08,,1400,0
2016-08-09,,1400,0
2016-08-10,,1400,0
2016-08-11,,1400,0
2016-08-12,,1400,0
2016-08-13,,1400,0
2016-08-14,,1400,0
2016-08-15,,1400,0
2016-08-16,,1400,0
2016-08-17,,1400,0
2016-08-18,,1400,0
2016-08-19,,1400,0
2016-08-20,,1400,0
2016-08-21,,1400,0
2016-08-22,,1500,0
2016-08-23,,1500,0
2016-08-24,,1500,0
2016-08-25,,1500,0
2016-08-26,,1500,0
2016-08-27,,1500,0
2016-08-28,,1500,0
2016-08-29,,1500,0
2016-08-30,,1500,0
2016-08-31,,1600,0
2016-09-01,,1600,0
2016-09-02,,1700,0
2016-09-03,,1700,0
2016-09-04,,1700,0
2016-09-05,,1700,0
2016-09-06,,1700,0
2016-09-07,,1700,0
2016-09-08,,1700,0
2016-09-09,,1700,0
2016-09-10,,1800,0
2016-09-11,,1800,0
2016-09-12,,1800,0
2016-09-13,,1900,0
2016-09-14,,1900,0
2016-09-15,,1900,0
2016-09-16,,1900,0
2016-09-17,,1900,0
2016-09-18,,1900,0
2016-09-19,,1900,0
2016-09-20,,1900,0
2016-09-21,,1900,0
2016-09-22,,1900,0
2016-09-23,,1900,0
2016-09-24,,1900,0
2016-09-25,,1900,0
2016-09-26,,1900,0
2016-09-27,,1900,0
2016-09-28,,1900,0
2016-09-29,,1900,0
2016-09-30,,1900,0
2016-10-01,,1900,0
2016-10-02,,1900,0
2016-10-03,,1900,0
2016-10-04,,1900,0
2016-10-05,,1900,0
2016-10-06,,1900,0
2016-10-07,,1900,0
2016-10-08,,2000,0
2016-10-09,,2000,0
2016-10-10,,2000,0
2016-10-11,,2000,0
2016-10-12,,2000,0
2016-10-13,,2000,0
2016-10-14,,2000,0
2016-10-15,,2000,0
2016-10-16,,2100,0
2016-10-17,,2100,0
2016-10-18,,2100,0
2016-10-19,,2100,0
2016-10-20,,2100,0
2016-10-21,,2100,0
2016-10-22,,2100,0
2016-10-23,,2100,0
2016-10-24,,2100,0
2016-10-25,,2100,0
2016-10-26,,2100,0
2016-10-27,,2100,0
2016-10-28,,2100,0
2016-10-29,,2100,0
2016-10-30,,2100,0
2016-10-31,,2100,0
2016-11-01,,2100,0
2016-11-02,,2100,0
2016-11-03,,2100,0
2016-11-04,,2100,0
2016-11-05,,2100,0
2016-11-06,,2200,0
2016-11-07,,2200,0
2016-11-08,,2200,0
2016-11-09,,2200,0
2016-11-10,,2200,0
2016-11-11,,2200,0
2016-11-12,,2200,0
2016-11-13,,2200,0
2016-11-14,,2300,0
2016-11-15,,2300,0
2016-11-16,,2300,0
2016-11-17,,2300,0
2016-11-18,,2300,0
2016-11-19,,2300,0
2016-11-20,,2300,0
2016-11-21,,2300,0
2016-11-22,,2300,0
2016-11-23,,2300,0
2016-11-24,,2300,0
2016-11-25,,2300,0
2016-11-26,,2300,0
2016-11-27,,2300,0
2016-11-28,,2400,0
2016-11-29,,2400,0
2016-11-30,,2400,0
2016-12-01,,2700,0
2016-12-02,,2800,100
2016-12-03,,2800,100
2016-12-04,,2900,200
2016-12-05,,2900,200
2016-12-06,,2900,200
2016-12-07,,2900,200
2016-12-08,,3000,200
2016-12-09,,3000,200
2016-12-10,,3000,300
2016-12-11,,3100,300
2016-12-12,,3200,300
2016-12-13,,3200,300
2016-12-14,,3200,300
2016-12-15,,3200,300
2016-12-16,,3200,300
2016-12-17,,3200,300
2016-12-18,,3200,300
2016-12-19,,3200,300
2016-12-20,,3200,300
2016-12-21,,3300,300
2016-12-22,,3300,300
2016-12-23,,3300,300
