Date,PS3 player count,PS4 player count,
2014-11-19,0,200,
2014-11-20,0,300,
2014-11-21,0,400,
2014-11-22,0,600,
2014-11-23,0,700,
2014-11-24,0,800,
2014-11-25,0,800,
2014-11-26,0,800,
2014-11-27,0,1000,
2014-11-28,0,1200,
2014-11-29,0,1400,
2014-11-30,0,1600,
2014-12-01,0,1800,
2014-12-02,0,2200,
2014-12-03,0,2400,
2014-12-04,0,2600,
2014-12-05,0,2800,
2014-12-06,0,3100,
2014-12-07,0,3400,
2014-12-08,0,3500,
2014-12-09,0,3700,
2014-12-10,0,3700,
2014-12-11,0,3700,
2014-12-12,0,3700,
2014-12-13,0,3700,
2014-12-14,0,3900,
2014-12-15,0,4100,
2014-12-16,0,4300,
2014-12-17,0,4400,
2014-12-18,0,4500,
2014-12-19,0,4700,
2014-12-20,0,4900,
2014-12-21,0,5100,
2014-12-22,0,5300,
2014-12-23,0,5400,
2014-12-24,0,5600,
2014-12-25,0,5600,
2014-12-26,0,5700,
2014-12-27,0,5800,
2014-12-28,0,6200,
2014-12-29,0,6600,
2014-12-30,0,6800,
2014-12-31,0,6900,
2015-01-01,0,7100,
2015-01-02,0,7200,
2015-01-03,0,7600,
2015-01-04,0,7900,
2015-01-05,0,8000,
2015-01-06,0,8300,
2015-01-07,0,8500,
2015-01-08,0,8600,
2015-01-09,0,8700,
2015-01-10,0,9000,
2015-01-11,0,9100,
2015-01-12,0,9100,
2015-01-13,0,9200,
2015-01-14,0,9300,
2015-01-15,0,9500,
2015-01-16,0,9600,
2015-01-17,0,9800,
2015-01-18,0,10000,
2015-01-19,0,10000,
2015-01-20,0,10300,
2015-01-21,0,10600,
2015-01-22,0,10700,
2015-01-23,0,10900,
2015-01-24,0,11300,
2015-01-25,0,11600,
2015-01-26,0,12100,
2015-01-27,0,12200,
2015-01-28,0,12300,
2015-01-29,0,12500,
2015-01-30,0,12700,
2015-01-31,0,13400,
2015-02-01,0,13900,
2015-02-02,0,14200,
2015-02-03,0,14500,
2015-02-04,0,14600,
2015-02-05,0,14700,
2015-02-06,0,14800,
2015-02-07,0,15200,
2015-02-08,0,15600,
2015-02-09,0,15700,
2015-02-10,0,15800,
2015-02-11,0,16000,
2015-02-12,0,16100,
2015-02-13,0,16400,
2015-02-14,0,16900,
2015-02-15,0,17300,
2015-02-16,0,17300,
2015-02-17,0,17800,
2015-02-18,0,17900,
2015-02-19,0,18200,
2015-02-20,0,18300,
2015-02-21,0,18600,
2015-02-22,0,19000,
2015-02-23,0,19300,
2015-02-24,0,19500,
2015-02-25,0,19700,
2015-02-26,0,20000,
2015-02-27,0,20200,
2015-02-28,0,20500,
2015-03-01,0,21000,
2015-03-02,0,21200,
2015-03-03,0,21500,
2015-03-04,0,21700,
2015-03-05,0,21900,
2015-03-06,0,22200,
2015-03-07,0,22400,
2015-03-08,0,22700,
2015-03-09,0,22700,
2015-03-10,0,22900,
2015-03-11,0,23100,
2015-03-12,0,23200,
2015-03-13,0,23200,
2015-03-14,0,23200,
2015-03-15,0,23500,
2015-03-16,0,23500,
2015-03-17,0,23600,
2015-03-18,0,23800,
2015-03-19,0,24000,
2015-03-20,0,24000,
2015-03-21,0,24000,
2015-03-22,0,24400,
2015-03-23,0,24600,
2015-03-24,0,24600,
2015-03-25,0,24700,
2015-03-26,0,24800,
2015-03-27,0,24800,
2015-03-28,0,25000,
2015-03-29,0,25100,
2015-03-30,0,25200,
2015-03-31,0,25300,
2015-04-01,0,25900,
2015-04-02,0,26400,
2015-04-03,0,27200,
2015-04-04,0,28300,
2015-04-05,0,29600,
2015-04-06,0,30500,
2015-04-07,0,31400,
2015-04-08,0,39300,
2015-04-09,0,56300,
2015-04-10,0,78900,
2015-04-11,0,106100,
2015-04-12,0,137500,
2015-04-13,0,157700,
2015-04-14,0,180500,
2015-04-15,0,198300,
2015-04-16,0,215400,
2015-04-17,0,231400,
2015-04-18,0,255800,
2015-04-19,0,277500,
2015-04-20,0,293800,
2015-04-21,0,308600,
2015-04-22,0,321300,
2015-04-23,0,335300,
2015-04-24,0,349900,
2015-04-25,0,369300,
2015-04-26,0,389500,
2015-04-27,0,402600,
2015-04-28,0,413700,
2015-04-29,0,426800,
2015-04-30,0,438500,
2015-05-01,0,454200,
