Date,'',PS4 player count,
2017-01-31,,100,
2017-02-01,,100,
2017-02-02,,100,
2017-02-03,,300,
2017-02-04,,400,
2017-02-05,,500,
2017-02-06,,700,
2017-02-07,,15100,
2017-02-08,,38900,
2017-02-09,,58300,
2017-02-10,,74400,
2017-02-11,,93400,
2017-02-12,,110100,
2017-02-13,,124600,
2017-02-14,,137700,
2017-02-15,,150000,
2017-02-16,,161600,
2017-02-17,,174100,
2017-02-18,,190500,
2017-02-19,,206700,
2017-02-20,,218100,
2017-02-21,,228900,
2017-02-22,,240700,
2017-02-23,,251500,
2017-02-24,,263800,
2017-02-25,,280900,
2017-02-26,,298700,
2017-02-27,,311200,
2017-02-28,,323800,
2017-03-01,,335300,
2017-03-02,,344800,
2017-03-03,,355500,
2017-03-04,,368200,
2017-03-05,,379900,
2017-03-06,,388000,
2017-03-07,,396900,
2017-03-08,,404400,
2017-03-09,,410900,
2017-03-10,,418000,
2017-03-11,,426300,
2017-03-12,,435800,
2017-03-13,,442600,
2017-03-14,,449000,
2017-03-15,,456400,
2017-03-16,,461600,
2017-03-17,,468000,
2017-03-18,,475200,
2017-03-19,,483000,
2017-03-20,,489100,
2017-03-21,,494900,
2017-03-22,,500300,
2017-03-23,,506000,
2017-03-24,,512500,
2017-03-25,,520900,
2017-03-26,,527900,
2017-03-27,,533300,
2017-03-28,,538200,
2017-03-29,,543800,
2017-03-30,,547500,
2017-03-31,,552000,
2017-04-01,,557100,
2017-04-02,,563000,
2017-04-03,,567500,
2017-04-04,,572000,
2017-04-05,,575700,
2017-04-06,,579500,
2017-04-07,,584100,
2017-04-08,,589000,
2017-04-09,,594400,
2017-04-10,,597500,
2017-04-11,,600700,
2017-04-12,,604200,
2017-04-13,,608500,
2017-04-14,,613900,
2017-04-15,,619000,
2017-04-16,,623500,
2017-04-17,,627500,
2017-04-18,,631600,
2017-04-19,,635000,
2017-04-20,,638800,
2017-04-21,,642500,
2017-04-22,,646900,
2017-04-23,,651300,
2017-04-24,,654000,
2017-04-25,,656300,
2017-04-26,,659800,
2017-04-27,,663200,
2017-04-28,,667100,
2017-04-29,,672200,
2017-04-30,,676300,
2017-05-01,,680100,
2017-05-02,,683000,
2017-05-03,,687200,
2017-05-04,,690900,
2017-05-05,,696100,
2017-05-06,,701900,
2017-05-07,,708100,
2017-05-08,,712200,
2017-05-09,,716000,
2017-05-10,,719500,
2017-05-11,,722600,
2017-05-12,,726300,
2017-05-13,,731800,
2017-05-14,,736300,
2017-05-15,,740100,
2017-05-16,,743300,
2017-05-17,,747100,
2017-05-18,,751300,
2017-05-19,,755100,
2017-05-20,,760100,
2017-05-21,,764500,
2017-05-22,,767800,
2017-05-23,,770900,
2017-05-24,,773100,
2017-05-25,,776400,
2017-05-26,,779600,
2017-05-27,,783100,
2017-05-28,,787600,
2017-05-29,,790300,
2017-05-30,,793200,
2017-05-31,,796000,
2017-06-01,,799000,
2017-06-02,,802200,
2017-06-03,,805300,
2017-06-04,,809000,
2017-06-05,,812000,
2017-06-06,,814800,
2017-06-07,,818100,
2017-06-08,,821100,
2017-06-09,,824200,
2017-06-10,,829200,
2017-06-11,,834100,
2017-06-12,,836800,
2017-06-13,,841000,
2017-06-14,,844300,
2017-06-15,,848300,
2017-06-16,,852700,
2017-06-17,,857300,
2017-06-18,,861500,
2017-06-19,,864300,
2017-06-20,,867400,
2017-06-21,,871700,
2017-06-22,,875000,
2017-06-23,,878400,
2017-06-24,,882800,
2017-06-25,,887100,
2017-06-26,,890500,
2017-06-27,,894600,
2017-06-28,,897200,
2017-06-29,,899800,
2017-06-30,,903100,
2017-07-01,,906900,
2017-07-02,,910600,
2017-07-03,,914300,
2017-07-04,,917500,
2017-07-05,,921400,
2017-07-06,,925500,
2017-07-07,,928200,
2017-07-08,,932100,
2017-07-09,,937000,
2017-07-10,,939500,
2017-07-11,,942900,
2017-07-12,,945800,
2017-07-13,,948700,
2017-07-14,,952400,
2017-07-15,,956000,
2017-07-16,,959800,
2017-07-17,,963000,
2017-07-18,,965500,
2017-07-19,,967600,
2017-07-20,,969900,
2017-07-21,,972600,
2017-07-22,,975900,
2017-07-23,,979400,
2017-07-24,,982600,
2017-07-25,,986100,
2017-07-26,,988900,
2017-07-27,,992400,
2017-07-28,,995600,
2017-07-29,,999700,
2017-07-30,,1004100,
2017-07-31,,1007600,
2017-08-01,,1011100,
2017-08-02,,1014600,
2017-08-03,,1017600,
2017-08-04,,1020200,
2017-08-05,,1023600,
2017-08-06,,1028400,
2017-08-07,,1031800,
2017-08-08,,1034900,
2017-08-09,,1038000,
2017-08-10,,1041500,
2017-08-11,,1045000,
2017-08-12,,1049400,
2017-08-13,,1053000,
2017-08-14,,1056700,
2017-08-15,,1060400,
2017-08-16,,1063400,
2017-08-17,,1066700,
2017-08-18,,1069200,
2017-08-19,,1072100,
2017-08-20,,1075800,
2017-08-21,,1078700,
2017-08-22,,1081000,
2017-08-23,,1083000,
2017-08-24,,1085200,
2017-08-25,,1087800,
2017-08-26,,1091900,
2017-08-27,,1096000,
2017-08-28,,1099100,
2017-08-29,,1101900,
2017-08-30,,1103900,
2017-08-31,,1106300,
2017-09-01,,1108800,
2017-09-02,,1111500,
2017-09-03,,1114700,
2017-09-04,,1117100,
2017-09-05,,1119600,
2017-09-06,,1121800,
2017-09-07,,1123700,
2017-09-08,,1125800,
2017-09-09,,1129000,
2017-09-10,,1131600,
2017-09-11,,1133200,
2017-09-12,,1135300,
2017-09-13,,1137100,
2017-09-14,,1138800,
2017-09-15,,1140400,
2017-09-16,,1143400,
2017-09-17,,1147100,
2017-09-18,,1149400,
2017-09-19,,1151200,
2017-09-20,,1153300,
2017-09-21,,1155100,
2017-09-22,,1157700,
2017-09-23,,1160600,
2017-09-24,,1163800,
2017-09-25,,1165500,
2017-09-26,,1168200,
2017-09-27,,1170900,
2017-09-28,,1174000,
2017-09-29,,1177400,
2017-09-30,,1182100,
2017-10-01,,1187700,
2017-10-02,,1191700,
2017-10-03,,1195400,
2017-10-04,,1198600,
2017-10-05,,1202000,
2017-10-06,,1205500,
2017-10-07,,1209200,
2017-10-08,,1213800,
2017-10-09,,1218200,
2017-10-10,,1221000,
2017-10-11,,1223500,
2017-10-12,,1225400,
2017-10-13,,1228100,
2017-10-14,,1231500,
2017-10-15,,1235100,
2017-10-16,,1238200,
2017-10-17,,1240900,
2017-10-18,,1242800,
2017-10-19,,1245800,
2017-10-20,,1248100,
2017-10-21,,1251900,
2017-10-22,,1255500,
2017-10-23,,1257700,
2017-10-24,,1259800,
2017-10-25,,1262400,
2017-10-26,,1264600,
2017-10-27,,1266300,
2017-10-28,,1269100,
2017-10-29,,1271900,
2017-10-30,,1273600,
2017-10-31,,1275600,
2017-11-01,,1277700,
2017-11-02,,1280600,
2017-11-03,,1282600,
2017-11-04,,1285100,
2017-11-05,,1287800,
2017-11-06,,1290300,
2017-11-07,,1292800,
2017-11-08,,1295300,
2017-11-09,,1296300,
2017-11-10,,1298500,
2017-11-11,,1301200,
2017-11-12,,1304500,
2017-11-13,,1306700,
2017-11-14,,1308700,
2017-11-15,,1311000,
2017-11-16,,1312900,
2017-11-17,,1314900,
