Date,'',PS4 player count,PS Vita player count
2015-03-03,,700,0
2015-03-04,,20700,1200
2015-03-05,,43700,2600
2015-03-06,,62500,3600
2015-03-07,,89400,4800
2015-03-08,,114000,6700
2015-03-09,,129800,7600
2015-03-10,,146500,8600
2015-03-11,,162500,9600
2015-03-12,,176500,10000
2015-03-13,,190900,10800
2015-03-14,,210800,11400
2015-03-15,,227600,12000
2015-03-16,,238800,12800
2015-03-17,,249900,13300
2015-03-18,,260200,13800
2015-03-19,,273200,14200
2015-03-20,,287400,15000
2015-03-21,,308800,15500
2015-03-22,,329700,16100
2015-03-23,,342200,16600
2015-03-24,,357200,17300
2015-03-25,,371200,17700
2015-03-26,,386100,18300
2015-03-27,,401400,18900
2015-03-28,,421000,19500
2015-03-29,,440900,19800
2015-03-30,,457100,20000
2015-03-31,,472200,20300
2015-04-01,,487200,20900
2015-04-02,,502500,22000
2015-04-03,,519200,22500
2015-04-04,,538300,23200
2015-04-05,,556400,24000
2015-04-06,,571500,24900
2015-04-07,,583200,25300
2015-04-08,,595000,25800
2015-04-09,,605500,26800
2015-04-10,,614700,28100
2015-04-11,,625500,28700
2015-04-12,,635300,29600
2015-04-13,,641500,30100
2015-04-14,,649200,30500
2015-04-15,,654800,30800
2015-04-16,,660200,31300
2015-04-17,,666200,31600
2015-04-18,,674800,32200
2015-04-19,,682900,32500
2015-04-20,,688100,32900
2015-04-21,,692900,33000
2015-04-22,,697800,33400
2015-04-23,,703000,33800
2015-04-24,,707100,34100
2015-04-25,,712800,34700
2015-04-26,,718500,35500
2015-04-27,,721800,35700
2015-04-28,,725300,35900
2015-04-29,,728900,36100
2015-04-30,,732300,36300
2015-05-01,,736900,36500
2015-05-02,,742600,36900
2015-05-03,,747300,37200
2015-05-04,,751000,37700
2015-05-05,,753800,37900
2015-05-06,,757600,38200
2015-05-07,,760700,38600
2015-05-08,,763600,38900
2015-05-09,,768200,39100
2015-05-10,,772100,39300
2015-05-11,,774100,39400
2015-05-12,,776000,39500
2015-05-13,,778700,39600
2015-05-14,,781100,39700
2015-05-15,,784400,39800
2015-05-16,,787800,39800
2015-05-17,,791500,39800
2015-05-18,,794000,40000
2015-05-19,,796800,40100
2015-05-20,,798900,40300
2015-05-21,,801300,40300
2015-05-22,,803600,40300
2015-05-23,,806400,40400
2015-05-24,,809400,40600
2015-05-25,,812100,40700
2015-05-26,,814500,40800
2015-05-27,,817300,40800
2015-05-28,,819200,40900
2015-05-29,,821600,41000
2015-05-30,,825400,41200
2015-05-31,,829000,41300
2015-06-01,,831000,41400
2015-06-02,,833300,41500
2015-06-03,,835300,41500
2015-06-04,,837300,41500
2015-06-05,,839500,41600
2015-06-06,,842500,41600
2015-06-07,,845100,41700
2015-06-08,,846900,41700
2015-06-09,,848700,41700
2015-06-10,,850600,41900
2015-06-11,,852400,41900
2015-06-12,,854100,41900
2015-06-13,,857100,42000
2015-06-14,,859200,42000
2015-06-15,,860900,42100
2015-06-16,,862200,42100
2015-06-17,,864100,42100
2015-06-18,,865400,42200
2015-06-19,,867100,42300
2015-06-20,,869400,42300
2015-06-21,,871200,42300
2015-06-22,,872900,42300
2015-06-23,,875000,42300
2015-06-24,,876600,42300
2015-06-25,,877800,42300
2015-06-26,,879100,42300
2015-06-27,,880700,42400
2015-06-28,,882500,42500
2015-06-29,,884200,42500
2015-06-30,,886200,42600
2015-07-01,,887700,42700
2015-07-02,,889300,42800
2015-07-03,,891100,42800
2015-07-04,,892200,42800
2015-07-05,,893800,42800
2015-07-06,,895600,42800
2015-07-07,,897700,42800
2015-07-08,,899700,42900
2015-07-09,,900900,43000
2015-07-10,,902200,43100
2015-07-11,,904500,43100
2015-07-12,,906300,43100
2015-07-13,,907600,43200
2015-07-14,,909100,43300
2015-07-15,,910500,43300
2015-07-16,,911700,43300
2015-07-17,,913100,43500
2015-07-18,,914800,43500
2015-07-19,,916600,43500
2015-07-20,,917800,43500
2015-07-21,,919100,43600
2015-07-22,,920700,43600
2015-07-23,,921800,43600
2015-07-24,,922600,43700
2015-07-25,,924300,43700
2015-07-26,,925700,43700
2015-07-27,,926800,43800
