Date,'',PS4 player count,
2018-05-31,,100,
2018-06-01,,200,
2018-06-02,,400,
2018-06-03,,400,
2018-06-04,,800,
2018-06-05,,3000,
2018-06-06,,4200,
2018-06-07,,5000,
2018-06-08,,6000,
2018-06-09,,7200,
2018-06-10,,7800,
2018-06-11,,8100,
2018-06-12,,8400,
2018-06-13,,8500,
2018-06-14,,8700,
2018-06-15,,9500,
2018-06-16,,9900,
2018-06-17,,10100,
2018-06-18,,10200,
2018-06-19,,10500,
2018-06-20,,10800,
2018-06-21,,11100,
2018-06-22,,11300,
2018-06-23,,11400,
2018-06-24,,11600,
2018-06-25,,11700,
2018-06-26,,11900,
2018-06-27,,12100,
2018-06-28,,12200,
2018-06-29,,12400,
2018-06-30,,12900,
2018-07-01,,13000,
2018-07-02,,13200,
2018-07-03,,13400,
2018-07-04,,14000,
2018-07-05,,14600,
2018-07-06,,14900,
2018-07-07,,15600,
2018-07-08,,15900,
2018-07-09,,16300,
2018-07-10,,16500,
2018-07-11,,16800,
2018-07-12,,17300,
2018-07-13,,17500,
2018-07-14,,17800,
2018-07-15,,18300,
2018-07-16,,18500,
2018-07-17,,18900,
2018-07-18,,19100,
2018-07-19,,19500,
2018-07-20,,19600,
2018-07-21,,20000,
2018-07-22,,20200,
2018-07-23,,20800,
2018-07-24,,20800,
2018-07-25,,21000,
2018-07-26,,21100,
2018-07-27,,21200,
2018-07-28,,21300,
2018-07-29,,21500,
2018-07-30,,21700,
2018-07-31,,21800,
2018-08-01,,22300,
2018-08-02,,22600,
2018-08-03,,22900,
2018-08-04,,23200,
2018-08-05,,23600,
2018-08-06,,23800,
2018-08-07,,24000,
2018-08-08,,24400,
2018-08-09,,24600,
2018-08-10,,25000,
2018-08-11,,25100,
2018-08-12,,25300,
2018-08-13,,25500,
2018-08-14,,25700,
2018-08-15,,25900,
2018-08-16,,26000,
2018-08-17,,26200,
2018-08-18,,26500,
2018-08-19,,26700,
2018-08-20,,26900,
2018-08-21,,26900,
