Date,'',PS4 player count,
2014-02-04,,600,
2014-02-05,,24600,
2014-02-06,,65000,
2014-02-07,,103000,
2014-02-08,,153200,
2014-02-09,,198700,
2014-02-10,,224000,
2014-02-11,,249100,
2014-02-12,,272900,
2014-02-13,,295900,
2014-02-14,,319800,
2014-02-15,,349400,
2014-02-16,,380900,
2014-02-17,,402700,
2014-02-18,,422000,
2014-02-19,,439800,
2014-02-20,,457200,
2014-02-21,,477700,
2014-02-22,,502000,
2014-02-23,,526600,
2014-02-24,,540500,
2014-02-25,,554900,
2014-02-26,,569100,
2014-02-27,,584100,
2014-02-28,,601200,
2014-03-01,,623000,
2014-03-02,,644100,
2014-03-03,,658100,
2014-03-04,,671200,
2014-03-05,,684000,
2014-03-06,,694600,
2014-03-07,,704400,
2014-03-08,,716600,
2014-03-09,,728400,
2014-03-10,,734700,
2014-03-11,,740800,
2014-03-12,,746000,
2014-03-13,,751900,
2014-03-14,,757200,
2014-03-15,,766900,
2014-03-16,,774500,
2014-03-17,,780100,
2014-03-18,,786200,
2014-03-19,,791700,
2014-03-20,,797000,
2014-03-21,,802600,
2014-03-22,,812600,
2014-03-23,,820900,
2014-03-24,,827000,
2014-03-25,,832800,
2014-03-26,,837600,
2014-03-27,,841700,
2014-03-28,,846100,
2014-03-29,,853400,
2014-03-30,,859100,
2014-03-31,,863400,
2014-04-01,,866300,
2014-04-02,,869300,
2014-04-03,,873100,
2014-04-04,,876100,
2014-04-05,,880700,
2014-04-06,,886800,
2014-04-07,,889700,
2014-04-08,,892100,
2014-04-09,,895100,
2014-04-10,,897300,
2014-04-11,,900400,
2014-04-12,,904100,
2014-04-13,,908500,
2014-04-14,,911200,
2014-04-15,,914500,
2014-04-16,,917200,
2014-04-17,,920200,
2014-04-18,,923700,
2014-04-19,,927800,
2014-04-20,,931200,
2014-04-21,,934500,
2014-04-22,,937600,
2014-04-23,,939700,
2014-04-24,,942300,
2014-04-25,,944300,
2014-04-26,,947500,
2014-04-27,,951100,
2014-04-28,,952900,
2014-04-29,,955400,
2014-04-30,,957500,
2014-05-01,,960000,
2014-05-02,,962800,
2014-05-03,,966200,
2014-05-04,,969100,
2014-05-05,,971300,
2014-05-06,,972900,
2014-05-07,,975900,
2014-05-08,,980000,
2014-05-09,,983500,
2014-05-10,,988800,
2014-05-11,,994500,
2014-05-12,,998300,
2014-05-13,,1002600,
2014-05-14,,1005900,
2014-05-15,,1008800,
2014-05-16,,1012300,
2014-05-17,,1016600,
2014-05-18,,1021200,
2014-05-19,,1024300,
2014-05-20,,1027600,
2014-05-21,,1031100,
2014-05-22,,1034000,
2014-05-23,,1037000,
2014-05-24,,1041900,
2014-05-25,,1044900,
2014-05-26,,1049400,
2014-05-27,,1052300,
2014-05-28,,1055600,
2014-05-29,,1059300,
2014-05-30,,1063800,
2014-05-31,,1067100,
2014-06-01,,1071200,
2014-06-02,,1073900,
2014-06-03,,1076400,
