Date,'',PS4 player count,
2017-04-23,,100,
2017-04-24,,300,
2017-04-25,,2000,
2017-04-26,,6300,
2017-04-27,,11000,
2017-04-28,,16200,
2017-04-29,,23400,
2017-04-30,,30500,
2017-05-01,,36700,
2017-05-02,,40900,
2017-05-03,,45200,
2017-05-04,,48600,
2017-05-05,,52100,
2017-05-06,,59200,
2017-05-07,,64100,
2017-05-08,,68300,
2017-05-09,,71300,
2017-05-10,,73800,
2017-05-11,,76800,
2017-05-12,,80000,
2017-05-13,,84200,
2017-05-14,,88100,
2017-05-15,,91100,
2017-05-16,,94400,
2017-05-17,,96800,
2017-05-18,,99400,
2017-05-19,,102200,
2017-05-20,,106300,
2017-05-21,,110100,
2017-05-22,,112300,
2017-05-23,,114500,
2017-05-24,,116800,
2017-05-25,,118400,
2017-05-26,,120900,
2017-05-27,,123800,
2017-05-28,,126100,
2017-05-29,,128700,
2017-05-30,,130100,
2017-05-31,,132100,
2017-06-01,,133700,
2017-06-02,,135600,
2017-06-03,,137900,
2017-06-04,,139900,
2017-06-05,,141600,
2017-06-06,,143500,
2017-06-07,,144800,
2017-06-08,,146100,
2017-06-09,,147400,
2017-06-10,,149400,
2017-06-11,,151900,
2017-06-12,,153400,
2017-06-13,,154400,
2017-06-14,,155800,
2017-06-15,,157300,
2017-06-16,,159000,
2017-06-17,,160500,
2017-06-18,,162200,
2017-06-19,,163400,
2017-06-20,,164800,
2017-06-21,,166400,
2017-06-22,,167600,
2017-06-23,,169200,
2017-06-24,,171200,
2017-06-25,,173200,
2017-06-26,,175000,
2017-06-27,,176600,
2017-06-28,,177900,
2017-06-29,,179400,
2017-06-30,,180800,
2017-07-01,,182400,
2017-07-02,,184100,
2017-07-03,,186100,
2017-07-04,,187500,
2017-07-05,,189100,
2017-07-06,,191300,
2017-07-07,,192900,
2017-07-08,,194900,
2017-07-09,,196400,
2017-07-10,,197700,
2017-07-11,,199400,
2017-07-12,,200900,
2017-07-13,,202100,
2017-07-14,,203600,
2017-07-15,,205000,
2017-07-16,,206700,
2017-07-17,,208300,
2017-07-18,,209500,
2017-07-19,,211000,
2017-07-20,,212400,
2017-07-21,,213600,
2017-07-22,,214800,
2017-07-23,,216600,
2017-07-24,,217700,
2017-07-25,,219500,
2017-07-26,,221000,
2017-07-27,,222400,
2017-07-28,,223500,
2017-07-29,,224900,
2017-07-30,,226600,
2017-07-31,,228400,
2017-08-01,,229800,
2017-08-02,,231300,
2017-08-03,,232100,
2017-08-04,,233400,
2017-08-05,,235100,
2017-08-06,,236700,
2017-08-07,,238000,
2017-08-08,,239000,
2017-08-09,,240200,
2017-08-10,,241500,
2017-08-11,,242300,
2017-08-12,,243900,
2017-08-13,,245800,
2017-08-14,,247200,
2017-08-15,,248300,
2017-08-16,,249700,
2017-08-17,,251500,
2017-08-18,,252700,
2017-08-19,,254700,
2017-08-20,,256200,
2017-08-21,,257700,
2017-08-22,,259000,
2017-08-23,,260200,
2017-08-24,,261500,
2017-08-25,,262500,
2017-08-26,,263900,
2017-08-27,,265800,
2017-08-28,,266500,
2017-08-29,,267600,
2017-08-30,,269100,
2017-08-31,,270300,
2017-09-01,,271400,
2017-09-02,,272600,
2017-09-03,,273500,
2017-09-04,,274600,
2017-09-05,,275300,
2017-09-06,,276200,
2017-09-07,,277300,
2017-09-08,,278300,
2017-09-09,,279700,
2017-09-10,,280900,
2017-09-11,,281700,
2017-09-12,,282300,
2017-09-13,,283400,
2017-09-14,,284100,
2017-09-15,,285000,
2017-09-16,,286200,
2017-09-17,,287100,
2017-09-18,,288000,
2017-09-19,,288500,
2017-09-20,,289100,
2017-09-21,,289900,
2017-09-22,,290800,
2017-09-23,,291900,
2017-09-24,,292800,
2017-09-25,,293700,
2017-09-26,,294500,
2017-09-27,,295100,
2017-09-28,,295800,
2017-09-29,,296700,
2017-09-30,,298100,
2017-10-01,,299100,
2017-10-02,,300100,
2017-10-03,,300900,
2017-10-04,,301600,
2017-10-05,,302300,
2017-10-06,,303000,
2017-10-07,,303900,
2017-10-08,,304900,
2017-10-09,,305400,
2017-10-10,,306000,
2017-10-11,,306700,
2017-10-12,,307100,
2017-10-13,,307900,
2017-10-14,,309000,
2017-10-15,,310100,
2017-10-16,,310700,
2017-10-17,,311300,
2017-10-18,,311800,
2017-10-19,,312700,
2017-10-20,,313700,
2017-10-21,,315000,
2017-10-22,,316700,
2017-10-23,,318000,
2017-10-24,,318900,
2017-10-25,,320100,
2017-10-26,,321000,
2017-10-27,,321800,
2017-10-28,,323500,
2017-10-29,,324800,
2017-10-30,,326200,
2017-10-31,,327400,
2017-11-01,,328300,
2017-11-02,,329000,
2017-11-03,,329900,
2017-11-04,,331200,
2017-11-05,,332400,
2017-11-06,,333000,
2017-11-07,,333800,
2017-11-08,,334300,
2017-11-09,,334700,
2017-11-10,,335400,
2017-11-11,,336600,
2017-11-12,,338100,
2017-11-13,,338300,
2017-11-14,,338800,
2017-11-15,,339500,
2017-11-16,,340300,
2017-11-17,,340600,
2017-11-18,,341400,
2017-11-19,,342600,
2017-11-20,,343000,
2017-11-21,,343600,
2017-11-22,,344100,
2017-11-23,,345000,
2017-11-24,,345800,
2017-11-25,,347000,
2017-11-26,,347700,
2017-11-27,,348100,
2017-11-28,,348600,
2017-11-29,,349200,
2017-11-30,,349600,
2017-12-01,,350100,
2017-12-02,,350700,
2017-12-03,,351400,
2017-12-04,,351800,
2017-12-05,,352100,
2017-12-06,,352700,
2017-12-07,,353400,
2017-12-08,,354400,
2017-12-09,,355200,
2017-12-10,,356200,
2017-12-11,,356500,
2017-12-12,,356900,
2017-12-13,,357900,
2017-12-14,,358400,
2017-12-15,,359000,
2017-12-16,,359900,
2017-12-17,,360500,
2017-12-18,,361200,
2017-12-19,,361800,
2017-12-20,,362400,
2017-12-21,,363200,
2017-12-22,,364200,
2017-12-23,,364900,
2017-12-24,,366100,
2017-12-25,,367400,
2017-12-26,,368600,
2017-12-27,,369900,
2017-12-28,,371500,
2017-12-29,,373200,
2017-12-30,,375300,
2017-12-31,,377400,
2018-01-01,,378800,
2018-01-02,,380100,
2018-01-03,,381500,
2018-01-04,,382800,
2018-01-05,,384000,
2018-01-06,,385800,
2018-01-07,,387400,
2018-01-08,,388200,
2018-01-09,,389100,
2018-01-10,,390100,
2018-01-11,,390900,
2018-01-12,,392300,
2018-01-13,,393400,
2018-01-14,,394700,
2018-01-15,,395900,
2018-01-16,,396900,
2018-01-17,,397700,
2018-01-18,,398500,
2018-01-19,,399500,
2018-01-20,,401200,
2018-01-21,,402300,
2018-01-22,,403100,
2018-01-23,,403700,
2018-01-24,,404500,
2018-01-25,,405200,
2018-01-26,,405900,
2018-01-27,,407300,
2018-01-28,,408600,
2018-01-29,,409200,
2018-01-30,,409700,
2018-01-31,,410500,
2018-02-01,,411500,
2018-02-02,,412100,
2018-02-03,,412900,
2018-02-04,,414000,
2018-02-05,,414500,
2018-02-06,,415400,
2018-02-07,,415900,
2018-02-08,,416600,
2018-02-09,,417400,
2018-02-10,,418300,
2018-02-11,,419300,
2018-02-12,,419800,
2018-02-13,,420400,
2018-02-14,,421300,
2018-02-15,,422100,
2018-02-16,,422700,
2018-02-17,,423900,
2018-02-18,,425100,
2018-02-19,,426300,
2018-02-20,,427400,
2018-02-21,,428300,
2018-02-22,,429200,
2018-02-23,,430100,
2018-02-24,,431600,
2018-02-25,,432400,
2018-02-26,,433300,
2018-02-27,,433700,
2018-02-28,,434400,
2018-03-01,,435100,
2018-03-02,,436000,
2018-03-03,,436700,
2018-03-04,,437900,
2018-03-05,,438800,
2018-03-06,,439600,
2018-03-07,,439900,
2018-03-08,,440600,
2018-03-09,,441300,
2018-03-10,,442200,
2018-03-11,,443000,
2018-03-12,,443700,
2018-03-13,,444300,
2018-03-14,,445100,
2018-03-15,,445600,
2018-03-16,,446300,
2018-03-17,,446800,
2018-03-18,,447600,
2018-03-19,,448200,
2018-03-20,,448800,
2018-03-21,,449300,
2018-03-22,,449800,
2018-03-23,,450700,
2018-03-24,,451800,
2018-03-25,,453200,
2018-03-26,,454000,
2018-03-27,,454800,
2018-03-28,,455800,
2018-03-29,,457300,
2018-03-30,,458900,
2018-03-31,,461200,
2018-04-01,,463700,
2018-04-02,,465500,
2018-04-03,,467000,
2018-04-04,,468600,
2018-04-05,,469700,
2018-04-06,,470600,
2018-04-07,,472300,
2018-04-08,,474000,
2018-04-09,,475200,
2018-04-10,,476200,
2018-04-11,,477200,
2018-04-12,,478100,
2018-04-13,,478900,
2018-04-14,,480200,
2018-04-15,,482000,
2018-04-16,,483100,
2018-04-17,,484300,
2018-04-18,,485300,
2018-04-19,,486000,
2018-04-20,,486700,
2018-04-21,,488100,
2018-04-22,,489600,
2018-04-23,,490300,
2018-04-24,,490900,
2018-04-25,,491600,
2018-04-26,,492300,
2018-04-27,,493200,
2018-04-28,,494400,
2018-04-29,,495600,
2018-04-30,,496500,
2018-05-01,,497100,
2018-05-02,,497600,
2018-05-03,,498000,
2018-05-04,,498600,
2018-05-05,,499100,
2018-05-06,,499500,
2018-05-07,,499800,
2018-05-08,,500400,
2018-05-09,,500900,
2018-05-10,,501500,
2018-05-11,,502000,
2018-05-12,,502900,
2018-05-13,,503700,
2018-05-14,,504000,
2018-05-15,,504600,
2018-05-16,,504800,
2018-05-17,,505400,
2018-05-18,,506100,
2018-05-19,,506700,
2018-05-20,,507400,
2018-05-21,,508100,
2018-05-22,,508400,
2018-05-23,,508800,
2018-05-24,,509100,
2018-05-25,,509700,
2018-05-26,,510600,
2018-05-27,,511400,
2018-05-28,,511900,
2018-05-29,,512600,
2018-05-30,,513200,
2018-05-31,,514000,
2018-06-01,,514500,
2018-06-02,,515100,
2018-06-03,,515800,
2018-06-04,,516500,
2018-06-05,,516900,
2018-06-06,,517600,
2018-06-07,,518400,
2018-06-08,,518900,
2018-06-09,,519800,
2018-06-10,,520200,
2018-06-11,,520500,
2018-06-12,,520900,
2018-06-13,,521400,
2018-06-14,,521700,
2018-06-15,,521800,
2018-06-16,,522500,
2018-06-17,,523100,
2018-06-18,,523500,
2018-06-19,,523800,
2018-06-20,,524100,
2018-06-21,,524400,
2018-06-22,,525000,
2018-06-23,,525600,
2018-06-24,,526200,
2018-06-25,,526700,
2018-06-26,,527200,
2018-06-27,,527700,
2018-06-28,,528000,
2018-06-29,,528400,
2018-06-30,,529300,
2018-07-01,,529800,
2018-07-02,,530800,
2018-07-03,,531300,
2018-07-04,,532100,
2018-07-05,,532600,
2018-07-06,,533400,
2018-07-07,,534400,
2018-07-08,,535300,
2018-07-09,,536000,
2018-07-10,,536900,
2018-07-11,,537700,
2018-07-12,,538900,
