Date,'',PS4 player count,
2016-08-02,,100,
2016-08-03,,800,
2016-08-04,,1600,
2016-08-05,,2500,
2016-08-06,,3800,
2016-08-07,,4500,
2016-08-08,,5000,
2016-08-09,,6000,
2016-08-10,,6600,
2016-08-11,,7100,
2016-08-12,,7500,
2016-08-13,,8800,
2016-08-14,,9500,
2016-08-15,,10200,
2016-08-16,,11000,
2016-08-17,,11600,
2016-08-18,,12300,
2016-08-19,,12900,
2016-08-20,,13900,
2016-08-21,,15100,
2016-08-22,,15800,
2016-08-23,,16500,
2016-08-24,,17400,
2016-08-25,,18300,
2016-08-26,,19000,
2016-08-27,,20200,
2016-08-28,,21300,
2016-08-29,,21800,
2016-08-30,,22100,
2016-08-31,,22400,
2016-09-01,,22900,
2016-09-02,,23600,
2016-09-03,,24400,
2016-09-04,,25400,
2016-09-05,,26400,
2016-09-06,,26800,
2016-09-07,,27200,
2016-09-08,,27500,
2016-09-09,,27900,
2016-09-10,,28900,
2016-09-11,,29900,
2016-09-12,,30400,
2016-09-13,,30900,
2016-09-14,,31400,
2016-09-15,,32000,
2016-09-16,,32400,
2016-09-17,,33000,
2016-09-18,,34000,
2016-09-19,,34300,
2016-09-20,,34800,
2016-09-21,,35000,
2016-09-22,,35500,
2016-09-23,,35900,
2016-09-24,,36600,
2016-09-25,,37300,
2016-09-26,,37600,
2016-09-27,,37800,
2016-09-28,,38300,
2016-09-29,,38500,
2016-09-30,,39300,
2016-10-01,,40300,
2016-10-02,,41100,
2016-10-03,,41800,
2016-10-04,,42200,
2016-10-05,,42700,
2016-10-06,,43100,
2016-10-07,,43600,
2016-10-08,,44700,
2016-10-09,,45100,
2016-10-10,,45700,
2016-10-11,,46000,
2016-10-12,,46200,
2016-10-13,,46700,
2016-10-14,,47300,
2016-10-15,,48400,
2016-10-16,,49700,
2016-10-17,,50000,
2016-10-18,,50300,
2016-10-19,,50800,
2016-10-20,,51300,
2016-10-21,,51800,
2016-10-22,,52500,
2016-10-23,,53300,
2016-10-24,,53700,
2016-10-25,,54000,
2016-10-26,,54300,
2016-10-27,,54600,
2016-10-28,,54900,
2016-10-29,,55600,
