Date,'',PS4 player count,PS Vita player count
2014-06-03,,1000,300
2014-06-04,,10100,1300
2014-06-05,,25500,3900
2014-06-06,,39500,6600
2014-06-07,,57700,9200
2014-06-08,,73400,12200
2014-06-09,,85900,13800
2014-06-10,,99300,15300
2014-06-11,,110400,16700
2014-06-12,,121700,18000
2014-06-13,,133200,18900
2014-06-14,,145400,20200
2014-06-15,,157400,21300
2014-06-16,,165900,22300
2014-06-17,,175700,23700
2014-06-18,,186700,25200
2014-06-19,,198100,26600
2014-06-20,,208100,27700
2014-06-21,,219500,29400
2014-06-22,,230000,30900
2014-06-23,,239900,32000
2014-06-24,,248500,33200
2014-06-25,,257100,33900
2014-06-26,,267500,34700
2014-06-27,,275200,35300
2014-06-28,,285900,35900
2014-06-29,,294600,36600
2014-06-30,,302000,37700
2014-07-01,,309900,38300
2014-07-02,,317400,38900
2014-07-03,,325300,40300
2014-07-04,,332400,41400
2014-07-05,,338900,42200
2014-07-06,,345700,42900
2014-07-07,,351000,43300
2014-07-08,,356300,43700
2014-07-09,,360900,44000
2014-07-10,,365200,44500
2014-07-11,,370300,45200
2014-07-12,,375600,45600
2014-07-13,,379800,46300
2014-07-14,,383600,46500
2014-07-15,,387900,46600
2014-07-16,,392500,46900
2014-07-17,,397400,47100
2014-07-18,,400100,47300
2014-07-19,,404000,47600
2014-07-20,,407800,48000
2014-07-21,,411000,48700
2014-07-22,,414300,49100
2014-07-23,,417600,49600
2014-07-24,,421000,50000
2014-07-25,,423800,50300
2014-07-26,,427200,50500
2014-07-27,,430300,50900
2014-07-28,,434200,51200
2014-07-29,,437100,51400
2014-07-30,,440300,51500
2014-07-31,,443600,52100
2014-08-01,,446900,52200
2014-08-02,,450800,52500
2014-08-03,,454400,52600
2014-08-04,,457400,53000
2014-08-05,,460200,53100
2014-08-06,,464000,53300
2014-08-07,,466200,53900
2014-08-08,,468800,54100
2014-08-09,,470600,54400
2014-08-10,,473600,54700
2014-08-11,,475600,55000
2014-08-12,,477200,55100
2014-08-13,,478800,55100
2014-08-14,,480500,55400
2014-08-15,,482400,55500
2014-08-16,,484600,55700
2014-08-17,,486700,55700
2014-08-18,,489000,55700
2014-08-19,,490700,55800
2014-08-20,,493300,56000
2014-08-21,,495400,56100
2014-08-22,,497500,56100
2014-08-23,,499800,56400
2014-08-24,,501100,56400
2014-08-25,,502800,56500
2014-08-26,,504300,56600
2014-08-27,,506900,57000
2014-08-28,,509200,57500
2014-08-29,,510700,57500
2014-08-30,,512100,57700
2014-08-31,,514100,57900
2014-09-01,,516000,58000
2014-09-02,,517800,58200
2014-09-03,,519600,58300
2014-09-04,,521200,58500
2014-09-05,,522700,58800
2014-09-06,,524300,58800
2014-09-07,,527100,59000
2014-09-08,,528800,59000
2014-09-09,,532100,59000
2014-09-10,,535200,59200
2014-09-11,,538400,59500
2014-09-12,,540600,59600
2014-09-13,,543000,59700
2014-09-14,,545900,59700
2014-09-15,,547800,59700
2014-09-16,,549300,59700
2014-09-17,,551100,59700
2014-09-18,,552800,59900
2014-09-19,,554300,59900
2014-09-20,,556800,59900
2014-09-21,,559200,60300
2014-09-22,,560300,60400
2014-09-23,,561500,60600
2014-09-24,,562400,60600
2014-09-25,,563600,60600
2014-09-26,,564600,60600
2014-09-27,,565500,60600
2014-09-28,,566900,60600
2014-09-29,,568100,60800
2014-09-30,,569100,60800
2014-10-01,,570200,60900
2014-10-02,,571700,60900
2014-10-03,,573100,60900
2014-10-04,,574800,61000
2014-10-05,,576400,61100
2014-10-06,,577500,61100
2014-10-07,,579200,61100
2014-10-08,,580400,61300
2014-10-09,,582000,61500
2014-10-10,,583300,61600
2014-10-11,,585000,61900
2014-10-12,,586400,61900
2014-10-13,,587500,62000
2014-10-14,,588200,62100
2014-10-15,,588900,62100
2014-10-16,,590200,62200
2014-10-17,,591000,62400
2014-10-18,,592100,62500
2014-10-19,,593600,62500
2014-10-20,,594200,62500
2014-10-21,,595000,62600
2014-10-22,,595400,62600
2014-10-23,,595700,62700
2014-10-24,,596500,62700
2014-10-25,,597300,62700
2014-10-26,,598100,62700
2014-10-27,,598900,62700
2014-10-28,,600400,62800
2014-10-29,,602000,63000
2014-10-30,,603200,63100
2014-10-31,,604900,63200
2014-11-01,,606500,63200
2014-11-02,,608000,63200
2014-11-03,,609200,63200
2014-11-04,,610900,63200
2014-11-05,,612600,63200
2014-11-06,,614900,63300
2014-11-07,,616100,63400
2014-11-08,,618500,63400
2014-11-09,,619900,63400
2014-11-10,,620500,63400
2014-11-11,,621900,63400
2014-11-12,,622900,63400
2014-11-13,,624100,63400
2014-11-14,,625200,63400
2014-11-15,,626100,63500
2014-11-16,,627600,63500
2014-11-17,,628300,63500
2014-11-18,,629400,63700
2014-11-19,,630600,63700
2014-11-20,,631600,63800
2014-11-21,,632300,63900
2014-11-22,,633900,64000
2014-11-23,,634600,64000
2014-11-24,,635600,64200
2014-11-25,,636200,64200
2014-11-26,,637000,64200
2014-11-27,,637500,64200
2014-11-28,,638200,64200
2014-11-29,,639200,64200
2014-11-30,,640500,64300
2014-12-01,,640900,64300
2014-12-02,,641200,64300
2014-12-03,,642000,64300
2014-12-04,,642700,64300
2014-12-05,,643700,64400
2014-12-06,,644800,64400
2014-12-07,,646000,64400
2014-12-08,,646800,64400
2014-12-09,,647200,64500
2014-12-10,,647800,64500
2014-12-11,,648000,64500
2014-12-12,,648300,64500
2014-12-13,,649300,64600
2014-12-14,,650000,64600
2014-12-15,,650200,64600
2014-12-16,,650800,64800
2014-12-17,,651300,64800
2014-12-18,,651900,64800
2014-12-19,,652500,64800
2014-12-20,,653300,64800
2014-12-21,,654300,64800
2014-12-22,,654700,64800
2014-12-23,,655400,64900
2014-12-24,,655900,64900
2014-12-25,,656200,65000
2014-12-26,,656300,65000
2014-12-27,,656800,65100
2014-12-28,,657400,65300
2014-12-29,,658200,65500
2014-12-30,,659200,65500
2014-12-31,,660000,65500
2015-01-01,,660300,65600
2015-01-02,,661200,65600
2015-01-03,,662200,65600
2015-01-04,,662800,65700
2015-01-05,,663400,65700
2015-01-06,,663700,65700
2015-01-07,,664100,65700
2015-01-08,,664700,65700
2015-01-09,,665300,65700
2015-01-10,,666000,65700
2015-01-11,,666700,65700
2015-01-12,,667200,65700
2015-01-13,,667800,65800
2015-01-14,,668300,65800
2015-01-15,,668800,65800
2015-01-16,,669600,65800
2015-01-17,,669800,65800
2015-01-18,,670200,65800
2015-01-19,,670500,65800
2015-01-20,,670900,65900
2015-01-21,,671100,66000
2015-01-22,,671600,66000
2015-01-23,,672100,66000
2015-01-24,,672700,66000
2015-01-25,,673100,66100
2015-01-26,,673500,66100
2015-01-27,,674000,66200
2015-01-28,,674300,66200
2015-01-29,,674800,66200
2015-01-30,,675100,66200
2015-01-31,,675700,66200
2015-02-01,,676000,66400
2015-02-02,,676300,66400
2015-02-03,,676500,66400
2015-02-04,,677100,66400
2015-02-05,,677400,66500
2015-02-06,,677700,66500
2015-02-07,,678000,66700
2015-02-08,,678500,66800
2015-02-09,,678900,66900
2015-02-10,,679300,67000
2015-02-11,,679500,67100
2015-02-12,,679600,67100
2015-02-13,,680200,67300
2015-02-14,,680800,67300
2015-02-15,,681300,67300
2015-02-16,,681600,67300
2015-02-17,,681900,67400
2015-02-18,,682300,67400
2015-02-19,,682900,67400
2015-02-20,,683200,67400
2015-02-21,,683700,67500
2015-02-22,,684100,67500
2015-02-23,,684500,67500
2015-02-24,,684700,67500
2015-02-25,,685000,67500
2015-02-26,,685600,67600
2015-02-27,,686100,67600
2015-02-28,,686300,67600
2015-03-01,,686800,67600
2015-03-02,,687000,67600
2015-03-03,,687200,67600
2015-03-04,,687500,67600
2015-03-05,,687900,67700
2015-03-06,,688400,67700
2015-03-07,,688800,67800
2015-03-08,,689200,67800
2015-03-09,,689600,67800
2015-03-10,,690100,67900
2015-03-11,,690300,67900
2015-03-12,,690500,68000
2015-03-13,,690800,68000
2015-03-14,,691300,68100
2015-03-15,,691600,68100
2015-03-16,,691800,68100
2015-03-17,,691800,68100
2015-03-18,,692100,68100
2015-03-19,,692500,68200
2015-03-20,,692800,68200
2015-03-21,,693100,68200
2015-03-22,,693700,68300
2015-03-23,,693900,68300
2015-03-24,,694100,68400
2015-03-25,,694300,68400
2015-03-26,,694700,68400
2015-03-27,,694900,68400
2015-03-28,,695200,68400
2015-03-29,,695500,68400
2015-03-30,,695600,68500
2015-03-31,,695800,68600
2015-04-01,,696000,68600
2015-04-02,,696400,68600
2015-04-03,,696800,68600
2015-04-04,,697300,68600
2015-04-05,,697600,68600
2015-04-06,,698000,68600
2015-04-07,,698300,68600
2015-04-08,,698600,68600
2015-04-09,,699000,68700
2015-04-10,,699200,68800
2015-04-11,,699400,68800
2015-04-12,,699900,68900
2015-04-13,,700300,68900
2015-04-14,,700500,68900
2015-04-15,,700800,68900
2015-04-16,,701200,68900
2015-04-17,,701300,69000
2015-04-18,,701700,69000
2015-04-19,,702100,69000
2015-04-20,,702400,69000
2015-04-21,,702500,69000
2015-04-22,,702500,69000
2015-04-23,,703000,69000
2015-04-24,,703300,69000
2015-04-25,,703400,69000
2015-04-26,,704000,69000
2015-04-27,,704100,69000
2015-04-28,,704200,69000
2015-04-29,,704700,69000
2015-04-30,,704800,69000
2015-05-01,,704900,69000
2015-05-02,,705000,69000
2015-05-03,,705300,69000
2015-05-04,,705500,69000
2015-05-05,,705700,69000
2015-05-06,,705800,69000
2015-05-07,,705900,69000
2015-05-08,,706000,69000
2015-05-09,,706300,69000
2015-05-10,,706700,69000
2015-05-11,,706900,69000
2015-05-12,,707000,69000
2015-05-13,,707200,69000
2015-05-14,,707300,69000
2015-05-15,,707400,69000
2015-05-16,,707800,69000
2015-05-17,,708100,69000
2015-05-18,,708400,69000
2015-05-19,,708800,69000
2015-05-20,,708800,69000
2015-05-21,,708900,69000
2015-05-22,,709000,69000
2015-05-23,,709200,69000
2015-05-24,,709300,69100
2015-05-25,,709500,69100
2015-05-26,,709700,69100
2015-05-27,,709700,69100
2015-05-28,,709800,69100
2015-05-29,,709900,69100
2015-05-30,,710100,69100
2015-05-31,,710300,69100
2015-06-01,,710400,69100
2015-06-02,,710900,69100
2015-06-03,,710900,69100
2015-06-04,,711200,69100
2015-06-05,,711400,69100
2015-06-06,,711700,69100
2015-06-07,,711800,69100
2015-06-08,,712200,69100
2015-06-09,,712400,69100
2015-06-10,,712600,69100
2015-06-11,,712900,69100
2015-06-12,,713000,69100
2015-06-13,,713100,69100
2015-06-14,,713300,69100
2015-06-15,,713500,69100
2015-06-16,,713700,69200
2015-06-17,,714000,69200
2015-06-18,,714000,69200
2015-06-19,,714100,69200
2015-06-20,,714300,69200
2015-06-21,,714500,69200
2015-06-22,,714700,69200
2015-06-23,,714700,69200
2015-06-24,,715000,69300
2015-06-25,,715100,69300
2015-06-26,,715100,69300
2015-06-27,,715600,69300
2015-06-28,,715700,69300
2015-06-29,,716000,69300
2015-06-30,,716400,69400
2015-07-01,,716600,69400
2015-07-02,,717100,69400
2015-07-03,,717300,69400
2015-07-04,,717500,69400
2015-07-05,,717500,69400
2015-07-06,,717700,69400
2015-07-07,,718000,69400
2015-07-08,,718200,69500
2015-07-09,,718400,69500
2015-07-10,,718600,69500
2015-07-11,,718800,69600
2015-07-12,,719200,69600
2015-07-13,,719300,69600
2015-07-14,,719600,69600
2015-07-15,,720000,69600
2015-07-16,,720200,69600
2015-07-17,,720600,69600
2015-07-18,,720800,69600
2015-07-19,,721000,69600
2015-07-20,,721000,69600
2015-07-21,,721200,69600
2015-07-22,,721500,69700
2015-07-23,,721700,69700
2015-07-24,,721900,69700
2015-07-25,,722200,69700
2015-07-26,,722300,69700
2015-07-27,,722400,69900
2015-07-28,,722700,69900
2015-07-29,,722700,69900
2015-07-30,,722900,69900
2015-07-31,,723200,69900
2015-08-01,,723500,69900
2015-08-02,,723800,70000
2015-08-03,,724200,70100
2015-08-04,,724300,70100
2015-08-05,,724400,70100
2015-08-06,,724600,70100
2015-08-07,,724800,70100
2015-08-08,,725100,70100
2015-08-09,,725400,70200
2015-08-10,,725500,70300
2015-08-11,,725700,70300
2015-08-12,,725800,70400
2015-08-13,,726100,70400
2015-08-14,,726300,70400
2015-08-15,,726700,70400
2015-08-16,,726900,70400
2015-08-17,,727200,70400
2015-08-18,,727500,70400
2015-08-19,,727700,70400
2015-08-20,,727800,70400
2015-08-21,,728100,70400
2015-08-22,,728400,70400
2015-08-23,,728600,70400
2015-08-24,,728800,70400
2015-08-25,,728800,70400
2015-08-26,,729000,70500
2015-08-27,,729200,70600
2015-08-28,,729200,70600
2015-08-29,,729600,70600
2015-08-30,,729700,70600
2015-08-31,,730100,70600
2015-09-01,,730300,70600
2015-09-02,,730700,70600
2015-09-03,,730800,70600
2015-09-04,,730800,70600
2015-09-05,,730900,70600
2015-09-06,,730900,70600
2015-09-07,,731100,70600
2015-09-08,,731400,70600
2015-09-09,,731500,70600
2015-09-10,,731600,70600
2015-09-11,,731700,70600
2015-09-12,,731900,70600
2015-09-13,,732200,70600
2015-09-14,,732300,70600
2015-09-15,,732500,70600
2015-09-16,,732700,70600
2015-09-17,,732700,70600
2015-09-18,,732800,70600
2015-09-19,,732900,70600
2015-09-20,,733200,70600
2015-09-21,,733200,70600
2015-09-22,,733400,70600
2015-09-23,,733600,70600
2015-09-24,,733700,70600
2015-09-25,,733800,70600
2015-09-26,,734100,70600
2015-09-27,,734300,70600
2015-09-28,,734300,70600
2015-09-29,,734500,70600
2015-09-30,,734500,70600
2015-10-01,,734600,70600
2015-10-02,,734700,70600
2015-10-03,,734800,70600
2015-10-04,,734800,70600
2015-10-05,,734800,70600
2015-10-06,,735000,70600
2015-10-07,,735000,70600
2015-10-08,,735000,70600
2015-10-09,,735000,70600
2015-10-10,,735200,70600
2015-10-11,,735500,70600
2015-10-12,,735500,70600
2015-10-13,,735600,70600
2015-10-14,,735700,70600
2015-10-15,,735800,70600
2015-10-16,,735900,70600
2015-10-17,,736300,70700
2015-10-18,,736400,70700
2015-10-19,,736500,70700
2015-10-20,,736600,70700
2015-10-21,,736600,70700
2015-10-22,,736700,70700
2015-10-23,,736700,70700
2015-10-24,,737100,70700
2015-10-25,,737100,70800
2015-10-26,,737100,70800
2015-10-27,,737300,70800
2015-10-28,,737500,70800
2015-10-29,,737600,70800
2015-10-30,,737800,70800
2015-10-31,,737800,70800
2015-11-01,,738000,70800
2015-11-02,,738200,70800
2015-11-03,,738300,70800
2015-11-04,,738500,70800
2015-11-05,,738500,70900
2015-11-06,,738600,70900
