Date,'',PS4 player count,PS Vita player count
2014-10-07,,2100,400
2014-10-08,,14700,3000
2014-10-09,,28000,6900
2014-10-10,,41500,9500
2014-10-11,,57000,13100
2014-10-12,,71400,15700
2014-10-13,,81800,18900
2014-10-14,,91400,20900
2014-10-15,,97800,23400
2014-10-16,,105600,25500
2014-10-17,,113400,27100
2014-10-18,,122800,28900
2014-10-19,,134000,31200
2014-10-20,,140400,32900
2014-10-21,,145900,33900
2014-10-22,,150700,35300
2014-10-23,,156100,36500
2014-10-24,,161500,38000
2014-10-25,,169800,38900
2014-10-26,,177200,40800
2014-10-27,,181900,42200
2014-10-28,,188500,43200
2014-10-29,,197100,43700
2014-10-30,,202800,44700
2014-10-31,,208700,45600
2014-11-01,,216300,46500
2014-11-02,,225700,47500
2014-11-03,,231300,48700
2014-11-04,,238200,49700
2014-11-05,,244700,50500
2014-11-06,,249400,51100
2014-11-07,,253200,51900
2014-11-08,,257900,52400
2014-11-09,,262700,52800
2014-11-10,,265200,53200
2014-11-11,,268200,53700
2014-11-12,,270500,54400
2014-11-13,,273600,54900
2014-11-14,,276200,55400
2014-11-15,,279100,55800
2014-11-16,,282400,56200
2014-11-17,,283800,56500
2014-11-18,,286600,56800
2014-11-19,,288600,56900
2014-11-20,,291000,57100
2014-11-21,,292700,57200
2014-11-22,,295400,57300
2014-11-23,,297200,58000
2014-11-24,,298900,58400
2014-11-25,,300100,58400
2014-11-26,,301600,58600
2014-11-27,,302900,58700
2014-11-28,,304400,58900
2014-11-29,,306100,59000
2014-11-30,,308000,59200
2014-12-01,,309100,59500
2014-12-02,,310400,59800
2014-12-03,,311600,60000
2014-12-04,,313100,60300
2014-12-05,,314400,60500
2014-12-06,,316100,60900
2014-12-07,,318600,61400
2014-12-08,,320100,61600
2014-12-09,,321200,61900
2014-12-10,,321900,62100
2014-12-11,,322400,62200
2014-12-12,,323400,62300
2014-12-13,,324500,62400
2014-12-14,,326000,62600
2014-12-15,,326500,62800
2014-12-16,,327200,63000
2014-12-17,,327900,63100
2014-12-18,,328700,63300
