Date,'',PS4 player count,
2018-12-06,,39700,
2018-12-07,,212600,
2018-12-08,,320300,
2018-12-09,,389000,
2018-12-10,,433900,
2018-12-11,,468800,
2018-12-12,,499800,
2018-12-13,,528000,
2018-12-14,,556000,
2018-12-15,,590400,
2018-12-16,,620100,
2018-12-17,,643600,
2018-12-18,,664500,
2018-12-19,,684300,
2018-12-20,,703500,
2018-12-21,,724100,
2018-12-22,,747100,
2018-12-23,,771900,
2018-12-24,,797800,
2018-12-25,,838700,
2018-12-26,,879500,
2018-12-27,,912600,
2018-12-28,,941900,
2018-12-29,,968200,
2018-12-30,,993100,
2018-12-31,,1014300,
2019-01-01,,1033900,
2019-01-02,,1052400,
2019-01-03,,1072900,
2019-01-04,,1094800,
2019-01-05,,1115700,
2019-01-06,,1138300,
2019-01-07,,1154900,
2019-01-08,,1167600,
2019-01-09,,1181900,
2019-01-10,,1196500,
2019-01-11,,1212500,
2019-01-12,,1233700,
2019-01-13,,1252500,
2019-01-14,,1265800,
2019-01-15,,1277800,
2019-01-16,,1288700,
2019-01-17,,1300300,
2019-01-18,,1314200,
2019-01-19,,1329600,
2019-01-20,,1344600,
2019-01-21,,1356100,
2019-01-22,,1363400,
2019-01-23,,1373800,
2019-01-24,,1383700,
2019-01-25,,1394200,
2019-01-26,,1409100,
2019-01-27,,1422700,
2019-01-28,,1432400,
2019-01-29,,1444100,
2019-01-30,,1453700,
2019-01-31,,1462600,
2019-02-01,,1471500,
2019-02-02,,1484700,
2019-02-03,,1499800,
2019-02-04,,1509700,
2019-02-05,,1519700,
2019-02-06,,1528200,
2019-02-07,,1536300,
2019-02-08,,1543700,
2019-02-09,,1554300,
2019-02-10,,1564400,
2019-02-11,,1572300,
2019-02-12,,1579100,
2019-02-13,,1584000,
2019-02-14,,1589600,
2019-02-15,,1595000,
2019-02-16,,1603000,
2019-02-17,,1611400,
2019-02-18,,1617600,
2019-02-19,,1623900,
2019-02-20,,1628800,
2019-02-21,,1633700,
2019-02-22,,1638800,
2019-02-23,,1645600,
2019-02-24,,1653000,
2019-02-25,,1657000,
2019-02-26,,1661100,
2019-02-27,,1665600,
2019-02-28,,1671400,
2019-03-01,,1675900,
2019-03-02,,1683400,
2019-03-03,,1690300,
2019-03-04,,1694500,
2019-03-05,,1698100,
2019-03-06,,1702300,
2019-03-07,,1706500,
2019-03-08,,1711100,
2019-03-09,,1717600,
2019-03-10,,1723700,
2019-03-11,,1728200,
2019-03-12,,1732400,
2019-03-13,,1736900,
2019-03-14,,1741500,
2019-03-15,,1746300,
2019-03-16,,1752500,
2019-03-17,,1758000,
2019-03-18,,1762100,
2019-03-19,,1765900,
2019-03-20,,1770900,
2019-03-21,,1774200,
2019-03-22,,1779300,
2019-03-23,,1785600,
2019-03-24,,1791000,
2019-03-25,,1795100,
2019-03-26,,1799100,
2019-03-27,,1803500,
2019-03-28,,1807100,
2019-03-29,,1810900,
2019-03-30,,1816100,
2019-03-31,,1821100,
2019-04-01,,1825300,
2019-04-02,,1829300,
2019-04-03,,1832400,
2019-04-04,,1836000,
2019-04-05,,1840600,
2019-04-06,,1845200,
2019-04-07,,1850000,
2019-04-08,,1854000,
2019-04-09,,1857000,
2019-04-10,,1860800,
2019-04-11,,1864200,
2019-04-12,,1868300,
2019-04-13,,1873100,
2019-04-14,,1878200,
2019-04-15,,1882300,
2019-04-16,,1885500,
2019-04-17,,1889100,
2019-04-18,,1892600,
2019-04-19,,1897900,
2019-04-20,,1903200,
2019-04-21,,1907600,
2019-04-22,,1912100,
2019-04-23,,1915500,
2019-04-24,,1919400,
2019-04-25,,1924000,
2019-04-26,,1927200,
2019-04-27,,1931800,
2019-04-28,,1937100,
2019-04-29,,1941100,
2019-04-30,,1945000,
2019-05-01,,1950000,
2019-05-02,,1954300,
2019-05-03,,1957800,
2019-05-04,,1962700,
2019-05-05,,1968000,
2019-05-06,,1973200,
2019-05-07,,1977800,
2019-05-08,,1981800,
2019-05-09,,1985600,
2019-05-10,,1989300,
2019-05-11,,1993900,
2019-05-12,,1999000,
2019-05-13,,2002200,
2019-05-14,,2005400,
2019-05-15,,2008200,
2019-05-16,,2010900,
2019-05-17,,2014100,
2019-05-18,,2018900,
2019-05-19,,2023900,
2019-05-20,,2027400,
2019-05-21,,2030200,
2019-05-22,,2033700,
2019-05-23,,2036600,
2019-05-24,,2040300,
2019-05-25,,2044800,
2019-05-26,,2049300,
2019-05-27,,2053300,
2019-05-28,,2056700,
2019-05-29,,2060800,
2019-05-30,,2064000,
2019-05-31,,2068500,
2019-06-01,,2072200,
2019-06-02,,2077000,
2019-06-03,,2081100,
2019-06-04,,2084400,
2019-06-05,,2087400,
2019-06-06,,2091000,
2019-06-07,,2095700,
2019-06-08,,2101000,
2019-06-09,,2106100,
2019-06-10,,2109800,
2019-06-11,,2113100,
2019-06-12,,2117400,
2019-06-13,,2120700,
2019-06-14,,2123900,
2019-06-15,,2129100,
2019-06-16,,2134400,
2019-06-17,,2138300,
2019-06-18,,2142400,
2019-06-19,,2146400,
2019-06-20,,2151100,
2019-06-21,,2155400,
2019-06-22,,2159300,
2019-06-23,,2163800,
2019-06-24,,2168200,
2019-06-25,,2171600,
2019-06-26,,2175700,
2019-06-27,,2178100,
2019-06-28,,2181300,
2019-06-29,,2185700,
2019-06-30,,2190400,
2019-07-01,,2194400,
2019-07-02,,2197600,
2019-07-03,,2200900,
2019-07-04,,2204500,
2019-07-05,,2208000,
2019-07-06,,2212800,
2019-07-07,,2217200,
2019-07-08,,2221000,
2019-07-09,,2224600,
2019-07-10,,2227600,
2019-07-11,,2231700,
2019-07-12,,2236100,
2019-07-13,,2239700,
2019-07-14,,2243800,
2019-07-15,,2247700,
2019-07-16,,2251500,
2019-07-17,,2255200,
2019-07-18,,2258700,
2019-07-19,,2262900,
2019-07-20,,2267700,
2019-07-21,,2272400,
2019-07-22,,2275500,
2019-07-23,,2278600,
2019-07-24,,2284000,
2019-07-25,,2291000,
2019-07-26,,2299900,
2019-07-27,,2308500,
2019-07-28,,2317300,
2019-07-29,,2325300,
2019-07-30,,2331700,
2019-07-31,,2339300,
2019-08-01,,2346400,
2019-08-02,,2354000,
2019-08-03,,2363200,
2019-08-04,,2373300,
2019-08-05,,2382400,
2019-08-06,,2390000,
2019-08-07,,2396600,
2019-08-08,,2402400,
2019-08-09,,2409300,
2019-08-10,,2419200,
2019-08-11,,2428100,
2019-08-12,,2435700,
2019-08-13,,2441700,
2019-08-14,,2448400,
2019-08-15,,2456100,
2019-08-16,,2462200,
2019-08-17,,2469400,
2019-08-18,,2477300,
2019-08-19,,2484000,
2019-08-20,,2490800,
2019-08-21,,2496800,
2019-08-22,,2502300,
2019-08-23,,2506200,
2019-08-24,,2510600,
2019-08-25,,2515000,
2019-08-26,,2518100,
2019-08-27,,2520800,
2019-08-28,,2524200,
2019-08-29,,2527800,
2019-08-30,,2530900,
2019-08-31,,2534500,
2019-09-01,,2539000,
2019-09-02,,2543300,
2019-09-03,,2546300,
2019-09-04,,2549100,
2019-09-05,,2551600,
2019-09-06,,2553900,
2019-09-07,,2557300,
2019-09-08,,2560600,
2019-09-09,,2563000,
2019-09-10,,2565600,
2019-09-11,,2568100,
2019-09-12,,2570700,
2019-09-13,,2573000,
2019-09-14,,2576100,
2019-09-15,,2579100,
2019-09-16,,2581200,
2019-09-17,,2583600,
2019-09-18,,2585800,
2019-09-19,,2587700,
2019-09-20,,2590200,
2019-09-21,,2593000,
2019-09-22,,2595900,
2019-09-23,,2598300,
2019-09-24,,2600300,
2019-09-25,,2602500,
2019-09-26,,2604600,
2019-09-27,,2606700,
2019-09-28,,2609700,
2019-09-29,,2613800,
2019-09-30,,2616300,
2019-10-01,,2618100,
2019-10-02,,2620400,
2019-10-03,,2622600,
2019-10-04,,2624400,
2019-10-05,,2627400,
2019-10-06,,2630100,
2019-10-07,,2632200,
2019-10-08,,2634000,
2019-10-09,,2635800,
2019-10-10,,2637300,
2019-10-11,,2639400,
2019-10-12,,2642300,
2019-10-13,,2645200,
2019-10-14,,2648000,
2019-10-15,,2650300,
2019-10-16,,2652200,
2019-10-17,,2653900,
2019-10-18,,2655500,
2019-10-19,,2658000,
2019-10-20,,2660100,
2019-10-21,,2662300,
2019-10-22,,2664100,
2019-10-23,,2666100,
2019-10-24,,2667700,
2019-10-25,,2669400,
2019-10-26,,2671700,
2019-10-27,,2673600,
2019-10-28,,2675200,
2019-10-29,,2676800,
2019-10-30,,2678300,
2019-10-31,,2680100,
2019-11-01,,2681300,
2019-11-02,,2683700,
2019-11-03,,2685700,
2019-11-04,,2688000,
2019-11-05,,2689300,
2019-11-06,,2690700,
2019-11-07,,2692200,
2019-11-08,,2694300,
2019-11-09,,2696700,
2019-11-10,,2699400,
2019-11-11,,2701700,
2019-11-12,,2703300,
2019-11-13,,2704900,
2019-11-14,,2706400,
2019-11-15,,2707700,
2019-11-16,,2710300,
2019-11-17,,2712600,
2019-11-18,,2713900,
2019-11-19,,2715000,
2019-11-20,,2716900,
2019-11-21,,2718600,
2019-11-22,,2720700,
2019-11-23,,2723700,
2019-11-24,,2727500,
2019-11-25,,2730300,
2019-11-26,,2732900,
2019-11-27,,2736200,
2019-11-28,,2739600,
2019-11-29,,2743400,
2019-11-30,,2749400,
2019-12-01,,2755100,
2019-12-02,,2759500,
2019-12-03,,2768700,
2019-12-04,,2780800,
2019-12-05,,2791700,
2019-12-06,,2805400,
2019-12-07,,2821000,
2019-12-08,,2835400,
2019-12-09,,2844000,
2019-12-10,,2852000,
2019-12-11,,2857900,
2019-12-12,,2865300,
2019-12-13,,2872400,
2019-12-14,,2882600,
2019-12-15,,2892300,
2019-12-16,,2898800,
2019-12-17,,2905500,
2019-12-18,,2911500,
2019-12-19,,2915600,
2019-12-20,,2921800,
2019-12-21,,2928300,
2019-12-22,,2935600,
2019-12-23,,2942400,
2019-12-24,,2951100,
2019-12-25,,2960200,
2019-12-26,,2969400,
2019-12-27,,2978000,
2019-12-28,,2986800,
2019-12-29,,2995600,
2019-12-30,,3004000,
2019-12-31,,3012200,
2020-01-01,,3020500,
2020-01-02,,3028900,
2020-01-03,,3038700,
2020-01-04,,3048800,
2020-01-05,,3058000,
2020-01-06,,3065200,
2020-01-07,,3071700,
2020-01-08,,3078300,
2020-01-09,,3083600,
2020-01-10,,3090300,
2020-01-11,,3098900,
2020-01-12,,3106900,
2020-01-13,,3113600,
2020-01-14,,3119400,
2020-01-15,,3125100,
2020-01-16,,3130400,
2020-01-17,,3138100,
2020-01-18,,3146900,
2020-01-19,,3155500,
2020-01-20,,3163100,
2020-01-21,,3176600,
2020-01-22,,3195500,
2020-01-23,,3209600,
2020-01-24,,3221700,
2020-01-25,,3238600,
2020-01-26,,3254400,
2020-01-27,,3264900,
2020-01-28,,3275100,
2020-01-29,,3285100,
2020-01-30,,3290600,
2020-01-31,,3297700,
2020-02-01,,3307100,
2020-02-02,,3317000,
2020-02-03,,3324100,
2020-02-04,,3331800,
2020-02-05,,3338000,
2020-02-06,,3346600,
2020-02-07,,3356100,
2020-02-08,,3367700,
2020-02-09,,3378100,
2020-02-10,,3385700,
2020-02-11,,3393000,
2020-02-12,,3400400,
2020-02-13,,3406600,
2020-02-14,,3412800,
2020-02-15,,3421700,
2020-02-16,,3430200,
2020-02-17,,3436000,
2020-02-18,,3441100,
2020-02-19,,3445800,
2020-02-20,,3451400,
2020-02-21,,3455200,
2020-02-22,,3460800,
2020-02-23,,3466400,
2020-02-24,,3470800,
2020-02-25,,3475100,
2020-02-26,,3479600,
2020-02-27,,3483800,
2020-02-28,,3488300,
2020-02-29,,3495100,
2020-03-01,,3501700,
2020-03-02,,3505400,
2020-03-03,,3510800,
2020-03-04,,3516100,
2020-03-05,,3522100,
2020-03-06,,3530900,
2020-03-07,,3541500,
2020-03-08,,3555500,
2020-03-09,,3564900,
2020-03-10,,3572300,
2020-03-11,,3579500,
2020-03-12,,3585700,
2020-03-13,,3592300,
2020-03-14,,3601400,
2020-03-15,,3610400,
2020-03-16,,3619100,
2020-03-17,,3628900,
2020-03-18,,3637700,
2020-03-19,,3645600,
2020-03-20,,3652700,
2020-03-21,,3660100,
2020-03-22,,3667200,
2020-03-23,,3674300,
2020-03-24,,3680000,
2020-03-25,,3685600,
2020-03-26,,3690100,
2020-03-27,,3696700,
2020-03-28,,3703400,
2020-03-29,,3709000,
2020-03-30,,3714800,
2020-03-31,,3720700,
2020-04-01,,3725600,
2020-04-02,,3730800,
2020-04-03,,3735600,
2020-04-04,,3742100,
2020-04-05,,3748500,
2020-04-06,,3754000,
2020-04-07,,3758900,
2020-04-08,,3764300,
2020-04-09,,3768400,
2020-04-10,,3772400,
2020-04-11,,3777300,
2020-04-12,,3782400,
2020-04-13,,3787800,
2020-04-14,,3792600,
2020-04-15,,3797200,
2020-04-16,,3802400,
2020-04-17,,3807900,
2020-04-18,,3813300,
2020-04-19,,3818500,
2020-04-20,,3823300,
2020-04-21,,3828300,
2020-04-22,,3833400,
2020-04-23,,3838700,
2020-04-24,,3843700,
2020-04-25,,3849900,
2020-04-26,,3855600,
2020-04-27,,3860300,
2020-04-28,,3864800,
2020-04-29,,3869700,
2020-04-30,,3875900,
2020-05-01,,3882600,
2020-05-02,,3890700,
2020-05-03,,3898700,
2020-05-04,,3904900,
2020-05-05,,3912100,
2020-05-06,,3919100,
2020-05-07,,3926500,
2020-05-08,,3933300,
2020-05-09,,3940400,
2020-05-10,,3947200,
2020-05-11,,3953600,
2020-05-12,,3959000,
2020-05-13,,3964600,
2020-05-14,,3969200,
2020-05-15,,3974900,
2020-05-16,,3980300,
2020-05-17,,3986000,
2020-05-18,,3991300,
2020-05-19,,3995500,
2020-05-20,,4000800,
2020-05-21,,4005300,
2020-05-22,,4009000,
2020-05-23,,4013700,
2020-05-24,,4018700,
2020-05-25,,4022900,
2020-05-26,,4025900,
2020-05-27,,4029700,
2020-05-28,,4033300,
2020-05-29,,4037200,
2020-05-30,,4042300,
2020-05-31,,4046800,
2020-06-01,,4050400,
2020-06-02,,4054900,
2020-06-03,,4059400,
2020-06-04,,4063700,
2020-06-05,,4068400,
2020-06-06,,4073200,
2020-06-07,,4078100,
2020-06-08,,4082800,
2020-06-09,,4087400,
2020-06-10,,4092800,
2020-06-11,,4097200,
2020-06-12,,4102500,
2020-06-13,,4107500,
2020-06-14,,4112500,
2020-06-15,,4117000,
2020-06-16,,4121600,
2020-06-17,,4125900,
2020-06-18,,4129500,
2020-06-19,,4132900,
2020-06-20,,4136400,
2020-06-21,,4139900,
2020-06-22,,4143600,
2020-06-23,,4146900,
2020-06-24,,4149900,
2020-06-25,,4153100,
2020-06-26,,4156900,
2020-06-27,,4160300,
2020-06-28,,4163700,
2020-06-29,,4167600,
2020-06-30,,4171500,
2020-07-01,,4174600,
2020-07-02,,4177500,
2020-07-03,,4180800,
2020-07-04,,4183800,
2020-07-05,,4187200,
2020-07-06,,4189800,
2020-07-07,,4192800,
2020-07-08,,4196000,
2020-07-09,,4198600,
2020-07-10,,4201100,
2020-07-11,,4204400,
2020-07-12,,4207300,
2020-07-13,,4210100,
2020-07-14,,4213200,
2020-07-15,,4216000,
2020-07-16,,4218700,
2020-07-17,,4221600,
2020-07-18,,4224300,
2020-07-19,,4227600,
2020-07-20,,4230400,
2020-07-21,,4233600,
2020-07-22,,4236600,
2020-07-23,,4241100,
2020-07-24,,4246800,
2020-07-25,,4252700,
2020-07-26,,4259300,
2020-07-27,,4264800,
2020-07-28,,4270200,
2020-07-29,,4275200,
2020-07-30,,4279600,
2020-07-31,,4283700,
2020-08-01,,4288800,
2020-08-02,,4294900,
2020-08-03,,4300000,
2020-08-04,,4305700,
2020-08-05,,4311000,
2020-08-06,,4317300,
2020-08-07,,4323100,
2020-08-08,,4328900,
2020-08-09,,4334900,
2020-08-10,,4339500,
2020-08-11,,4345500,
2020-08-12,,4350300,
2020-08-13,,4354100,
2020-08-14,,4360200,
2020-08-15,,4365700,
2020-08-16,,4371500,
2020-08-17,,4376500,
2020-08-18,,4381400,
2020-08-19,,4386200,
2020-08-20,,4390500,
2020-08-21,,4394200,
2020-08-22,,4397700,
2020-08-23,,4401900,
2020-08-24,,4406200,
2020-08-25,,4409500,
2020-08-26,,4413300,
2020-08-27,,4415800,
2020-08-28,,4418200,
2020-08-29,,4421600,
2020-08-30,,4424700,
2020-08-31,,4427600,
2020-09-01,,4525300,
2020-09-02,,4826300,
2020-09-03,,5098800,
2020-09-04,,5341800,
2020-09-05,,5570400,
2020-09-06,,5773800,
2020-09-07,,5928800,
2020-09-08,,6048000,
2020-09-09,,6153300,
2020-09-10,,6249700,
2020-09-11,,6336100,
2020-09-12,,6442100,
2020-09-13,,6536800,
2020-09-14,,6604900,
2020-09-15,,6667800,
2020-09-16,,6722700,
2020-09-17,,6776800,
2020-09-18,,6834200,
2020-09-19,,6906200,
2020-09-20,,6974300,
2020-09-21,,7023600,
2020-09-22,,7067100,
2020-09-23,,7111500,
2020-09-24,,7144400,
2020-09-25,,7185600,
2020-09-26,,7237700,
2020-09-27,,7285300,
2020-09-28,,7322500,
2020-09-29,,7355600,
2020-09-30,,7388800,
2020-10-01,,7421500,
2020-10-02,,7459500,
2020-10-03,,7504700,
2020-10-04,,7550200,
2020-10-05,,7581800,
2020-10-06,,7611900,
2020-10-07,,7634200,
2020-10-08,,7660100,
2020-10-09,,7684600,
2020-10-10,,7710900,
2020-10-11,,7733400,
2020-10-12,,7751000,
2020-10-13,,7766400,
2020-10-14,,7779100,
2020-10-15,,7791100,
2020-10-16,,7801500,
2020-10-17,,7816900,
2020-10-18,,7833200,
2020-10-19,,7844100,
2020-10-20,,7853600,
2020-10-21,,7863800,
2020-10-22,,7873000,
2020-10-23,,7883500,
2020-10-24,,7895100,
2020-10-25,,7907400,
2020-10-26,,7916200,
2020-10-27,,7925900,
2020-10-28,,7935800,
2020-10-29,,7940500,
2020-10-30,,7947600,
2020-10-31,,7956600,
2020-11-01,,7966200,
2020-11-02,,7973100,
2020-11-03,,7980500,
2020-11-04,,7987400,
2020-11-05,,7993900,
2020-11-06,,8000500,
2020-11-07,,8010900,
2020-11-08,,8020300,
2020-11-09,,8027000,
