Date,'',PS4 player count,
2017-05-10,,0,
2017-05-11,,0,
2017-05-12,,100,
2017-05-13,,100,
2017-05-14,,100,
2017-05-15,,100,
2017-05-16,,100,
2017-05-17,,100,
2017-05-18,,800,
2017-05-19,,1700,
2017-05-20,,2700,
2017-05-21,,3800,
2017-05-22,,4300,
2017-05-23,,5900,
2017-05-24,,8000,
2017-05-25,,9400,
2017-05-26,,11100,
2017-05-27,,12900,
2017-05-28,,15300,
2017-05-29,,16900,
2017-05-30,,18300,
2017-05-31,,19300,
2017-06-01,,20400,
2017-06-02,,21900,
2017-06-03,,23300,
2017-06-04,,24600,
2017-06-05,,25900,
2017-06-06,,27300,
2017-06-07,,28500,
2017-06-08,,30000,
2017-06-09,,31500,
2017-06-10,,32700,
2017-06-11,,34300,
2017-06-12,,35900,
2017-06-13,,37100,
2017-06-14,,38100,
2017-06-15,,38800,
2017-06-16,,40000,
2017-06-17,,41400,
2017-06-18,,43100,
2017-06-19,,43900,
2017-06-20,,44900,
2017-06-21,,45900,
2017-06-22,,47000,
2017-06-23,,48100,
2017-06-24,,49500,
2017-06-25,,50600,
2017-06-26,,51800,
2017-06-27,,53000,
2017-06-28,,53800,
2017-06-29,,55600,
2017-06-30,,57000,
2017-07-01,,59700,
2017-07-02,,61500,
2017-07-03,,63200,
2017-07-04,,65100,
2017-07-05,,67700,
2017-07-06,,69100,
2017-07-07,,71000,
2017-07-08,,73100,
2017-07-09,,76300,
2017-07-10,,78400,
2017-07-11,,80000,
2017-07-12,,81500,
2017-07-13,,83100,
2017-07-14,,84600,
2017-07-15,,86700,
2017-07-16,,88400,
2017-07-17,,90100,
2017-07-18,,91800,
2017-07-19,,92800,
2017-07-20,,93900,
2017-07-21,,95200,
2017-07-22,,96800,
2017-07-23,,98300,
2017-07-24,,99400,
2017-07-25,,100600,
2017-07-26,,101500,
2017-07-27,,102300,
2017-07-28,,103500,
2017-07-29,,105000,
2017-07-30,,106400,
2017-07-31,,107600,
2017-08-01,,108500,
2017-08-02,,109400,
2017-08-03,,110500,
2017-08-04,,111600,
2017-08-05,,113000,
2017-08-06,,114500,
2017-08-07,,115600,
2017-08-08,,116100,
2017-08-09,,116800,
2017-08-10,,117900,
2017-08-11,,119100,
2017-08-12,,120000,
2017-08-13,,120900,
2017-08-14,,121600,
2017-08-15,,122800,
2017-08-16,,123800,
2017-08-17,,124800,
2017-08-18,,125700,
2017-08-19,,126500,
2017-08-20,,127400,
2017-08-21,,128000,
2017-08-22,,128800,
2017-08-23,,129500,
2017-08-24,,130000,
2017-08-25,,130600,
2017-08-26,,131500,
2017-08-27,,132500,
2017-08-28,,133400,
2017-08-29,,133900,
2017-08-30,,134400,
2017-08-31,,135400,
2017-09-01,,136600,
2017-09-02,,137700,
2017-09-03,,138500,
2017-09-04,,139300,
2017-09-05,,139900,
2017-09-06,,140200,
2017-09-07,,140400,
2017-09-08,,140800,
2017-09-09,,141900,
2017-09-10,,142800,
2017-09-11,,143100,
2017-09-12,,143500,
2017-09-13,,144100,
2017-09-14,,144300,
2017-09-15,,144600,
2017-09-16,,145500,
2017-09-17,,146300,
2017-09-18,,147000,
2017-09-19,,147300,
2017-09-20,,147800,
2017-09-21,,148100,
2017-09-22,,148600,
2017-09-23,,149300,
2017-09-24,,149900,
2017-09-25,,150100,
2017-09-26,,150400,
2017-09-27,,151100,
2017-09-28,,151400,
2017-09-29,,152000,
2017-09-30,,152500,
2017-10-01,,153400,
2017-10-02,,153800,
2017-10-03,,154200,
2017-10-04,,154300,
2017-10-05,,154700,
