Date,PS3 player count,PS4 player count,PS Vita player count
2015-09-22,0,100,0
2015-09-23,100,700,0
2015-09-24,100,700,0
2015-09-25,200,800,0
2015-09-26,300,900,0
2015-09-27,400,1000,0
2015-09-28,400,1400,0
2015-09-29,400,1600,0
2015-09-30,400,1700,0
2015-10-01,400,1800,0
2015-10-02,500,2000,0
2015-10-03,500,2200,0
2015-10-04,700,2300,100
2015-10-05,700,2600,100
2015-10-06,700,2700,100
2015-10-07,700,2800,100
2015-10-08,700,2900,100
2015-10-09,800,3000,100
2015-10-10,800,3200,100
2015-10-11,900,3400,100
2015-10-12,900,3400,100
2015-10-13,1000,3600,100
2015-10-14,1000,3700,100
2015-10-15,1100,4000,100
2015-10-16,1100,4000,100
2015-10-17,1100,4100,100
2015-10-18,1200,4200,100
2015-10-19,1200,4200,200
2015-10-20,1200,4200,200
2015-10-21,1200,4300,200
2015-10-22,1200,4400,200
2015-10-23,1200,4400,200
2015-10-24,1200,4400,300
2015-10-25,1200,4600,300
2015-10-26,1200,4700,300
2015-10-27,1200,4700,300
2015-10-28,1200,4700,300
2015-10-29,1200,4700,300
2015-10-30,1200,4700,300
2015-10-31,1300,5000,400
2015-11-01,1400,5000,400
2015-11-02,1400,5000,400
2015-11-03,1400,5200,400
2015-11-04,1400,5200,400
2015-11-05,1500,5300,400
2015-11-06,1500,5300,400
2015-11-07,1500,5500,400
2015-11-08,1500,5700,400
2015-11-09,1500,5700,400
2015-11-10,1500,5700,400
2015-11-11,1500,5700,400
2015-11-12,1500,5900,400
2015-11-13,1500,5900,400
2015-11-14,1600,6000,400
2015-11-15,1600,6200,400
2015-11-16,1600,6200,400
2015-11-17,1600,6200,400
2015-11-18,1600,6300,400
2015-11-19,1600,6500,400
2015-11-20,1700,6600,400
2015-11-21,1800,6600,400
2015-11-22,1800,6600,400
2015-11-23,1800,6600,400
2015-11-24,1800,6600,400
2015-11-25,1900,6600,400
2015-11-26,1900,6600,400
2015-11-27,1900,6700,400
2015-11-28,2000,6700,400
2015-11-29,2100,6700,400
2015-11-30,2100,6700,400
2015-12-01,2100,6700,400
2015-12-02,2100,6700,400
2015-12-03,2100,6700,400
2015-12-04,2100,6700,400
2015-12-05,2100,6800,400
2015-12-06,2100,6900,400
2015-12-07,2100,6900,400
2015-12-08,2100,7000,400
2015-12-09,2100,7100,400
2015-12-10,2200,7100,400
2015-12-11,2300,7100,400
2015-12-12,2400,7200,400
2015-12-13,2400,7300,400
2015-12-14,2400,7300,400
2015-12-15,2400,7300,400
2015-12-16,2400,7500,400
2015-12-17,2400,7500,400
2015-12-18,2400,7600,400
2015-12-19,2400,7600,400
2015-12-20,2400,7600,400
2015-12-21,2400,7600,400
2015-12-22,2400,7600,400
2015-12-23,2400,7700,400
2015-12-24,2400,7900,400
2015-12-25,2400,8000,500
2015-12-26,2400,8300,600
2015-12-27,2700,8400,600
2015-12-28,2900,8400,600
2015-12-29,2900,8500,600
2015-12-30,3000,8700,600
2015-12-31,3100,8900,600
2016-01-01,3200,9200,600
2016-01-02,3300,9500,600
2016-01-03,3400,9500,700
2016-01-04,3400,9600,700
2016-01-05,3400,9700,700
2016-01-06,3400,9800,700
2016-01-07,3400,10000,700
2016-01-08,3400,10200,700
2016-01-09,3400,10400,700
2016-01-10,3400,10600,700
2016-01-11,3400,10800,800
2016-01-12,3500,10900,800
2016-01-13,3500,11000,800
2016-01-14,3500,11100,800
2016-01-15,3600,11200,800
2016-01-16,3600,11300,800
2016-01-17,3600,11500,800
2016-01-18,3600,11600,800
2016-01-19,3600,11700,800
2016-01-20,3600,11900,800
2016-01-21,3600,11900,800
2016-01-22,3600,11900,800
2016-01-23,3700,12100,800
2016-01-24,3800,12200,800
2016-01-25,3800,12300,800
2016-01-26,3800,12300,800
2016-01-27,3800,12300,800
2016-01-28,4000,12300,800
2016-01-29,4000,12300,800
2016-01-30,4000,12300,800
2016-01-31,4000,12500,800
2016-02-01,4000,12500,800
2016-02-02,4000,12500,800
2016-02-03,4000,12500,800
2016-02-04,4000,12500,800
2016-02-05,4000,12500,800
2016-02-06,4000,12600,800
2016-02-07,4000,12700,800
2016-02-08,4000,12700,800
2016-02-09,4000,12700,800
2016-02-10,4100,12800,800
2016-02-11,4100,12800,800
2016-02-12,4100,12800,800
2016-02-13,4100,12900,800
2016-02-14,4100,12900,800
2016-02-15,4100,13000,800
2016-02-16,4100,13000,800
2016-02-17,4100,13100,800
2016-02-18,4100,13100,800
2016-02-19,4200,13100,800
2016-02-20,4300,13100,800
2016-02-21,4300,13200,800
2016-02-22,4300,13300,800
2016-02-23,4300,13300,800
2016-02-24,4300,13300,800
2016-02-25,4300,13300,800
2016-02-26,4300,13300,800
2016-02-27,4300,13400,800
2016-02-28,4400,13500,800
2016-02-29,4400,13700,800
2016-03-01,4400,13700,800
2016-03-02,4400,13700,800
2016-03-03,4400,13700,800
2016-03-04,4500,13700,900
2016-03-05,4500,13700,900
2016-03-06,4500,13900,900
2016-03-07,4500,14000,900
2016-03-08,4500,14100,900
2016-03-09,4500,14200,900
2016-03-10,4600,14200,900
2016-03-11,4600,14700,900
2016-03-12,4600,14900,900
2016-03-13,4600,15000,1000
2016-03-14,4600,15100,1000
2016-03-15,4600,15200,1000
2016-03-16,4600,15200,1000
2016-03-17,4600,15400,1000
2016-03-18,4600,15600,1000
2016-03-19,4600,15700,1000
