Date,PS3 player count,PS4 player count,PS Vita player count
2014-10-22,0,0,0
2014-10-23,0,100,0
2014-10-24,0,100,100
2014-10-25,0,200,100
2014-10-26,100,200,100
2014-10-27,100,200,100
2014-10-28,100,200,100
2014-10-29,200,200,100
2014-10-30,200,200,100
2014-10-31,200,300,100
2014-11-01,300,400,100
2014-11-02,300,400,100
2014-11-03,300,400,100
2014-11-04,300,400,100
2014-11-05,300,400,100
2014-11-06,300,400,100
2014-11-07,300,400,100
2014-11-08,400,400,100
2014-11-09,400,500,200
2014-11-10,400,600,300
2014-11-11,400,600,300
2014-11-12,400,600,300
2014-11-13,400,600,300
2014-11-14,400,600,400
2014-11-15,400,600,400
2014-11-16,400,700,400
2014-11-17,400,1000,400
2014-11-18,400,1000,400
2014-11-19,400,1000,400
2014-11-20,400,1000,400
2014-11-21,400,1000,400
2014-11-22,400,1000,400
2014-11-23,400,1100,400
2014-11-24,400,1100,500
2014-11-25,400,1200,500
2014-11-26,400,1200,500
2014-11-27,400,1200,500
2014-11-28,400,1200,500
2014-11-29,400,1200,500
2014-11-30,400,1200,500
2014-12-01,400,1200,500
2014-12-02,400,1300,500
2014-12-03,400,1300,600
2014-12-04,400,1300,600
2014-12-05,400,1400,600
2014-12-06,400,1400,600
2014-12-07,400,1500,600
2014-12-08,400,1500,600
2014-12-09,400,1500,600
2014-12-10,400,1500,700
2014-12-11,400,1500,700
2014-12-12,400,1500,700
2014-12-13,400,1500,700
2014-12-14,400,1500,700
2014-12-15,400,1600,700
2014-12-16,400,1600,700
2014-12-17,500,1600,700
2014-12-18,500,1600,700
2014-12-19,500,1600,700
2014-12-20,500,1700,700
2014-12-21,500,1700,700
2014-12-22,500,1700,700
2014-12-23,500,1700,700
2014-12-24,500,1700,700
2014-12-25,500,1700,800
2014-12-26,500,1700,800
2014-12-27,500,1700,800
2014-12-28,500,1800,800
2014-12-29,600,1900,800
2014-12-30,600,1900,800
2014-12-31,600,2300,800
2015-01-01,600,2400,800
2015-01-02,600,3000,800
2015-01-03,600,3200,800
2015-01-04,700,3700,800
2015-01-05,700,3800,800
2015-01-06,700,3900,800
2015-01-07,700,4000,800
2015-01-08,800,4400,800
2015-01-09,800,4400,800
2015-01-10,900,4700,800
2015-01-11,900,4900,800
2015-01-12,900,5000,800
2015-01-13,900,5000,800
2015-01-14,900,5100,800
2015-01-15,900,5200,800
2015-01-16,900,5300,800
2015-01-17,900,5500,800
2015-01-18,900,5500,800
2015-01-19,900,5700,800
2015-01-20,900,5800,900
2015-01-21,900,5900,900
2015-01-22,900,5900,900
2015-01-23,900,5900,900
2015-01-24,900,5900,900
2015-01-25,900,5900,900
2015-01-26,900,6100,900
2015-01-27,900,6300,900
2015-01-28,900,6300,900
2015-01-29,900,6400,900
2015-01-30,900,6400,900
2015-01-31,900,6400,900
2015-02-01,900,6400,900
2015-02-02,900,6400,900
2015-02-03,900,6400,900
2015-02-04,900,6500,900
2015-02-05,900,6500,900
2015-02-06,900,6600,900
2015-02-07,900,6800,1000
2015-02-08,900,6800,1100
2015-02-09,900,6900,1100
2015-02-10,1000,6900,1100
2015-02-11,1000,6900,1100
2015-02-12,1000,7000,1100
2015-02-13,1000,7000,1100
2015-02-14,1000,7000,1100
2015-02-15,1000,7000,1100
2015-02-16,1000,7000,1100
2015-02-17,1000,7000,1100
2015-02-18,1000,7100,1100
2015-02-19,1000,7100,1100
2015-02-20,1000,7200,1100
2015-02-21,1000,7300,1100
2015-02-22,1000,7400,1100
2015-02-23,1000,7400,1100
2015-02-24,1000,7400,1100
2015-02-25,1100,7400,1100
2015-02-26,1100,7600,1100
2015-02-27,1100,7700,1200
2015-02-28,1100,7800,1200
2015-03-01,1100,7800,1200
2015-03-02,1100,7800,1200
2015-03-03,1100,8000,1200
2015-03-04,1100,8000,1200
2015-03-05,1100,8200,1200
2015-03-06,1100,8200,1200
2015-03-07,1100,8200,1200
2015-03-08,1100,8200,1200
2015-03-09,1200,8200,1200
2015-03-10,1200,8200,1200
2015-03-11,1200,8300,1200
2015-03-12,1300,8400,1200
2015-03-13,1300,8400,1200
2015-03-14,1400,8400,1200
2015-03-15,1400,8500,1200
2015-03-16,1400,8600,1200
2015-03-17,1400,8600,1200
2015-03-18,1400,8600,1200
2015-03-19,1400,8600,1200
2015-03-20,1400,8600,1200
2015-03-21,1400,8600,1200
2015-03-22,1400,8700,1200
2015-03-23,1400,8700,1200
2015-03-24,1400,8700,1200
2015-03-25,1400,8700,1200
2015-03-26,1400,8700,1200
2015-03-27,1400,8700,1200
2015-03-28,1500,8800,1200
2015-03-29,1500,8800,1200
2015-03-30,1500,9000,1200
2015-03-31,1500,9000,1200
2015-04-01,1500,9000,1200
2015-04-02,1500,9100,1200
2015-04-03,1500,9100,1200
2015-04-04,1500,9200,1200
2015-04-05,1500,9200,1200
2015-04-06,1500,9200,1200
2015-04-07,1500,9200,1200
2015-04-08,1500,9300,1200
2015-04-09,1500,9300,1200
2015-04-10,1500,9300,1200
2015-04-11,1500,9400,1200
2015-04-12,1500,9500,1200
2015-04-13,1500,9600,1200
2015-04-14,1500,9600,1200
2015-04-15,1500,9600,1200
2015-04-16,1500,9700,1200
2015-04-17,1500,9700,1200
2015-04-18,1500,9700,1200
2015-04-19,1500,9700,1200
2015-04-20,1500,9700,1200
2015-04-21,1500,9700,1200
2015-04-22,1500,9700,1200
2015-04-23,1500,9700,1200
2015-04-24,1500,9700,1200
2015-04-25,1500,9700,1200
2015-04-26,1500,9700,1200
2015-04-27,1500,9700,1200
2015-04-28,1500,9700,1200
2015-04-29,1500,9700,1200
2015-04-30,1500,9700,1200
2015-05-01,1500,9800,1200
2015-05-02,1500,9800,1200
2015-05-03,1500,9900,1200
2015-05-04,1500,9900,1200
2015-05-05,1600,10200,1200
2015-05-06,4200,16600,1900
2015-05-07,7300,28900,3000
2015-05-08,10800,43500,4400
2015-05-09,14400,58000,5600
2015-05-10,18900,72000,6400
2015-05-11,21300,82400,7000
2015-05-12,23400,92900,7600
2015-05-13,25700,101000,8200
2015-05-14,28200,110900,8600
2015-05-15,29800,123200,8900
2015-05-16,31400,136400,9300
2015-05-17,33300,149000,9800
2015-05-18,36300,158300,10300
2015-05-19,38200,166700,10500
2015-05-20,39600,172800,10700
2015-05-21,41300,180100,11200
2015-05-22,42600,189400,11300
2015-05-23,44100,200500,11800
2015-05-24,46100,209800,12600
2015-05-25,48300,218700,13000
2015-05-26,50500,225400,13400
2015-05-27,52000,231800,13700
2015-05-28,53100,237300,13900
2015-05-29,54600,245000,14100
2015-05-30,56200,252800,14200
2015-05-31,57900,263400,15100
2015-06-01,59500,270300,15500
2015-06-02,60400,277100,15700
2015-06-03,61400,284500,15900
2015-06-04,62500,289500,16000
2015-06-05,63300,294400,16100
2015-06-06,64400,302100,16400
2015-06-07,65200,308100,16500
2015-06-08,65900,312800,16500
2015-06-09,66400,317700,16500
2015-06-10,67300,322000,16500
2015-06-11,67900,325100,16500
2015-06-12,69000,329600,16800
2015-06-13,69900,334600,16800
