Date,'',PS4 player count,
2016-04-11,,100,
2016-04-12,,15200,
2016-04-13,,24900,
2016-04-14,,33400,
2016-04-15,,43200,
2016-04-16,,54000,
2016-04-17,,64600,
2016-04-18,,74000,
2016-04-19,,83400,
2016-04-20,,102600,
2016-04-21,,116400,
2016-04-22,,136200,
2016-04-23,,158000,
2016-04-24,,177800,
2016-04-25,,192100,
2016-04-26,,206200,
2016-04-27,,217900,
2016-04-28,,230600,
2016-04-29,,242200,
2016-04-30,,257900,
2016-05-01,,273100,
2016-05-02,,286400,
2016-05-03,,296700,
2016-05-04,,308400,
2016-05-05,,319700,
2016-05-06,,331300,
2016-05-07,,344500,
2016-05-08,,359300,
2016-05-09,,370800,
2016-05-10,,381500,
2016-05-11,,391400,
2016-05-12,,401000,
2016-05-13,,410500,
2016-05-14,,423200,
2016-05-15,,435500,
2016-05-16,,445900,
2016-05-17,,453200,
2016-05-18,,460500,
2016-05-19,,467300,
2016-05-20,,474800,
2016-05-21,,485400,
2016-05-22,,493900,
2016-05-23,,500700,
2016-05-24,,508100,
2016-05-25,,514600,
2016-05-26,,520700,
2016-05-27,,527800,
2016-05-28,,536000,
2016-05-29,,544700,
2016-05-30,,552300,
2016-05-31,,558200,
2016-06-01,,565000,
2016-06-02,,570700,
2016-06-03,,577000,
2016-06-04,,584700,
2016-06-05,,593000,
2016-06-06,,599100,
2016-06-07,,604400,
2016-06-08,,610500,
2016-06-09,,615500,
2016-06-10,,621100,
2016-06-11,,627800,
2016-06-12,,635000,
2016-06-13,,640500,
2016-06-14,,645500,
2016-06-15,,650300,
2016-06-16,,655400,
2016-06-17,,662200,
2016-06-18,,669500,
2016-06-19,,676700,
2016-06-20,,681300,
2016-06-21,,686300,
2016-06-22,,691200,
2016-06-23,,696200,
2016-06-24,,700900,
2016-06-25,,706700,
2016-06-26,,713800,
2016-06-27,,718100,
2016-06-28,,722000,
2016-06-29,,726900,
2016-06-30,,731700,
2016-07-01,,736900,
2016-07-02,,742700,
2016-07-03,,748700,
2016-07-04,,754500,
2016-07-05,,759100,
2016-07-06,,764500,
2016-07-07,,769500,
2016-07-08,,774100,
2016-07-09,,779900,
2016-07-10,,785500,
2016-07-11,,790300,
2016-07-12,,794700,
2016-07-13,,799100,
2016-07-14,,803000,
2016-07-15,,807000,
2016-07-16,,812500,
2016-07-17,,816200,
2016-07-18,,819600,
2016-07-19,,822800,
2016-07-20,,826600,
2016-07-21,,829300,
2016-07-22,,832300,
2016-07-23,,835900,
2016-07-24,,840700,
2016-07-25,,844700,
2016-07-26,,848000,
2016-07-27,,851400,
2016-07-28,,854800,
2016-07-29,,858400,
2016-07-30,,862900,
2016-07-31,,866900,
2016-08-01,,871200,
2016-08-02,,874200,
2016-08-03,,877300,
2016-08-04,,880500,
2016-08-05,,883300,
2016-08-06,,887800,
2016-08-07,,891400,
2016-08-08,,894500,
2016-08-09,,899300,
2016-08-10,,904300,
2016-08-11,,908600,
2016-08-12,,913400,
2016-08-13,,918100,
2016-08-14,,923800,
2016-08-15,,928700,
2016-08-16,,933000,
2016-08-17,,938200,
2016-08-18,,942900,
2016-08-19,,947200,
2016-08-20,,953400,
2016-08-21,,958000,
2016-08-22,,962300,
2016-08-23,,965800,
2016-08-24,,969400,
2016-08-25,,973400,
2016-08-26,,977000,
2016-08-27,,982300,
2016-08-28,,986500,
2016-08-29,,990400,
2016-08-30,,994300,
2016-08-31,,998600,
2016-09-01,,1001700,
2016-09-02,,1004300,
2016-09-03,,1008900,
2016-09-04,,1013300,
2016-09-05,,1017200,
2016-09-06,,1020500,
2016-09-07,,1024200,
2016-09-08,,1027500,
2016-09-09,,1031700,
2016-09-10,,1036300,
2016-09-11,,1041100,
2016-09-12,,1044400,
2016-09-13,,1049700,
2016-09-14,,1053600,
2016-09-15,,1057800,
2016-09-16,,1062000,
2016-09-17,,1068200,
2016-09-18,,1073100,
2016-09-19,,1076500,
2016-09-20,,1080300,
2016-09-21,,1083000,
2016-09-22,,1086800,
2016-09-23,,1089600,
2016-09-24,,1094900,
2016-09-25,,1098600,
2016-09-26,,1101400,
2016-09-27,,1105200,
2016-09-28,,1108000,
2016-09-29,,1110800,
2016-09-30,,1113600,
2016-10-01,,1119800,
2016-10-02,,1124600,
2016-10-03,,1128300,
2016-10-04,,1131000,
2016-10-05,,1134000,
2016-10-06,,1136100,
2016-10-07,,1139200,
2016-10-08,,1144800,
2016-10-09,,1148500,
2016-10-10,,1151600,
2016-10-11,,1154200,
2016-10-12,,1157000,
2016-10-13,,1160200,
2016-10-14,,1163000,
2016-10-15,,1167300,
2016-10-16,,1171600,
2016-10-17,,1174000,
2016-10-18,,1177000,
2016-10-19,,1179900,
2016-10-20,,1182300,
2016-10-21,,1184900,
2016-10-22,,1189100,
2016-10-23,,1192800,
2016-10-24,,1195900,
2016-10-25,,1198300,
2016-10-26,,1200500,
2016-10-27,,1203400,
2016-10-28,,1206000,
2016-10-29,,1209700,
2016-10-30,,1213700,
2016-10-31,,1216300,
2016-11-01,,1219000,
2016-11-02,,1221000,
2016-11-03,,1223600,
2016-11-04,,1226700,
2016-11-05,,1230300,
2016-11-06,,1233900,
2016-11-07,,1237000,
2016-11-08,,1239300,
2016-11-09,,1242500,
2016-11-10,,1245600,
2016-11-11,,1249200,
2016-11-12,,1254300,
2016-11-13,,1259200,
2016-11-14,,1262400,
2016-11-15,,1266000,
2016-11-16,,1269100,
2016-11-17,,1272700,
2016-11-18,,1276600,
2016-11-19,,1280900,
2016-11-20,,1285100,
2016-11-21,,1289300,
2016-11-22,,1292200,
2016-11-23,,1295900,
2016-11-24,,1299400,
2016-11-25,,1305200,
2016-11-26,,1311500,
2016-11-27,,1318800,
2016-11-28,,1323600,
2016-11-29,,1327600,
2016-11-30,,1332200,
2016-12-01,,1335500,
2016-12-02,,1340700,
2016-12-03,,1347200,
2016-12-04,,1353600,
2016-12-05,,1358200,
2016-12-06,,1362200,
2016-12-07,,1365700,
2016-12-08,,1369300,
2016-12-09,,1373400,
2016-12-10,,1379300,
2016-12-11,,1385000,
2016-12-12,,1388600,
2016-12-13,,1391800,
2016-12-14,,1396500,
2016-12-15,,1399900,
2016-12-16,,1404600,
2016-12-17,,1411300,
2016-12-18,,1416800,
2016-12-19,,1420900,
2016-12-20,,1424700,
2016-12-21,,1429500,
2016-12-22,,1435000,
2016-12-23,,1440700,
2016-12-24,,1449100,
2016-12-25,,1469900,
2016-12-26,,1486400,
2016-12-27,,1500700,
2016-12-28,,1512600,
2016-12-29,,1523500,
2016-12-30,,1534700,
2016-12-31,,1545200,
2017-01-01,,1556100,
2017-01-02,,1567400,
2017-01-03,,1575800,
2017-01-04,,1583600,
2017-01-05,,1592300,
2017-01-06,,1602000,
2017-01-07,,1611100,
2017-01-08,,1620900,
2017-01-09,,1628200,
2017-01-10,,1634100,
2017-01-11,,1640000,
2017-01-12,,1646800,
2017-01-13,,1654100,
2017-01-14,,1663400,
2017-01-15,,1673400,
2017-01-16,,1681300,
2017-01-17,,1687300,
2017-01-18,,1693800,
2017-01-19,,1698800,
2017-01-20,,1706400,
2017-01-21,,1716200,
2017-01-22,,1725900,
2017-01-23,,1732800,
2017-01-24,,1738200,
2017-01-25,,1743000,
2017-01-26,,1749700,
2017-01-27,,1755900,
2017-01-28,,1765000,
2017-01-29,,1772100,
2017-01-30,,1777300,
2017-01-31,,1781700,
2017-02-01,,1786200,
2017-02-02,,1791700,
2017-02-03,,1796400,
2017-02-04,,1803900,
2017-02-05,,1810900,
2017-02-06,,1815600,
2017-02-07,,1820200,
2017-02-08,,1824400,
2017-02-09,,1828700,
2017-02-10,,1833100,
2017-02-11,,1839900,
2017-02-12,,1846800,
2017-02-13,,1851000,
2017-02-14,,1855900,
2017-02-15,,1859300,
2017-02-16,,1863500,
2017-02-17,,1868700,
2017-02-18,,1875700,
2017-02-19,,1882100,
2017-02-20,,1887700,
2017-02-21,,1891600,
2017-02-22,,1895900,
2017-02-23,,1901000,
2017-02-24,,1905500,
2017-02-25,,1912800,
2017-02-26,,1918300,
2017-02-27,,1923000,
2017-02-28,,1927000,
2017-03-01,,1931900,
2017-03-02,,1935900,
2017-03-03,,1940100,
2017-03-04,,1947300,
2017-03-05,,1953400,
2017-03-06,,1957200,
2017-03-07,,1961200,
2017-03-08,,1964700,
2017-03-09,,1968700,
2017-03-10,,1973400,
2017-03-11,,1979200,
2017-03-12,,1984400,
2017-03-13,,1988100,
2017-03-14,,1991900,
2017-03-15,,1995200,
2017-03-16,,1998400,
2017-03-17,,2001700,
2017-03-18,,2007700,
2017-03-19,,2012500,
2017-03-20,,2015800,
2017-03-21,,2019300,
2017-03-22,,2022500,
2017-03-23,,2026600,
2017-03-24,,2030800,
2017-03-25,,2037300,
2017-03-26,,2043300,
2017-03-27,,2046100,
2017-03-28,,2050000,
2017-03-29,,2053800,
2017-03-30,,2057600,
2017-03-31,,2061900,
2017-04-01,,2067500,
2017-04-02,,2073700,
2017-04-03,,2077300,
2017-04-04,,2081200,
2017-04-05,,2084900,
2017-04-06,,2088400,
2017-04-07,,2092300,
2017-04-08,,2097600,
2017-04-09,,2102700,
2017-04-10,,2106600,
2017-04-11,,2110900,
2017-04-12,,2114400,
2017-04-13,,2118600,
2017-04-14,,2123000,
2017-04-15,,2127700,
2017-04-16,,2132900,
2017-04-17,,2137400,
2017-04-18,,2140900,
2017-04-19,,2143800,
2017-04-20,,2146500,
2017-04-21,,2149600,
2017-04-22,,2154500,
2017-04-23,,2159100,
2017-04-24,,2162800,
2017-04-25,,2165800,
2017-04-26,,2169000,
2017-04-27,,2172000,
2017-04-28,,2175100,
2017-04-29,,2180900,
2017-04-30,,2186300,
2017-05-01,,2190300,
2017-05-02,,2193700,
2017-05-03,,2196900,
2017-05-04,,2200300,
2017-05-05,,2204500,
2017-05-06,,2209400,
2017-05-07,,2214800,
2017-05-08,,2218100,
2017-05-09,,2221500,
2017-05-10,,2224000,
2017-05-11,,2226800,
2017-05-12,,2230200,
2017-05-13,,2235600,
2017-05-14,,2240400,
2017-05-15,,2243300,
2017-05-16,,2246100,
2017-05-17,,2248500,
2017-05-18,,2251200,
2017-05-19,,2254000,
2017-05-20,,2259200,
2017-05-21,,2264300,
2017-05-22,,2267500,
2017-05-23,,2270700,
2017-05-24,,2273200,
2017-05-25,,2276500,
2017-05-26,,2280400,
2017-05-27,,2285100,
2017-05-28,,2289900,
2017-05-29,,2294000,
2017-05-30,,2297500,
2017-05-31,,2300400,
2017-06-01,,2304300,
2017-06-02,,2308200,
2017-06-03,,2312800,
2017-06-04,,2317300,
2017-06-05,,2321600,
2017-06-06,,2325800,
2017-06-07,,2329600,
2017-06-08,,2333200,
2017-06-09,,2338500,
2017-06-10,,2344300,
2017-06-11,,2349900,
2017-06-12,,2354500,
2017-06-13,,2359100,
2017-06-14,,2362900,
2017-06-15,,2368600,
2017-06-16,,2374000,
2017-06-17,,2380000,
2017-06-18,,2386100,
2017-06-19,,2390500,
2017-06-20,,2395300,
2017-06-21,,2400700,
2017-06-22,,2407300,
2017-06-23,,2412600,
2017-06-24,,2419400,
2017-06-25,,2426800,
2017-06-26,,2433500,
2017-06-27,,2439900,
2017-06-28,,2447100,
2017-06-29,,2454900,
2017-06-30,,2464300,
2017-07-01,,2474300,
2017-07-02,,2483700,
2017-07-03,,2492500,
2017-07-04,,2501300,
2017-07-05,,2509700,
2017-07-06,,2518400,
2017-07-07,,2528900,
2017-07-08,,2540700,
2017-07-09,,2551800,
2017-07-10,,2561200,
2017-07-11,,2570600,
2017-07-12,,2580900,
2017-07-13,,2589700,
2017-07-14,,2598500,
2017-07-15,,2608000,
2017-07-16,,2618200,
2017-07-17,,2626800,
2017-07-18,,2634900,
2017-07-19,,2643600,
2017-07-20,,2652200,
2017-07-21,,2659700,
2017-07-22,,2670000,
2017-07-23,,2680000,
2017-07-24,,2687600,
2017-07-25,,2695400,
2017-07-26,,2703600,
2017-07-27,,2711900,
2017-07-28,,2719800,
2017-07-29,,2728400,
2017-07-30,,2739500,
2017-07-31,,2747500,
2017-08-01,,2753900,
2017-08-02,,2759900,
2017-08-03,,2766800,
2017-08-04,,2775200,
2017-08-05,,2782900,
2017-08-06,,2792500,
2017-08-07,,2800100,
2017-08-08,,2807200,
2017-08-09,,2813900,
2017-08-10,,2821300,
2017-08-11,,2829100,
2017-08-12,,2838400,
2017-08-13,,2847500,
2017-08-14,,2855600,
2017-08-15,,2863200,
2017-08-16,,2870600,
2017-08-17,,2877900,
2017-08-18,,2885900,
2017-08-19,,2895200,
2017-08-20,,2907000,
2017-08-21,,2915000,
2017-08-22,,2921500,
2017-08-23,,2927700,
2017-08-24,,2934500,
2017-08-25,,2941900,
2017-08-26,,2950800,
2017-08-27,,2959800,
2017-08-28,,2966800,
2017-08-29,,2973400,
2017-08-30,,2979200,
2017-08-31,,2986000,
2017-09-01,,2992200,
2017-09-02,,3001100,
2017-09-03,,3010700,
2017-09-04,,3017900,
2017-09-05,,3023500,
2017-09-06,,3028600,
2017-09-07,,3033400,
2017-09-08,,3039500,
2017-09-09,,3047000,
2017-09-10,,3056100,
2017-09-11,,3061700,
2017-09-12,,3068100,
2017-09-13,,3072900,
2017-09-14,,3077400,
2017-09-15,,3082900,
2017-09-16,,3090400,
2017-09-17,,3097600,
2017-09-18,,3102300,
2017-09-19,,3106200,
2017-09-20,,3110600,
2017-09-21,,3115000,
2017-09-22,,3120200,
2017-09-23,,3128200,
2017-09-24,,3135300,
2017-09-25,,3139900,
2017-09-26,,3143900,
2017-09-27,,3148800,
2017-09-28,,3153200,
2017-09-29,,3157700,
2017-09-30,,3165500,
2017-10-01,,3174000,
2017-10-02,,3178900,
2017-10-03,,3182700,
2017-10-04,,3185900,
2017-10-05,,3189600,
2017-10-06,,3193600,
2017-10-07,,3199800,
2017-10-08,,3206500,
2017-10-09,,3211900,
2017-10-10,,3216100,
2017-10-11,,3220200,
2017-10-12,,3224800,
2017-10-13,,3229700,
2017-10-14,,3236800,
2017-10-15,,3243000,
2017-10-16,,3246900,
2017-10-17,,3251700,
2017-10-18,,3256500,
2017-10-19,,3260300,
2017-10-20,,3265100,
2017-10-21,,3272100,
2017-10-22,,3279100,
2017-10-23,,3283600,
2017-10-24,,3287300,
2017-10-25,,3291200,
2017-10-26,,3296000,
2017-10-27,,3300500,
2017-10-28,,3306700,
2017-10-29,,3313800,
2017-10-30,,3318500,
2017-10-31,,3323100,
2017-11-01,,3327700,
2017-11-02,,3333000,
2017-11-03,,3338500,
2017-11-04,,3345200,
2017-11-05,,3351600,
2017-11-06,,3356700,
2017-11-07,,3360500,
2017-11-08,,3364600,
2017-11-09,,3368000,
2017-11-10,,3373200,
2017-11-11,,3380700,
2017-11-12,,3388400,
2017-11-13,,3392300,
2017-11-14,,3396400,
2017-11-15,,3400200,
2017-11-16,,3404200,
2017-11-17,,3409200,
2017-11-18,,3416300,
2017-11-19,,3423400,
2017-11-20,,3428000,
2017-11-21,,3432800,
2017-11-22,,3438100,
2017-11-23,,3443100,
2017-11-24,,3449800,
2017-11-25,,3460400,
2017-11-26,,3469600,
2017-11-27,,3475500,
2017-11-28,,3479900,
2017-11-29,,3484600,
2017-11-30,,3490100,
2017-12-01,,3494600,
