Date,PS3 player count,PS4 player count,PS Vita player count
2013-08-28,400,0,0
2013-08-29,800,0,0
2013-08-30,1600,0,0
2013-08-31,2500,0,0
2013-09-01,3200,0,0
2013-09-02,3800,0,0
2013-09-03,4700,0,0
2013-09-04,5400,0,100
2013-09-05,6200,0,500
2013-09-06,7000,0,700
2013-09-07,7900,0,1200
2013-09-08,8400,0,1300
2013-09-09,9400,0,1500
2013-09-10,10100,0,1900
2013-09-11,11100,0,2200
2013-09-12,11800,0,2300
2013-09-13,12600,0,2800
2013-09-14,13500,0,3300
2013-09-15,14700,0,3500
2013-09-16,16000,0,3900
2013-09-17,16800,0,4100
2013-09-18,17500,0,4200
2013-09-19,18000,0,4400
2013-09-20,18700,0,4500
2013-09-21,19500,0,5100
2013-09-22,20700,0,5300
2013-09-23,21400,0,5600
2013-09-24,21900,0,5900
2013-09-25,22700,0,6100
2013-09-26,23300,0,6200
2013-09-27,24100,0,6200
2013-09-28,24600,0,6500
2013-09-29,25100,0,6800
2013-09-30,25900,0,7000
2013-10-01,26600,0,7000
2013-10-02,26900,0,7100
2013-10-03,27600,0,7200
2013-10-04,28000,0,7200
2013-10-05,28800,0,7400
2013-10-06,29500,0,7500
2013-10-07,29900,0,7700
2013-10-08,30400,0,8000
2013-10-09,30800,0,8200
2013-10-10,31100,0,8400
2013-10-11,31600,0,8500
2013-10-12,32000,0,8800
2013-10-13,32900,0,9000
2013-10-14,33300,0,9300
2013-10-15,33700,0,9500
2013-10-16,34300,0,9600
2013-10-17,34800,0,9800
2013-10-18,35600,0,10000
2013-10-19,36300,0,10200
2013-10-20,37300,0,10400
2013-10-21,37600,0,10500
2013-10-22,37900,0,10800
2013-10-23,38400,0,11100
2013-10-24,39000,0,11100
2013-10-25,39700,0,11500
2013-10-26,40400,0,11900
2013-10-27,41300,0,12300
2013-10-28,41800,0,12500
2013-10-29,42200,0,12800
2013-10-30,42800,0,12900
2013-10-31,43500,0,13100
2013-11-01,44100,0,13400
2013-11-02,45100,0,13600
2013-11-03,46000,0,13900
2013-11-04,46700,0,14100
2013-11-05,47200,0,14100
2013-11-06,47600,0,14300
2013-11-07,48200,0,14400
2013-11-08,48500,0,14400
2013-11-09,49000,0,14600
2013-11-10,50000,0,14700
2013-11-11,50500,0,14800
2013-11-12,50800,0,14900
2013-11-13,51200,0,15100
2013-11-14,51500,0,15300
2013-11-15,51800,0,15400
2013-11-16,52300,0,15600
2013-11-17,52600,0,15900
2013-11-18,53100,0,16300
2013-11-19,53400,0,16300
2013-11-20,53700,0,16700
2013-11-21,54000,0,16700
2013-11-22,54500,0,16900
2013-11-23,55100,0,17100
2013-11-24,55600,0,17300
2013-11-25,56000,0,17400
2013-11-26,56500,0,17500
2013-11-27,57000,0,17700
2013-11-28,57300,0,17900
2013-11-29,58200,0,18100
2013-11-30,59000,0,18300
2013-12-01,59700,0,18500
2013-12-02,59900,0,18700
2013-12-03,60500,0,18800
2013-12-04,61100,0,19100
2013-12-05,61700,0,19200
2013-12-06,62200,0,19500
2013-12-07,62800,0,19700
2013-12-08,63300,0,20300
2013-12-09,63900,0,20500
2013-12-10,64500,0,20800
2013-12-11,64800,0,20900
2013-12-12,65400,0,21100
2013-12-13,65900,0,21300
2013-12-14,66600,0,21500
2013-12-15,66900,0,21800
2013-12-16,67200,0,21900
2013-12-17,67700,0,22100
2013-12-18,68100,0,22300
2013-12-19,68400,0,22300
2013-12-20,69000,0,22800
2013-12-21,69700,0,23100
2013-12-22,70400,0,23300
2013-12-23,71200,0,23900
2013-12-24,72600,0,24200
2013-12-25,74500,0,25200
2013-12-26,75800,0,25900
2013-12-27,77400,0,26600
2013-12-28,79000,0,27200
2013-12-29,80400,0,27700
2013-12-30,81700,0,28300
2013-12-31,82500,0,29000
2014-01-01,83600,0,29600
2014-01-02,84400,0,30000
2014-01-03,85200,0,30700
2014-01-04,86200,0,30900
2014-01-05,87200,0,31600
2014-01-06,88200,0,32100
2014-01-07,89000,0,32400
2014-01-08,90000,0,32700
2014-01-09,90500,0,33100
2014-01-10,91200,0,33600
2014-01-11,92300,0,34000
2014-01-12,93700,0,34300
2014-01-13,94200,0,35000
2014-01-14,94800,0,35300
2014-01-15,95700,0,35500
2014-01-16,96200,0,35700
2014-01-17,96700,0,35900
2014-01-18,98300,0,36500
2014-01-19,99500,0,36800
2014-01-20,100300,0,37300
2014-01-21,100800,0,37500
2014-01-22,101300,0,37800
2014-01-23,102300,0,38100
2014-01-24,102900,0,38500
2014-01-25,103800,0,39000
2014-01-26,105200,0,39700
2014-01-27,106100,0,40100
2014-01-28,106900,0,40300
2014-01-29,107400,0,40500
2014-01-30,107700,0,40600
2014-01-31,108500,0,40700
2014-02-01,110000,0,41200
2014-02-02,110800,0,41600
2014-02-03,111700,0,41800
2014-02-04,112200,0,42100
2014-02-05,112900,0,42400
2014-02-06,113200,0,42800
2014-02-07,113600,0,43000
2014-02-08,114500,0,43300
2014-02-09,115200,0,43800
2014-02-10,115600,0,44300
2014-02-11,115900,0,44500
2014-02-12,116700,0,44700
2014-02-13,117200,0,45000
2014-02-14,117500,0,45300
2014-02-15,118300,0,45800
2014-02-16,119200,0,46400
2014-02-17,119600,100,46700
2014-02-18,120000,400,46800
2014-02-19,120500,1200,47000
2014-02-20,120800,1800,47200
2014-02-21,121600,2400,47700
2014-02-22,122500,3700,48100
2014-02-23,123200,4800,49000
2014-02-24,123600,5900,49300
2014-02-25,124200,6700,49700
2014-02-26,124700,7900,49900
2014-02-27,125300,8900,50100
2014-02-28,126300,9700,50500
2014-03-01,127000,10900,51000
2014-03-02,127500,11800,51500
2014-03-03,128100,13000,51800
2014-03-04,128700,14200,52100
2014-03-05,129300,15100,52400
2014-03-06,129700,15800,52500
2014-03-07,130400,16700,52800
2014-03-08,131300,17500,53100
2014-03-09,132100,18800,53500
2014-03-10,132700,19700,53700
2014-03-11,133200,20700,54000
2014-03-12,133700,21300,54300
2014-03-13,134200,22100,54300
2014-03-14,134900,23000,54500
2014-03-15,136300,24200,55000
2014-03-16,137300,25200,55200
2014-03-17,137600,25900,55600
2014-03-18,138400,26900,56000
2014-03-19,139000,27800,56300
2014-03-20,139400,28300,56500
2014-03-21,140100,29000,56900
2014-03-22,140800,30100,57200
2014-03-23,141500,31400,57700
2014-03-24,142100,31900,58000
2014-03-25,142400,32900,58300
2014-03-26,143000,33900,58500
2014-03-27,143500,34800,58700
2014-03-28,144000,35500,58900
2014-03-29,145000,36300,59200
2014-03-30,146200,37200,59400
2014-03-31,146700,37500,59500
2014-04-01,147100,38600,59600
2014-04-02,147600,38900,59700
2014-04-03,148000,39600,59900
2014-04-04,148700,40100,60000
2014-04-05,149800,41000,60400
2014-04-06,150800,41900,60700
2014-04-07,151200,42300,61200
2014-04-08,151800,43000,61700
2014-04-09,152500,43600,61900
2014-04-10,153100,44200,62000
2014-04-11,153500,45000,62200
2014-04-12,154300,45600,62600
2014-04-13,155000,46700,62900
2014-04-14,155700,47200,63200
2014-04-15,156300,47800,63400
2014-04-16,156600,48200,63600
2014-04-17,157000,49100,64000
2014-04-18,157500,49700,64300
2014-04-19,158400,50700,64700
2014-04-20,158700,51300,65100
2014-04-21,159300,51900,65300
2014-04-22,160000,52500,65600
2014-04-23,160500,52900,65800
2014-04-24,161000,53800,66000
2014-04-25,161600,54400,66300
2014-04-26,162600,55600,66700
2014-04-27,163300,56400,67100
2014-04-28,164000,56900,67500
2014-04-29,164600,57600,67900
2014-04-30,165200,58000,68100
2014-05-01,166200,58600,68500
2014-05-02,166700,59800,68600
2014-05-03,167600,60700,68900
2014-05-04,168600,61600,69300
2014-05-05,169300,61900,69600
2014-05-06,169800,62300,69800
2014-05-07,170700,62700,70100
2014-05-08,171400,63200,70500
2014-05-09,171800,64000,70800
2014-05-10,172700,65300,71200
2014-05-11,173600,66500,71400
2014-05-12,173800,67100,71500
2014-05-13,174100,67600,71900
2014-05-14,174700,68200,72300
2014-05-15,175300,68800,72800
2014-05-16,175900,69700,73000
2014-05-17,176400,70700,73300
2014-05-18,177300,71700,73700
2014-05-19,177800,72200,73800
2014-05-20,178100,72600,74100
2014-05-21,178800,73200,74300
2014-05-22,179500,73500,74300
2014-05-23,179900,74200,74600
2014-05-24,180600,75000,75200
2014-05-25,181300,76000,75500
2014-05-26,181900,76800,75700
2014-05-27,182400,77800,76000
2014-05-28,182900,78600,76000
2014-05-29,183600,79400,76100
2014-05-30,184100,80000,76500
2014-05-31,184900,80600,76800
2014-06-01,185800,81200,77100
2014-06-02,186500,81800,77200
2014-06-03,186800,82300,77300
2014-06-04,187400,82700,77400
2014-06-05,187800,83500,77500
2014-06-06,188400,84100,77600
2014-06-07,188900,84600,78000
2014-06-08,189900,85200,78500
2014-06-09,190300,85500,78900
2014-06-10,190900,85900,79000
2014-06-11,191600,86200,79200
2014-06-12,192400,86500,79400
2014-06-13,192900,87000,79500
2014-06-14,193600,87900,79800
2014-06-15,194500,88800,80100
2014-06-16,195200,89300,80400
2014-06-17,195600,90000,80500
2014-06-18,196600,90800,80500
2014-06-19,196800,91200,80600
2014-06-20,197500,91900,80900
2014-06-21,198100,92500,81100
2014-06-22,198800,93400,81400
2014-06-23,199100,94000,81900
2014-06-24,199500,94400,82200
2014-06-25,200000,94900,82300
2014-06-26,200600,95500,82500
2014-06-27,201100,95900,82700
2014-06-28,201800,96600,82800
2014-06-29,202500,97700,83100
2014-06-30,203300,98400,83200
2014-07-01,203600,98900,83500
2014-07-02,203900,99600,83700
2014-07-03,204300,100200,83900
2014-07-04,204600,100700,84100
2014-07-05,205200,101100,84400
2014-07-06,205600,101900,84600
2014-07-07,206400,102900,84800
2014-07-08,207200,103800,84900
2014-07-09,207800,104300,85100
2014-07-10,208400,105000,85400
2014-07-11,208900,105900,85500
2014-07-12,209300,106800,85800
2014-07-13,210100,107800,85800
2014-07-14,210400,108500,86200
2014-07-15,211200,109000,86400
2014-07-16,211900,109500,86700
2014-07-17,212300,110700,86800
2014-07-18,212800,111300,87000
2014-07-19,213600,112100,87300
2014-07-20,214700,112600,87600
2014-07-21,215300,113400,87900
2014-07-22,215700,113700,88200
2014-07-23,216000,114400,88300
2014-07-24,216300,115200,88400
2014-07-25,216900,116300,88600
2014-07-26,217400,117000,89100
2014-07-27,218000,118000,89500
2014-07-28,218500,119000,89700
2014-07-29,219100,119800,89700
2014-07-30,220100,120500,89800
2014-07-31,220600,121000,90100
2014-08-01,221000,121900,90200
2014-08-02,221900,123500,90400
2014-08-03,222500,124700,90700
2014-08-04,223100,125700,91100
2014-08-05,223800,126300,91500
2014-08-06,224600,127000,91700
2014-08-07,225200,127600,92000
