Date,'',PS4 player count,
2016-01-06,,300,
2016-01-07,,400,
2016-01-08,,600,
2016-01-09,,900,
2016-01-10,,1200,
2016-01-11,,1300,
2016-01-12,,1800,
2016-01-13,,2100,
2016-01-14,,2400,
2016-01-15,,2600,
2016-01-16,,2800,
2016-01-17,,2900,
2016-01-18,,3100,
2016-01-19,,3200,
2016-01-20,,3600,
2016-01-21,,3900,
2016-01-22,,4000,
2016-01-23,,4300,
2016-01-24,,4600,
2016-01-25,,4800,
2016-01-26,,5200,
2016-01-27,,5400,
2016-01-28,,5700,
2016-01-29,,5900,
2016-01-30,,6100,
2016-01-31,,6300,
2016-02-01,,6500,
2016-02-02,,6900,
2016-02-03,,7400,
2016-02-04,,7600,
2016-02-05,,7900,
2016-02-06,,8200,
2016-02-07,,8400,
2016-02-08,,8500,
2016-02-09,,8700,
2016-02-10,,8800,
2016-02-11,,9100,
2016-02-12,,9200,
2016-02-13,,9400,
2016-02-14,,9800,
2016-02-15,,10000,
2016-02-16,,10200,
2016-02-17,,10400,
2016-02-18,,10700,
2016-02-19,,11200,
2016-02-20,,11500,
2016-02-21,,11600,
2016-02-22,,11700,
2016-02-23,,11900,
2016-02-24,,12200,
2016-02-25,,12300,
2016-02-26,,12400,
2016-02-27,,12500,
2016-02-28,,12600,
2016-02-29,,12800,
2016-03-01,,13100,
2016-03-02,,13200,
2016-03-03,,13400,
2016-03-04,,13500,
2016-03-05,,13700,
2016-03-06,,13900,
2016-03-07,,14000,
2016-03-08,,14100,
2016-03-09,,14200,
2016-03-10,,14300,
2016-03-11,,14500,
2016-03-12,,14700,
2016-03-13,,15100,
2016-03-14,,15200,
2016-03-15,,15500,
2016-03-16,,15600,
2016-03-17,,15700,
2016-03-18,,15700,
2016-03-19,,15800,
2016-03-20,,16000,
2016-03-21,,16100,
2016-03-22,,16300,
2016-03-23,,16400,
2016-03-24,,16500,
2016-03-25,,16700,
2016-03-26,,16800,
2016-03-27,,17000,
2016-03-28,,17300,
2016-03-29,,17400,
2016-03-30,,17500,
2016-03-31,,17800,
2016-04-01,,17800,
2016-04-02,,18000,
2016-04-03,,18300,
2016-04-04,,18300,
2016-04-05,,18400,
