Date,PS3 player count,PS4 player count,
2014-11-26,0,0,
2014-11-27,700,100,
2014-11-28,1400,200,
2014-11-29,2200,200,
2014-11-30,2800,300,
2014-12-01,3400,300,
2014-12-02,3800,500,
2014-12-03,4100,500,
2014-12-04,4700,500,
2014-12-05,5100,500,
2014-12-06,6100,500,
2014-12-07,7200,500,
2014-12-08,7400,500,
2014-12-09,7800,500,
2014-12-10,8200,800,
2014-12-11,8800,800,
2014-12-12,9400,800,
2014-12-13,10200,800,
2014-12-14,10700,800,
2014-12-15,11100,800,
2014-12-16,11700,800,
2014-12-17,11900,800,
2014-12-18,12400,900,
2014-12-19,12600,900,
2014-12-20,12900,900,
2014-12-21,13200,1000,
2014-12-22,13800,1000,
2014-12-23,14400,1000,
2014-12-24,14400,1000,
2014-12-25,14700,1100,
2014-12-26,15100,1100,
2014-12-27,15500,1100,
2014-12-28,16000,1100,
2014-12-29,16800,1200,
2014-12-30,17700,1300,
2014-12-31,18300,1300,
2015-01-01,19000,1300,
2015-01-02,19300,1300,
2015-01-03,19800,1400,
2015-01-04,20300,1500,
2015-01-05,21200,1500,
2015-01-06,21500,1500,
2015-01-07,21700,1500,
2015-01-08,22100,1500,
2015-01-09,22400,1500,
2015-01-10,23100,1500,
2015-01-11,23800,1500,
2015-01-12,24300,1600,
2015-01-13,24600,1600,
2015-01-14,25000,1700,
2015-01-15,25400,1700,
2015-01-16,25600,1700,
2015-01-17,26200,1800,
2015-01-18,26800,1800,
2015-01-19,27400,1800,
2015-01-20,30000,9700,
2015-01-21,32200,15700,
2015-01-22,33800,20100,
2015-01-23,35600,25000,
2015-01-24,37100,31200,
2015-01-25,39700,38300,
2015-01-26,41100,42900,
2015-01-27,43000,47400,
2015-01-28,44400,51100,
2015-01-29,46000,54800,
2015-01-30,48300,59400,
2015-01-31,50000,64600,
2015-02-01,52000,69600,
2015-02-02,53600,72900,
2015-02-03,55000,76100,
2015-02-04,56400,79100,
2015-02-05,58200,81500,
2015-02-06,59900,84100,
2015-02-07,61900,87600,
2015-02-08,63300,90700,
2015-02-09,64900,92600,
2015-02-10,66300,94100,
2015-02-11,67400,95700,
2015-02-12,68800,97700,
2015-02-13,70200,100400,
2015-02-14,71700,103000,
2015-02-15,73100,106300,
2015-02-16,74500,108100,
2015-02-17,75500,109700,
2015-02-18,76400,112200,
2015-02-19,78100,113600,
2015-02-20,79100,116100,
2015-02-21,80800,118900,
2015-02-22,82600,122600,
2015-02-23,83300,124600,
2015-02-24,84000,126300,
2015-02-25,84500,127500,
2015-02-26,85900,128900,
2015-02-27,86700,130200,
2015-02-28,88600,132300,
2015-03-01,89400,133900,
2015-03-02,90200,135700,
2015-03-03,90800,136800,
2015-03-04,91600,137600,
2015-03-05,92100,138600,
2015-03-06,92800,139900,
2015-03-07,94200,142200,
2015-03-08,95400,143600,
2015-03-09,95700,144700,
2015-03-10,96100,146000,
2015-03-11,97000,147200,
2015-03-12,97500,148200,
2015-03-13,98200,149100,
2015-03-14,98900,150200,
2015-03-15,100000,151700,
2015-03-16,100300,152400,
2015-03-17,100700,153400,
2015-03-18,101300,154000,
2015-03-19,101900,154800,
2015-03-20,102300,155800,
2015-03-21,103000,156900,
2015-03-22,104400,157900,
2015-03-23,104700,159300,
2015-03-24,105600,160100,
2015-03-25,106200,160800,
2015-03-26,106600,161500,
2015-03-27,107000,162400,
2015-03-28,108100,163500,
2015-03-29,109000,164800,
2015-03-30,110000,165200,
2015-03-31,110200,165800,
2015-04-01,110700,166100,
2015-04-02,111300,166700,
2015-04-03,111800,167500,
2015-04-04,112700,168800,
2015-04-05,113500,170100,
2015-04-06,113800,170500,
2015-04-07,114500,170900,
2015-04-08,114900,171700,
2015-04-09,115500,172500,
2015-04-10,115800,173200,
2015-04-11,116700,173900,
2015-04-12,117700,174500,
2015-04-13,118100,175000,
2015-04-14,118600,175400,
2015-04-15,119300,175500,
2015-04-16,119300,176000,
2015-04-17,119900,176500,
2015-04-18,120300,176900,
2015-04-19,121000,177500,
2015-04-20,121400,178200,
2015-04-21,122100,178500,
2015-04-22,122300,179200,
2015-04-23,123100,179800,
2015-04-24,123500,180400,
2015-04-25,123800,180800,
2015-04-26,124900,181300,
2015-04-27,125400,181600,
2015-04-28,125600,181800,
2015-04-29,126000,182500,
2015-04-30,126200,182700,
2015-05-01,126600,183400,
2015-05-02,127100,184000,
2015-05-03,127900,184500,
2015-05-04,128400,185100,
2015-05-05,128400,186300,
2015-05-06,129000,187000,
2015-05-07,129400,187700,
2015-05-08,129900,188000,
2015-05-09,130300,188500,
2015-05-10,130800,189200,
2015-05-11,131200,190100,
2015-05-12,131700,190800,
2015-05-13,131900,191400,
2015-05-14,132300,192000,
2015-05-15,132500,192600,
2015-05-16,133100,193300,
2015-05-17,133300,194400,
2015-05-18,133700,194800,
2015-05-19,134100,195500,
2015-05-20,134600,195900,
2015-05-21,135300,196500,
2015-05-22,135600,197000,
2015-05-23,136000,197400,
2015-05-24,136400,198100,
2015-05-25,136600,199000,
2015-05-26,137000,199600,
2015-05-27,137100,200100,
2015-05-28,137400,200700,
2015-05-29,137600,201000,
2015-05-30,138100,201300,
