Date,PS3 player count,PS4 player count,PS Vita player count
2013-11-14,0,0,0
2013-11-15,0,4900,0
2013-11-16,0,15500,0
2013-11-17,0,24600,0
2013-11-18,0,32500,0
2013-11-19,0,38100,0
2013-11-20,0,45700,0
2013-11-21,0,51000,0
2013-11-22,0,56300,0
2013-11-23,0,63100,0
2013-11-24,0,69000,0
2013-11-25,0,72900,0
2013-11-26,0,77600,0
2013-11-27,0,83900,0
2013-11-28,0,89900,0
2013-11-29,0,102400,0
2013-11-30,0,117100,0
2013-12-01,0,129700,0
2013-12-02,0,138900,0
2013-12-03,0,146800,0
2013-12-04,0,155600,0
2013-12-05,0,162700,0
2013-12-06,0,170700,0
2013-12-07,0,180300,0
2013-12-08,0,190100,0
2013-12-09,0,196900,0
2013-12-10,0,202800,0
2013-12-11,0,209400,0
2013-12-12,0,216500,0
2013-12-13,0,224200,0
2013-12-14,0,234800,0
2013-12-15,0,245500,0
2013-12-16,0,252400,0
2013-12-17,0,259600,0
2013-12-18,0,268500,0
2013-12-19,0,276000,0
2013-12-20,0,284300,0
2013-12-21,0,295100,0
2013-12-22,0,305100,0
2013-12-23,0,313800,0
2013-12-24,0,325200,0
2013-12-25,0,338700,0
2013-12-26,0,354100,0
2013-12-27,0,369100,0
2013-12-28,0,383400,0
2013-12-29,0,396000,0
2013-12-30,0,407200,0
2013-12-31,0,417800,0
2014-01-01,0,427800,0
2014-01-02,0,438400,0
2014-01-03,0,450200,0
2014-01-04,0,461900,0
2014-01-05,0,473300,0
2014-01-06,0,481700,0
2014-01-07,0,490200,0
2014-01-08,0,497500,0
2014-01-09,0,505500,0
2014-01-10,0,512100,0
2014-01-11,0,521100,0
2014-01-12,0,530400,0
2014-01-13,0,536300,0
2014-01-14,0,542800,0
2014-01-15,0,549900,0
2014-01-16,0,555400,0
2014-01-17,0,562500,0
2014-01-18,0,572100,0
2014-01-19,0,581700,0
2014-01-20,0,588000,0
2014-01-21,0,593500,0
