Date,'',PS4 player count,
2017-05-25,,100,
2017-05-26,,700,
2017-05-27,,1500,
2017-05-28,,2500,
2017-05-29,,3500,
2017-05-30,,4300,
2017-05-31,,4900,
2017-06-01,,5500,
2017-06-02,,5800,
2017-06-03,,6500,
2017-06-04,,7200,
2017-06-05,,8200,
2017-06-06,,9000,
2017-06-07,,9700,
2017-06-08,,10100,
2017-06-09,,10600,
2017-06-10,,11400,
2017-06-11,,11900,
2017-06-12,,12200,
2017-06-13,,12500,
2017-06-14,,13100,
2017-06-15,,13300,
2017-06-16,,13800,
2017-06-17,,14100,
2017-06-18,,14600,
2017-06-19,,14900,
2017-06-20,,15100,
2017-06-21,,15700,
2017-06-22,,16000,
2017-06-23,,16300,
2017-06-24,,16600,
2017-06-25,,17200,
2017-06-26,,17200,
2017-06-27,,17600,
2017-06-28,,17900,
2017-06-29,,18500,
2017-06-30,,19000,
2017-07-01,,19600,
2017-07-02,,19900,
2017-07-03,,20000,
2017-07-04,,20400,
2017-07-05,,20700,
2017-07-06,,21100,
2017-07-07,,21500,
2017-07-08,,22000,
2017-07-09,,22500,
2017-07-10,,22900,
2017-07-11,,23300,
2017-07-12,,23600,
2017-07-13,,23900,
2017-07-14,,24500,
2017-07-15,,24900,
2017-07-16,,25200,
2017-07-17,,25300,
2017-07-18,,25800,
2017-07-19,,26000,
2017-07-20,,26200,
2017-07-21,,26400,
2017-07-22,,26900,
2017-07-23,,27500,
2017-07-24,,28000,
2017-07-25,,28300,
2017-07-26,,28700,
2017-07-27,,28900,
2017-07-28,,29300,
2017-07-29,,29600,
2017-07-30,,30100,
2017-07-31,,30500,
2017-08-01,,30900,
2017-08-02,,31200,
2017-08-03,,31600,
2017-08-04,,32000,
2017-08-05,,32800,
2017-08-06,,33300,
2017-08-07,,33400,
2017-08-08,,34100,
2017-08-09,,34100,
2017-08-10,,34400,
2017-08-11,,34700,
2017-08-12,,34900,
2017-08-13,,35500,
2017-08-14,,35700,
2017-08-15,,36100,
2017-08-16,,36400,
2017-08-17,,36500,
2017-08-18,,36800,
2017-08-19,,36900,
2017-08-20,,37200,
2017-08-21,,37300,
2017-08-22,,37600,
2017-08-23,,37600,
2017-08-24,,37800,
2017-08-25,,37900,
2017-08-26,,38200,
2017-08-27,,38400,
2017-08-28,,38600,
2017-08-29,,38900,
2017-08-30,,39200,
2017-08-31,,39300,
2017-09-01,,39700,
2017-09-02,,40000,
2017-09-03,,40300,
2017-09-04,,40500,
2017-09-05,,40600,
2017-09-06,,40700,
2017-09-07,,40900,
2017-09-08,,41100,
2017-09-09,,41100,
2017-09-10,,41300,
2017-09-11,,41500,
2017-09-12,,41600,
2017-09-13,,41700,
2017-09-14,,41800,
2017-09-15,,42100,
2017-09-16,,42200,
2017-09-17,,42400,
2017-09-18,,42500,
2017-09-19,,42500,
2017-09-20,,42600,
2017-09-21,,42700,
2017-09-22,,42700,
2017-09-23,,42900,
2017-09-24,,43200,
2017-09-25,,43400,
2017-09-26,,43400,
2017-09-27,,43800,
2017-09-28,,43900,
2017-09-29,,44200,
2017-09-30,,44400,
2017-10-01,,44600,
2017-10-02,,44800,
2017-10-03,,45000,
2017-10-04,,45200,
2017-10-05,,45200,
2017-10-06,,45200,
2017-10-07,,45600,
2017-10-08,,46000,
2017-10-09,,46200,
2017-10-10,,46300,
2017-10-11,,46400,
2017-10-12,,46600,
2017-10-13,,46700,
2017-10-14,,46700,
2017-10-15,,47000,
2017-10-16,,47100,
2017-10-17,,47200,
2017-10-18,,47400,
2017-10-19,,47400,
2017-10-20,,47500,
2017-10-21,,47500,
2017-10-22,,47700,
2017-10-23,,47900,
2017-10-24,,47900,
2017-10-25,,48000,
2017-10-26,,48000,
2017-10-27,,48100,
2017-10-28,,48200,
2017-10-29,,48400,
2017-10-30,,48500,
2017-10-31,,48500,
2017-11-01,,48600,
2017-11-02,,48800,
2017-11-03,,48800,
2017-11-04,,48900,
2017-11-05,,49100,
2017-11-06,,49300,
2017-11-07,,49500,
2017-11-08,,49500,
2017-11-09,,49600,
2017-11-10,,49700,
2017-11-11,,49800,
2017-11-12,,50100,
2017-11-13,,50100,
2017-11-14,,50200,
2017-11-15,,50300,
2017-11-16,,50300,
2017-11-17,,50500,
2017-11-18,,50600,
2017-11-19,,51000,
2017-11-20,,51100,
2017-11-21,,51300,
2017-11-22,,51500,
2017-11-23,,51600,
2017-11-24,,51800,
2017-11-25,,52100,
2017-11-26,,52400,
2017-11-27,,52500,
2017-11-28,,52600,
2017-11-29,,52700,
2017-11-30,,52700,
2017-12-01,,52800,
2017-12-02,,53000,
2017-12-03,,53200,
2017-12-04,,53400,
2017-12-05,,53600,
2017-12-06,,53600,
2017-12-07,,53800,
2017-12-08,,53900,
2017-12-09,,54000,
2017-12-10,,54000,
2017-12-11,,54100,
2017-12-12,,54300,
2017-12-13,,54300,
2017-12-14,,54600,
2017-12-15,,54700,
2017-12-16,,55100,
2017-12-17,,55200,
2017-12-18,,55200,
2017-12-19,,55400,
2017-12-20,,55400,
2017-12-21,,55700,
2017-12-22,,55900,
2017-12-23,,56200,
2017-12-24,,56400,
2017-12-25,,56700,
2017-12-26,,57400,
2017-12-27,,57700,
2017-12-28,,58200,
2017-12-29,,58500,
2017-12-30,,59100,
2017-12-31,,59700,
2018-01-01,,60100,
2018-01-02,,60300,
2018-01-03,,60800,
2018-01-04,,61200,
2018-01-05,,61500,
2018-01-06,,62100,
2018-01-07,,62400,
2018-01-08,,62600,
2018-01-09,,62900,
2018-01-10,,63100,
2018-01-11,,63200,
2018-01-12,,63400,
2018-01-13,,63700,
2018-01-14,,63900,
2018-01-15,,64300,
2018-01-16,,64400,
2018-01-17,,64800,
2018-01-18,,65000,
2018-01-19,,65200,
2018-01-20,,65500,
2018-01-21,,65800,
2018-01-22,,65800,
2018-01-23,,65800,
2018-01-24,,66000,
2018-01-25,,66100,
2018-01-26,,66300,
2018-01-27,,66500,
2018-01-28,,67000,
2018-01-29,,67200,
2018-01-30,,67300,
2018-01-31,,67400,
2018-02-01,,67600,
2018-02-02,,67600,
2018-02-03,,68000,
2018-02-04,,68100,
2018-02-05,,68300,
2018-02-06,,81300,
2018-02-07,,118400,
2018-02-08,,156600,
2018-02-09,,195600,
