Date,'',PS4 player count,
2016-09-28,,0,
2016-09-29,,0,
2016-09-30,,0,
2016-10-01,,0,
2016-10-02,,100,
2016-10-03,,200,
2016-10-04,,200,
2016-10-05,,500,
2016-10-06,,1600,
2016-10-07,,4500,
2016-10-08,,11800,
2016-10-09,,16400,
2016-10-10,,28000,
2016-10-11,,86700,
2016-10-12,,129100,
2016-10-13,,161600,
2016-10-14,,193200,
2016-10-15,,229700,
2016-10-16,,256500,
2016-10-17,,272900,
2016-10-18,,289100,
2016-10-19,,301600,
2016-10-20,,315100,
2016-10-21,,328800,
2016-10-22,,345300,
2016-10-23,,359900,
2016-10-24,,369400,
2016-10-25,,377400,
2016-10-26,,384900,
2016-10-27,,392900,
2016-10-28,,402000,
2016-10-29,,413400,
2016-10-30,,423000,
2016-10-31,,431000,
2016-11-01,,439400,
2016-11-02,,446000,
2016-11-03,,452000,
2016-11-04,,459100,
2016-11-05,,469000,
2016-11-06,,477200,
2016-11-07,,483100,
2016-11-08,,488100,
2016-11-09,,493400,
2016-11-10,,501100,
2016-11-11,,509500,
2016-11-12,,520400,
2016-11-13,,529800,
2016-11-14,,535900,
2016-11-15,,541000,
2016-11-16,,546100,
2016-11-17,,552600,
2016-11-18,,557800,
2016-11-19,,565900,
2016-11-20,,573100,
2016-11-21,,577700,
2016-11-22,,581500,
2016-11-23,,586600,
2016-11-24,,591800,
2016-11-25,,603500,
2016-11-26,,619200,
2016-11-27,,630700,
2016-11-28,,639100,
2016-11-29,,645800,
2016-11-30,,652100,
2016-12-01,,660900,
2016-12-02,,674300,
2016-12-03,,692000,
2016-12-04,,705600,
2016-12-05,,713000,
2016-12-06,,719200,
2016-12-07,,724000,
2016-12-08,,730200,
2016-12-09,,736600,
2016-12-10,,744900,
2016-12-11,,752300,
2016-12-12,,757200,
2016-12-13,,761800,
2016-12-14,,767800,
2016-12-15,,773900,
2016-12-16,,781200,
2016-12-17,,791200,
2016-12-18,,798700,
2016-12-19,,805100,
2016-12-20,,812200,
2016-12-21,,818300,
2016-12-22,,824600,
2016-12-23,,834200,
2016-12-24,,850700,
2016-12-25,,890600,
2016-12-26,,925000,
2016-12-27,,947700,
2016-12-28,,967300,
2016-12-29,,983000,
2016-12-30,,998900,
2016-12-31,,1014200,
2017-01-01,,1027200,
2017-01-02,,1040100,
2017-01-03,,1050900,
2017-01-04,,1062900,
2017-01-05,,1071600,
2017-01-06,,1081700,
2017-01-07,,1093400,
2017-01-08,,1101600,
2017-01-09,,1109000,
2017-01-10,,1115000,
2017-01-11,,1119200,
2017-01-12,,1123700,
2017-01-13,,1129100,
2017-01-14,,1136100,
2017-01-15,,1143700,
2017-01-16,,1149300,
2017-01-17,,1154100,
2017-01-18,,1159200,
2017-01-19,,1164600,
2017-01-20,,1169700,
2017-01-21,,1175900,
2017-01-22,,1182800,
2017-01-23,,1187000,
2017-01-24,,1191300,
2017-01-25,,1195500,
2017-01-26,,1199900,
2017-01-27,,1204600,
2017-01-28,,1210300,
2017-01-29,,1216200,
2017-01-30,,1221400,
2017-01-31,,1225600,
2017-02-01,,1230600,
2017-02-02,,1235600,
2017-02-03,,1240600,
2017-02-04,,1247500,
2017-02-05,,1254500,
2017-02-06,,1258500,
2017-02-07,,1263300,
2017-02-08,,1267200,
2017-02-09,,1271300,
2017-02-10,,1274800,
2017-02-11,,1281000,
2017-02-12,,1287100,
2017-02-13,,1291800,
2017-02-14,,1295400,
2017-02-15,,1299400,
2017-02-16,,1303400,
2017-02-17,,1307000,
2017-02-18,,1312400,
2017-02-19,,1318900,
2017-02-20,,1322600,
2017-02-21,,1325800,
2017-02-22,,1330400,
2017-02-23,,1333900,
2017-02-24,,1338900,
2017-02-25,,1345900,
2017-02-26,,1353000,
2017-02-27,,1357200,
2017-02-28,,1361400,
2017-03-01,,1365300,
2017-03-02,,1371600,
2017-03-03,,1378100,
2017-03-04,,1385600,
2017-03-05,,1393500,
2017-03-06,,1398800,
2017-03-07,,1404100,
2017-03-08,,1409000,
2017-03-09,,1412200,
2017-03-10,,1415800,
2017-03-11,,1421400,
2017-03-12,,1426200,
2017-03-13,,1429800,
2017-03-14,,1433300,
2017-03-15,,1436100,
2017-03-16,,1440200,
2017-03-17,,1444100,
2017-03-18,,1450000,
2017-03-19,,1454800,
2017-03-20,,1458300,
2017-03-21,,1461200,
2017-03-22,,1463700,
2017-03-23,,1466500,
2017-03-24,,1469700,
2017-03-25,,1474400,
2017-03-26,,1478400,
2017-03-27,,1481200,
2017-03-28,,1483200,
2017-03-29,,1485700,
2017-03-30,,1488100,
2017-03-31,,1491000,
2017-04-01,,1495300,
2017-04-02,,1499400,
2017-04-03,,1502400,
2017-04-04,,1505300,
2017-04-05,,1508600,
2017-04-06,,1512200,
2017-04-07,,1516600,
2017-04-08,,1521800,
2017-04-09,,1527700,
2017-04-10,,1531500,
2017-04-11,,1535600,
2017-04-12,,1539100,
2017-04-13,,1542400,
2017-04-14,,1547400,
2017-04-15,,1553200,
2017-04-16,,1559000,
2017-04-17,,1563600,
2017-04-18,,1567700,
2017-04-19,,1572100,
2017-04-20,,1575800,
2017-04-21,,1579200,
2017-04-22,,1584700,
2017-04-23,,1589300,
2017-04-24,,1592000,
2017-04-25,,1594600,
2017-04-26,,1597000,
2017-04-27,,1599800,
2017-04-28,,1602200,
2017-04-29,,1606200,
2017-04-30,,1610000,
2017-05-01,,1613500,
2017-05-02,,1616600,
2017-05-03,,1619800,
2017-05-04,,1622200,
2017-05-05,,1625000,
2017-05-06,,1629100,
2017-05-07,,1633100,
2017-05-08,,1635800,
2017-05-09,,1638000,
2017-05-10,,1640500,
2017-05-11,,1643400,
2017-05-12,,1646200,
2017-05-13,,1649500,
2017-05-14,,1653100,
2017-05-15,,1655500,
2017-05-16,,1657700,
2017-05-17,,1660300,
2017-05-18,,1663100,
2017-05-19,,1666400,
2017-05-20,,1669700,
2017-05-21,,1673000,
2017-05-22,,1675500,
2017-05-23,,1677700,
2017-05-24,,1680000,
2017-05-25,,1682600,
2017-05-26,,1685000,
2017-05-27,,1689300,
2017-05-28,,1693500,
2017-05-29,,1697000,
