Date,'',PS4 player count,
2014-08-05,,1700,
2014-08-06,,15300,
2014-08-07,,32800,
2014-08-08,,46900,
2014-08-09,,62900,
2014-08-10,,78400,
2014-08-11,,90700,
2014-08-12,,101500,
2014-08-13,,111900,
2014-08-14,,121800,
2014-08-15,,131400,
2014-08-16,,143100,
2014-08-17,,153600,
2014-08-18,,161500,
2014-08-19,,171800,
2014-08-20,,181700,
2014-08-21,,190500,
2014-08-22,,197800,
2014-08-23,,207700,
2014-08-24,,211100,
2014-08-25,,217700,
2014-08-26,,224900,
2014-08-27,,232000,
2014-08-28,,237500,
2014-08-29,,245800,
2014-08-30,,253000,
2014-08-31,,260600,
2014-09-01,,268700,
2014-09-02,,275400,
2014-09-03,,280500,
2014-09-04,,285800,
2014-09-05,,291700,
2014-09-06,,298500,
2014-09-07,,305200,
2014-09-08,,309500,
2014-09-09,,317200,
2014-09-10,,325100,
2014-09-11,,330600,
2014-09-12,,336200,
2014-09-13,,342500,
2014-09-14,,348600,
2014-09-15,,352200,
2014-09-16,,355700,
2014-09-17,,358900,
2014-09-18,,361700,
2014-09-19,,363700,
2014-09-20,,366800,
2014-09-21,,369700,
2014-09-22,,371900,
2014-09-23,,373100,
2014-09-24,,375900,
2014-09-25,,378200,
2014-09-26,,380000,
2014-09-27,,382700,
2014-09-28,,385400,
2014-09-29,,387500,
2014-09-30,,388800,
2014-10-01,,390000,
2014-10-02,,391400,
2014-10-03,,394000,
2014-10-04,,395700,
2014-10-05,,398000,
2014-10-06,,399300,
2014-10-07,,401200,
2014-10-08,,403000,
2014-10-09,,404400,
2014-10-10,,406100,
2014-10-11,,408100,
2014-10-12,,409700,
2014-10-13,,411200,
2014-10-14,,412300,
2014-10-15,,413200,
2014-10-16,,414500,
2014-10-17,,415700,
2014-10-18,,417000,
2014-10-19,,418700,
2014-10-20,,420300,
2014-10-21,,421300,
2014-10-22,,422400,
2014-10-23,,423000,
2014-10-24,,423800,
2014-10-25,,424900,
2014-10-26,,426400,
2014-10-27,,427300,
2014-10-28,,429700,
2014-10-29,,431700,
2014-10-30,,434300,
2014-10-31,,435700,
2014-11-01,,437700,
2014-11-02,,440200,
2014-11-03,,441900,
2014-11-04,,443600,
2014-11-05,,445500,
2014-11-06,,446900,
2014-11-07,,448800,
2014-11-08,,451300,
2014-11-09,,452800,
2014-11-10,,454200,
2014-11-11,,455800,
2014-11-12,,457200,
2014-11-13,,458200,
2014-11-14,,459300,
2014-11-15,,461100,
2014-11-16,,462700,
2014-11-17,,463700,
2014-11-18,,465300,
2014-11-19,,466600,
2014-11-20,,467400,
2014-11-21,,468300,
2014-11-22,,469600,
2014-11-23,,471000,
2014-11-24,,471700,
2014-11-25,,472400,
2014-11-26,,473100,
2014-11-27,,473900,
2014-11-28,,474900,
2014-11-29,,476200,
2014-11-30,,477200,
2014-12-01,,477500,
2014-12-02,,478000,
2014-12-03,,478700,
2014-12-04,,479400,
2014-12-05,,480300,
2014-12-06,,481300,
2014-12-07,,482500,
2014-12-08,,483300,
2014-12-09,,484100,
2014-12-10,,484800,
2014-12-11,,485500,
2014-12-12,,486500,
2014-12-13,,487300,
2014-12-14,,488000,
2014-12-15,,488800,
2014-12-16,,489600,
2014-12-17,,490300,
2014-12-18,,490900,
2014-12-19,,491400,
2014-12-20,,492000,
2014-12-21,,492800,
2014-12-22,,493800,
2014-12-23,,494600,
2014-12-24,,495600,
2014-12-25,,496100,
2014-12-26,,496300,
2014-12-27,,496600,
2014-12-28,,497700,
2014-12-29,,498700,
2014-12-30,,499300,
2014-12-31,,499900,
2015-01-01,,500700,
2015-01-02,,501500,
2015-01-03,,502500,
2015-01-04,,503100,
2015-01-05,,503700,
2015-01-06,,504400,
2015-01-07,,505000,
2015-01-08,,505400,
2015-01-09,,505900,
2015-01-10,,506600,
2015-01-11,,506900,
2015-01-12,,507500,
2015-01-13,,508100,
2015-01-14,,508500,
2015-01-15,,509300,
2015-01-16,,509700,
2015-01-17,,510300,
2015-01-18,,510700,
2015-01-19,,511400,
2015-01-20,,511800,
2015-01-21,,512100,
2015-01-22,,512500,
2015-01-23,,513000,
2015-01-24,,513500,
2015-01-25,,514400,
2015-01-26,,515100,
2015-01-27,,515500,
2015-01-28,,515900,
2015-01-29,,516200,
2015-01-30,,516600,
2015-01-31,,517200,
2015-02-01,,517500,
2015-02-02,,517900,
2015-02-03,,518300,
2015-02-04,,518700,
2015-02-05,,519200,
2015-02-06,,519600,
2015-02-07,,519700,
2015-02-08,,520300,
2015-02-09,,520600,
2015-02-10,,520900,
2015-02-11,,521100,
2015-02-12,,521400,
2015-02-13,,521500,
2015-02-14,,522100,
2015-02-15,,522500,
2015-02-16,,522700,
2015-02-17,,523000,
2015-02-18,,523400,
2015-02-19,,523700,
2015-02-20,,524100,
2015-02-21,,524400,
2015-02-22,,524700,
2015-02-23,,525000,
2015-02-24,,525300,
2015-02-25,,525500,
2015-02-26,,526100,
2015-02-27,,526400,
2015-02-28,,526600,
2015-03-01,,527000,
2015-03-02,,527300,
2015-03-03,,527500,
2015-03-04,,527700,
2015-03-05,,528200,
2015-03-06,,528500,
2015-03-07,,528800,
2015-03-08,,529000,
2015-03-09,,529300,
2015-03-10,,529900,
2015-03-11,,530100,
2015-03-12,,530400,
2015-03-13,,530700,
2015-03-14,,531000,
2015-03-15,,531300,
2015-03-16,,531500,
2015-03-17,,531700,
2015-03-18,,531800,
2015-03-19,,532000,
2015-03-20,,532100,
2015-03-21,,532300,
2015-03-22,,532700,
2015-03-23,,532900,
2015-03-24,,533000,
2015-03-25,,533500,
2015-03-26,,534000,
2015-03-27,,534200,
2015-03-28,,534700,
2015-03-29,,535100,
2015-03-30,,535500,
2015-03-31,,535900,
2015-04-01,,536100,
2015-04-02,,536500,
2015-04-03,,536800,
2015-04-04,,536900,
2015-04-05,,537200,
2015-04-06,,537500,
2015-04-07,,537800,
2015-04-08,,537800,
2015-04-09,,538200,
2015-04-10,,538200,
2015-04-11,,538600,
2015-04-12,,539100,
2015-04-13,,539300,
2015-04-14,,539500,
2015-04-15,,539800,
2015-04-16,,539800,
2015-04-17,,540100,
2015-04-18,,540300,
2015-04-19,,540600,
2015-04-20,,540700,
2015-04-21,,541100,
2015-04-22,,541200,
2015-04-23,,541300,
2015-04-24,,541300,
2015-04-25,,541600,
2015-04-26,,541700,
2015-04-27,,541800,
2015-04-28,,541900,
2015-04-29,,542000,
2015-04-30,,542200,
2015-05-01,,542300,
