Date,'',PS4 player count,
2020-07-10,,200,
2020-07-11,,300,
2020-07-12,,300,
2020-07-13,,1200,
2020-07-14,,7800,
2020-07-15,,13700,
2020-07-16,,18000,
2020-07-17,,20900,
2020-07-18,,23000,
2020-07-19,,25900,
2020-07-20,,27200,
2020-07-21,,28800,
2020-07-22,,30000,
2020-07-23,,30700,
2020-07-24,,31500,
2020-07-25,,32500,
2020-07-26,,33300,
2020-07-27,,34100,
2020-07-28,,34700,
2020-07-29,,36700,
2020-07-30,,40200,
2020-07-31,,44900,
2020-08-01,,50900,
2020-08-02,,57700,
2020-08-03,,64000,
2020-08-04,,68600,
2020-08-05,,72300,
2020-08-06,,76300,
2020-08-07,,79700,
2020-08-08,,83600,
2020-08-09,,86800,
2020-08-10,,89300,
2020-08-11,,92000,
2020-08-12,,93700,
2020-08-13,,95400,
2020-08-14,,97500,
2020-08-15,,99700,
2020-08-16,,101600,
2020-08-17,,103300,
2020-08-18,,104500,
2020-08-19,,106300,
2020-08-20,,107300,
2020-08-21,,108100,
2020-08-22,,108700,
2020-08-23,,109600,
2020-08-24,,110400,
2020-08-25,,111000,
2020-08-26,,111400,
2020-08-27,,112300,
2020-08-28,,112800,
2020-08-29,,113500,
2020-08-30,,114000,
2020-08-31,,114800,
2020-09-01,,115200,
2020-09-02,,115700,
2020-09-03,,116000,
2020-09-04,,116400,
2020-09-05,,116800,
2020-09-06,,117300,
2020-09-07,,117800,
2020-09-08,,118200,
2020-09-09,,118500,
2020-09-10,,119100,
2020-09-11,,119400,
2020-09-12,,120000,
2020-09-13,,120300,
2020-09-14,,120700,
2020-09-15,,120900,
2020-09-16,,121300,
2020-09-17,,121600,
2020-09-18,,121700,
2020-09-19,,122300,
2020-09-20,,122700,
2020-09-21,,123300,
2020-09-22,,123800,
2020-09-23,,124100,
2020-09-24,,124400,
2020-09-25,,124700,
2020-09-26,,125200,
2020-09-27,,125600,
2020-09-28,,125900,
2020-09-29,,126200,
2020-09-30,,126600,
2020-10-01,,127000,
2020-10-02,,127500,
2020-10-03,,127900,
2020-10-04,,128200,
2020-10-05,,128700,
2020-10-06,,129100,
2020-10-07,,129400,
2020-10-08,,129800,
2020-10-09,,130100,
2020-10-10,,130300,
2020-10-11,,131100,
2020-10-12,,131200,
2020-10-13,,131400,
2020-10-14,,131600,
2020-10-15,,131900,
2020-10-16,,132200,
2020-10-17,,132500,
2020-10-18,,132700,
2020-10-19,,132900,
2020-10-20,,133300,
2020-10-21,,133600,
2020-10-22,,133600,
2020-10-23,,133700,
2020-10-24,,134200,
2020-10-25,,134400,
2020-10-26,,134600,
2020-10-27,,134900,
2020-10-28,,135100,
2020-10-29,,135300,
2020-10-30,,135400,
2020-10-31,,135900,
2020-11-01,,136500,
2020-11-02,,136800,
2020-11-03,,137100,
2020-11-04,,137400,
2020-11-05,,137900,
2020-11-06,,137900,
2020-11-07,,138000,
2020-11-08,,138400,
2020-11-09,,138700,
2020-11-10,,138800,
2020-11-11,,138900,
2020-11-12,,139600,
2020-11-13,,139700,
2020-11-14,,140000,
2020-11-15,,140000,
2020-11-16,,140700,
2020-11-17,,140700,
2020-11-18,,140900,
2020-11-19,,141400,
