Date,'',PS4 player count,
2015-07-06,,2400,
2015-07-07,,142300,
2015-07-08,,477200,
2015-07-09,,754200,
2015-07-10,,1028200,
2015-07-11,,1301400,
2015-07-12,,1570700,
2015-07-13,,1811500,
2015-07-14,,2035600,
2015-07-15,,2244900,
2015-07-16,,2437500,
2015-07-17,,2615800,
2015-07-18,,2808700,
2015-07-19,,2990000,
2015-07-20,,3150800,
2015-07-21,,3298500,
2015-07-22,,3428600,
2015-07-23,,3561500,
2015-07-24,,3693400,
2015-07-25,,3840100,
2015-07-26,,3975800,
2015-07-27,,4094700,
2015-07-28,,4201400,
2015-07-29,,4305600,
2015-07-30,,4409800,
2015-07-31,,4510500,
2015-08-01,,4628600,
2015-08-02,,4740400,
2015-08-03,,4840300,
2015-08-04,,4918700,
2015-08-05,,4963100,
2015-08-06,,5003100,
2015-08-07,,5040100,
2015-08-08,,5083800,
2015-08-09,,5121700,
2015-08-10,,5150200,
2015-08-11,,5175900,
2015-08-12,,5200300,
2015-08-13,,5227600,
2015-08-14,,5252900,
2015-08-15,,5287600,
2015-08-16,,5319200,
2015-08-17,,5343500,
2015-08-18,,5367500,
2015-08-19,,5387400,
2015-08-20,,5406800,
2015-08-21,,5429200,
2015-08-22,,5454800,
2015-08-23,,5478500,
2015-08-24,,5494700,
2015-08-25,,5511600,
2015-08-26,,5528200,
2015-08-27,,5543800,
2015-08-28,,5562800,
2015-08-29,,5584300,
2015-08-30,,5605500,
2015-08-31,,5619800,
2015-09-01,,5632200,
2015-09-02,,5646400,
2015-09-03,,5659400,
2015-09-04,,5673000,
2015-09-05,,5696200,
2015-09-06,,5714700,
2015-09-07,,5731900,
2015-09-08,,5743100,
2015-09-09,,5752100,
2015-09-10,,5762100,
2015-09-11,,5773900,
2015-09-12,,5791500,
2015-09-13,,5806300,
2015-09-14,,5815800,
2015-09-15,,5824500,
2015-09-16,,5832000,
2015-09-17,,5839200,
2015-09-18,,5850800,
2015-09-19,,5866900,
2015-09-20,,5881200,
2015-09-21,,5887800,
2015-09-22,,5896200,
2015-09-23,,5904000,
2015-09-24,,5911500,
2015-09-25,,5922200,
2015-09-26,,5937600,
2015-09-27,,5950700,
2015-09-28,,5957800,
2015-09-29,,5964000,
2015-09-30,,5970600,
2015-10-01,,5977500,
2015-10-02,,5987100,
2015-10-03,,6002500,
2015-10-04,,6014400,
2015-10-05,,6021100,
2015-10-06,,6028600,
