Date,'',PS4 player count,PS Vita player count
2018-04-12,,100,0
2018-04-13,,200,0
2018-04-14,,200,0
2018-04-15,,200,0
2018-04-16,,300,0
2018-04-17,,300,0
2018-04-18,,300,0
2018-04-19,,300,0
2018-04-20,,300,0
2018-04-21,,400,0
2018-04-22,,400,0
2018-04-23,,500,1900
2018-04-24,,500,1900
2018-04-25,,500,1900
2018-04-26,,500,1900
2018-04-27,,500,1900
2018-04-28,,500,1900
2018-04-29,,500,1900
2018-04-30,,500,1900
2018-05-01,,500,1900
2018-05-02,,500,1900
2018-05-03,,500,1900
2018-05-04,,500,1900
2018-05-05,,500,1900
2018-05-06,,500,1900
2018-05-07,,500,1900
2018-05-08,,500,1900
2018-05-09,,500,1900
2018-05-10,,500,1900
2018-05-11,,500,1900
2018-05-12,,500,1900
2018-05-13,,500,1900
2018-05-14,,500,1900
2018-05-15,,500,1900
2018-05-16,,500,1900
2018-05-17,,500,1900
2018-05-18,,500,1900
2018-05-19,,600,1900
2018-05-20,,600,1900
2018-05-21,,600,1900
2018-05-22,,600,1900
2018-05-23,,600,1900
2018-05-24,,600,1900
2018-05-25,,600,1900
2018-05-26,,600,1900
2018-05-27,,600,1900
2018-05-28,,600,1900
2018-05-29,,600,1900
2018-05-30,,600,1900
2018-05-31,,600,1900
2018-06-01,,600,1900
2018-06-02,,600,1900
2018-06-03,,600,1900
2018-06-04,,600,1900
2018-06-05,,600,1900
2018-06-06,,600,1900
2018-06-07,,600,1900
2018-06-08,,600,1900
2018-06-09,,600,1900
2018-06-10,,600,1900
2018-06-11,,600,1900
2018-06-12,,600,1900
2018-06-13,,600,1900
2018-06-14,,600,1900
2018-06-15,,600,1900
2018-06-16,,600,2000
2018-06-17,,600,2000
2018-06-18,,600,2000
2018-06-19,,600,2000
2018-06-20,,600,2000
2018-06-21,,600,2000
2018-06-22,,600,2000
2018-06-23,,600,2000
2018-06-24,,600,2000
2018-06-25,,600,2000
2018-06-26,,600,2000
2018-06-27,,600,2000
2018-06-28,,600,2000
2018-06-29,,600,2000
2018-06-30,,600,2000
2018-07-01,,600,2000
2018-07-02,,600,2000
2018-07-03,,600,2000
2018-07-04,,600,2000
2018-07-05,,600,2000
2018-07-06,,600,2000
2018-07-07,,700,2000
2018-07-08,,700,2000
2018-07-09,,700,2000
2018-07-10,,700,2000
2018-07-11,,700,2000
2018-07-12,,700,2000
2018-07-13,,700,2000
2018-07-14,,700,2000
2018-07-15,,700,2000
2018-07-16,,700,2000
2018-07-17,,700,2000
2018-07-18,,700,2200
2018-07-19,,700,2200
2018-07-20,,700,2200
2018-07-21,,700,2200
2018-07-22,,700,2200
2018-07-23,,700,2200
2018-07-24,,700,2200
2018-07-25,,700,2200
2018-07-26,,700,2200
2018-07-27,,700,2200
2018-07-28,,700,2200
2018-07-29,,700,2200
2018-07-30,,700,2200
2018-07-31,,700,2200
2018-08-01,,700,2200
2018-08-02,,700,2200
2018-08-03,,700,2200
2018-08-04,,700,2300
2018-08-05,,800,2300
2018-08-06,,800,2300
2018-08-07,,800,2300
2018-08-08,,800,2300
2018-08-09,,800,2300
2018-08-10,,800,2300
2018-08-11,,800,2300
2018-08-12,,800,2300
2018-08-13,,800,2300
2018-08-14,,800,2300
2018-08-15,,800,2300
2018-08-16,,800,2300
2018-08-17,,800,2300
2018-08-18,,800,2300
2018-08-19,,800,2300
2018-08-20,,800,2300
2018-08-21,,800,2300
2018-08-22,,800,2300
2018-08-23,,800,2300
2018-08-24,,800,2300
2018-08-25,,800,2300
2018-08-26,,800,2300
2018-08-27,,800,2300
2018-08-28,,800,2300
2018-08-29,,800,2300
2018-08-30,,800,2300
2018-08-31,,800,2300
2018-09-01,,800,2300
2018-09-02,,800,2300
2018-09-03,,800,2300
2018-09-04,,800,2300
2018-09-05,,800,2300
2018-09-06,,800,2300
2018-09-07,,800,2300
2018-09-08,,800,2300
2018-09-09,,800,2300
2018-09-10,,800,2300
2018-09-11,,800,2300
2018-09-12,,800,2300
2018-09-13,,800,2300
2018-09-14,,800,2300
2018-09-15,,800,2300
2018-09-16,,800,2300
2018-09-17,,800,2300
2018-09-18,,800,2300
2018-09-19,,800,2300
2018-09-20,,800,2300
2018-09-21,,800,2300
2018-09-22,,800,2300
2018-09-23,,800,2300
2018-09-24,,800,2300
2018-09-25,,800,2300
2018-09-26,,800,2300
2018-09-27,,800,2300
2018-09-28,,800,2300
2018-09-29,,800,2300
2018-09-30,,800,2300
2018-10-01,,800,2300
2018-10-02,,800,2300
2018-10-03,,800,2300
2018-10-04,,800,2300
2018-10-05,,800,2300
2018-10-06,,800,2300
2018-10-07,,800,2300
2018-10-08,,800,2300
2018-10-09,,800,2300
2018-10-10,,800,2300
2018-10-11,,800,2300
2018-10-12,,800,2300
2018-10-13,,800,2300
2018-10-14,,800,2300
2018-10-15,,800,2300
2018-10-16,,800,2300
2018-10-17,,800,2300
2018-10-18,,800,2300
2018-10-19,,800,2300
2018-10-20,,800,2300
2018-10-21,,800,2300
2018-10-22,,800,2300
2018-10-23,,800,2300
2018-10-24,,800,2300
2018-10-25,,800,2300
2018-10-26,,800,2300
2018-10-27,,800,2300
2018-10-28,,800,2300
2018-10-29,,800,2300
2018-10-30,,800,2300
2018-10-31,,800,2300
2018-11-01,,800,2300
2018-11-02,,800,2300
2018-11-03,,800,2300
2018-11-04,,800,2300
2018-11-05,,800,2300
2018-11-06,,800,2300
2018-11-07,,800,2300
2018-11-08,,800,2300
2018-11-09,,800,2300
2018-11-10,,800,2300
2018-11-11,,800,2300
2018-11-12,,800,2300
2018-11-13,,800,2300
2018-11-14,,800,2300
2018-11-15,,800,2300
2018-11-16,,800,2300
2018-11-17,,800,2300
2018-11-18,,800,2300
2018-11-19,,800,2300
2018-11-20,,800,2300
2018-11-21,,800,2300
2018-11-22,,800,2300
2018-11-23,,800,2300
2018-11-24,,800,2300
2018-11-25,,800,2300
2018-11-26,,800,2300
2018-11-27,,800,2300
2018-11-28,,800,2300
2018-11-29,,800,2300
2018-11-30,,800,2300
2018-12-01,,800,2400
2018-12-02,,800,2400
2018-12-03,,800,2400
2018-12-04,,800,2400
2018-12-05,,800,2400
2018-12-06,,800,2400
2018-12-07,,800,2400
2018-12-08,,800,2400
2018-12-09,,800,2400
2018-12-10,,800,2400
2018-12-11,,800,2400
2018-12-12,,900,2400
2018-12-13,,900,2400
2018-12-14,,900,2400
2018-12-15,,900,2400
2018-12-16,,900,2400
2018-12-17,,900,2400
2018-12-18,,900,2400
2018-12-19,,900,2400
2018-12-20,,900,2400
2018-12-21,,900,2400
2018-12-22,,900,2400
2018-12-23,,900,2400
2018-12-24,,900,2400
2018-12-25,,900,2400
2018-12-26,,900,2400
2018-12-27,,900,2400
2018-12-28,,900,2400
2018-12-29,,1000,2400
2018-12-30,,1000,2400
2018-12-31,,1000,2400
2019-01-01,,1000,2400
2019-01-02,,1000,2400
2019-01-03,,1000,2400
2019-01-04,,1000,2400
2019-01-05,,1000,2400
2019-01-06,,1000,2400
2019-01-07,,1000,2400
2019-01-08,,1000,2400
2019-01-09,,1000,2400
2019-01-10,,1000,2400
2019-01-11,,1000,2400
2019-01-12,,1000,2400
2019-01-13,,1000,2400
2019-01-14,,1000,2400
2019-01-15,,1000,2400
2019-01-16,,1000,2400
2019-01-17,,1000,2400
2019-01-18,,1000,2400
2019-01-19,,1000,2400
