Date,PS3 player count,PS4 player count,PS Vita player count
2014-07-29,600,400,0
2014-07-30,900,1100,100
2014-07-31,900,1900,300
2014-08-01,1000,2400,300
2014-08-02,1300,2900,400
2014-08-03,1600,3300,500
2014-08-04,2000,3700,700
2014-08-05,2300,4200,800
2014-08-06,2400,4400,1000
2014-08-07,2700,4900,1100
2014-08-08,2900,5500,1200
2014-08-09,3200,5800,1200
2014-08-10,3700,6600,1300
2014-08-11,3900,6800,1300
2014-08-12,4100,7500,1300
2014-08-13,4100,8000,1300
2014-08-14,4400,8500,1500
2014-08-15,4400,9200,1500
2014-08-16,4500,9500,1600
2014-08-17,4800,10400,1600
2014-08-18,5100,10700,1600
2014-08-19,5400,11400,1700
2014-08-20,5700,11900,1800
2014-08-21,5800,12000,1800
2014-08-22,6000,12300,1800
2014-08-23,6300,12500,1800
2014-08-24,6300,12800,1800
2014-08-25,6400,12900,1900
2014-08-26,6700,13300,2100
2014-08-27,6900,13600,2300
2014-08-28,7100,13800,2300
2014-08-29,7500,14000,2400
2014-08-30,7600,14300,2500
2014-08-31,7800,15000,2600
2014-09-01,7900,15300,2800
2014-09-02,8100,15500,2800
2014-09-03,8300,15500,2800
2014-09-04,8300,15600,2800
2014-09-05,8400,15700,2800
2014-09-06,8400,16000,3000
2014-09-07,9000,16200,3100
2014-09-08,9100,16400,3100
2014-09-09,9300,16500,3100
2014-09-10,9500,16800,3100
2014-09-11,9600,16800,3200
2014-09-12,9600,17000,3200
2014-09-13,9700,17200,3300
2014-09-14,9800,17300,3300
2014-09-15,9900,17500,3300
2014-09-16,10200,17500,3300
2014-09-17,10300,17500,3400
2014-09-18,10400,17800,3400
2014-09-19,10500,17900,3400
2014-09-20,10700,18300,3400
2014-09-21,11100,18900,3600
2014-09-22,11400,18900,3600
2014-09-23,11400,18900,3600
2014-09-24,11400,19000,3900
2014-09-25,11500,19000,3900
2014-09-26,11500,19400,3900
2014-09-27,11500,19600,3900
2014-09-28,11700,19800,3900
2014-09-29,11700,19800,4000
2014-09-30,11800,19800,4000
2014-10-01,12000,20000,4000
2014-10-02,12100,20100,4000
2014-10-03,12400,20300,4000
2014-10-04,12500,20400,4000
2014-10-05,12600,20600,4000
2014-10-06,12600,20700,4000
2014-10-07,12600,20900,4100
2014-10-08,12600,21100,4200
2014-10-09,12700,21200,4200
2014-10-10,12700,21300,4200
2014-10-11,12700,21400,4300
2014-10-12,12800,21600,4300
2014-10-13,12800,21700,4300
2014-10-14,12900,21700,4300
2014-10-15,12900,21700,4300
2014-10-16,13000,21800,4300
2014-10-17,13000,21900,4300
2014-10-18,13100,22000,4300
2014-10-19,13200,22100,4400
2014-10-20,13300,22100,4400
2014-10-21,13300,22300,4500
2014-10-22,13300,22300,4700
2014-10-23,13400,22400,4700
2014-10-24,13500,22700,4700
2014-10-25,13700,23000,4900
2014-10-26,13700,23100,4900
2014-10-27,13700,23200,4900
2014-10-28,13900,23200,5000
2014-10-29,14000,23300,5100
2014-10-30,14000,23400,5100
2014-10-31,14100,23500,5100
2014-11-01,14100,23600,5100
2014-11-02,14200,23900,5200
2014-11-03,14300,23900,5200
2014-11-04,14300,24000,5200
2014-11-05,14300,24000,5200
2014-11-06,14300,24000,5200
2014-11-07,14300,24000,5200
2014-11-08,14400,24100,5200
2014-11-09,14400,24200,5200
2014-11-10,14400,24300,5200
2014-11-11,14500,24300,5300
2014-11-12,14600,24700,5300
2014-11-13,14600,24800,5300
2014-11-14,14700,25000,5400
2014-11-15,14700,25500,5400
2014-11-16,14900,25800,5400
2014-11-17,15100,25900,5400
2014-11-18,15200,26100,5400
2014-11-19,15400,26300,5400
2014-11-20,15500,26400,5400
2014-11-21,15500,26600,5400
2014-11-22,15700,26600,5400
2014-11-23,15700,26700,5400
2014-11-24,15700,26800,5400
2014-11-25,15700,26800,5500
2014-11-26,15900,26900,5600
2014-11-27,16100,26900,5600
2014-11-28,16200,27000,5600
2014-11-29,16400,27300,5600
2014-11-30,16500,27400,5600
2014-12-01,16700,27400,5600
2014-12-02,16700,27500,5600
2014-12-03,16800,27500,5600
2014-12-04,16800,27500,5600
2014-12-05,16800,27600,5600
2014-12-06,16900,27800,5600
2014-12-07,16900,27900,5600
2014-12-08,17000,28000,5600
2014-12-09,17000,28000,5600
2014-12-10,17000,28100,5700
2014-12-11,17000,28300,5700
2014-12-12,17000,28400,5700
2014-12-13,17100,28400,5700
2014-12-14,17100,28400,5700
2014-12-15,17100,28400,5700
2014-12-16,17100,28600,5700
2014-12-17,17100,28700,5700
2014-12-18,17200,29000,5700
2014-12-19,17300,29000,5900
2014-12-20,17300,29100,6000
2014-12-21,17300,29200,6000
2014-12-22,17300,29200,6000
2014-12-23,17500,29200,6000
2014-12-24,17500,29300,6100
2014-12-25,17600,29300,6100
2014-12-26,17700,29300,6100
2014-12-27,17800,29300,6100
2014-12-28,17800,29400,6100
2014-12-29,17800,29600,6100
2014-12-30,17800,29600,6100
2014-12-31,17800,29800,6100
2015-01-01,17900,29900,6100
2015-01-02,17900,30000,6100
2015-01-03,18000,30000,6100
2015-01-04,18000,30100,6300
2015-01-05,18100,30200,6300
2015-01-06,18200,30300,6300
2015-01-07,18300,30500,6300
2015-01-08,18300,30600,6300
2015-01-09,18400,30700,6300
2015-01-10,18400,30700,6300
2015-01-11,18400,31100,6400
2015-01-12,18500,31300,6400
2015-01-13,18500,31300,6400
2015-01-14,18600,31300,6400
2015-01-15,18700,31300,6400
2015-01-16,18700,31300,6400
2015-01-17,18800,31600,6500
2015-01-18,18800,31600,6500
2015-01-19,18800,31800,6500
2015-01-20,18800,31800,6500
2015-01-21,18800,31800,6500
2015-01-22,18800,31800,6500
2015-01-23,18900,31900,6600
2015-01-24,18900,32100,6600
2015-01-25,18900,32100,6600
2015-01-26,18900,32400,6600
2015-01-27,18900,32800,6600
2015-01-28,18900,32900,6600
2015-01-29,18900,32900,6600
2015-01-30,18900,32900,6600
2015-01-31,19000,33100,6800
2015-02-01,19000,33100,7000
2015-02-02,19000,33100,7000
2015-02-03,19200,33700,7000
2015-02-04,20700,40000,7600
2015-02-05,23600,49800,8500
2015-02-06,26300,60000,9900
2015-02-07,29300,74500,11400
2015-02-08,32900,87700,13100
2015-02-09,35500,95500,14000
2015-02-10,38000,102400,15200
2015-02-11,39800,111100,16000
2015-02-12,41400,118200,16900
2015-02-13,43700,127500,17800
2015-02-14,45900,138400,19000
2015-02-15,48500,150400,19500
2015-02-16,50300,158200,20300
2015-02-17,51500,165100,20700
2015-02-18,53400,172600,21800
2015-02-19,54700,182400,22300
2015-02-20,56200,191000,22600
2015-02-21,58800,199600,23400
2015-02-22,61100,209800,23600
2015-02-23,62400,216900,23900
2015-02-24,63300,223800,24300
2015-02-25,63900,231800,24800
2015-02-26,65300,239000,25100
2015-02-27,66600,246100,25800
2015-02-28,67700,256300,26000
2015-03-01,68800,266800,26300
2015-03-02,69900,273600,26700
2015-03-03,70900,280700,27300
2015-03-04,71700,286300,28100
2015-03-05,72200,292800,28800
2015-03-06,73100,300000,29200
2015-03-07,74100,305800,29500
2015-03-08,75500,310800,30100
2015-03-09,76700,315500,30500
2015-03-10,77300,319700,31100
2015-03-11,77700,323100,31400
2015-03-12,78200,326800,31500
2015-03-13,78400,330300,31600
2015-03-14,79300,335000,31700
2015-03-15,80100,338700,32500
2015-03-16,80900,340900,32600
2015-03-17,81500,343700,32700
2015-03-18,82000,345800,32800
2015-03-19,82500,348600,33300
2015-03-20,82700,351700,33700
2015-03-21,83700,355300,33700
2015-03-22,84400,358200,33800
2015-03-23,85200,360900,33800
2015-03-24,85800,363200,34200
2015-03-25,86400,365100,34200
2015-03-26,86800,367300,34300
2015-03-27,87100,369800,34400
2015-03-28,87800,373300,34500
2015-03-29,88300,375700,34700
2015-03-30,88800,377800,34700
2015-03-31,88900,379300,34700
2015-04-01,89200,381200,34800
2015-04-02,89300,382500,34900
2015-04-03,89700,385500,34900
2015-04-04,90200,388300,35200
2015-04-05,90300,390700,35300
2015-04-06,90700,392200,35700
2015-04-07,91000,394400,35700
2015-04-08,91300,396100,36400
2015-04-09,91700,397800,36700
2015-04-10,92100,399400,37600
2015-04-11,92500,402200,38000
2015-04-12,93000,404600,38200
2015-04-13,93400,406100,38500
2015-04-14,93700,407500,39000
2015-04-15,93900,409100,39000
2015-04-16,94400,410800,39500
2015-04-17,94800,412100,39600
2015-04-18,95300,414900,39800
2015-04-19,95500,417000,39800
