Date,PS3 player count,PS4 player count,
2015-01-15,0,100,
2015-01-16,0,100,
2015-01-17,0,100,
2015-01-18,0,100,
2015-01-19,0,100,
2015-01-20,0,600,
2015-01-21,100,1500,
2015-01-22,200,2400,
2015-01-23,300,3500,
2015-01-24,400,5200,
2015-01-25,500,7200,
2015-01-26,600,8700,
2015-01-27,600,10800,
2015-01-28,700,12400,
2015-01-29,2000,14200,
2015-01-30,3000,16100,
2015-01-31,4400,18200,
2015-02-01,5500,20900,
2015-02-02,6600,22100,
2015-02-03,7000,23300,
2015-02-04,7600,24700,
2015-02-05,8400,25600,
2015-02-06,9300,26800,
2015-02-07,10600,28600,
2015-02-08,12000,30000,
2015-02-09,12700,31500,
2015-02-10,13500,32200,
2015-02-11,14100,33000,
2015-02-12,15200,34500,
2015-02-13,16200,35800,
2015-02-14,17300,37000,
2015-02-15,18600,38600,
2015-02-16,19400,39600,
2015-02-17,20200,40400,
2015-02-18,21100,41100,
2015-02-19,22000,42100,
2015-02-20,22800,42900,
2015-02-21,23700,44500,
2015-02-22,24500,45600,
2015-02-23,25300,46600,
2015-02-24,26100,47400,
2015-02-25,26700,48600,
2015-02-26,27200,49200,
2015-02-27,27600,50000,
2015-02-28,28700,51300,
2015-03-01,29600,52700,
2015-03-02,30300,53900,
2015-03-03,30700,54800,
2015-03-04,31200,55500,
2015-03-05,31800,56200,
2015-03-06,32300,56700,
2015-03-07,33200,57600,
2015-03-08,34100,58600,
2015-03-09,34400,59700,
2015-03-10,34900,60500,
2015-03-11,35500,61300,
2015-03-12,35900,62100,
2015-03-13,36500,62900,
2015-03-14,37400,63900,
2015-03-15,38000,65100,
2015-03-16,38300,66000,
2015-03-17,38900,66800,
2015-03-18,39400,67300,
2015-03-19,39900,67700,
2015-03-20,40700,68200,
2015-03-21,41700,69100,
2015-03-22,42200,69700,
2015-03-23,42700,70200,
2015-03-24,43000,70500,
2015-03-25,43600,70900,
2015-03-26,44200,71500,
2015-03-27,44600,72100,
2015-03-28,45100,72700,
2015-03-29,46000,73700,
2015-03-30,46700,74300,
2015-03-31,47200,75000,
2015-04-01,47800,75600,
2015-04-02,48300,76300,
2015-04-03,48900,77000,
2015-04-04,49800,77600,
2015-04-05,50400,78200,
2015-04-06,50900,79100,
2015-04-07,51300,79700,
2015-04-08,52000,80100,
2015-04-09,52400,80800,
2015-04-10,52900,81400,
2015-04-11,53700,82100,
2015-04-12,54600,82800,
2015-04-13,55300,83200,
2015-04-14,55700,83700,
2015-04-15,55900,84000,
2015-04-16,56300,84400,
2015-04-17,56500,85000,
2015-04-18,57100,85400,
2015-04-19,57700,86300,
2015-04-20,58000,86700,
2015-04-21,58400,87400,
2015-04-22,58800,87600,
2015-04-23,59100,88100,
2015-04-24,59600,88600,
2015-04-25,60100,89000,
2015-04-26,60300,89300,
2015-04-27,60700,89500,
2015-04-28,60900,89800,
2015-04-29,61400,90100,
2015-04-30,61800,90500,
2015-05-01,62100,91200,
2015-05-02,62900,91800,
2015-05-03,63600,92500,
2015-05-04,63800,93200,
2015-05-05,64000,93700,
2015-05-06,64300,94200,
2015-05-07,64800,94600,
2015-05-08,65200,95000,
2015-05-09,65600,95700,
2015-05-10,66100,96500,
2015-05-11,66800,97000,
2015-05-12,67100,97300,
2015-05-13,67600,97700,
2015-05-14,68100,98300,
2015-05-15,68500,98600,
2015-05-16,69000,98800,
2015-05-17,69600,99300,
2015-05-18,69900,99900,
2015-05-19,70100,100300,
2015-05-20,70600,100900,
2015-05-21,71000,101400,
2015-05-22,71400,102000,
2015-05-23,71800,102500,
2015-05-24,72400,103000,
2015-05-25,73100,103600,
2015-05-26,73500,103700,
2015-05-27,73800,103900,
2015-05-28,74200,104600,
2015-05-29,74600,105000,
2015-05-30,75000,105600,
2015-05-31,75700,106300,
2015-06-01,76100,106700,
2015-06-02,76200,106900,
2015-06-03,76700,107500,
2015-06-04,77200,108300,
2015-06-05,77800,108800,
2015-06-06,78300,109300,
2015-06-07,79000,109900,
2015-06-08,79500,110400,
2015-06-09,79700,110800,
2015-06-10,80300,111600,
2015-06-11,81000,112400,
2015-06-12,81600,113000,
2015-06-13,82000,113600,
2015-06-14,82700,114300,
2015-06-15,83200,114600,
2015-06-16,83600,115000,
2015-06-17,84000,115300,
2015-06-18,84400,115700,
2015-06-19,85100,116200,
2015-06-20,85800,116900,
2015-06-21,86400,117500,
2015-06-22,86800,117800,
2015-06-23,87200,118600,
2015-06-24,87600,119000,
2015-06-25,88100,119500,
2015-06-26,88600,120000,
2015-06-27,89200,120500,
2015-06-28,90000,121100,
2015-06-29,90700,121500,
2015-06-30,91400,121600,
2015-07-01,91800,122000,
2015-07-02,92100,122800,
2015-07-03,92900,123200,
2015-07-04,93500,123500,
2015-07-05,93700,124000,
2015-07-06,94400,124500,
2015-07-07,94900,125100,
2015-07-08,95500,125700,
2015-07-09,96000,126300,
2015-07-10,96300,126900,
2015-07-11,96700,127900,
2015-07-12,97000,128700,
2015-07-13,97500,129500,
2015-07-14,98100,130400,
2015-07-15,98600,130800,
2015-07-16,99200,131600,
2015-07-17,99600,132200,
2015-07-18,100100,132800,
2015-07-19,100700,133500,
2015-07-20,101300,134100,
2015-07-21,101700,134400,
2015-07-22,102100,135100,
2015-07-23,102400,135800,
2015-07-24,102800,136400,
2015-07-25,103300,136700,
2015-07-26,103800,137300,
2015-07-27,104300,138000,
2015-07-28,104500,138200,
2015-07-29,104700,138700,
2015-07-30,105200,139100,
2015-07-31,105600,139500,
2015-08-01,106300,140000,
2015-08-02,107100,140600,
2015-08-03,107600,141100,
2015-08-04,108000,141400,
2015-08-05,108600,142000,
2015-08-06,108900,142400,
2015-08-07,109100,142700,
2015-08-08,109700,143200,
2015-08-09,110100,143900,
2015-08-10,110700,144400,
2015-08-11,110900,144600,
2015-08-12,111400,145300,
2015-08-13,111900,145800,
2015-08-14,112500,146200,
2015-08-15,112900,147100,
2015-08-16,113300,147800,
2015-08-17,113600,148300,
2015-08-18,114000,148900,
2015-08-19,114400,149500,
2015-08-20,114600,150200,
2015-08-21,115000,150800,
2015-08-22,115300,151600,
2015-08-23,115700,152400,
2015-08-24,116100,153000,
2015-08-25,116500,153800,
2015-08-26,116800,154400,
2015-08-27,117100,154900,
2015-08-28,117400,155300,
2015-08-29,117800,156200,
2015-08-30,117800,156800,
2015-08-31,118200,157000,
2015-09-01,118500,157500,
2015-09-02,118900,157900,
2015-09-03,119000,158400,
2015-09-04,119200,158700,
2015-09-05,119600,159200,
2015-09-06,120200,159900,
2015-09-07,120700,160400,
2015-09-08,121000,160700,
2015-09-09,121500,161000,
2015-09-10,121700,161300,
2015-09-11,121900,161800,
2015-09-12,122400,162200,
2015-09-13,122800,162700,
2015-09-14,122900,162900,
2015-09-15,123300,163400,
2015-09-16,123500,163500,
2015-09-17,123900,163600,
2015-09-18,124200,163700,
2015-09-19,124800,163900,
2015-09-20,125400,164400,
2015-09-21,125700,164700,
2015-09-22,126100,165100,
2015-09-23,126200,165600,
2015-09-24,126700,165800,
2015-09-25,126900,166100,
2015-09-26,127200,166500,
2015-09-27,127600,166900,
2015-09-28,127800,167100,
2015-09-29,128400,167200,
2015-09-30,128600,167700,
2015-10-01,128800,167900,
2015-10-02,129100,168100,
2015-10-03,129500,168500,
2015-10-04,129700,168900,
2015-10-05,130100,169100,
2015-10-06,130300,169600,
2015-10-07,130600,169900,
2015-10-08,130800,169900,
2015-10-09,131200,170600,
2015-10-10,131800,171100,
2015-10-11,132200,171300,
2015-10-12,132500,171500,
2015-10-13,132800,171900,
2015-10-14,132900,172100,
2015-10-15,133200,172200,
2015-10-16,133700,172300,
2015-10-17,134000,172800,
2015-10-18,134400,173300,
2015-10-19,134800,173900,
2015-10-20,135100,174300,
2015-10-21,135400,174800,
2015-10-22,135600,175200,
2015-10-23,135700,175600,
2015-10-24,135900,176300,
2015-10-25,136300,176900,
2015-10-26,136500,177500,
2015-10-27,136800,177900,
2015-10-28,137200,178200,
2015-10-29,137600,178500,
2015-10-30,137800,178800,
2015-10-31,138200,179400,
2015-11-01,138700,180000,
2015-11-02,139000,180500,
2015-11-03,139100,180700,
2015-11-04,139300,181400,
2015-11-05,139600,181900,
2015-11-06,139900,182500,
2015-11-07,140600,183300,
2015-11-08,141100,183800,
2015-11-09,141400,184200,
2015-11-10,141700,184700,
2015-11-11,142400,185200,
2015-11-12,142700,185500,
2015-11-13,143000,186100,
2015-11-14,143200,186700,
2015-11-15,143800,187200,
2015-11-16,143900,187600,
2015-11-17,144300,187900,
2015-11-18,144600,188500,
2015-11-19,144800,189000,
2015-11-20,145000,189200,
2015-11-21,145500,189800,
2015-11-22,145800,190100,
2015-11-23,145900,190400,
2015-11-24,146300,190600,
2015-11-25,146800,191000,
2015-11-26,147400,191200,
2015-11-27,147800,191600,
2015-11-28,148300,192100,
2015-11-29,148800,192600,
2015-11-30,149200,193000,
2015-12-01,149500,193300,
2015-12-02,149500,193600,
2015-12-03,150100,194100,
2015-12-04,150400,194300,
2015-12-05,150800,194700,
2015-12-06,151100,195200,
2015-12-07,151400,195500,
2015-12-08,151700,195800,
2015-12-09,152000,196000,
2015-12-10,152600,196600,
2015-12-11,152900,196900,
2015-12-12,153300,197300,
2015-12-13,153600,197800,
2015-12-14,153800,198200,
2015-12-15,154000,198700,
2015-12-16,154400,198900,
2015-12-17,154700,199100,
2015-12-18,155000,199600,
2015-12-19,155800,200000,
2015-12-20,156500,200300,
2015-12-21,156900,200800,
2015-12-22,157200,201200,
2015-12-23,157600,202200,
2015-12-24,157900,202600,
2015-12-25,158500,203300,
2015-12-26,159000,204400,
2015-12-27,159400,205000,
2015-12-28,160000,205800,
2015-12-29,160500,206500,
2015-12-30,161000,207300,
2015-12-31,161600,208000,
2016-01-01,162100,208500,
2016-01-02,162600,209300,
2016-01-03,163200,209800,
2016-01-04,163600,210400,
2016-01-05,164000,210700,
2016-01-06,164200,211300,
2016-01-07,164400,211800,
2016-01-08,164700,212500,
2016-01-09,164900,213400,
2016-01-10,165300,214200,
2016-01-11,165500,214800,
2016-01-12,165600,215500,
2016-01-13,165800,215800,
2016-01-14,165900,216300,
2016-01-15,166200,216800,
2016-01-16,167000,217600,
2016-01-17,167100,218400,
2016-01-18,167200,218900,
2016-01-19,167400,219400,
2016-01-20,167500,219900,
2016-01-21,167600,220000,
