Date,'',PS4 player count,
2014-12-02,,2200,
2014-12-03,,35000,
2014-12-04,,84100,
2014-12-05,,127500,
2014-12-06,,180500,
2014-12-07,,235900,
2014-12-08,,268300,
2014-12-09,,296700,
2014-12-10,,321500,
2014-12-11,,343200,
2014-12-12,,365100,
2014-12-13,,394300,
2014-12-14,,422300,
2014-12-15,,443800,
2014-12-16,,461600,
2014-12-17,,479000,
2014-12-18,,497900,
2014-12-19,,516400,
2014-12-20,,542200,
2014-12-21,,565200,
2014-12-22,,588200,
2014-12-23,,608000,
2014-12-24,,627200,
2014-12-25,,639700,
2014-12-26,,643200,
2014-12-27,,651300,
2014-12-28,,677000,
2014-12-29,,704300,
2014-12-30,,730800,
2014-12-31,,755300,
2015-01-01,,778800,
2015-01-02,,804000,
2015-01-03,,830100,
2015-01-04,,854600,
2015-01-05,,873600,
2015-01-06,,890800,
2015-01-07,,905500,
2015-01-08,,916900,
2015-01-09,,926600,
2015-01-10,,939900,
2015-01-11,,950200,
2015-01-12,,956700,
2015-01-13,,963300,
2015-01-14,,969400,
2015-01-15,,975300,
2015-01-16,,980500,
2015-01-17,,987800,
2015-01-18,,995200,
2015-01-19,,1000800,
2015-01-20,,1005500,
2015-01-21,,1009300,
2015-01-22,,1012800,
2015-01-23,,1017300,
2015-01-24,,1022500,
2015-01-25,,1028700,
2015-01-26,,1032900,
2015-01-27,,1036600,
2015-01-28,,1039600,
2015-01-29,,1042500,
2015-01-30,,1045800,
2015-01-31,,1050400,
2015-02-01,,1055200,
2015-02-02,,1058600,
2015-02-03,,1061500,
2015-02-04,,1064500,
2015-02-05,,1067600,
2015-02-06,,1070800,
2015-02-07,,1074500,
2015-02-08,,1079300,
2015-02-09,,1082000,
2015-02-10,,1084500,
2015-02-11,,1086400,
2015-02-12,,1089000,
2015-02-13,,1090700,
2015-02-14,,1094300,
2015-02-15,,1097700,
2015-02-16,,1100100,
2015-02-17,,1102400,
2015-02-18,,1104500,
2015-02-19,,1106700,
2015-02-20,,1108900,
2015-02-21,,1111300,
2015-02-22,,1114400,
2015-02-23,,1116400,
2015-02-24,,1118700,
2015-02-25,,1120300,
2015-02-26,,1122500,
2015-02-27,,1124400,
2015-02-28,,1127700,
2015-03-01,,1130900,
2015-03-02,,1132500,
2015-03-03,,1134100,
2015-03-04,,1135600,
2015-03-05,,1138000,
2015-03-06,,1140600,
2015-03-07,,1143200,
2015-03-08,,1145500,
2015-03-09,,1147200,
2015-03-10,,1148900,
2015-03-11,,1150300,
2015-03-12,,1151800,
2015-03-13,,1153100,
2015-03-14,,1156100,
2015-03-15,,1158100,
2015-03-16,,1159500,
2015-03-17,,1161000,
2015-03-18,,1162600,
2015-03-19,,1163700,
2015-03-20,,1165300,
2015-03-21,,1166900,
2015-03-22,,1168800,
2015-03-23,,1170100,
2015-03-24,,1171800,
2015-03-25,,1173400,
2015-03-26,,1175200,
2015-03-27,,1177000,
2015-03-28,,1179600,
2015-03-29,,1181400,
2015-03-30,,1182500,
2015-03-31,,1183400,
2015-04-01,,1184400,
2015-04-02,,1186300,
2015-04-03,,1187900,
2015-04-04,,1189700,
2015-04-05,,1191700,
2015-04-06,,1192800,
2015-04-07,,1193700,
2015-04-08,,1194700,
2015-04-09,,1195500,
2015-04-10,,1196100,
2015-04-11,,1197600,
2015-04-12,,1199200,
2015-04-13,,1200000,
2015-04-14,,1201100,
2015-04-15,,1202100,
2015-04-16,,1202700,
2015-04-17,,1203800,
2015-04-18,,1204800,
2015-04-19,,1205700,
2015-04-20,,1206500,
2015-04-21,,1207100,
2015-04-22,,1207900,
2015-04-23,,1208600,
2015-04-24,,1209200,
2015-04-25,,1210400,
2015-04-26,,1211900,
2015-04-27,,1212700,
2015-04-28,,1213200,
2015-04-29,,1213900,
2015-04-30,,1215000,
2015-05-01,,1215600,
2015-05-02,,1216600,
2015-05-03,,1217700,
2015-05-04,,1218600,
2015-05-05,,1219400,
2015-05-06,,1219900,
2015-05-07,,1221000,
2015-05-08,,1222000,
2015-05-09,,1222700,
2015-05-10,,1223600,
2015-05-11,,1224200,
2015-05-12,,1224800,
2015-05-13,,1225300,
2015-05-14,,1225800,
2015-05-15,,1226400,
2015-05-16,,1227500,
2015-05-17,,1228100,
2015-05-18,,1228400,
2015-05-19,,1228800,
2015-05-20,,1229300,
2015-05-21,,1229900,
2015-05-22,,1230600,
2015-05-23,,1231600,
2015-05-24,,1232500,
2015-05-25,,1233300,
2015-05-26,,1234100,
2015-05-27,,1234800,
2015-05-28,,1235300,
2015-05-29,,1236000,
2015-05-30,,1236800,
2015-05-31,,1237800,
2015-06-01,,1238000,
2015-06-02,,1238800,
2015-06-03,,1239600,
2015-06-04,,1240000,
2015-06-05,,1241000,
2015-06-06,,1241600,
2015-06-07,,1242400,
2015-06-08,,1243100,
2015-06-09,,1243300,
2015-06-10,,1244100,
2015-06-11,,1244600,
2015-06-12,,1245200,
2015-06-13,,1245900,
2015-06-14,,1246600,
2015-06-15,,1247000,
2015-06-16,,1247300,
2015-06-17,,1248000,
2015-06-18,,1248600,
2015-06-19,,1249100,
2015-06-20,,1249200,
2015-06-21,,1249700,
2015-06-22,,1250200,
2015-06-23,,1251000,
2015-06-24,,1251800,
2015-06-25,,1252300,
2015-06-26,,1252900,
2015-06-27,,1253400,
2015-06-28,,1254300,
2015-06-29,,1255000,
2015-06-30,,1255500,
2015-07-01,,1255900,
2015-07-02,,1256500,
2015-07-03,,1257200,
2015-07-04,,1257500,
2015-07-05,,1258100,
2015-07-06,,1258600,
2015-07-07,,1259300,
2015-07-08,,1259600,
2015-07-09,,1260500,
2015-07-10,,1261300,
2015-07-11,,1262000,
2015-07-12,,1263000,
2015-07-13,,1263400,
2015-07-14,,1264000,
2015-07-15,,1264300,
2015-07-16,,1265100,
2015-07-17,,1265700,
2015-07-18,,1266400,
2015-07-19,,1267500,
2015-07-20,,1268100,
2015-07-21,,1268300,
2015-07-22,,1269200,
2015-07-23,,1269600,
2015-07-24,,1269800,
2015-07-25,,1270500,
2015-07-26,,1271100,
2015-07-27,,1271500,
2015-07-28,,1271900,
2015-07-29,,1272500,
2015-07-30,,1272800,
2015-07-31,,1273600,
2015-08-01,,1274300,
2015-08-02,,1274800,
2015-08-03,,1275300,
2015-08-04,,1275600,
2015-08-05,,1276200,
2015-08-06,,1276400,
2015-08-07,,1277100,
