Date,PS3 player count,PS4 player count,
2011-09-18,100,0,
2011-09-19,100,0,
2011-09-20,100,0,
2011-09-21,100,0,
2011-09-22,400,0,
2011-09-23,1000,0,
2011-09-24,1500,0,
2011-09-25,1900,0,
2011-09-26,2500,0,
2011-09-27,3800,0,
2011-09-28,5200,0,
2011-09-29,6600,0,
2011-09-30,8300,0,
2011-10-01,10900,0,
2011-10-02,13400,0,
2011-10-03,15600,0,
2011-10-04,17400,0,
2011-10-05,19300,0,
2011-10-06,20800,0,
2011-10-07,22400,0,
2011-10-08,24500,0,
2011-10-09,26800,0,
2011-10-10,29000,0,
2011-10-11,30600,0,
2011-10-12,32500,0,
2011-10-13,34200,0,
2011-10-14,36100,0,
2011-10-15,38400,0,
2011-10-16,39800,0,
2011-10-17,41400,0,
2011-10-18,42700,0,
2011-10-19,43900,0,
2011-10-20,45100,0,
2011-10-21,46600,0,
2011-10-22,48700,0,
2011-10-23,50300,0,
2011-10-24,51400,0,
2011-10-25,52600,0,
2011-10-26,53800,0,
2011-10-27,55200,0,
2011-10-28,56300,0,
2011-10-29,57700,0,
2011-10-30,59300,0,
2011-10-31,60500,0,
2011-11-01,61700,0,
2011-11-02,62900,0,
2011-11-03,64100,0,
2011-11-04,65300,0,
2011-11-05,66600,0,
2011-11-06,68100,0,
2011-11-07,68800,0,
2011-11-08,70400,0,
2011-11-09,71200,0,
2011-11-10,72300,0,
2011-11-11,73100,0,
2011-11-12,74000,0,
2011-11-13,75200,0,
2011-11-14,75800,0,
2011-11-15,76700,0,
2011-11-16,77500,0,
2011-11-17,78000,0,
2011-11-18,79000,0,
2011-11-19,80200,0,
2011-11-20,81700,0,
2011-11-21,82300,0,
2011-11-22,82900,0,
2011-11-23,83800,0,
2011-11-24,84500,0,
2011-11-25,85300,0,
2011-11-26,86300,0,
2011-11-27,87400,0,
2011-11-28,87800,0,
2011-11-29,88200,0,
2011-11-30,88700,0,
2011-12-01,89100,0,
2011-12-02,89500,0,
2011-12-03,90200,0,
2011-12-04,91300,0,
2011-12-05,91800,0,
2011-12-06,92700,0,
2011-12-07,93200,0,
2011-12-08,93800,0,
2011-12-09,94500,0,
2011-12-10,95400,0,
2011-12-11,95900,0,
2011-12-12,96300,0,
2011-12-13,96700,0,
2011-12-14,97300,0,
2011-12-15,98100,0,
2011-12-16,98900,0,
2011-12-17,100000,0,
2011-12-18,100900,0,
2011-12-19,101500,0,
2011-12-20,101900,0,
2011-12-21,102600,0,
2011-12-22,103400,0,
2011-12-23,104200,0,
2011-12-24,105400,0,
2011-12-25,106600,0,
2011-12-26,107900,0,
2011-12-27,109500,0,
2011-12-28,110100,0,
2011-12-29,111100,0,
2011-12-30,112400,0,
2011-12-31,113600,0,
2012-01-01,114500,0,
2012-01-02,115700,0,
2012-01-03,116800,0,
2012-01-04,118100,0,
2012-01-05,119200,0,
2012-01-06,120400,0,
2012-01-07,121600,0,
2012-01-08,122400,0,
2012-01-09,123600,0,
2012-01-10,124400,0,
2012-01-11,125100,0,
2012-01-12,126400,0,
2012-01-13,127200,0,
2012-01-14,128100,0,
2012-01-15,129400,0,
2012-01-16,130100,0,
2012-01-17,130800,0,
2012-01-18,131600,0,
2012-01-19,132700,0,
2012-01-20,133400,0,
2012-01-21,134400,0,
2012-01-22,135600,0,
2012-01-23,136600,0,
2012-01-24,137100,0,
2012-01-25,137700,0,
2012-01-26,138600,0,
2012-01-27,139400,0,
2012-01-28,140700,0,
2012-01-29,142200,0,
2012-01-30,143100,0,
2012-01-31,144100,0,
2012-02-01,144900,0,
2012-02-02,145500,0,
2012-02-03,146900,0,
2012-02-04,147700,0,
2012-02-05,149600,0,
2012-02-06,150300,0,
2012-02-07,151600,0,
2012-02-08,152400,0,
2012-02-09,153000,0,
2012-02-10,153900,0,
2012-02-11,155200,0,
2012-02-12,156500,0,
2012-02-13,157200,0,
2012-02-14,158000,0,
2012-02-15,159000,0,
2012-02-16,159500,0,
2012-02-17,160200,0,
2012-02-18,160900,0,
2012-02-19,161900,0,
2012-02-20,162600,0,
2012-02-21,163300,0,
2012-02-22,164000,0,
2012-02-23,164900,0,
2012-02-24,165900,0,
2012-02-25,166900,0,
2012-02-26,167900,0,
2012-02-27,168700,0,
2012-02-28,169300,0,
2012-02-29,170000,0,
2012-03-01,170900,0,
2012-03-02,171600,0,
2012-03-03,172500,0,
2012-03-04,173100,0,
2012-03-05,173700,0,
2012-03-06,174400,0,
2012-03-07,174900,0,
2012-03-08,175500,0,
2012-03-09,176100,0,
2012-03-10,177100,0,
2012-03-11,177800,0,
2012-03-12,178400,0,
2012-03-13,179000,0,
2012-03-14,179900,0,
2012-03-15,180300,0,
2012-03-16,180700,0,
2012-03-17,181500,0,
2012-03-18,182900,0,
2012-03-19,184100,0,
2012-03-20,184700,0,
2012-03-21,185100,0,
2012-03-22,186000,0,
2012-03-23,186700,0,
2012-03-24,188200,0,
2012-03-25,189400,0,
2012-03-26,190100,0,
2012-03-27,191000,0,
2012-03-28,191800,0,
2012-03-29,192700,0,
2012-03-30,193300,0,
2012-03-31,194100,0,
2012-04-01,194900,0,
2012-04-02,195700,0,
2012-04-03,196500,0,
2012-04-04,197000,0,
2012-04-05,198000,0,
2012-04-06,199400,0,
2012-04-07,200200,0,
2012-04-08,200900,0,
2012-04-09,201300,0,
2012-04-10,201600,0,
2012-04-11,202300,0,
2012-04-12,202600,0,
2012-04-13,203200,0,
2012-04-14,203900,0,
2012-04-15,204700,0,
2012-04-16,205300,0,
2012-04-17,206000,0,
2012-04-18,206400,0,
2012-04-19,206800,0,
2012-04-20,207600,0,
2012-04-21,208400,0,
2012-04-22,209400,0,
2012-04-23,210100,0,
2012-04-24,211000,0,
2012-04-25,211600,0,
2012-04-26,212400,0,
2012-04-27,213500,0,
2012-04-28,214100,0,
2012-04-29,215100,0,
2012-04-30,215900,0,
2012-05-01,216400,0,
2012-05-02,216900,0,
2012-05-03,217600,0,
2012-05-04,218200,0,
2012-05-05,219100,0,
2012-05-06,220300,0,
2012-05-07,220700,0,
2012-05-08,221200,0,
2012-05-09,221800,0,
2012-05-10,222600,0,
2012-05-11,223200,0,
2012-05-12,223700,0,
2012-05-13,224500,0,
2012-05-14,224900,0,
2012-05-15,225200,0,
2012-05-16,225900,0,
2012-05-17,226500,0,
2012-05-18,227100,0,
2012-05-19,227600,0,
2012-05-20,228100,0,
2012-05-21,228700,0,
2012-05-22,228900,0,
2012-05-23,229300,0,
2012-05-24,229700,0,
2012-05-25,230100,0,
2012-05-26,230700,0,
2012-05-27,231400,0,
2012-05-28,231900,0,
2012-05-29,232200,0,
2012-05-30,233400,0,
2012-05-31,234100,0,
2012-06-01,234800,0,
2012-06-02,235500,0,
2012-06-03,236400,0,
2012-06-04,237200,0,
2012-06-05,238000,0,
2012-06-06,238600,0,
2012-06-07,239000,0,
2012-06-08,239600,0,
2012-06-09,240100,0,
2012-06-10,241000,0,
2012-06-11,241600,0,
2012-06-12,242000,0,
2012-06-13,242500,0,
2012-06-14,243200,0,
2012-06-15,243700,0,
2012-06-16,244400,0,
2012-06-17,245300,0,
2012-06-18,246000,0,
2012-06-19,246400,0,
2012-06-20,246900,0,
2012-06-21,247600,0,
2012-06-22,248300,0,
2012-06-23,248900,0,
2012-06-24,250000,0,
2012-06-25,250700,0,
2012-06-26,251300,0,
2012-06-27,251600,0,
2012-06-28,252000,0,
2012-06-29,252800,0,
2012-06-30,253300,0,
2012-07-01,253900,0,
2012-07-02,254800,0,
2012-07-03,255700,0,
2012-07-04,256500,0,
2012-07-05,257500,0,
2012-07-06,258400,0,
2012-07-07,259400,0,
2012-07-08,260400,0,
2012-07-09,261200,0,
2012-07-10,262200,0,
2012-07-11,263400,0,
2012-07-12,264100,0,
2012-07-13,265000,0,
2012-07-14,266100,0,
2012-07-15,267400,0,
2012-07-16,268300,0,
2012-07-17,269600,0,
2012-07-18,270100,0,
2012-07-19,270700,0,
2012-07-20,271500,0,
2012-07-21,272500,0,
2012-07-22,273600,0,
2012-07-23,274700,0,
2012-07-24,275100,0,
2012-07-25,275600,0,
2012-07-26,276600,0,
2012-07-27,277000,0,
2012-07-28,277700,0,
2012-07-29,278300,0,
2012-07-30,279000,0,
2012-07-31,280400,0,
2012-08-01,281100,0,
2012-08-02,282000,0,
2012-08-03,282600,0,
2012-08-04,283300,0,
2012-08-05,284100,0,
2012-08-06,284900,0,
2012-08-07,285600,0,
2012-08-08,286400,0,
2012-08-09,286900,0,
2012-08-10,287500,0,
2012-08-11,288100,0,
2012-08-12,289000,0,
2012-08-13,289900,0,
2012-08-14,290600,0,
2012-08-15,291200,0,
2012-08-16,292000,0,
2012-08-17,292600,0,
2012-08-18,293100,0,
2012-08-19,293800,0,
2012-08-20,294500,0,
2012-08-21,295000,0,
2012-08-22,295500,0,
2012-08-23,296000,0,
2012-08-24,296600,0,
2012-08-25,297000,0,
2012-08-26,297800,0,
2012-08-27,298500,0,
2012-08-28,299500,0,
2012-08-29,300500,0,
2012-08-30,300900,0,
2012-08-31,301300,0,
2012-09-01,302100,0,
2012-09-02,302700,0,
2012-09-03,303200,0,
2012-09-04,303800,0,
2012-09-05,304600,0,
2012-09-06,305000,0,
2012-09-07,305700,0,
2012-09-08,306900,0,
2012-09-09,307700,0,
2012-09-10,308100,0,
2012-09-11,308700,0,
2012-09-12,309300,0,
2012-09-13,309900,0,
2012-09-14,310400,0,
2012-09-15,311100,0,
2012-09-16,312000,0,
2012-09-17,312800,0,
2012-09-18,313400,0,
2012-09-19,314100,0,
2012-09-20,315000,0,
2012-09-21,315600,0,
2012-09-22,316100,0,
2012-09-23,316900,0,
2012-09-24,317400,0,
2012-09-25,317800,0,
2012-09-26,318300,0,
2012-09-27,318800,0,
2012-09-28,319400,0,
2012-09-29,320000,0,
2012-09-30,320600,0,
2012-10-01,321400,0,
2012-10-02,321800,0,
2012-10-03,322500,0,
2012-10-04,323000,0,
2012-10-05,323400,0,
2012-10-06,324500,0,
2012-10-07,325000,0,
2012-10-08,325400,0,
2012-10-09,325900,0,
2012-10-10,326400,0,
2012-10-11,327000,0,
2012-10-12,327300,0,
2012-10-13,328100,0,
2012-10-14,328500,0,
2012-10-15,329000,0,
2012-10-16,329700,0,
2012-10-17,329900,0,
2012-10-18,330600,0,
2012-10-19,331400,0,
2012-10-20,331800,0,
2012-10-21,332500,0,
2012-10-22,333100,0,
2012-10-23,333700,0,
2012-10-24,334700,0,
2012-10-25,335300,0,
2012-10-26,336100,0,
2012-10-27,337000,0,
2012-10-28,338000,0,
2012-10-29,338300,0,
2012-10-30,339100,0,
2012-10-31,339900,0,
2012-11-01,340800,0,
2012-11-02,341700,0,
2012-11-03,342400,0,
2012-11-04,343500,0,
2012-11-05,344200,0,
2012-11-06,344800,0,
2012-11-07,345100,0,
2012-11-08,345800,0,
