Date,'',PS4 player count,
2018-09-01,,100,
2018-09-02,,100,
2018-09-03,,200,
2018-09-04,,200,
2018-09-05,,200,
2018-09-06,,300,
2018-09-07,,400,
2018-09-08,,500,
2018-09-09,,700,
2018-09-10,,2000,
2018-09-11,,15300,
2018-09-12,,62300,
2018-09-13,,96800,
2018-09-14,,198800,
2018-09-15,,281400,
2018-09-16,,336300,
2018-09-17,,374400,
2018-09-18,,404700,
2018-09-19,,428800,
2018-09-20,,451800,
2018-09-21,,476400,
2018-09-22,,510000,
2018-09-23,,537500,
2018-09-24,,555400,
2018-09-25,,570700,
2018-09-26,,584300,
2018-09-27,,596600,
2018-09-28,,613200,
2018-09-29,,633400,
2018-09-30,,651100,
2018-10-01,,664300,
2018-10-02,,677000,
2018-10-03,,688300,
2018-10-04,,698200,
2018-10-05,,710200,
2018-10-06,,725500,
2018-10-07,,737900,
2018-10-08,,748200,
2018-10-09,,755400,
2018-10-10,,762700,
2018-10-11,,770900,
2018-10-12,,780400,
2018-10-13,,793200,
2018-10-14,,805500,
2018-10-15,,813100,
2018-10-16,,821100,
2018-10-17,,827700,
2018-10-18,,835200,
2018-10-19,,842600,
2018-10-20,,852500,
2018-10-21,,860700,
2018-10-22,,866200,
2018-10-23,,871700,
2018-10-24,,876300,
2018-10-25,,880800,
2018-10-26,,885900,
2018-10-27,,892800,
2018-10-28,,899400,
2018-10-29,,904100,
2018-10-30,,908200,
2018-10-31,,912900,
2018-11-01,,917800,
2018-11-02,,923700,
2018-11-03,,930300,
2018-11-04,,936800,
2018-11-05,,940200,
2018-11-06,,945000,
2018-11-07,,948700,
2018-11-08,,951900,
2018-11-09,,957000,
2018-11-10,,962100,
2018-11-11,,968300,
2018-11-12,,972400,
2018-11-13,,975400,
2018-11-14,,979800,
2018-11-15,,984400,
2018-11-16,,992000,
2018-11-17,,1003000,
2018-11-18,,1011400,
2018-11-19,,1018300,
2018-11-20,,1023900,
2018-11-21,,1029900,
2018-11-22,,1037100,
2018-11-23,,1051400,
2018-11-24,,1069900,
2018-11-25,,1086100,
2018-11-26,,1096700,
2018-11-27,,1104000,
2018-11-28,,1110400,
2018-11-29,,1114800,
2018-11-30,,1121300,
2018-12-01,,1130100,
2018-12-02,,1137300,
2018-12-03,,1142500,
2018-12-04,,1146200,
2018-12-05,,1149900,
2018-12-06,,1153500,
2018-12-07,,1160000,
2018-12-08,,1169100,
2018-12-09,,1178600,
2018-12-10,,1185100,
2018-12-11,,1189500,
2018-12-12,,1194800,
2018-12-13,,1200100,
2018-12-14,,1205700,
2018-12-15,,1213900,
2018-12-16,,1221800,
2018-12-17,,1227200,
2018-12-18,,1232300,
2018-12-19,,1236900,
2018-12-20,,1242300,
2018-12-21,,1249300,
2018-12-22,,1259400,
2018-12-23,,1271800,
2018-12-24,,1288000,
2018-12-25,,1323500,
2018-12-26,,1352500,
2018-12-27,,1372300,
2018-12-28,,1388100,
2018-12-29,,1404200,
2018-12-30,,1420000,
2018-12-31,,1430300,
2019-01-01,,1441000,
2019-01-02,,1452400,
2019-01-03,,1461800,
2019-01-04,,1469700,
2019-01-05,,1478700,
2019-01-06,,1489400,
2019-01-07,,1496000,
2019-01-08,,1502000,
2019-01-09,,1508100,
2019-01-10,,1513100,
2019-01-11,,1519300,
2019-01-12,,1527300,
2019-01-13,,1534100,
2019-01-14,,1538500,
2019-01-15,,1542900,
2019-01-16,,1547200,
2019-01-17,,1551000,
2019-01-18,,1555400,
2019-01-19,,1562300,
2019-01-20,,1568400,
2019-01-21,,1572200,
2019-01-22,,1576600,
2019-01-23,,1580500,
2019-01-24,,1584600,
2019-01-25,,1589400,
2019-01-26,,1596100,
2019-01-27,,1602500,
2019-01-28,,1606700,
2019-01-29,,1610600,
