Date,'',PS4 player count,
2015-06-02,,1500,
2015-06-03,,18000,
2015-06-04,,41600,
2015-06-05,,63100,
2015-06-06,,88500,
2015-06-07,,110100,
2015-06-08,,129300,
2015-06-09,,145900,
2015-06-10,,162300,
2015-06-11,,176600,
2015-06-12,,189300,
2015-06-13,,206200,
2015-06-14,,223200,
2015-06-15,,234600,
2015-06-16,,246100,
2015-06-17,,256800,
2015-06-18,,267400,
2015-06-19,,278700,
2015-06-20,,290400,
2015-06-21,,304000,
2015-06-22,,313700,
2015-06-23,,325700,
2015-06-24,,337400,
2015-06-25,,347400,
2015-06-26,,358100,
2015-06-27,,369600,
2015-06-28,,381500,
2015-06-29,,390600,
2015-06-30,,399200,
2015-07-01,,408000,
2015-07-02,,417500,
2015-07-03,,426100,
2015-07-04,,436100,
2015-07-05,,446300,
2015-07-06,,455600,
2015-07-07,,466800,
2015-07-08,,476500,
2015-07-09,,484100,
2015-07-10,,491800,
2015-07-11,,499200,
2015-07-12,,505700,
2015-07-13,,512300,
2015-07-14,,518300,
2015-07-15,,523000,
2015-07-16,,527700,
2015-07-17,,531900,
2015-07-18,,536700,
2015-07-19,,542400,
2015-07-20,,546800,
2015-07-21,,550900,
2015-07-22,,554500,
2015-07-23,,558600,
2015-07-24,,562200,
2015-07-25,,566300,
2015-07-26,,570100,
2015-07-27,,572700,
2015-07-28,,575700,
2015-07-29,,578700,
2015-07-30,,581600,
2015-07-31,,584300,
2015-08-01,,586700,
2015-08-02,,589800,
2015-08-03,,592000,
2015-08-04,,594400,
2015-08-05,,597300,
2015-08-06,,601300,
2015-08-07,,604000,
2015-08-08,,608000,
2015-08-09,,612400,
2015-08-10,,615900,
2015-08-11,,620000,
2015-08-12,,622500,
2015-08-13,,626100,
2015-08-14,,629300,
2015-08-15,,632500,
2015-08-16,,635600,
2015-08-17,,638100,
2015-08-18,,640600,
2015-08-19,,642900,
2015-08-20,,645500,
2015-08-21,,647300,
2015-08-22,,650100,
2015-08-23,,652700,
2015-08-24,,655100,
2015-08-25,,657300,
2015-08-26,,659400,
2015-08-27,,661200,
2015-08-28,,663000,
2015-08-29,,665700,
2015-08-30,,669100,
2015-08-31,,671600,
2015-09-01,,674100,
2015-09-02,,676800,
2015-09-03,,678300,
2015-09-04,,680000,
2015-09-05,,681700,
2015-09-06,,684100,
2015-09-07,,687000,
2015-09-08,,688800,
2015-09-09,,690400,
2015-09-10,,691800,
2015-09-11,,693200,
2015-09-12,,695300,
2015-09-13,,697000,
2015-09-14,,698700,
2015-09-15,,699500,
2015-09-16,,701000,
2015-09-17,,702500,
2015-09-18,,703800,
2015-09-19,,705500,
2015-09-20,,707300,
2015-09-21,,708500,
2015-09-22,,709300,
2015-09-23,,710700,
2015-09-24,,711400,
2015-09-25,,712900,
2015-09-26,,714700,
2015-09-27,,716000,
2015-09-28,,716900,
2015-09-29,,718300,
2015-09-30,,719500,
2015-10-01,,720800,
2015-10-02,,721700,
2015-10-03,,723300,
2015-10-04,,724400,
2015-10-05,,725200,
2015-10-06,,726100,
2015-10-07,,727300,
2015-10-08,,728100,
2015-10-09,,729400,
2015-10-10,,730600,
2015-10-11,,732100,
2015-10-12,,733500,
2015-10-13,,734200,
2015-10-14,,735200,
2015-10-15,,736000,
2015-10-16,,736800,
2015-10-17,,737900,
2015-10-18,,738600,
2015-10-19,,739300,
2015-10-20,,739700,
2015-10-21,,740400,
2015-10-22,,740900,
