Date,'',PS4 player count,
2017-02-07,,0,
2017-02-08,,0,
2017-02-09,,300,
2017-02-10,,500,
2017-02-11,,1300,
2017-02-12,,1800,
2017-02-13,,2500,
2017-02-14,,7900,
2017-02-15,,13100,
2017-02-16,,17100,
2017-02-17,,21900,
2017-02-18,,27100,
2017-02-19,,32000,
2017-02-20,,34800,
2017-02-21,,39400,
2017-02-22,,43600,
2017-02-23,,46600,
2017-02-24,,50000,
2017-02-25,,54200,
2017-02-26,,58500,
2017-02-27,,61500,
2017-02-28,,65000,
2017-03-01,,68000,
2017-03-02,,70500,
2017-03-03,,74200,
2017-03-04,,78100,
2017-03-05,,82000,
2017-03-06,,84200,
2017-03-07,,86600,
2017-03-08,,89500,
2017-03-09,,92200,
2017-03-10,,94100,
2017-03-11,,97000,
2017-03-12,,100400,
2017-03-13,,102800,
2017-03-14,,104500,
2017-03-15,,106700,
2017-03-16,,108000,
2017-03-17,,110200,
2017-03-18,,113000,
2017-03-19,,115000,
2017-03-20,,116200,
2017-03-21,,118200,
2017-03-22,,120000,
2017-03-23,,121800,
2017-03-24,,123100,
2017-03-25,,124800,
2017-03-26,,127700,
2017-03-27,,129000,
2017-03-28,,130200,
2017-03-29,,131800,
2017-03-30,,133400,
2017-03-31,,134600,
2017-04-01,,136900,
2017-04-02,,138600,
2017-04-03,,140000,
2017-04-04,,141600,
2017-04-05,,143200,
2017-04-06,,144900,
2017-04-07,,146300,
2017-04-08,,147600,
2017-04-09,,150000,
2017-04-10,,151300,
2017-04-11,,152600,
2017-04-12,,154500,
2017-04-13,,156300,
2017-04-14,,158300,
2017-04-15,,160400,
2017-04-16,,162400,
2017-04-17,,163900,
2017-04-18,,164700,
2017-04-19,,166200,
2017-04-20,,168000,
2017-04-21,,169700,
2017-04-22,,171400,
2017-04-23,,173900,
2017-04-24,,175500,
2017-04-25,,177100,
2017-04-26,,178500,
2017-04-27,,179800,
2017-04-28,,181500,
2017-04-29,,183600,
2017-04-30,,186100,
2017-05-01,,187900,
2017-05-02,,189200,
2017-05-03,,190400,
2017-05-04,,191800,
2017-05-05,,193200,
2017-05-06,,195200,
2017-05-07,,197100,
2017-05-08,,198700,
2017-05-09,,200000,
2017-05-10,,201300,
2017-05-11,,202400,
2017-05-12,,204100,
2017-05-13,,205900,
2017-05-14,,207600,
2017-05-15,,208900,
2017-05-16,,210500,
2017-05-17,,211700,
2017-05-18,,213100,
2017-05-19,,214300,
2017-05-20,,216500,
2017-05-21,,218700,
2017-05-22,,220000,
