Date,'',PS4 player count,
2015-09-22,,600,
2015-09-23,,1700,
2015-09-24,,3200,
2015-09-25,,4300,
2015-09-26,,5200,
2015-09-27,,6900,
2015-09-28,,7700,
2015-09-29,,8600,
2015-09-30,,9500,
2015-10-01,,10500,
2015-10-02,,11300,
2015-10-03,,12800,
2015-10-04,,14100,
2015-10-05,,15200,
2015-10-06,,16000,
2015-10-07,,16500,
2015-10-08,,17100,
2015-10-09,,17900,
2015-10-10,,18800,
2015-10-11,,19900,
2015-10-12,,20400,
2015-10-13,,20900,
2015-10-14,,21700,
2015-10-15,,22300,
2015-10-16,,22900,
2015-10-17,,23600,
2015-10-18,,24400,
2015-10-19,,24700,
2015-10-20,,25200,
2015-10-21,,25600,
2015-10-22,,26000,
2015-10-23,,26200,
2015-10-24,,26500,
2015-10-25,,27000,
2015-10-26,,27300,
2015-10-27,,27400,
2015-10-28,,27700,
2015-10-29,,28000,
2015-10-30,,28300,
2015-10-31,,28800,
2015-11-01,,29300,
2015-11-02,,29700,
2015-11-03,,30000,
2015-11-04,,30200,
2015-11-05,,30400,
2015-11-06,,30700,
2015-11-07,,30900,
2015-11-08,,31300,
2015-11-09,,31600,
2015-11-10,,31800,
2015-11-11,,32000,
2015-11-12,,32100,
2015-11-13,,32200,
2015-11-14,,32400,
2015-11-15,,32900,
2015-11-16,,33200,
2015-11-17,,33300,
2015-11-18,,33400,
2015-11-19,,33500,
2015-11-20,,33600,
2015-11-21,,33800,
2015-11-22,,34000,
2015-11-23,,34300,
2015-11-24,,34400,
2015-11-25,,34500,
2015-11-26,,34600,
2015-11-27,,34800,
2015-11-28,,35000,
2015-11-29,,35300,
2015-11-30,,35400,
2015-12-01,,35500,
2015-12-02,,35600,
2015-12-03,,35600,
2015-12-04,,35800,
2015-12-05,,35800,
2015-12-06,,36000,
2015-12-07,,36300,
2015-12-08,,36500,
2015-12-09,,36600,
2015-12-10,,36600,
2015-12-11,,36700,
2015-12-12,,37000,
2015-12-13,,37200,
2015-12-14,,37300,
2015-12-15,,37500,
2015-12-16,,37800,
2015-12-17,,38000,
2015-12-18,,38000,
2015-12-19,,38300,
2015-12-20,,38500,
2015-12-21,,38600,
2015-12-22,,38800,
2015-12-23,,39000,
2015-12-24,,39500,
2015-12-25,,39600,
2015-12-26,,39600,
2015-12-27,,39700,
2015-12-28,,39800,
2015-12-29,,40000,
2015-12-30,,40400,
2015-12-31,,40500,
2016-01-01,,40500,
2016-01-02,,41200,
2016-01-03,,41600,
2016-01-04,,41800,
2016-01-05,,42100,
2016-01-06,,42500,
2016-01-07,,43000,
2016-01-08,,43200,
2016-01-09,,43900,
2016-01-10,,44400,
2016-01-11,,44700,
2016-01-12,,45500,
2016-01-13,,45700,
2016-01-14,,45800,
2016-01-15,,46300,
2016-01-16,,46500,
2016-01-17,,46900,
2016-01-18,,47500,
2016-01-19,,47600,
2016-01-20,,47900,
2016-01-21,,48100,
2016-01-22,,48100,
2016-01-23,,48700,
2016-01-24,,49000,
2016-01-25,,49100,
2016-01-26,,49300,
2016-01-27,,49600,
2016-01-28,,49900,
2016-01-29,,50200,
2016-01-30,,50400,
2016-01-31,,50600,
2016-02-01,,50800,
2016-02-02,,50900,
2016-02-03,,50900,
2016-02-04,,51000,
2016-02-05,,51300,
2016-02-06,,51600,
2016-02-07,,51800,
2016-02-08,,52100,
2016-02-09,,52300,
2016-02-10,,52400,
2016-02-11,,52600,
2016-02-12,,52900,
2016-02-13,,53300,
2016-02-14,,53400,
2016-02-15,,53500,
2016-02-16,,53700,
2016-02-17,,54100,
2016-02-18,,54200,
2016-02-19,,54400,
2016-02-20,,54500,
2016-02-21,,54700,
2016-02-22,,54900,
2016-02-23,,55200,
2016-02-24,,55600,
2016-02-25,,56000,
2016-02-26,,56400,
2016-02-27,,56800,
2016-02-28,,57400,
2016-02-29,,57700,
2016-03-01,,58000,
2016-03-02,,58200,
2016-03-03,,58400,
2016-03-04,,59000,
2016-03-05,,59200,
2016-03-06,,59800,
2016-03-07,,60000,
2016-03-08,,60300,
2016-03-09,,60800,
2016-03-10,,61100,
2016-03-11,,61300,
2016-03-12,,61500,
2016-03-13,,61700,
2016-03-14,,61800,
2016-03-15,,62200,
2016-03-16,,62300,
2016-03-17,,62400,
2016-03-18,,62600,
2016-03-19,,62800,
2016-03-20,,63100,
2016-03-21,,63500,
2016-03-22,,63600,
2016-03-23,,63800,
2016-03-24,,63900,
2016-03-25,,64100,
2016-03-26,,64300,
2016-03-27,,64600,
2016-03-28,,64900,
2016-03-29,,65100,
2016-03-30,,65200,
2016-03-31,,65500,
2016-04-01,,65600,
2016-04-02,,65700,
2016-04-03,,66000,
2016-04-04,,66200,
2016-04-05,,66500,
2016-04-06,,66500,
2016-04-07,,66700,
2016-04-08,,66700,
2016-04-09,,66800,
2016-04-10,,67000,
2016-04-11,,67100,
2016-04-12,,67100,
2016-04-13,,67300,
2016-04-14,,67400,
2016-04-15,,67500,
2016-04-16,,67600,
2016-04-17,,67800,
2016-04-18,,67900,
2016-04-19,,68100,
2016-04-20,,68200,
2016-04-21,,68200,
2016-04-22,,68300,
2016-04-23,,68400,
2016-04-24,,68600,
2016-04-25,,68700,
