Date,'',PS4 player count,
2017-10-28,,0,
2017-10-29,,200,
2017-10-30,,200,
2017-10-31,,300,
2017-11-01,,500,
2017-11-02,,500,
2017-11-03,,800,
2017-11-04,,1200,
2017-11-05,,1400,
2017-11-06,,1700,
2017-11-07,,8800,
2017-11-08,,15300,
2017-11-09,,20500,
2017-11-10,,26400,
2017-11-11,,32700,
2017-11-12,,39100,
2017-11-13,,42600,
2017-11-14,,45500,
2017-11-15,,48500,
2017-11-16,,51600,
2017-11-17,,54800,
2017-11-18,,58900,
2017-11-19,,63100,
2017-11-20,,65200,
2017-11-21,,66500,
2017-11-22,,68600,
2017-11-23,,70700,
2017-11-24,,74600,
2017-11-25,,79500,
2017-11-26,,83500,
2017-11-27,,86000,
2017-11-28,,88000,
2017-11-29,,89800,
2017-11-30,,91000,
2017-12-01,,93200,
2017-12-02,,97100,
2017-12-03,,99900,
2017-12-04,,101900,
2017-12-05,,103600,
2017-12-06,,105800,
2017-12-07,,107600,
2017-12-08,,109600,
2017-12-09,,112000,
2017-12-10,,114600,
2017-12-11,,116200,
2017-12-12,,117900,
2017-12-13,,119300,
2017-12-14,,120500,
2017-12-15,,122300,
2017-12-16,,125200,
2017-12-17,,127700,
2017-12-18,,128900,
2017-12-19,,130800,
2017-12-20,,132600,
2017-12-21,,134800,
2017-12-22,,137300,
2017-12-23,,141600,
2017-12-24,,148600,
2017-12-25,,176100,
2017-12-26,,191400,
2017-12-27,,203200,
2017-12-28,,211500,
2017-12-29,,218500,
2017-12-30,,224500,
2017-12-31,,232200,
2018-01-01,,238100,
2018-01-02,,242000,
2018-01-03,,246200,
2018-01-04,,250400,
2018-01-05,,253700,
2018-01-06,,260800,
2018-01-07,,265900,
2018-01-08,,269100,
2018-01-09,,271600,
2018-01-10,,274100,
2018-01-11,,276600,
2018-01-12,,279700,
2018-01-13,,285000,
2018-01-14,,289200,
2018-01-15,,292100,
2018-01-16,,294000,
2018-01-17,,296200,
2018-01-18,,298600,
2018-01-19,,300800,
2018-01-20,,304700,
2018-01-21,,307400,
2018-01-22,,309100,
2018-01-23,,310600,
2018-01-24,,312800,
2018-01-25,,314100,
2018-01-26,,317000,
2018-01-27,,321000,
2018-01-28,,324000,
2018-01-29,,325500,
2018-01-30,,326900,
2018-01-31,,328400,
2018-02-01,,330500,
2018-02-02,,332700,
2018-02-03,,335600,
2018-02-04,,338500,
2018-02-05,,339900,
2018-02-06,,341300,
2018-02-07,,342700,
2018-02-08,,344100,
2018-02-09,,345500,
2018-02-10,,348200,
2018-02-11,,351000,
2018-02-12,,353600,
2018-02-13,,355300,
2018-02-14,,357000,
2018-02-15,,359000,
2018-02-16,,360700,
2018-02-17,,363400,
2018-02-18,,366400,
2018-02-19,,368700,
2018-02-20,,369500,
2018-02-21,,370900,
2018-02-22,,372300,
2018-02-23,,373700,
2018-02-24,,376900,
2018-02-25,,380000,
2018-02-26,,381500,
2018-02-27,,383100,
2018-02-28,,384700,
2018-03-01,,386200,
2018-03-02,,388200,
2018-03-03,,390500,
2018-03-04,,393400,
2018-03-05,,394900,
2018-03-06,,396500,
2018-03-07,,398100,
2018-03-08,,399000,
2018-03-09,,400500,
2018-03-10,,403500,
2018-03-11,,406400,
2018-03-12,,407500,
2018-03-13,,408400,
2018-03-14,,409500,
2018-03-15,,410800,
2018-03-16,,412600,
2018-03-17,,415200,
2018-03-18,,417100,
2018-03-19,,418500,
2018-03-20,,419500,
2018-03-21,,421200,
2018-03-22,,422200,
2018-03-23,,423700,
