Date,'',PS4 player count,
2017-08-14,,1700,
2017-08-15,,21600,
2017-08-16,,35100,
2017-08-17,,45000,
2017-08-18,,55100,
2017-08-19,,65100,
2017-08-20,,74300,
2017-08-21,,81100,
2017-08-22,,85500,
2017-08-23,,91200,
2017-08-24,,95900,
2017-08-25,,101200,
2017-08-26,,108100,
2017-08-27,,113200,
2017-08-28,,117800,
2017-08-29,,121000,
2017-08-30,,124700,
2017-08-31,,128300,
2017-09-01,,132600,
2017-09-02,,137700,
2017-09-03,,142800,
2017-09-04,,147200,
2017-09-05,,149600,
2017-09-06,,152100,
2017-09-07,,154300,
2017-09-08,,156100,
2017-09-09,,159400,
2017-09-10,,162500,
2017-09-11,,164400,
2017-09-12,,166100,
2017-09-13,,168000,
2017-09-14,,169600,
2017-09-15,,171400,
2017-09-16,,174300,
2017-09-17,,176700,
2017-09-18,,177700,
2017-09-19,,179300,
2017-09-20,,180600,
2017-09-21,,182100,
2017-09-22,,183800,
2017-09-23,,185700,
2017-09-24,,187900,
2017-09-25,,189300,
2017-09-26,,190400,
2017-09-27,,191500,
2017-09-28,,192700,
2017-09-29,,193700,
2017-09-30,,195300,
2017-10-01,,197500,
2017-10-02,,198400,
2017-10-03,,199000,
2017-10-04,,200000,
2017-10-05,,200800,
2017-10-06,,201700,
2017-10-07,,203100,
2017-10-08,,204600,
2017-10-09,,205900,
2017-10-10,,206800,
2017-10-11,,207600,
2017-10-12,,208600,
2017-10-13,,209500,
2017-10-14,,210600,
2017-10-15,,211500,
2017-10-16,,212300,
2017-10-17,,213100,
2017-10-18,,213500,
2017-10-19,,214000,
2017-10-20,,215000,
2017-10-21,,216100,
2017-10-22,,217400,
2017-10-23,,217800,
2017-10-24,,218800,
2017-10-25,,219300,
2017-10-26,,220200,
2017-10-27,,220700,
2017-10-28,,221700,
2017-10-29,,222700,
2017-10-30,,223300,
2017-10-31,,223800,
2017-11-01,,224800,
2017-11-02,,225400,
2017-11-03,,225800,
2017-11-04,,227100,
2017-11-05,,227900,
2017-11-06,,228600,
2017-11-07,,229200,
2017-11-08,,229400,
2017-11-09,,229900,
2017-11-10,,230500,
2017-11-11,,231700,
2017-11-12,,232700,
2017-11-13,,233400,
2017-11-14,,234000,
2017-11-15,,234600,
2017-11-16,,235000,
2017-11-17,,235800,
2017-11-18,,236900,
2017-11-19,,237700,
2017-11-20,,238500,
2017-11-21,,238900,
2017-11-22,,239500,
2017-11-23,,240500,
2017-11-24,,241700,
2017-11-25,,243100,
2017-11-26,,244300,
2017-11-27,,245000,
2017-11-28,,245600,
2017-11-29,,245800,
2017-11-30,,246500,
2017-12-01,,247100,
2017-12-02,,247600,
2017-12-03,,248300,
2017-12-04,,248800,
2017-12-05,,249300,
2017-12-06,,249700,
2017-12-07,,250000,
2017-12-08,,250400,
2017-12-09,,251000,
2017-12-10,,251900,
2017-12-11,,252200,
2017-12-12,,252700,
2017-12-13,,253300,
2017-12-14,,253700,
2017-12-15,,254000,
2017-12-16,,254500,
2017-12-17,,255300,
2017-12-18,,255800,
2017-12-19,,256400,
2017-12-20,,256900,
2017-12-21,,257500,
2017-12-22,,258300,
2017-12-23,,259100,
2017-12-24,,260600,
2017-12-25,,262700,
2017-12-26,,264100,
2017-12-27,,265300,
2017-12-28,,266100,
2017-12-29,,267600,
2017-12-30,,269300,
2017-12-31,,270700,
2018-01-01,,271700,
2018-01-02,,272300,
2018-01-03,,273000,
2018-01-04,,273600,
2018-01-05,,274500,
2018-01-06,,275900,
2018-01-07,,277200,
2018-01-08,,277800,
2018-01-09,,278100,
2018-01-10,,278400,
2018-01-11,,278900,
2018-01-12,,279600,
2018-01-13,,280100,
2018-01-14,,281400,
2018-01-15,,282100,
2018-01-16,,282500,
2018-01-17,,282900,
2018-01-18,,283100,
2018-01-19,,283700,
2018-01-20,,284600,
2018-01-21,,285600,
2018-01-22,,286200,
2018-01-23,,286800,
2018-01-24,,287400,
2018-01-25,,287900,
2018-01-26,,288500,
2018-01-27,,289400,
2018-01-28,,290300,
2018-01-29,,290900,
2018-01-30,,291300,
2018-01-31,,291700,
2018-02-01,,292300,
2018-02-02,,292700,
2018-02-03,,293400,
2018-02-04,,294100,
2018-02-05,,294800,
2018-02-06,,295100,
2018-02-07,,295600,
2018-02-08,,296300,
2018-02-09,,296900,
2018-02-10,,297700,
2018-02-11,,298600,
2018-02-12,,299500,
2018-02-13,,300000,
2018-02-14,,300500,
2018-02-15,,301100,
2018-02-16,,301800,
2018-02-17,,302700,
2018-02-18,,303600,
2018-02-19,,304200,
2018-02-20,,304700,
2018-02-21,,305300,
2018-02-22,,305700,
2018-02-23,,306300,
2018-02-24,,306800,
2018-02-25,,307400,
2018-02-26,,307800,
2018-02-27,,308300,
2018-02-28,,308800,
2018-03-01,,309100,
2018-03-02,,309700,
2018-03-03,,310500,
2018-03-04,,311400,
2018-03-05,,311700,
2018-03-06,,311900,
2018-03-07,,312300,
