Date,PS3 player count,PS4 player count,PS Vita player count
2012-08-07,0,0,300
2012-08-08,800,0,700
2012-08-09,1400,0,1600
2012-08-10,2600,0,2500
2012-08-11,3100,0,3700
2012-08-12,3600,0,4600
2012-08-13,4100,0,5000
2012-08-14,4600,0,5500
2012-08-15,4900,0,6400
2012-08-16,5400,0,7200
2012-08-17,5700,0,8000
2012-08-18,6200,0,8800
2012-08-19,7000,0,9800
2012-08-20,7700,0,10400
2012-08-21,8200,0,10700
2012-08-22,8500,0,10900
2012-08-23,9000,0,11200
2012-08-24,9300,0,11400
2012-08-25,9600,0,11900
2012-08-26,10200,0,12300
2012-08-27,10700,0,12600
2012-08-28,10900,0,13200
2012-08-29,11400,0,13800
2012-08-30,11600,0,13900
2012-08-31,11600,0,14200
2012-09-01,12000,0,14400
2012-09-02,12500,0,14800
2012-09-03,12600,0,15300
2012-09-04,13000,0,15700
2012-09-05,13400,0,16100
2012-09-06,13800,0,16200
2012-09-07,14000,0,16400
2012-09-08,14200,0,16900
2012-09-09,14400,0,17000
2012-09-10,14500,0,17300
2012-09-11,14700,0,17500
2012-09-12,14800,0,17700
2012-09-13,15000,0,18000
2012-09-14,15100,0,18200
2012-09-15,15400,0,18500
2012-09-16,16000,0,18700
2012-09-17,16300,0,19200
2012-09-18,16400,0,19400
2012-09-19,16500,0,19800
2012-09-20,16600,0,19900
2012-09-21,16700,0,20100
2012-09-22,16800,0,20700
2012-09-23,17000,0,21100
2012-09-24,17200,0,21300
2012-09-25,17300,0,21400
2012-09-26,17300,0,21700
2012-09-27,17500,0,21900
2012-09-28,17700,0,22100
2012-09-29,17900,0,22100
2012-09-30,18300,0,22100
2012-10-01,18400,0,22300
2012-10-02,18400,0,22600
2012-10-03,18700,0,22900
2012-10-04,19000,0,23000
2012-10-05,19100,0,23000
2012-10-06,19200,0,23200
2012-10-07,19400,0,23400
2012-10-08,19600,0,23700
2012-10-09,19900,0,24000
2012-10-10,20100,0,24200
2012-10-11,20300,0,24300
2012-10-12,20400,0,24600
2012-10-13,20600,0,24800
2012-10-14,20700,0,24900
2012-10-15,20900,0,24900
2012-10-16,20900,0,25000
2012-10-17,21000,0,25000
2012-10-18,21100,0,25200
2012-10-19,21200,0,25300
2012-10-20,21300,0,25500
2012-10-21,21600,0,25700
2012-10-22,21600,0,25800
2012-10-23,21700,0,26100
2012-10-24,21900,0,26300
2012-10-25,22100,0,26400
2012-10-26,22300,0,26400
2012-10-27,22400,0,26600
2012-10-28,22400,0,26800
2012-10-29,22500,0,26900
2012-10-30,22700,0,26900
2012-10-31,22700,0,27000
2012-11-01,22700,0,27100
2012-11-02,22800,0,27300
2012-11-03,22900,0,27400
2012-11-04,23000,0,27600
2012-11-05,23200,0,27600
2012-11-06,23400,0,27800
2012-11-07,23500,0,27900
2012-11-08,23500,0,27900
2012-11-09,23700,0,28200
2012-11-10,23800,0,28300
2012-11-11,23900,0,28500
2012-11-12,24000,0,28500
2012-11-13,24100,0,28600
2012-11-14,24200,0,28700
2012-11-15,24200,0,28800
2012-11-16,24300,0,28800
2012-11-17,24400,0,29100
2012-11-18,24400,0,29100
2012-11-19,24500,0,29200
2012-11-20,24500,0,29400
2012-11-21,24600,0,29600
2012-11-22,24600,0,29800
2012-11-23,24700,0,29800
2012-11-24,24800,0,30000
2012-11-25,24900,0,30100
2012-11-26,25000,0,30200
2012-11-27,25000,0,30300
2012-11-28,25100,0,30400
2012-11-29,25100,0,30500
2012-11-30,25200,0,30500
2012-12-01,25300,0,30700
2012-12-02,25300,0,30800
2012-12-03,25300,0,30800
2012-12-04,25400,0,30800
2012-12-05,25400,0,30900
2012-12-06,25500,0,31000
2012-12-07,25600,0,31000
2012-12-08,25700,0,31000
2012-12-09,25700,0,31200
2012-12-10,25800,0,31400
2012-12-11,25800,0,31400
2012-12-12,25900,0,31400
2012-12-13,26000,0,31400
2012-12-14,26300,0,31600
2012-12-15,26300,0,31800
2012-12-16,26400,0,31900
2012-12-17,26500,0,32200
2012-12-18,26500,0,32200
2012-12-19,26700,0,32300
2012-12-20,26700,0,32600
2012-12-21,26800,0,32900
2012-12-22,26900,0,33100
2012-12-23,27400,0,33200
2012-12-24,27500,0,33500
2012-12-25,27600,0,33700
2012-12-26,27700,0,34000
2012-12-27,27800,0,34200
2012-12-28,27900,0,34200
2012-12-29,28100,0,34200
2012-12-30,28200,0,34400
2012-12-31,28300,0,34400
2013-01-01,28400,0,34600
2013-01-02,28400,0,34600
2013-01-03,28800,0,34700
2013-01-04,29000,0,34800
2013-01-05,29300,0,34900
2013-01-06,29500,0,35100
2013-01-07,29600,0,35300
2013-01-08,29900,0,35500
2013-01-09,30100,0,35700
2013-01-10,30200,0,35900
2013-01-11,30300,0,36000
2013-01-12,30500,0,36100
2013-01-13,30600,0,36300
2013-01-14,30800,0,36400
2013-01-15,31000,0,36700
2013-01-16,31000,0,36700
2013-01-17,31100,0,37000
2013-01-18,31100,0,37000
2013-01-19,31300,0,37100
2013-01-20,31500,0,37300
2013-01-21,31500,0,37400
2013-01-22,31500,0,37400
2013-01-23,31600,0,37500
2013-01-24,31700,0,37500
2013-01-25,31900,0,37600
2013-01-26,31900,0,37600
2013-01-27,32200,0,37700
2013-01-28,32300,0,37800
2013-01-29,32400,0,38000
2013-01-30,32500,0,38200
2013-01-31,32600,0,38300
2013-02-01,32800,0,38400
2013-02-02,32900,0,38500
2013-02-03,33000,0,38500
2013-02-04,33000,0,38600
2013-02-05,33100,0,38600
2013-02-06,33100,0,38600
2013-02-07,33200,0,38700
2013-02-08,33200,0,38700
2013-02-09,33300,0,38800
2013-02-10,33300,0,38900
2013-02-11,33500,0,38900
2013-02-12,33500,0,39000
2013-02-13,33600,0,39100
2013-02-14,33600,0,39100
2013-02-15,33700,0,39200
2013-02-16,33800,0,39200
2013-02-17,33900,0,39200
2013-02-18,34100,0,39300
2013-02-19,34200,0,39400
2013-02-20,34300,0,39600
2013-02-21,34300,0,39600
2013-02-22,34300,0,39600
2013-02-23,34300,0,39700
2013-02-24,34400,0,39700
2013-02-25,34600,0,39700
2013-02-26,34700,0,39700
2013-02-27,34800,0,40000
2013-02-28,34900,0,40200
2013-03-01,35100,0,40300
2013-03-02,35100,0,40300
2013-03-03,35300,0,40500
2013-03-04,35300,0,40600
2013-03-05,35400,0,40700
2013-03-06,35400,0,40800
2013-03-07,35700,0,40900
2013-03-08,35800,0,41000
2013-03-09,35900,0,41100
2013-03-10,36000,0,41200
2013-03-11,36000,0,41300
2013-03-12,36100,0,41300
2013-03-13,36100,0,41400
2013-03-14,36200,0,41400
2013-03-15,36500,0,41600
2013-03-16,36600,0,41700
2013-03-17,36600,0,41800
2013-03-18,36600,0,41900
2013-03-19,36700,0,42000
2013-03-20,36700,0,42000
2013-03-21,36800,0,42100
2013-03-22,36900,0,42200
2013-03-23,36900,0,42300
2013-03-24,37000,0,42600
2013-03-25,37200,0,42600
2013-03-26,37200,0,42700
2013-03-27,37300,0,42800
2013-03-28,37500,0,42900
2013-03-29,37600,0,43100
2013-03-30,37600,0,43100
2013-03-31,37600,0,43200
2013-04-01,37600,0,43300
2013-04-02,37700,0,43400
2013-04-03,37800,0,43500
2013-04-04,37800,0,43500
2013-04-05,38000,0,43500
2013-04-06,38100,0,43600
