Date,PS3 player count,PS4 player count,PS Vita player count
2014-05-20,0,0,0
2014-05-21,0,200,0
2014-05-22,0,200,100
2014-05-23,0,300,100
2014-05-24,0,500,200
2014-05-25,0,600,400
2014-05-26,0,800,400
2014-05-27,0,800,400
2014-05-28,0,1100,400
2014-05-29,0,1100,400
2014-05-30,0,1300,400
2014-05-31,0,1600,500
2014-06-01,0,1800,500
2014-06-02,0,2100,500
2014-06-03,0,2200,600
2014-06-04,0,2600,700
2014-06-05,0,2700,700
2014-06-06,0,2800,700
2014-06-07,0,3100,700
2014-06-08,0,3100,700
2014-06-09,0,3200,700
2014-06-10,0,3300,800
2014-06-11,0,3400,800
2014-06-12,0,3400,800
2014-06-13,0,3400,800
2014-06-14,0,3500,800
2014-06-15,0,3500,800
2014-06-16,0,3700,800
2014-06-17,0,3700,800
2014-06-18,0,3800,800
2014-06-19,0,3900,900
2014-06-20,0,3900,900
2014-06-21,0,3900,900
2014-06-22,0,4000,1000
2014-06-23,0,4200,1000
2014-06-24,0,4300,1000
2014-06-25,0,4400,1000
2014-06-26,0,4400,1000
2014-06-27,0,4500,1100
2014-06-28,0,4600,1100
2014-06-29,0,4600,1100
2014-06-30,0,4700,1100
2014-07-01,0,4800,1100
2014-07-02,0,4900,1100
2014-07-03,0,5000,1100
2014-07-04,0,5100,1100
2014-07-05,0,5200,1100
2014-07-06,0,5400,1100
2014-07-07,0,5600,1100
2014-07-08,0,5600,1100
2014-07-09,0,5700,1100
2014-07-10,0,5700,1100
2014-07-11,0,5700,1100
2014-07-12,0,5800,1100
2014-07-13,0,5900,1100
2014-07-14,0,6000,1200
2014-07-15,0,6000,1200
2014-07-16,0,6200,1200
2014-07-17,0,6200,1200
2014-07-18,0,6500,1200
2014-07-19,0,6600,1300
2014-07-20,0,6800,1300
2014-07-21,0,6900,1400
2014-07-22,0,6900,1400
2014-07-23,0,7000,1400
2014-07-24,0,7100,1400
2014-07-25,0,7100,1400
2014-07-26,0,7100,1400
2014-07-27,0,7200,1400
2014-07-28,0,7400,1500
2014-07-29,0,7600,1500
2014-07-30,0,7600,1500
2014-07-31,0,7800,1500
2014-08-01,0,7800,1500
2014-08-02,0,7800,1500
2014-08-03,0,7900,1600
2014-08-04,0,7900,1600
2014-08-05,0,8000,1600
2014-08-06,0,8100,1600
2014-08-07,0,8100,1600
2014-08-08,0,8200,1600
2014-08-09,0,8400,1600
2014-08-10,0,8500,1700
2014-08-11,0,8500,1700
2014-08-12,0,8600,1700
2014-08-13,0,8600,1700
2014-08-14,0,8700,1700
2014-08-15,0,8900,1700
2014-08-16,0,9200,1700
2014-08-17,0,9300,1700
2014-08-18,0,9400,1700
2014-08-19,0,9500,1700
2014-08-20,0,9600,1700
2014-08-21,0,9700,1700
2014-08-22,0,9700,1700
2014-08-23,0,9800,1700
2014-08-24,0,9800,1700
2014-08-25,0,10000,1700
2014-08-26,0,10000,1800
2014-08-27,0,10100,1800
2014-08-28,0,10200,1800
2014-08-29,0,10200,1800
2014-08-30,0,10300,1800
2014-08-31,0,10300,1800
2014-09-01,0,10400,1800
2014-09-02,0,10400,1800
2014-09-03,0,10500,1800
2014-09-04,0,10500,1800
2014-09-05,0,10600,1800
2014-09-06,0,10600,1800
2014-09-07,0,10700,1800
2014-09-08,0,10700,1800
2014-09-09,0,10800,1800
2014-09-10,0,10900,1800
2014-09-11,0,11000,1900
2014-09-12,0,11000,1900
2014-09-13,0,11100,1900
2014-09-14,0,11200,1900
2014-09-15,0,11300,1900
2014-09-16,0,11500,1900
2014-09-17,0,11500,1900
2014-09-18,0,11500,1900
2014-09-19,0,11500,1900
2014-09-20,0,11700,1900
2014-09-21,0,11800,1900
2014-09-22,0,11900,1900
2014-09-23,0,11900,1900
2014-09-24,0,12100,1900
2014-09-25,0,12100,1900
2014-09-26,0,12300,1900
2014-09-27,0,12500,1900
2014-09-28,0,12600,1900
2014-09-29,0,12600,1900
2014-09-30,0,12700,1900
2014-10-01,0,12800,1900
2014-10-02,0,12900,1900
2014-10-03,0,13000,1900
2014-10-04,0,13200,1900
2014-10-05,0,13400,2000
2014-10-06,0,13500,2000
2014-10-07,0,13600,2000
2014-10-08,0,13900,2000
2014-10-09,0,14000,2000
2014-10-10,0,14100,2000
2014-10-11,0,14100,2000
2014-10-12,0,14300,2000
2014-10-13,0,14300,2000
2014-10-14,0,14300,2000
2014-10-15,0,14300,2000
2014-10-16,0,14300,2100
2014-10-17,0,14300,2100
2014-10-18,0,14400,2100
2014-10-19,0,14500,2100
2014-10-20,0,14600,2100
2014-10-21,0,14700,2100
2014-10-22,0,14800,2100
2014-10-23,0,14900,2100
2014-10-24,0,14900,2100
2014-10-25,0,15000,2200
2014-10-26,0,15000,2200
2014-10-27,0,15100,2200
2014-10-28,0,15300,2200
2014-10-29,0,15400,2200
2014-10-30,0,15500,2200
2014-10-31,0,15500,2200
