Date,PS3 player count,PS4 player count,
2014-05-06,400,0,
2014-05-07,400,200,
2014-05-08,400,300,
2014-05-09,600,400,
2014-05-10,700,700,
2014-05-11,800,800,
2014-05-12,900,1000,
2014-05-13,900,1200,
2014-05-14,1100,1300,
2014-05-15,1100,1400,
2014-05-16,1200,1700,
2014-05-17,1300,1900,
2014-05-18,1300,2000,
2014-05-19,1400,2100,
2014-05-20,1400,2100,
2014-05-21,1400,2200,
2014-05-22,1400,2400,
2014-05-23,1500,2500,
2014-05-24,1600,2700,
2014-05-25,1600,2800,
2014-05-26,1900,2900,
2014-05-27,1900,3200,
2014-05-28,2000,3300,
2014-05-29,2000,3500,
2014-05-30,2000,3700,
2014-05-31,2000,3900,
2014-06-01,2000,4000,
2014-06-02,2000,4100,
2014-06-03,2000,4200,
2014-06-04,2000,4400,
2014-06-05,2100,4500,
2014-06-06,2200,4800,
2014-06-07,2400,4900,
2014-06-08,2500,5100,
2014-06-09,2600,5300,
2014-06-10,2600,5300,
2014-06-11,2800,5400,
2014-06-12,2800,5400,
2014-06-13,2800,5400,
2014-06-14,2900,5600,
2014-06-15,2900,5700,
2014-06-16,2900,5700,
2014-06-17,2900,5700,
2014-06-18,2900,5900,
2014-06-19,2900,5900,
2014-06-20,2900,6000,
2014-06-21,3000,6200,
2014-06-22,3000,6200,
2014-06-23,3000,6200,
2014-06-24,3100,6400,
2014-06-25,3200,6400,
2014-06-26,3300,6400,
2014-06-27,3300,6400,
2014-06-28,3300,6400,
2014-06-29,3300,6500,
2014-06-30,3300,6500,
2014-07-01,3300,6500,
2014-07-02,3300,6500,
2014-07-03,3300,6600,
2014-07-04,3300,6800,
2014-07-05,3300,7000,
2014-07-06,3400,7100,
2014-07-07,3400,7300,
2014-07-08,3400,7300,
2014-07-09,3400,7300,
2014-07-10,3400,7300,
2014-07-11,3600,7300,
2014-07-12,3600,7300,
2014-07-13,3600,7400,
2014-07-14,3600,7400,
2014-07-15,3600,7400,
2014-07-16,3600,7400,
2014-07-17,3600,7400,
2014-07-18,3700,7400,
2014-07-19,3700,7500,
2014-07-20,3700,7600,
2014-07-21,3700,7700,
2014-07-22,3700,7800,
2014-07-23,3700,7900,
2014-07-24,3700,7900,
2014-07-25,3700,7900,
2014-07-26,3700,8000,
2014-07-27,3700,8100,
2014-07-28,3700,8200,
2014-07-29,3700,8400,
2014-07-30,3800,8400,
2014-07-31,3800,8500,
2014-08-01,3800,8700,
2014-08-02,3800,8700,
2014-08-03,3800,8700,
2014-08-04,3800,8800,
2014-08-05,3800,8800,
2014-08-06,3800,8800,
2014-08-07,3800,8800,
2014-08-08,3800,8800,
2014-08-09,3800,8900,
2014-08-10,3800,9000,
2014-08-11,3900,9000,
2014-08-12,4000,9100,
2014-08-13,4000,9200,
2014-08-14,4000,9300,
2014-08-15,4000,9400,
2014-08-16,4000,9400,
2014-08-17,4000,9700,
2014-08-18,4000,9800,
2014-08-19,4000,9800,
2014-08-20,4100,9900,
2014-08-21,4100,10000,
2014-08-22,4100,10200,
2014-08-23,4200,10400,
2014-08-24,4200,10400,
2014-08-25,4200,10500,
2014-08-26,4200,10600,
2014-08-27,4200,10600,
2014-08-28,4200,10600,
2014-08-29,4200,10600,
2014-08-30,4200,10800,
2014-08-31,4200,10900,
2014-09-01,4300,11000,
2014-09-02,4600,12700,
2014-09-03,6300,23200,
2014-09-04,10700,35400,
2014-09-05,15200,49800,
2014-09-06,19500,69400,
2014-09-07,24800,84300,
2014-09-08,27000,93400,
2014-09-09,29600,103500,
2014-09-10,32100,114100,
2014-09-11,34800,123600,
2014-09-12,37400,132200,
2014-09-13,40900,145700,
2014-09-14,45000,155400,
2014-09-15,48000,162000,
2014-09-16,49400,167100,
2014-09-17,51100,172700,
