Date,'',PS4 player count,PS Vita player count
2016-07-25,,100,0
2016-07-26,,100,0
2016-07-27,,100,0
2016-07-28,,100,0
2016-07-29,,100,0
2016-07-30,,100,0
2016-07-31,,100,0
2016-08-01,,100,0
2016-08-02,,100,0
2016-08-03,,100,0
2016-08-04,,100,0
2016-08-05,,100,0
2016-08-06,,100,0
2016-08-07,,100,0
2016-08-08,,200,0
2016-08-09,,200,0
2016-08-10,,200,0
2016-08-11,,200,0
2016-08-12,,200,0
2016-08-13,,200,0
2016-08-14,,200,0
2016-08-15,,200,0
2016-08-16,,200,0
2016-08-17,,200,100
2016-08-18,,200,100
2016-08-19,,200,100
2016-08-20,,200,100
2016-08-21,,300,100
2016-08-22,,300,100
2016-08-23,,300,100
2016-08-24,,300,100
2016-08-25,,300,100
2016-08-26,,300,100
2016-08-27,,300,100
2016-08-28,,400,100
2016-08-29,,400,100
2016-08-30,,500,100
2016-08-31,,600,100
2016-09-01,,600,100
2016-09-02,,600,100
2016-09-03,,700,100
2016-09-04,,800,100
2016-09-05,,800,100
2016-09-06,,800,100
2016-09-07,,800,100
2016-09-08,,800,100
2016-09-09,,800,100
2016-09-10,,800,100
2016-09-11,,800,100
2016-09-12,,800,100
2016-09-13,,800,100
2016-09-14,,800,100
2016-09-15,,800,100
2016-09-16,,800,100
2016-09-17,,800,100
2016-09-18,,800,100
2016-09-19,,800,100
2016-09-20,,800,100
2016-09-21,,800,100
2016-09-22,,800,100
2016-09-23,,800,100
2016-09-24,,800,100
2016-09-25,,900,100
2016-09-26,,900,100
2016-09-27,,900,100
2016-09-28,,900,100
2016-09-29,,900,100
2016-09-30,,900,100
2016-10-01,,900,100
2016-10-02,,900,100
2016-10-03,,900,100
2016-10-04,,900,100
2016-10-05,,900,100
2016-10-06,,900,100
2016-10-07,,900,100
2016-10-08,,900,100
2016-10-09,,900,100
2016-10-10,,900,100
2016-10-11,,900,100
2016-10-12,,900,100
2016-10-13,,900,100
2016-10-14,,900,100
2016-10-15,,1000,100
2016-10-16,,1000,100
2016-10-17,,1000,100
2016-10-18,,1000,100
2016-10-19,,1000,100
2016-10-20,,1100,100
2016-10-21,,1100,100
2016-10-22,,1100,100
2016-10-23,,1200,100
2016-10-24,,1200,100
2016-10-25,,1200,100
2016-10-26,,1200,100
2016-10-27,,1200,100
2016-10-28,,1200,100
2016-10-29,,1200,100
2016-10-30,,1200,100
2016-10-31,,1200,100
2016-11-01,,1200,100
2016-11-02,,1200,100
2016-11-03,,1200,100
2016-11-04,,1200,100
2016-11-05,,1300,100
2016-11-06,,1300,100
2016-11-07,,1300,100
2016-11-08,,1300,100
2016-11-09,,1300,100
2016-11-10,,1300,100
2016-11-11,,1300,100
2016-11-12,,1300,100
2016-11-13,,1300,100
2016-11-14,,1400,100
2016-11-15,,1400,100
2016-11-16,,1400,100
2016-11-17,,1400,100
2016-11-18,,1400,100
2016-11-19,,1400,100
2016-11-20,,1400,100
2016-11-21,,1400,100
2016-11-22,,1400,100
2016-11-23,,1400,100
2016-11-24,,1500,100
2016-11-25,,1500,100
2016-11-26,,1500,200
2016-11-27,,1500,200
2016-11-28,,1600,200
2016-11-29,,1600,200
2016-11-30,,1600,200
2016-12-01,,1700,200
2016-12-02,,1700,200
2016-12-03,,1700,200
2016-12-04,,1700,200
2016-12-05,,1700,200
2016-12-06,,1700,200
2016-12-07,,1700,200
2016-12-08,,1700,200
2016-12-09,,1700,200
2016-12-10,,1800,200
2016-12-11,,1800,200
2016-12-12,,1800,200
2016-12-13,,1800,200
2016-12-14,,1800,200
2016-12-15,,1800,200
2016-12-16,,1800,200
2016-12-17,,1800,200
2016-12-18,,1800,200
2016-12-19,,1800,200
2016-12-20,,1800,200
2016-12-21,,1800,200
2016-12-22,,1800,200
2016-12-23,,1800,200
2016-12-24,,1800,200
2016-12-25,,1900,200
2016-12-26,,1900,200
2016-12-27,,1900,200
2016-12-28,,1900,200
2016-12-29,,1900,200
2016-12-30,,2000,200
2016-12-31,,2000,300
2017-01-01,,2000,300
2017-01-02,,2000,300
2017-01-03,,2000,300
2017-01-04,,2000,300
2017-01-05,,2000,300
2017-01-06,,2000,300
2017-01-07,,2000,300
2017-01-08,,2000,300
2017-01-09,,2000,300
2017-01-10,,2000,300
2017-01-11,,2000,300
2017-01-12,,2000,300
2017-01-13,,2000,300
2017-01-14,,2000,300
2017-01-15,,2100,300
2017-01-16,,2100,300
2017-01-17,,2100,300
2017-01-18,,2100,300
2017-01-19,,2100,300
2017-01-20,,2100,300
2017-01-21,,2100,300
2017-01-22,,2200,300
2017-01-23,,2200,300
2017-01-24,,2200,300
2017-01-25,,2200,300
2017-01-26,,2300,300
2017-01-27,,2300,300
2017-01-28,,2300,300
2017-01-29,,2300,300
2017-01-30,,2300,300
2017-01-31,,2300,300
2017-02-01,,2300,300
2017-02-02,,2300,300
2017-02-03,,2400,300
2017-02-04,,2400,300
2017-02-05,,2400,300
2017-02-06,,2400,300
2017-02-07,,2400,300
2017-02-08,,2400,300
2017-02-09,,2400,300
2017-02-10,,2400,300
2017-02-11,,2400,300
2017-02-12,,2400,300
2017-02-13,,2400,300
2017-02-14,,2400,300
2017-02-15,,2400,300
2017-02-16,,2400,300
2017-02-17,,2400,300
2017-02-18,,2400,300
2017-02-19,,2400,300
2017-02-20,,2400,300
2017-02-21,,2400,300
2017-02-22,,2400,300
2017-02-23,,2400,300
2017-02-24,,2400,300
2017-02-25,,2400,300
2017-02-26,,2400,300
2017-02-27,,2500,300
2017-02-28,,2500,300
2017-03-01,,2500,300
2017-03-02,,2500,300
2017-03-03,,2500,300
2017-03-04,,2500,300
2017-03-05,,2500,300
2017-03-06,,2500,300
2017-03-07,,2500,300
2017-03-08,,2500,300
2017-03-09,,2500,300
2017-03-10,,2500,300
2017-03-11,,2500,300
2017-03-12,,2500,300
2017-03-13,,2500,300
2017-03-14,,2500,300
2017-03-15,,2600,300
2017-03-16,,2600,300
2017-03-17,,2600,300
2017-03-18,,2600,300
2017-03-19,,2600,300
2017-03-20,,2600,300
2017-03-21,,2600,300
2017-03-22,,2600,300
2017-03-23,,2600,300
2017-03-24,,2600,300
2017-03-25,,2600,300
2017-03-26,,2600,300
2017-03-27,,2600,300
2017-03-28,,2600,300
2017-03-29,,2600,300
2017-03-30,,2600,300
2017-03-31,,2600,300
2017-04-01,,2600,300
2017-04-02,,2600,300
2017-04-03,,2600,300
2017-04-04,,2600,300
2017-04-05,,2600,300
2017-04-06,,2600,300
2017-04-07,,2600,300
2017-04-08,,2600,300
2017-04-09,,2600,300
2017-04-10,,2600,300
2017-04-11,,2600,300
2017-04-12,,2600,300
2017-04-13,,2600,300
2017-04-14,,2700,300
2017-04-15,,2700,300
2017-04-16,,2700,300
2017-04-17,,2800,300
2017-04-18,,2800,300
2017-04-19,,2800,300
2017-04-20,,3000,300
2017-04-21,,3000,300
2017-04-22,,3000,300
2017-04-23,,3000,300
2017-04-24,,3100,300
2017-04-25,,3100,300
2017-04-26,,3100,300
2017-04-27,,3100,300
2017-04-28,,3100,300
2017-04-29,,3100,300
2017-04-30,,3100,300
2017-05-01,,3200,300
2017-05-02,,3200,300
2017-05-03,,3200,300
2017-05-04,,3200,300
2017-05-05,,3200,300
2017-05-06,,3200,300
2017-05-07,,3200,300
2017-05-08,,3200,300
2017-05-09,,3200,300
2017-05-10,,3200,300
2017-05-11,,3200,300
2017-05-12,,3200,300
2017-05-13,,3200,300
2017-05-14,,3200,300
2017-05-15,,3200,300
2017-05-16,,3200,300
2017-05-17,,3200,300
2017-05-18,,3200,300
2017-05-19,,3200,300
2017-05-20,,3200,300
2017-05-21,,3300,300
2017-05-22,,3300,300
2017-05-23,,3300,300
2017-05-24,,3300,300
2017-05-25,,3300,300
2017-05-26,,3400,300
2017-05-27,,3400,300
2017-05-28,,3400,300
2017-05-29,,3400,300
2017-05-30,,3400,300
2017-05-31,,3400,300
2017-06-01,,3400,300
2017-06-02,,3400,300
2017-06-03,,3400,300
2017-06-04,,3400,300
2017-06-05,,3400,300
2017-06-06,,8100,300
2017-06-07,,16400,400
2017-06-08,,23400,400
2017-06-09,,31900,400
2017-06-10,,41500,500
2017-06-11,,49800,700
2017-06-12,,55900,700
2017-06-13,,62400,800
2017-06-14,,68600,800
2017-06-15,,75000,900
2017-06-16,,81400,900
2017-06-17,,89500,900
2017-06-18,,96600,900
2017-06-19,,102600,900
2017-06-20,,109100,900
2017-06-21,,116000,900
2017-06-22,,121200,1000
2017-06-23,,126800,1000
2017-06-24,,133700,1000
2017-06-25,,140800,1000
2017-06-26,,146200,1000
2017-06-27,,152500,1000
2017-06-28,,159200,1000
2017-06-29,,165300,1000
2017-06-30,,172700,1100
2017-07-01,,181400,1100
2017-07-02,,189100,1100
2017-07-03,,195800,1200
2017-07-04,,202600,1200
2017-07-05,,209400,1200
2017-07-06,,214200,1200
2017-07-07,,220900,1200
2017-07-08,,225900,1200
2017-07-09,,231100,1200
2017-07-10,,234300,1200
2017-07-11,,237600,1200
2017-07-12,,241000,1300
2017-07-13,,243300,1300
2017-07-14,,246000,1300
2017-07-15,,249100,1300
2017-07-16,,251800,1300
2017-07-17,,253400,1300
2017-07-18,,255600,1300
2017-07-19,,258600,1300
2017-07-20,,260500,1300
2017-07-21,,262400,1300
2017-07-22,,264800,1300
2017-07-23,,267200,1400
2017-07-24,,269100,1400
2017-07-25,,271000,1400
2017-07-26,,272400,1400
2017-07-27,,274300,1400
2017-07-28,,276000,1400
2017-07-29,,277700,1400
2017-07-30,,279500,1400
2017-07-31,,281100,1400
2017-08-01,,282600,1400
2017-08-02,,283900,1400
2017-08-03,,285400,1400
2017-08-04,,286600,1400
2017-08-05,,288300,1400
2017-08-06,,289900,1400
2017-08-07,,290700,1400
2017-08-08,,292100,1400
2017-08-09,,293400,1400
2017-08-10,,294200,1400
2017-08-11,,295100,1400
2017-08-12,,296600,1400
2017-08-13,,297800,1400
2017-08-14,,298700,1400
2017-08-15,,299800,1400
2017-08-16,,300800,1400
2017-08-17,,301800,1400
2017-08-18,,302500,1400
2017-08-19,,303400,1500
2017-08-20,,304200,1500
2017-08-21,,305500,1500
2017-08-22,,306400,1500
2017-08-23,,307500,1500
2017-08-24,,308200,1500
2017-08-25,,309400,1500
2017-08-26,,310300,1500
2017-08-27,,311000,1500
2017-08-28,,311500,1500
2017-08-29,,312200,1600
2017-08-30,,313200,1600
2017-08-31,,314000,1600
2017-09-01,,315000,1600
2017-09-02,,316000,1600
2017-09-03,,316900,1600
2017-09-04,,317500,1600
2017-09-05,,318400,1600
2017-09-06,,319300,1600
2017-09-07,,320000,1600
2017-09-08,,320400,1600
2017-09-09,,321500,1600
2017-09-10,,322500,1600
2017-09-11,,323200,1600
2017-09-12,,323700,1600
2017-09-13,,323900,1600
2017-09-14,,324500,1600
2017-09-15,,325000,1600
2017-09-16,,325800,1600
2017-09-17,,326300,1600
2017-09-18,,326600,1600
2017-09-19,,327200,1600
2017-09-20,,327600,1600
2017-09-21,,328100,1600
2017-09-22,,328500,1600
2017-09-23,,329300,1600
2017-09-24,,329900,1600
2017-09-25,,330500,1600
2017-09-26,,330700,1600
2017-09-27,,331200,1600
2017-09-28,,331600,1600
2017-09-29,,332200,1600
2017-09-30,,332700,1600
2017-10-01,,333600,1600
2017-10-02,,334400,2000
2017-10-03,,335400,2000
2017-10-04,,335500,2000
2017-10-05,,335900,2000
2017-10-06,,336500,2000
2017-10-07,,337200,2100
2017-10-08,,338000,2100
2017-10-09,,338600,2100
2017-10-10,,338800,2100
2017-10-11,,339200,2100
2017-10-12,,339500,2100
2017-10-13,,340000,2100
2017-10-14,,340800,2100
2017-10-15,,341100,2100
2017-10-16,,341300,2100
2017-10-17,,341400,2100
2017-10-18,,341700,2100
2017-10-19,,342000,2100
2017-10-20,,342400,2400
2017-10-21,,342800,2400
2017-10-22,,343400,2400
2017-10-23,,343900,2400
2017-10-24,,344200,2400
2017-10-25,,344600,2400
2017-10-26,,345100,2400
2017-10-27,,345500,2400
2017-10-28,,345900,2400
2017-10-29,,346200,2400
2017-10-30,,346900,2400
2017-10-31,,347300,2400
2017-11-01,,347700,2400
2017-11-02,,348000,2400
2017-11-03,,348300,2400
2017-11-04,,348800,2400
2017-11-05,,349600,2400
2017-11-06,,350000,2400
2017-11-07,,350400,2400
2017-11-08,,350600,2400
2017-11-09,,350900,2400
2017-11-10,,351300,2400
2017-11-11,,351700,2400
2017-11-12,,352100,2400
2017-11-13,,352300,2400
2017-11-14,,352600,2400
2017-11-15,,352700,2400
2017-11-16,,353200,2400
2017-11-17,,353300,2400
2017-11-18,,353900,2400
2017-11-19,,354300,2400
2017-11-20,,354500,2400
2017-11-21,,354700,2400
